CODAJAS-AM,,,,,AM,,,,,-,,,,,,,,,,"2.063,81",,,,,,,,"2.063,81",,,,,,,,,"10.091,05",,,,,,,,
IRANDUBA-AM,,,,,AM,,,,,-,,,,,,,,,,"5.912,35",,,,,,,,"5.912,35",,,,,,,,,"30.132,94",,,,,,,,
ITACOATIARA-AM,,,,,AM,,,,,-,,,,,,,,,,"5.912,35",,,,,,,,"5.912,35",,,,,,,,,"30.132,94",,,,,,,,
ITAPIRANGA-AM,,,,,AM,,,,,-,,,,,,,,,,"5.912,35",,,,,,,,"5.912,35",,,,,,,,,"30.132,94",,,,,,,,
MANACAPURU-AM,,,,,AM,,,,,-,,,,,,,,,,"2.063,81",,,,,,,,"2.063,81",,,,,,,,,"10.091,05",,,,,,,,
MANAQUIRI-AM,,,,,AM,,,,,-,,,,,,,,,,"2.063,81",,,,,,,,"2.063,81",,,,,,,,,"10.091,05",,,,,,,,
MANAUS-AM,,,,,AM,,,,,"1.037.683,06",,,,,,,,,,"76.468,76",,,,,,,,"1.114.151,82",,,,,,,,,"4.245.776,84",,,,,,,,
PARINTINS-AM,,,,,AM,,,,,-,,,,,,,,,,"5.912,35",,,,,,,,"5.912,35",,,,,,,,,"30.132,94",,,,,,,,
SILVES-AM,,,,,AM,,,,,-,,,,,,,,,,"5.912,35",,,,,,,,"5.912,35",,,,,,,,,"30.132,94",,,,,,,,
URUCARA-AM,,,,,AM,,,,,-,,,,,,,,,,"5.912,35",,,,,,,,"5.912,35",,,,,,,,,"30.132,94",,,,,,,,
URUCURITUBA-AM,,,,,AM,,,,,-,,,,,,,,,,"5.912,35",,,,,,,,"5.912,35",,,,,,,,,"30.132,97",,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,"2.747.442,77",,,,,,,,,,"1.746.662,24",,,,,,,,"4.494.105,01",,,,,,,,,"20.213.653,51",,,,,,,,
LARANJAL DO JARI-AP,,,,,AP,,,,,-,,,,,,,,,,"5.912,35",,,,,,,,"5.912,35",,,,,,,,,"30.132,94",,,,,,,,
MACAPA-AP,,,,,AP,,,,,-,,,,,,,,,,"5.912,35",,,,,,,,"5.912,35",,,,,,,,,"30.132,94",,,,,,,,
MAZAGAO-AP,,,,,AP,,,,,-,,,,,,,,,,"5.912,35",,,,,,,,"5.912,35",,,,,,,,,"30.132,94",,,,,,,,
AMAPA  TOTAL,,,,,,,,,,-,,,,,,,,,,"17.737,05",,,,,,,,"17.737,05",,,,,,,,,"90.398,82",,,,,,,,
ACAJUTIBA-BA,,,,,BA,,,,,"468,62",,,,,,,,,,-,,,,,,,,"468,62",,,,,,,,,"1.116,31",,,,,,,,
ADUSTINA-BA,,,,,BA,,,,,"468,62",,,,,,,,,,-,,,,,,,,"468,62",,,,,,,,,"1.116,31",,,,,,,,
AGUA FRIA-BA,,,,,BA,,,,,"468,62",,,,,,,,,,-,,,,,,,,"468,62",,,,,,,,,"1.116,31",,,,,,,,
AIQUARA-BA,,,,,BA,,,,,"407,50",,,,,,,,,,-,,,,,,,,"407,50",,,,,,,,,"970,69",,,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,,"258.785,43",,,,,,,,,,"137.538,43",,,,,,,,"396.323,86",,,,,,,,,"1.923.521,99",,,,,,,,
