CODAJAS-AM,,,AM,,,,,-,,,,,,,,"2.056,58",,,,,,,"2.056,58",,,,,,,,"8.185,66",,,,,,,,
IRANDUBA-AM,,,AM,,,,,-,,,,,,,,"5.285,96",,,,,,,"5.285,96",,,,,,,,"20.612,39",,,,,,,,
ITACOATIARA-AM,,,AM,,,,,-,,,,,,,,"5.285,96",,,,,,,"5.285,96",,,,,,,,"20.612,39",,,,,,,,
ITAPIRANGA-AM,,,AM,,,,,-,,,,,,,,"5.285,96",,,,,,,"5.285,96",,,,,,,,"20.612,39",,,,,,,,
MANACAPURU-AM,,,AM,,,,,-,,,,,,,,"2.056,58",,,,,,,"2.056,58",,,,,,,,"8.185,66",,,,,,,,
MANAQUIRI-AM,,,AM,,,,,-,,,,,,,,"2.056,58",,,,,,,"2.056,58",,,,,,,,"8.185,66",,,,,,,,
MANAUS-AM,,,AM,,,,,"935.686,40",,,,,,,,"64.491,33",,,,,,,"1.000.177,73",,,,,,,,"4.127.907,07",,,,,,,,
PARINTINS-AM,,,AM,,,,,-,,,,,,,,"5.285,96",,,,,,,"5.285,96",,,,,,,,"20.612,39",,,,,,,,
SILVES-AM,,,AM,,,,,-,,,,,,,,"5.285,96",,,,,,,"5.285,96",,,,,,,,"20.612,39",,,,,,,,
URUCARA-AM,,,AM,,,,,-,,,,,,,,"5.285,96",,,,,,,"5.285,96",,,,,,,,"20.612,39",,,,,,,,
URUCURITUBA-AM,,,AM,,,,,-,,,,,,,,"5.285,96",,,,,,,"5.285,96",,,,,,,,"20.612,39",,,,,,,,
TOTAL AMAZONAS,,,,,,,,"2.550.772,61",,,,,,,,"1.598.259,64",,,,,,,"4.149.032,25",,,,,,,,"17.677.993,18",,,,,,,,
LARANJAL DO JARI-AP,,,AP,,,,,-,,,,,,,,"5.285,96",,,,,,,"5.285,96",,,,,,,,"20.612,39",,,,,,,,
MACAPA-AP,,,AP,,,,,-,,,,,,,,"5.285,96",,,,,,,"5.285,96",,,,,,,,"20.612,39",,,,,,,,
MAZAGAO-AP,,,AP,,,,,-,,,,,,,,"5.285,96",,,,,,,"5.285,96",,,,,,,,"20.612,39",,,,,,,,
TOTAL AMAPA,,,,,,,,-,,,,,,,,"15.857,88",,,,,,,"15.857,88",,,,,,,,"61.837,17",,,,,,,,
ACAJUTIBA-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
ADUSTINA-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
AGUA FRIA-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
AIQUARA-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
ALAGOINHAS-BA,,,BA,,,,,"242.972,21",,,,,,,,"113.022,22",,,,,,,"355.994,43",,,,,,,,"1.524.075,56",,,,,,,,
AMARGOSA-BA,,,BA,,,,,"83,36",,,,,,,,-,,,,,,,"83,36",,,,,,,,"360,85",,,,,,,,
AMELIA RODRIGUES-BA,,,BA,,,,,"80,38",,,,,,,,-,,,,,,,"80,38",,,,,,,,"347,95",,,,,,,,
ANAGE-BA,,,BA,,,,,"83,36",,,,,,,,-,,,,,,,"83,36",,,,,,,,"360,85",,,,,,,,
ANGUERA-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
ANTAS-BA,,,BA,,,,,"68,47",,,,,,,,-,,,,,,,"68,47",,,,,,,,"296,41",,,,,,,,
ANTONIO CARDOSO-BA,,,BA,,,,,"62,52",,,,,,,,-,,,,,,,"62,52",,,,,,,,"270,64",,,,,,,,
APORA-BA,,,BA,,,,,"71,45",,,,,,,,-,,,,,,,"71,45",,,,,,,,"309,29",,,,,,,,
APUAREMA-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
ARACAS-BA,,,BA,,,,,"187.888,31",,,,,,,,"82.575,25",,,,,,,"270.463,56",,,,,,,,"1.164.163,51",,,,,,,,
ARACI-BA,,,BA,,,,,"92,29",,,,,,,,-,,,,,,,"92,29",,,,,,,,"399,50",,,,,,,,
ARAMARI-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
ARATUIPE-BA,,,BA,,,,,"59,54",,,,,,,,-,,,,,,,"59,54",,,,,,,,"257,74",,,,,,,,
BAIXA GRANDE-BA,,,BA,,,,,"77,40",,,,,,,,-,,,,,,,"77,40",,,,,,,,"335,07",,,,,,,,
BANZAE-BA,,,BA,,,,,"62,52",,,,,,,,-,,,,,,,"62,52",,,,,,,,"270,64",,,,,,,,
