AIQUARA-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
ALAGOINHAS-BA,,,,,,,,BA,,,,"470.199,18",,,,,,,"310.318,73",,,,,,"780.517,91",,,,,,"1.505.838,38",,,,,,,,,,,,
ALCOBACA-BA,,,,,,,,BA,,,,"1.810,32",,,,,,,-,,,,,,"1.810,32",,,,,,"3.452,24",,,,,,,,,,,,
ALMADINA-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
AMARGOSA-BA,,,,,,,,BA,,,,"2.019,20",,,,,,,-,,,,,,"2.019,20",,,,,,"3.850,57",,,,,,,,,,,,
AMELIA RODRIGUES-BA,,,,,,,,BA,,,,"1.879,95",,,,,,,-,,,,,,"1.879,95",,,,,,"3.585,02",,,,,,,,,,,,
ANAGE-BA,,,,,,,,BA,,,,"1.879,95",,,,,,,-,,,,,,"1.879,95",,,,,,"3.585,02",,,,,,,,,,,,
ANGUERA-BA,,,,,,,,BA,,,,"1.462,18",,,,,,,-,,,,,,"1.462,18",,,,,,"2.788,34",,,,,,,,,,,,
ANTAS-BA,,,,,,,,BA,,,,"1.671,06",,,,,,,-,,,,,,"1.671,06",,,,,,"3.186,67",,,,,,,,,,,,
ANTONIO CARDOSO-BA,,,,,,,,BA,,,,"1.462,18",,,,,,,-,,,,,,"1.462,18",,,,,,"2.788,34",,,,,,,,,,,,
APORA-BA,,,,,,,,BA,,,,"1.671,06",,,,,,,-,,,,,,"1.671,06",,,,,,"3.186,67",,,,,,,,,,,,
APUAREMA-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
ARACAS-BA,,,,,,,,BA,,,,"537.475,46",,,,,,,"315.762,29",,,,,,"853.237,75",,,,,,"1.575.068,48",,,,,,,,,,,,
ARACI-BA,,,,,,,,BA,,,,"2.228,09",,,,,,,-,,,,,,"2.228,09",,,,,,"4.248,91",,,,,,,,,,,,
ARAMARI-BA,,,,,,,,BA,,,,"2.956,28",,,,,,,"627,52",,,,,,"3.583,80",,,,,,"6.887,36",,,,,,,,,,,,
ARATACA-BA,,,,,,,,BA,,,,"1.462,18",,,,,,,-,,,,,,"1.462,18",,,,,,"2.788,34",,,,,,,,,,,,
ARATUIPE-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
AURELINO LEAL-BA,,,,,,,,BA,,,,"1.531,81",,,,,,,-,,,,,,"1.531,81",,,,,,"2.921,12",,,,,,,,,,,,
BAIXA GRANDE-BA,,,,,,,,BA,,,,"1.810,32",,,,,,,-,,,,,,"1.810,32",,,,,,"3.452,24",,,,,,,,,,,,
BANZAE-BA,,,,,,,,BA,,,,"1.462,18",,,,,,,-,,,,,,"1.462,18",,,,,,"2.788,34",,,,,,,,,,,,
BARRA DO CHOCA-BA,,,,,,,,BA,,,,"2.019,20",,,,,,,-,,,,,,"2.019,20",,,,,,"3.850,57",,,,,,,,,,,,
BARRA DO ROCHA-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
BARRO PRETO-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
BARROCAS-BA,,,,,,,,BA,,,,"1.601,44",,,,,,,-,,,,,,"1.601,44",,,,,,"3.053,90",,,,,,,,,,,,
BELMONTE-BA,,,,,,,,BA,,,,"1.810,32",,,,,,,-,,,,,,"1.810,32",,,,,,"3.452,24",,,,,,,,,,,,
BELO CAMPO-BA,,,,,,,,BA,,,,"1.671,06",,,,,,,-,,,,,,"1.671,06",,,,,,"3.186,67",,,,,,,,,,,,
BIRITINGA-BA,,,,,,,,BA,,,,"1.601,44",,,,,,,-,,,,,,"1.601,44",,,,,,"3.053,90",,,,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOA NOVA-BA,,,,,,,,BA,,,,"1.601,44",,,,,,,-,,,,,,"1.601,44",,,,,,"3.053,90",,,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,,BA,,,,"1.671,06",,,,,,,-,,,,,,"1.671,06",,,,,,"3.186,67",,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,,BA,,,,"1.462,18",,,,,,,-,,,,,,"1.462,18",,,,,,"2.788,34",,,,,,,,,,,,
BREJOES-BA,,,,,,,,BA,,,,"1.601,44",,,,,,,-,,,,,,"1.601,44",,,,,,"3.053,90",,,,,,,,,,,,
BUERAREMA-BA,,,,,,,,BA,,,,"1.740,69",,,,,,,-,,,,,,"1.740,69",,,,,,"3.319,45",,,,,,,,,,,,
CAATIBA-BA,,,,,,,,BA,,,,"1.462,18",,,,,,,-,,,,,,"1.462,18",,,,,,"2.788,34",,,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,,BA,,,,"1.671,06",,,,,,,-,,,,,,"1.671,06",,,,,,"3.186,67",,,,,,,,,,,,
CACHOEIRA-BA,,,,,,,,BA,,,,"2.019,20",,,,,,,-,,,,,,"2.019,20",,,,,,"3.850,57",,,,,,,,,,,,
CAEM-BA,,,,,,,,BA,,,,"1.462,18",,,,,,,-,,,,,,"1.462,18",,,,,,"2.788,34",,,,,,,,,,,,
CAETANOS-BA,,,,,,,,BA,,,,"1.531,81",,,,,,,-,,,,,,"1.531,81",,,,,,"2.921,12",,,,,,,,,,,,
CAIRU-BA,,,,,,,,BA,,,,"48.106,47",,,,,,,"516.466,63",,,,,,"564.573,10",,,,,,"1.087.545,40",,,,,,,,,,,,
CAMACAN-BA,,,,,,,,BA,,,,"1.949,58",,,,,,,-,,,,,,"1.949,58",,,,,,"3.717,80",,,,,,,,,,,,
CAMACARI-BA,,,,,,,,BA,,,,"426.629,88",,,,,,,"279.415,86",,,,,,"706.045,74",,,,,,"1.389.912,73",,,,,,,,,,,,
CAMAMU-BA,,,,,,,,BA,,,,"2.019,20",,,,,,,-,,,,,,"2.019,20",,,,,,"3.850,57",,,,,,,,,,,,
CANAVIEIRAS-BA,,,,,,,,BA,,,,"2.019,20",,,,,,,-,,,,,,"2.019,20",,,,,,"3.850,57",,,,,,,,,,,,
CANDEAL-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
CANDEIAS-BA,,,,,,,,BA,,,,"674.034,24",,,,,,,"584.110,30",,,,,,"1.258.144,54",,,,,,"2.379.985,57",,,,,,,,,,,,
CANDIDO SALES-BA,,,,,,,,BA,,,,"1.879,95",,,,,,,-,,,,,,"1.879,95",,,,,,"3.585,02",,,,,,,,,,,,
CANSANCAO-BA,,,,,,,,BA,,,,"2.019,20",,,,,,,-,,,,,,"2.019,20",,,,,,"3.850,57",,,,,,,,,,,,
CANUDOS-BA,,,,,,,,BA,,,,"1.601,44",,,,,,,-,,,,,,"1.601,44",,,,,,"3.053,90",,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,,BA,,,,"1.462,18",,,,,,,-,,,,,,"1.462,18",,,,,,"2.788,34",,,,,,,,,,,,
CAPIM GROSSO-BA,,,,,,,,BA,,,,"1.879,95",,,,,,,-,,,,,,"1.879,95",,,,,,"3.585,02",,,,,,,,,,,,
CARAVELAS-BA,,,,,,,,BA,,,,"1.810,32",,,,,,,-,,,,,,"1.810,32",,,,,,"3.452,24",,,,,,,,,,,,
CARDEAL DA SILVA-BA,,,,,,,,BA,,,,"137.037,39",,,,,,,"42.573,32",,,,,,"179.610,71",,,,,,"329.589,60",,,,,,,,,,,,
CASTRO ALVES-BA,,,,,,,,BA,,,,"1.879,95",,,,,,,-,,,,,,"1.879,95",,,,,,"3.585,02",,,,,,,,,,,,
CATU-BA,,,,,,,,BA,,,,"345.394,45",,,,,,,"176.565,97",,,,,,"521.960,42",,,,,,"999.552,22",,,,,,,,,,,,
CICERO DANTAS-BA,,,,,,,,BA,,,,"2.019,20",,,,,,,-,,,,,,"2.019,20",,,,,,"3.850,57",,,,,,,,,,,,
CIPO-BA,,,,,,,,BA,,,,"1.601,44",,,,,,,-,,,,,,"1.601,44",,,,,,"3.053,90",,,,,,,,,,,,
COARACI-BA,,,,,,,,BA,,,,"1.810,32",,,,,,,-,,,,,,"1.810,32",,,,,,"3.452,24",,,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,,,BA,,,,"1.810,32",,,,,,,-,,,,,,"1.810,32",,,,,,"3.452,24",,,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,,BA,,,,"1.671,06",,,,,,,-,,,,,,"1.671,06",,,,,,"3.186,67",,,,,,,,,,,,
CONCEICAO DO COITE-BA,,,,,,,,BA,,,,"2.297,72",,,,,,,-,,,,,,"2.297,72",,,,,,"4.381,69",,,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,,BA,,,,"1.949,58",,,,,,,-,,,,,,"1.949,58",,,,,,"3.717,80",,,,,,,,,,,,
CONDE-BA,,,,,,,,BA,,,,"4.991,10",,,,,,,"2.051,60",,,,,,"7.042,70",,,,,,"14.885,55",,,,,,,,,,,,
CORACAO DE MARIA-BA,,,,,,,,BA,,,,"1.810,32",,,,,,,-,,,,,,"1.810,32",,,,,,"3.452,24",,,,,,,,,,,,
CORONEL JOAO SA-BA,,,,,,,,BA,,,,"1.671,06",,,,,,,-,,,,,,"1.671,06",,,,,,"3.186,67",,,,,,,,,,,,
CRAVOLANDIA-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
CRISOPOLIS-BA,,,,,,,,BA,,,,"1.810,32",,,,,,,-,,,,,,"1.810,32",,,,,,"3.452,24",,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,,,BA,,,,"2.297,72",,,,,,,-,,,,,,"2.297,72",,,,,,"4.381,69",,,,,,,,,,,,
DARIO MEIRA-BA,,,,,,,,BA,,,,"1.531,81",,,,,,,-,,,,,,"1.531,81",,,,,,"2.921,12",,,,,,,,,,,,
DIAS D'AVILA-BA,,,,,,,,BA,,,,"2.367,34",,,,,,,-,,,,,,"2.367,34",,,,,,"4.514,46",,,,,,,,,,,,
DOM MACEDO COSTA-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
ELISIO MEDRADO-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
ENCRUZILHADA-BA,,,,,,,,BA,,,,"1.810,32",,,,,,,-,,,,,,"1.810,32",,,,,,"3.452,24",,,,,,,,,,,,
ENTRE RIOS-BA,,,,,,,,BA,,,,"436.035,84",,,,,,,"302.090,05",,,,,,"738.125,89",,,,,,"1.427.620,22",,,,,,,,,,,,
ESPLANADA-BA,,,,,,,,BA,,,,"753.864,27",,,,,,,"584.656,05",,,,,,"1.338.520,32",,,,,,"2.572.064,17",,,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,,BA,,,,"2.297,72",,,,,,,-,,,,,,"2.297,72",,,,,,"4.381,69",,,,,,,,,,,,
EUNAPOLIS-BA,,,,,,,,BA,,,,"356.165,85",,,,,,,"12.570,58",,,,,,"368.736,43",,,,,,"793.869,28",,,,,,,,,,,,
FATIMA-BA,,,,,,,,BA,,,,"1.671,06",,,,,,,-,,,,,,"1.671,06",,,,,,"3.186,67",,,,,,,,,,,,
FEIRA DE SANTANA-BA,,,,,,,,BA,,,,"2.785,11",,,,,,,-,,,,,,"2.785,11",,,,,,"5.311,14",,,,,,,,,,,,
FIRMINO ALVES-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
FLORESTA AZUL-BA,,,,,,,,BA,,,,"1.462,18",,,,,,,-,,,,,,"1.462,18",,,,,,"2.788,34",,,,,,,,,,,,
GANDU-BA,,,,,,,,BA,,,,"1.949,58",,,,,,,-,,,,,,"1.949,58",,,,,,"3.717,80",,,,,,,,,,,,
GAVIAO-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
GLORIA-BA,,,,,,,,BA,,,,"1.601,44",,,,,,,-,,,,,,"1.601,44",,,,,,"3.053,90",,,,,,,,,,,,
GONGOGI-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,,,BA,,,,"1.740,69",,,,,,,-,,,,,,"1.740,69",,,,,,"3.319,45",,,,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARATINGA-BA,,,,,,,,BA,,,,"1.810,32",,,,,,,-,,,,,,"1.810,32",,,,,,"3.452,24",,,,,,,,,,,,
HELIOPOLIS-BA,,,,,,,,BA,,,,"1.531,81",,,,,,,-,,,,,,"1.531,81",,,,,,"2.921,12",,,,,,,,,,,,
IACU-BA,,,,,,,,BA,,,,"1.879,95",,,,,,,-,,,,,,"1.879,95",,,,,,"3.585,02",,,,,,,,,,,,
IBICARAI-BA,,,,,,,,BA,,,,"1.879,95",,,,,,,-,,,,,,"1.879,95",,,,,,"3.585,02",,,,,,,,,,,,
IBICUI-BA,,,,,,,,BA,,,,"1.601,44",,,,,,,-,,,,,,"1.601,44",,,,,,"3.053,90",,,,,,,,,,,,
IBIQUERA-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
IBIRAPITANGA-BA,,,,,,,,BA,,,,"1.810,32",,,,,,,-,,,,,,"1.810,32",,,,,,"3.452,24",,,,,,,,,,,,
IBIRAPUA-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
IBIRATAIA-BA,,,,,,,,BA,,,,"1.740,69",,,,,,,-,,,,,,"1.740,69",,,,,,"3.319,45",,,,,,,,,,,,
ICHU-BA,,,,,,,,BA,,,,"1.392,55",,,,,,,-,,,,,,"1.392,55",,,,,,"2.655,56",,,,,,,,,,,,
IGRAPIUNA-BA,,,,,,,,BA,,,,"1.531,81",,,,,,,-,,,,,,"1.531,81",,,,,,"2.921,12",,,,,,,,,,,,
IGUAI-BA,,,,,,,,BA,,,,"1.879,95",,,,,,,-,,,,,,"1.879,95",,,,,,"3.585,02",,,,,,,,,,,,
ILHEUS-BA,,,,,,,,BA,,,,"2.785,11",,,,,,,-,,,,,,"2.785,11",,,,,,"5.311,14",,,,,,,,,,,,
INHAMBUPE-BA,,,,,,,,BA,,,,"3.107,26",,,,,,,"519,39",,,,,,"3.626,65",,,,,,"7.724,66",,,,,,,,,,,,
IPECAETA-BA,,,,,,,,BA,,,,"1.601,44",,,,,,,-,,,,,,"1.601,44",,,,,,"3.053,90",,,,,,,,,,,,
