CAPELA DO ALTO ALEGRE-BA,,,,BA,,,"54,88",,,,,,-,,,,,,"54,88",,,,,,"502,30",,,,,,,,,,
CAPIM GROSSO-BA,,,,BA,,,"67,94",,,,,,-,,,,,,"67,94",,,,,,"622,17",,,,,,,,,,
CARAVELAS-BA,,,,BA,,,-,,,,,,-,,,,,,-,,,,,,"69.605,28",,,,,,,,,,
CARDEAL DA SILVA-BA,,,,BA,,,"82.876,87",,,,,,"17.810,28",,,,,,"100.687,15",,,,,,"729.283,17",,,,,,,,,,
CASTRO ALVES-BA,,,,BA,,,"70,55",,,,,,-,,,,,,"70,55",,,,,,"645,60",,,,,,,,,,
CATU-BA,,,,BA,,,"143.794,02",,,,,,"65.972,95",,,,,,"209.766,97",,,,,,"1.721.161,60",,,,,,,,,,
CICERO DANTAS-BA,,,,BA,,,"73,17",,,,,,-,,,,,,"73,17",,,,,,"669,95",,,,,,,,,,
CIPO-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,BA,,,"62,71",,,,,,-,,,,,,"62,71",,,,,,"574,40",,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,BA,,,"65,33",,,,,,-,,,,,,"65,33",,,,,,"597,87",,,,,,,,,,
CONCEICAO DO COITE-BA,,,,BA,,,"86,23",,,,,,-,,,,,,"86,23",,,,,,"790,06",,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,BA,,,"70,55",,,,,,-,,,,,,"70,55",,,,,,"645,60",,,,,,,,,,
CONDE-BA,,,,BA,,,"67,94",,,,,,-,,,,,,"67,94",,,,,,"622,17",,,,,,,,,,
CORACAO DE MARIA-BA,,,,BA,,,"67,94",,,,,,-,,,,,,"67,94",,,,,,"622,17",,,,,,,,,,
CORONEL JOAO SA-BA,,,,BA,,,"65,33",,,,,,-,,,,,,"65,33",,,,,,"597,87",,,,,,,,,,
CRAVOLANDIA-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
CRISOPOLIS-BA,,,,BA,,,"65,33",,,,,,-,,,,,,"65,33",,,,,,"597,87",,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,BA,,,"83,62",,,,,,-,,,,,,"83,62",,,,,,"765,49",,,,,,,,,,
DARIO MEIRA-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
DIAS D'AVILA-BA,,,,BA,,,"81,01",,,,,,-,,,,,,"81,01",,,,,,"741,19",,,,,,,,,,
DOM MACEDO COSTA-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
ELISIO MEDRADO-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
ENCRUZILHADA-BA,,,,BA,,,"75,78",,,,,,-,,,,,,"75,78",,,,,,"693,40",,,,,,,,,,
ENTRE RIOS-BA,,,,BA,,,"164.884,44",,,,,,"96.156,98",,,,,,"261.041,42",,,,,,"1.723.972,53",,,,,,,,,,
ESPLANADA-BA,,,,BA,,,"298.756,27",,,,,,"189.935,78",,,,,,"488.692,05",,,,,,"3.055.205,22",,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,BA,,,"83,62",,,,,,-,,,,,,"83,62",,,,,,"765,49",,,,,,,,,,
FATIMA-BA,,,,BA,,,"65,33",,,,,,-,,,,,,"65,33",,,,,,"597,87",,,,,,,,,,
FEIRA DE SANTANA-BA,,,,BA,,,"104,52",,,,,,-,,,,,,"104,52",,,,,,"956,85",,,,,,,,,,
GAVIAO-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
GLORIA-BA,,,,BA,,,"60,10",,,,,,-,,,,,,"60,10",,,,,,"550,09",,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,BA,,,"62,71",,,,,,-,,,,,,"62,71",,,,,,"574,40",,,,,,,,,,
HELIOPOLIS-BA,,,,BA,,,"57,49",,,,,,-,,,,,,"57,49",,,,,,"526,63",,,,,,,,,,
IACU-BA,,,,BA,,,"73,17",,,,,,-,,,,,,"73,17",,,,,,"669,95",,,,,,,,,,
IBIQUERA-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
ICHU-BA,,,,BA,,,"52,26",,,,,,-,,,,,,"52,26",,,,,,"477,72",,,,,,,,,,
INHAMBUPE-BA,,,,BA,,,"73,17",,,,,,-,,,,,,"73,17",,,,,,"669,95",,,,,,,,,,
IPECAETA-BA,,,,BA,,,"65,33",,,,,,-,,,,,,"65,33",,,,,,"597,87",,,,,,,,,,
IPIRA-BA,,,,BA,,,"86,23",,,,,,-,,,,,,"86,23",,,,,,"790,06",,,,,,,,,,
