AUTAZES-AM,,,AM,,,-,,,,,,,,"5.910,28",,,,,,"5.910,28",,,,,,,,"22.874,79",,,,,,,,
BERURI-AM,,,AM,,,-,,,,,,,,"1.948,49",,,,,,"1.948,49",,,,,,,,"8.157,56",,,,,,,,
CAREIRO DA VARZEA-AM,,,AM,,,-,,,,,,,,"5.910,28",,,,,,"5.910,28",,,,,,,,"22.874,79",,,,,,,,
CAREIRO-AM,,,AM,,,-,,,,,,,,"1.948,49",,,,,,"1.948,49",,,,,,,,"8.157,56",,,,,,,,
"COARI-AM
CODAJAS-AM",,,"AM
AM",,,"1.501.318,58
-",,,,,,,,"1.404.559,23
1.948,49",,,,,,"2.905.877,81
1.948,49",,,,,,,,"13.179.441,12
8.157,56",,,,,,,,
IRANDUBA-AM,,,AM,,,-,,,,,,,,"5.910,28",,,,,,"5.910,28",,,,,,,,"22.874,79",,,,,,,,
ITACOATIARA-AM,,,AM,,,-,,,,,,,,"5.910,28",,,,,,"5.910,28",,,,,,,,"22.874,79",,,,,,,,
ITAPIRANGA-AM,,,AM,,,-,,,,,,,,"5.910,28",,,,,,"5.910,28",,,,,,,,"22.874,79",,,,,,,,
MANACAPURU-AM,,,AM,,,-,,,,,,,,"1.948,49",,,,,,"1.948,49",,,,,,,,"8.157,56",,,,,,,,
MANAQUIRI -AM,,,AM,,,-,,,,,,,,"1.948,49",,,,,,"1.948,49",,,,,,,,"8.157,56",,,,,,,,
MANAUS-AM,,,AM,,,"955.881,28",,,,,,,,"78.543,15",,,,,,"1.034.424,43",,,,,,,,"4.291.367,63",,,,,,,,
PARINTINS-AM,,,AM,,,-,,,,,,,,"5.910,28",,,,,,"5.910,28",,,,,,,,"22.874,79",,,,,,,,
SILVES-AM,,,AM,,,-,,,,,,,,"5.910,28",,,,,,"5.910,28",,,,,,,,"22.874,79",,,,,,,,
"URUCARA-AM
URUCURITUBA-AM",,,"AM
AM",,,"-
-",,,,,,,,"5.910,28
5.910,28",,,,,,"5.910,28
5.910,28",,,,,,,,"22.874,79
22.874,79",,,,,,,,
AMAZONAS TOTAL,,,,,,"2.457.199,86",,,,,,,,"1.549.934,33",,,,,,"4.007.134,19",,,,,,,,"17.733.784,78",,,,,,,,
LARANJAL DO JARI-AP,,,AP,,,-,,,,,,,,"5.910,28",,,,,,"5.910,28",,,,,,,,"22.874,79",,,,,,,,
MACAPA-AP,,,AP,,,-,,,,,,,,"5.910,28",,,,,,"5.910,28",,,,,,,,"22.874,79",,,,,,,,
MAZAGAO-AP,,,AP,,,-,,,,,,,,"5.910,28",,,,,,"5.910,28",,,,,,,,"22.874,79",,,,,,,,
AMAPA TOTAL,,,,,,-,,,,,,,,"17.730,84",,,,,,"17.730,84",,,,,,,,"68.624,37",,,,,,,,
ACAJUTIBA-BA,,,BA,,,"59,62",,,,,,,,-,,,,,,"59,62",,,,,,,,"300,83",,,,,,,,
ADUSTINA-BA,,,BA,,,"59,62",,,,,,,,-,,,,,,"59,62",,,,,,,,"300,83",,,,,,,,
AGUA FRIA-BA,,,BA,,,"59,62",,,,,,,,-,,,,,,"59,62",,,,,,,,"300,83",,,,,,,,
"AIQUARA-BA
ALAGOINHAS-BA",,,"BA
BA",,,"51,84
183.207,37",,,,,,,,"-
113.936,34",,,,,,"51,84
297.143,71",,,,,,,,"261,59
1.434.187,03",,,,,,,,
