URUCURITUBA-AM,,,,AM,,,-,,,,,,,,"6.351,90",,,,,,"6.351,90",,,,,,,"16.964,51",,,,,,,,,,,,
AMAZONAS TOTAL,,,,,,,"2.867.011,67",,,,,,,,"1.928.370,79",,,,,,"4.795.382,46",,,,,,,"13.726.650,59",,,,,,,,,,,,
LARANJAL DO JARI-AP,,,,AP,,,-,,,,,,,,"6.351,90",,,,,,"6.351,90",,,,,,,"16.964,51",,,,,,,,,,,,
MACAPA-AP,,,,AP,,,-,,,,,,,,"6.351,90",,,,,,"6.351,90",,,,,,,"16.964,51",,,,,,,,,,,,
MAZAGAO-AP,,,,AP,,,-,,,,,,,,"6.351,90",,,,,,"6.351,90",,,,,,,"16.964,51",,,,,,,,,,,,
AMAPA TOTAL,,,,,,,-,,,,,,,,"19.055,70",,,,,,"19.055,70",,,,,,,"50.893,53",,,,,,,,,,,,
ACAJUTIBA-BA,,,,BA,,,"66,39",,,,,,,,-,,,,,,"66,39",,,,,,,"241,21",,,,,,,,,,,,
ADUSTINA-BA,,,,BA,,,"66,39",,,,,,,,-,,,,,,"66,39",,,,,,,"241,21",,,,,,,,,,,,
AGUA FRIA-BA,,,,BA,,,"66,39",,,,,,,,-,,,,,,"66,39",,,,,,,"241,21",,,,,,,,,,,,
AIQUARA-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
ALAGOINHAS-BA,,,,BA,,,"288.105,33",,,,,,,,"145.759,16",,,,,,"433.864,49",,,,,,,"1.137.043,32",,,,,,,,,,,,
AMARGOSA-BA,,,,BA,,,"80,83",,,,,,,,-,,,,,,"80,83",,,,,,,"293,66",,,,,,,,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,"77,94",,,,,,,,-,,,,,,"77,94",,,,,,,"283,17",,,,,,,,,,,,
ANAGE-BA,,,,BA,,,"80,83",,,,,,,,-,,,,,,"80,83",,,,,,,"293,66",,,,,,,,,,,,
ANGUERA-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
ANTAS-BA,,,,BA,,,"66,39",,,,,,,,-,,,,,,"66,39",,,,,,,"241,21",,,,,,,,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,"60,62",,,,,,,,-,,,,,,"60,62",,,,,,,"220,24",,,,,,,,,,,,
APORA-BA,,,,BA,,,"69,28",,,,,,,,-,,,,,,"69,28",,,,,,,"251,70",,,,,,,,,,,,
APUAREMA-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
ARACAS-BA,,,,BA,,,"240.206,58",,,,,,,,"106.808,17",,,,,,"347.014,75",,,,,,,"1.006.587,09",,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARACI-BA,,,,BA,,,"89,49",,,,,,,,-,,,,,,"89,49",,,,,,,"325,12",,,,,,,,,,,,
ARAMARI -BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
ARATUIPE-BA,,,,BA,,,"57,73",,,,,,,,-,,,,,,"57,73",,,,,,,"209,75",,,,,,,,,,,,
BAIXA GRANDE-BA,,,,BA,,,"75,05",,,,,,,,-,,,,,,"75,05",,,,,,,"272,67",,,,,,,,,,,,
BANZAE-BA,,,,BA,,,"60,62",,,,,,,,-,,,,,,"60,62",,,,,,,"220,24",,,,,,,,,,,,
BARRA DO CHOCA-BA,,,,BA,,,"89,49",,,,,,,,-,,,,,,"89,49",,,,,,,"325,12",,,,,,,,,,,,
BARROCAS-BA,,,,BA,,,"63,51",,,,,,,,-,,,,,,"63,51",,,,,,,"230,73",,,,,,,,,,,,
