APORA-BA,,,BA,,,,"92,72",,,,,,,,-,,,,,,"92,72",,,,,"182,42",,,,,,,
APUAREMA-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
ARACAS-BA,,,BA,,,,"228.689,22",,,,,,,,"105.889,16",,,,,,"334.578,38",,,,,"659.572,34",,,,,,,
ARACI-BA,,,BA,,,,"119,77",,,,,,,,-,,,,,,"119,77",,,,,"235,63",,,,,,,
ARAMARI-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
ARATUIPE-BA,,,BA,,,,"77,27",,,,,,,,-,,,,,,"77,27",,,,,"152,02",,,,,,,
BAIXA GRANDE-BA,,,BA,,,,"100,45",,,,,,,,-,,,,,,"100,45",,,,,"197,62",,,,,,,
BANZAE-BA,,,BA,,,,"81,13",,,,,,,,-,,,,,,"81,13",,,,,"159,62",,,,,,,
BARRA DO CHOCA-BA,,,BA,,,,"119,77",,,,,,,,-,,,,,,"119,77",,,,,"235,63",,,,,,,
BARROCAS-BA,,,BA,,,,"85,00",,,,,,,,-,,,,,,"85,00",,,,,"167,22",,,,,,,
BELO CAMPO-BA,,,BA,,,,"92,72",,,,,,,,-,,,,,,"92,72",,,,,"182,42",,,,,,,
BIRITINGA-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
BOA NOVA-BA,,,BA,,,,"100,45",,,,,,,,-,,,,,,"100,45",,,,,"197,62",,,,,,,
BOA VISTA DO TUPIM-BA,,,BA,,,,"96,59",,,,,,,,-,,,,,,"96,59",,,,,"190,03",,,,,,,
BOM JESUS DA SERRA-BA,,,BA,,,,"81,13",,,,,,,,-,,,,,,"81,13",,,,,"159,62",,,,,,,
BREJOES-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
CAATIBA-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,BA,,,,"88,86",,,,,,,,-,,,,,,"88,86",,,,,"174,82",,,,,,,
CACHOEIRA-BA,,,BA,,,,"108,18",,,,,,,,-,,,,,,"108,18",,,,,"212,83",,,,,,,
CAEM-BA,,,BA,,,,"85,00",,,,,,,,-,,,,,,"85,00",,,,,"167,22",,,,,,,
CAETANOS-BA,,,BA,,,,"85,00",,,,,,,,-,,,,,,"85,00",,,,,"167,22",,,,,,,
CAMACARI -BA,,,BA,,,,"464,19",,,,,,,,"176,50",,,,,,"640,69",,,,,"905,03",,,,,,,
CANDEAL-BA,,,BA,,,,"81,13",,,,,,,,-,,,,,,"81,13",,,,,"159,62",,,,,,,
