BARRA DO CHOCA,,,,BA,,,,,"115,12",,,,,,,-,,,,,,,"115,12",,,,,,,,,"343,61",,,,,,,,,,,
BARROCAS,,,,BA,,,,,"81,70",,,,,,,-,,,,,,,"81,70",,,,,,,,,"243,85",,,,,,,,,,,
BELO CAMPO,,,,BA,,,,,"89,12",,,,,,,-,,,,,,,"89,12",,,,,,,,,"266,01",,,,,,,,,,,
BIRITINGA,,,,BA,,,,,"85,41",,,,,,,-,,,,,,,"85,41",,,,,,,,,"254,93",,,,,,,,,,,
BOA NOVA,,,,BA,,,,,"96,55",,,,,,,-,,,,,,,"96,55",,,,,,,,,"288,18",,,,,,,,,,,
BOA VISTA DO TUPIM,,,,BA,,,,,"92,84",,,,,,,-,,,,,,,"92,84",,,,,,,,,"277,11",,,,,,,,,,,
BOM JESUS DA SERRA,,,,BA,,,,,"77,98",,,,,,,-,,,,,,,"77,98",,,,,,,,,"232,76",,,,,,,,,,,
BREJOES,,,,BA,,,,,"85,41",,,,,,,-,,,,,,,"85,41",,,,,,,,,"254,93",,,,,,,,,,,
CAATIBA,,,,BA,,,,,"85,41",,,,,,,-,,,,,,,"85,41",,,,,,,,,"254,93",,,,,,,,,,,
CABACEIRAS DO PARAGUACU,,,,BA,,,,,"85,41",,,,,,,-,,,,,,,"85,41",,,,,,,,,"254,93",,,,,,,,,,,
CACHOEIRA,,,,BA,,,,,"103,98",,,,,,,-,,,,,,,"103,98",,,,,,,,,"310,35",,,,,,,,,,,
CAEM,,,,BA,,,,,"81,70",,,,,,,-,,,,,,,"81,70",,,,,,,,,"243,85",,,,,,,,,,,
CAETANOS,,,,BA,,,,,"81,70",,,,,,,-,,,,,,,"81,70",,,,,,,,,"243,85",,,,,,,,,,,
CAMACARI,,,,BA,,,,,"916,16",,,,,,,"322,40",,,,,,,"1.238,56",,,,,,,,,"2.244,97",,,,,,,,,,,
CANDEAL,,,,BA,,,,,"77,98",,,,,,,-,,,,,,,"77,98",,,,,,,,,"232,76",,,,,,,,,,,
CANDEIAS,,,,BA,,,,,"191.846,40",,,,,,,"210.243,22",,,,,,,"402.089,62",,,,,,,,,"1.131.674,36",,,,,,,,,,,
CANDIDO SALES,,,,BA,,,,,"103,98",,,,,,,-,,,,,,,"103,98",,,,,,,,,"310,35",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANSANCAO,,,,BA,,,,,"103,98",,,,,,,-,,,,,,,"103,98",,,,,,,,,"310,35",,,,,,,,,,,
CANUDOS,,,,BA,,,,,"81,70",,,,,,,-,,,,,,,"81,70",,,,,,,,,"243,85",,,,,,,,,,,
CAPELA DO ALTO ALEGRE,,,,BA,,,,,"77,98",,,,,,,-,,,,,,,"77,98",,,,,,,,,"232,76",,,,,,,,,,,
CAPIM GROSSO,,,,BA,,,,,"96,55",,,,,,,-,,,,,,,"96,55",,,,,,,,,"288,18",,,,,,,,,,,
CARDEAL DA SILVA,,,,BA,,,,,"30.817,75",,,,,,,"19.847,91",,,,,,,"50.665,66",,,,,,,,,"266.343,74",,,,,,,,,,,
CASTRO ALVES,,,,BA,,,,,"100,26",,,,,,,-,,,,,,,"100,26",,,,,,,,,"299,27",,,,,,,,,,,
CATU,,,,BA,,,,,"170.460,79",,,,,,,"88.636,79",,,,,,,"259.097,58",,,,,,,,,"794.943,53",,,,,,,,,,,
CICERO DANTAS,,,,BA,,,,,"103,98",,,,,,,-,,,,,,,"103,98",,,,,,,,,"310,35",,,,,,,,,,,
CIPO,,,,BA,,,,,"85,41",,,,,,,-,,,,,,,"85,41",,,,,,,,,"254,93",,,,,,,,,,,
CONCEICAO DA FEIRA,,,,BA,,,,,"89,12",,,,,,,-,,,,,,,"89,12",,,,,,,,,"266,01",,,,,,,,,,,
CONCEICAO DO ALMEIDA,,,,BA,,,,,"92,84",,,,,,,-,,,,,,,"92,84",,,,,,,,,"277,11",,,,,,,,,,,
CONCEICAO DO COITE,,,,BA,,,,,"122,55",,,,,,,-,,,,,,,"122,55",,,,,,,,,"365,78",,,,,,,,,,,
CONCEICAO DO JACUIPE,,,,BA,,,,,"100,26",,,,,,,-,,,,,,,"100,26",,,,,,,,,"299,27",,,,,,,,,,,
CONDE,,,,BA,,,,,"664,39",,,,,,,"366,26",,,,,,,"1.030,65",,,,,,,,,"3.099,33",,,,,,,,,,,
CORACAO DE MARIA,,,,BA,,,,,"96,55",,,,,,,-,,,,,,,"96,55",,,,,,,,,"288,18",,,,,,,,,,,
CORONEL JOAO SA,,,,BA,,,,,"92,84",,,,,,,-,,,,,,,"92,84",,,,,,,,,"277,11",,,,,,,,,,,
CRAVOLANDIA,,,,BA,,,,,"74,27",,,,,,,-,,,,,,,"74,27",,,,,,,,,"221,68",,,,,,,,,,,
CRISOPOLIS,,,,BA,,,,,"92,84",,,,,,,-,,,,,,,"92,84",,,,,,,,,"277,11",,,,,,,,,,,
CRUZ DAS ALMAS,,,,BA,,,,,"118,83",,,,,,,-,,,,,,,"118,83",,,,,,,,,"354,69",,,,,,,,,,,
DARIO MEIRA,,,,BA,,,,,"85,41",,,,,,,-,,,,,,,"85,41",,,,,,,,,"254,93",,,,,,,,,,,
DIAS D'AVILA,,,,BA,,,,,"1.326,61",,,,,,,"508,82",,,,,,,"1.835,43",,,,,,,,,"4.320,07",,,,,,,,,,,
DOM MACEDO COSTA,,,,BA,,,,,"74,27",,,,,,,-,,,,,,,"74,27",,,,,,,,,"221,68",,,,,,,,,,,
ELISIO MEDRADO,,,,BA,,,,,"74,27",,,,,,,-,,,,,,,"74,27",,,,,,,,,"221,68",,,,,,,,,,,
ENCRUZILHADA,,,,BA,,,,,"107,69",,,,,,,-,,,,,,,"107,69",,,,,,,,,"321,44",,,,,,,,,,,
ENTRE RIOS,,,,BA,,,,,"171.776,44",,,,,,,"102.882,20",,,,,,,"274.658,64",,,,,,,,,"823.946,37",,,,,,,,,,,
ESPLANADA,,,,BA,,,,,"305.920,19",,,,,,,"182.366,33",,,,,,,"488.286,52",,,,,,,,,"1.422.551,40",,,,,,,,,,,
EUCLIDES DA CUNHA,,,,BA,,,,,"118,83",,,,,,,-,,,,,,,"118,83",,,,,,,,,"354,69",,,,,,,,,,,
FATIMA,,,,BA,,,,,"92,84",,,,,,,-,,,,,,,"92,84",,,,,,,,,"277,11",,,,,,,,,,,
FEIRA DE SANTANA,,,,BA,,,,,"148,54",,,,,,,-,,,,,,,"148,54",,,,,,,,,"443,37",,,,,,,,,,,
GAVIAO,,,,BA,,,,,"74,27",,,,,,,-,,,,,,,"74,27",,,,,,,,,"221,68",,,,,,,,,,,
GLORIA,,,,BA,,,,,"85,41",,,,,,,-,,,,,,,"85,41",,,,,,,,,"254,93",,,,,,,,,,,
GOVERNADOR MANGABEIRA,,,,BA,,,,,"89,12",,,,,,,-,,,,,,,"89,12",,,,,,,,,"266,01",,,,,,,,,,,
HELIOPOLIS,,,,BA,,,,,"81,70",,,,,,,-,,,,,,,"81,70",,,,,,,,,"243,85",,,,,,,,,,,
IACU,,,,BA,,,,,"103,98",,,,,,,-,,,,,,,"103,98",,,,,,,,,"310,35",,,,,,,,,,,
IBIQUERA,,,,BA,,,,,"74,27",,,,,,,-,,,,,,,"74,27",,,,,,,,,"221,68",,,,,,,,,,,
ICHU,,,,BA,,,,,"74,27",,,,,,,-,,,,,,,"74,27",,,,,,,,,"221,68",,,,,,,,,,,
INHAMBUPE,,,,BA,,,,,"103,98",,,,,,,-,,,,,,,"103,98",,,,,,,,,"310,35",,,,,,,,,,,
IPECAETA,,,,BA,,,,,"92,84",,,,,,,-,,,,,,,"92,84",,,,,,,,,"277,11",,,,,,,,,,,
IPIRA,,,,BA,,,,,"122,55",,,,,,,-,,,,,,,"122,55",,,,,,,,,"365,78",,,,,,,,,,,
IRAJUBA,,,,BA,,,,,"74,27",,,,,,,-,,,,,,,"74,27",,,,,,,,,"221,68",,,,,,,,,,,
IRARA,,,,BA,,,,,"100,26",,,,,,,-,,,,,,,"100,26",,,,,,,,,"299,27",,,,,,,,,,,
ITABERABA,,,,BA,,,,,"122,55",,,,,,,-,,,,,,,"122,55",,,,,,,,,"365,78",,,,,,,,,,,
ITAGI,,,,BA,,,,,"85,41",,,,,,,-,,,,,,,"85,41",,,,,,,,,"254,93",,,,,,,,,,,
ITAMBE,,,,BA,,,,,"103,98",,,,,,,-,,,,,,,"103,98",,,,,,,,,"310,35",,,,,,,,,,,
ITANAGRA,,,,BA,,,,,"77.523,06",,,,,,,"12.953,39",,,,,,,"90.476,45",,,,,,,,,"261.321,37",,,,,,,,,,,
ITAPARICA,,,,BA,,,,,"2.571,42",,,,,,,"106.050,06",,,,,,,"108.621,48",,,,,,,,,"284.491,42",,,,,,,,,,,
ITAPETINGA,,,,BA,,,,,"122,55",,,,,,,-,,,,,,,"122,55",,,,,,,,,"365,78",,,,,,,,,,,
ITAPICURU,,,,BA,,,,,"100,26",,,,,,,-,,,,,,,"100,26",,,,,,,,,"299,27",,,,,,,,,,,
ITAQUARA,,,,BA,,,,,"74,27",,,,,,,-,,,,,,,"74,27",,,,,,,,,"221,68",,,,,,,,,,,
ITARANTIM,,,,BA,,,,,"85,41",,,,,,,-,,,,,,,"85,41",,,,,,,,,"254,93",,,,,,,,,,,
ITATIM,,,,BA,,,,,"81,70",,,,,,,-,,,,,,,"81,70",,,,,,,,,"243,85",,,,,,,,,,,
ITIRUCU,,,,BA,,,,,"81,70",,,,,,,-,,,,,,,"81,70",,,,,,,,,"243,85",,,,,,,,,,,
ITIUBA,,,,BA,,,,,"107,69",,,,,,,-,,,,,,,"107,69",,,,,,,,,"321,44",,,,,,,,,,,
JACOBINA,,,,BA,,,,,"129,97",,,,,,,-,,,,,,,"129,97",,,,,,,,,"387,95",,,,,,,,,,,
JAGUAQUARA,,,,BA,,,,,"115,12",,,,,,,-,,,,,,,"115,12",,,,,,,,,"343,61",,,,,,,,,,,
JAGUARIPE,,,,BA,,,,,"81,70",,,,,,,-,,,,,,,"81,70",,,,,,,,,"243,85",,,,,,,,,,,
JANDAIRA,,,,BA,,,,,"77,98",,,,,,,-,,,,,,,"77,98",,,,,,,,,"232,76",,,,,,,,,,,
JEQUIE,,,,BA,,,,,"148,54",,,,,,,-,,,,,,,"148,54",,,,,,,,,"443,37",,,,,,,,,,,
JEREMOABO,,,,BA,,,,,"107,69",,,,,,,-,,,,,,,"107,69",,,,,,,,,"321,44",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIQUIRICA,,,,BA,,,,,"81,70",,,,,,,-,,,,,,,"81,70",,,,,,,,,"243,85",,,,,,,,,,,
JITAUNA,,,,BA,,,,,"96,55",,,,,,,-,,,,,,,"96,55",,,,,,,,,"288,18",,,,,,,,,,,
