ARATUIPE-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
BAIXA GRANDE-BA,,,,BA,,,"87,56",,,,,-,,,,,,"87,56",,,,,"87,56",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANZAE-BA,,,,BA,,,"70,72",,,,,-,,,,,,"70,72",,,,,"70,72",,,,,,,,,,,
BARRA DO CHOCA-BA,,,,BA,,,"104,39",,,,,-,,,,,,"104,39",,,,,"104,39",,,,,,,,,,,
BARROCAS-BA,,,,BA,,,"74,09",,,,,-,,,,,,"74,09",,,,,"74,09",,,,,,,,,,,
BELO CAMPO-BA,,,,BA,,,"80,82",,,,,-,,,,,,"80,82",,,,,"80,82",,,,,,,,,,,
BIRITINGA-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
BOA NOVA-BA,,,,BA,,,"87,56",,,,,-,,,,,,"87,56",,,,,"87,56",,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,BA,,,"84,19",,,,,-,,,,,,"84,19",,,,,"84,19",,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,BA,,,"70,72",,,,,-,,,,,,"70,72",,,,,"70,72",,,,,,,,,,,
BREJOES-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
CAATIBA-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
CACHOEIRA-BA,,,,BA,,,"94,29",,,,,-,,,,,,"94,29",,,,,"94,29",,,,,,,,,,,
CAEM-BA,,,,BA,,,"74,09",,,,,-,,,,,,"74,09",,,,,"74,09",,,,,,,,,,,
CAETANOS-BA,,,,BA,,,"74,09",,,,,-,,,,,,"74,09",,,,,"74,09",,,,,,,,,,,
CAMACARI-BA,,,,BA,,,"134,70",,,,,-,,,,,,"134,70",,,,,"134,70",,,,,,,,,,,
CANDEAL-BA,,,,BA,,,"70,72",,,,,-,,,,,,"70,72",,,,,"70,72",,,,,,,,,,,
CANDEIAS-BA,,,,BA,,,"208.317,18",,,,,"224.252,05",,,,,,"432.569,23",,,,,"432.569,23",,,,,,,,,,,
CANDIDO SALES-BA,,,,BA,,,"94,29",,,,,-,,,,,,"94,29",,,,,"94,29",,,,,,,,,,,
CANSANCAO-BA,,,,BA,,,"94,29",,,,,-,,,,,,"94,29",,,,,"94,29",,,,,,,,,,,
CANUDOS-BA,,,,BA,,,"74,09",,,,,-,,,,,,"74,09",,,,,"74,09",,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,BA,,,"70,72",,,,,-,,,,,,"70,72",,,,,"70,72",,,,,,,,,,,
CAPIM GROSSO-BA,,,,BA,,,"87,56",,,,,-,,,,,,"87,56",,,,,"87,56",,,,,,,,,,,
CARDEAL DA SILVA-BA,,,,BA,,,"64.768,62",,,,,"41.732,32",,,,,,"106.500,94",,,,,"106.500,94",,,,,,,,,,,
CASTRO ALVES-BA,,,,BA,,,"90,92",,,,,-,,,,,,"90,92",,,,,"90,92",,,,,,,,,,,
CATU-BA,,,,BA,,,"208.168,82",,,,,"101.669,74",,,,,,"309.838,56",,,,,"309.838,56",,,,,,,,,,,
CICERO DANTAS-BA,,,,BA,,,"94,29",,,,,-,,,,,,"94,29",,,,,"94,29",,,,,,,,,,,
CIPO-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,BA,,,"80,82",,,,,-,,,,,,"80,82",,,,,"80,82",,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,BA,,,"84,19",,,,,-,,,,,,"84,19",,,,,"84,19",,,,,,,,,,,
CONCEICAO DO COITE-BA,,,,BA,,,"111,13",,,,,-,,,,,,"111,13",,,,,"111,13",,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,BA,,,"90,92",,,,,-,,,,,,"90,92",,,,,"90,92",,,,,,,,,,,
CONDE-BA,,,,BA,,,"122,43",,,,,"22,49",,,,,,"144,92",,,,,"144,92",,,,,,,,,,,
CORACAO DE MARIA-BA,,,,BA,,,"87,56",,,,,-,,,,,,"87,56",,,,,"87,56",,,,,,,,,,,
CORONEL JOAO SA-BA,,,,BA,,,"84,19",,,,,-,,,,,,"84,19",,,,,"84,19",,,,,,,,,,,
CRAVOLANDIA-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
CRISOPOLIS-BA,,,,BA,,,"84,19",,,,,-,,,,,,"84,19",,,,,"84,19",,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,BA,,,"107,76",,,,,-,,,,,,"107,76",,,,,"107,76",,,,,,,,,,,
DARIO MEIRA-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
DIAS D'AVILA-BA,,,,BA,,,"122,24",,,,,"7,50",,,,,,"129,74",,,,,"129,74",,,,,,,,,,,
DOM MACEDO COSTA-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
ELISIO MEDRADO-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
ENCRUZILHADA-BA,,,,BA,,,"97,66",,,,,-,,,,,,"97,66",,,,,"97,66",,,,,,,,,,,
ENTRE RIOS-BA,,,,BA,,,"218.131,03",,,,,"132.242,64",,,,,,"350.373,67",,,,,"350.373,67",,,,,,,,,,,
ESPLANADA-BA,,,,BA,,,"423.369,74",,,,,"257.429,30",,,,,,"680.799,04",,,,,"680.799,04",,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,BA,,,"107,76",,,,,-,,,,,,"107,76",,,,,"107,76",,,,,,,,,,,
FATIMA-BA,,,,BA,,,"84,19",,,,,-,,,,,,"84,19",,,,,"84,19",,,,,,,,,,,
FEIRA DE SANTANA-BA,,,,BA,,,"134,70",,,,,-,,,,,,"134,70",,,,,"134,70",,,,,,,,,,,
GAVIAO-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
GLORIA-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,BA,,,"80,82",,,,,-,,,,,,"80,82",,,,,"80,82",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELIOPOLIS-BA,,,,BA,,,"74,09",,,,,-,,,,,,"74,09",,,,,"74,09",,,,,,,,,,,
IACU-BA,,,,BA,,,"94,29",,,,,-,,,,,,"94,29",,,,,"94,29",,,,,,,,,,,
IBIQUERA-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
ICHU-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
INHAMBUPE-BA,,,,BA,,,"94,29",,,,,-,,,,,,"94,29",,,,,"94,29",,,,,,,,,,,
IPECAETA-BA,,,,BA,,,"84,19",,,,,-,,,,,,"84,19",,,,,"84,19",,,,,,,,,,,
IPIRA-BA,,,,BA,,,"111,13",,,,,-,,,,,,"111,13",,,,,"111,13",,,,,,,,,,,
IRAJUBA-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
IRARA-BA,,,,BA,,,"90,92",,,,,-,,,,,,"90,92",,,,,"90,92",,,,,,,,,,,
ITABERABA-BA,,,,BA,,,"111,13",,,,,-,,,,,,"111,13",,,,,"111,13",,,,,,,,,,,
ITAGI-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
ITAMBE-BA,,,,BA,,,"94,29",,,,,-,,,,,,"94,29",,,,,"94,29",,,,,,,,,,,
ITANAGRA-BA,,,,BA,,,"85.644,32",,,,,"8.688,94",,,,,,"94.333,26",,,,,"94.333,26",,,,,,,,,,,
ITAPARICA-BA,,,,BA,,,"2.329,89",,,,,"114.605,60",,,,,,"116.935,49",,,,,"116.935,49",,,,,,,,,,,
ITAPETINGA-BA,,,,BA,,,"111,13",,,,,-,,,,,,"111,13",,,,,"111,13",,,,,,,,,,,
ITAPICURU-BA,,,,BA,,,"90,92",,,,,-,,,,,,"90,92",,,,,"90,92",,,,,,,,,,,
ITAQUARA-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
ITARANTIM-BA,,,,BA,,,"80,82",,,,,-,,,,,,"80,82",,,,,"80,82",,,,,,,,,,,
ITATIM-BA,,,,BA,,,"74,09",,,,,-,,,,,,"74,09",,,,,"74,09",,,,,,,,,,,
ITIRUCU-BA,,,,BA,,,"74,09",,,,,-,,,,,,"74,09",,,,,"74,09",,,,,,,,,,,
ITIUBA-BA,,,,BA,,,"97,66",,,,,-,,,,,,"97,66",,,,,"97,66",,,,,,,,,,,
JACOBINA-BA,,,,BA,,,"117,87",,,,,-,,,,,,"117,87",,,,,"117,87",,,,,,,,,,,
JAGUAQUARA-BA,,,,BA,,,"104,39",,,,,-,,,,,,"104,39",,,,,"104,39",,,,,,,,,,,
JAGUARIPE-BA,,,,BA,,,"74,09",,,,,-,,,,,,"74,09",,,,,"74,09",,,,,,,,,,,
JANDAIRA-BA,,,,BA,,,"70,72",,,,,-,,,,,,"70,72",,,,,"70,72",,,,,,,,,,,
JEQUIE-BA,,,,BA,,,"134,70",,,,,-,,,,,,"134,70",,,,,"134,70",,,,,,,,,,,
JEREMOABO-BA,,,,BA,,,"97,66",,,,,-,,,,,,"97,66",,,,,"97,66",,,,,,,,,,,
JIQUIRICA-BA,,,,BA,,,"74,09",,,,,-,,,,,,"74,09",,,,,"74,09",,,,,,,,,,,
JITAUNA-BA,,,,BA,,,"87,56",,,,,-,,,,,,"87,56",,,,,"87,56",,,,,,,,,,,
LAFAIETE COUTINHO-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
LAJE-BA,,,,BA,,,"84,19",,,,,-,,,,,,"84,19",,,,,"84,19",,,,,,,,,,,
LAJEDINHO-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
LAMARAO-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
LAURO DE FREITAS-BA,,,,BA,,,"127,97",,,,,-,,,,,,"127,97",,,,,"127,97",,,,,,,,,,,
MACAJUBA-BA,,,,BA,,,"70,72",,,,,-,,,,,,"70,72",,,,,"70,72",,,,,,,,,,,
MACARANI-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
MADRE DE DEUS-BA,,,,BA,,,"1.013.286,27",,,,,"524.091,51",,,,,,"1.537.377,78",,,,,"1.537.377,78",,,,,,,,,,,
MAIQUINIQUE-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
MAIRI-BA,,,,BA,,,"87,56",,,,,-,,,,,,"87,56",,,,,"87,56",,,,,,,,,,,
MANOEL VITORINO-BA,,,,BA,,,"80,82",,,,,-,,,,,,"80,82",,,,,"80,82",,,,,,,,,,,
MARACAS-BA,,,,BA,,,"94,29",,,,,-,,,,,,"94,29",,,,,"94,29",,,,,,,,,,,
MARAGOGIPE-BA,,,,BA,,,"104,39",,,,,-,,,,,,"104,39",,,,,"104,39",,,,,,,,,,,
MARCIONILIO SOUZA-BA,,,,BA,,,"70,72",,,,,-,,,,,,"70,72",,,,,"70,72",,,,,,,,,,,
MATA DE SAO JOAO-BA,,,,BA,,,"162.393,42",,,,,"66.454,77",,,,,,"228.848,19",,,,,"228.848,19",,,,,,,,,,,
MIGUEL CALMON-BA,,,,BA,,,"94,29",,,,,-,,,,,,"94,29",,,,,"94,29",,,,,,,,,,,
MILAGRES-BA,,,,BA,,,"74,09",,,,,-,,,,,,"74,09",,,,,"74,09",,,,,,,,,,,
MIRANTE-BA,,,,BA,,,"74,09",,,,,-,,,,,,"74,09",,,,,"74,09",,,,,,,,,,,
MONTE SANTO-BA,,,,BA,,,"107,76",,,,,-,,,,,,"107,76",,,,,"107,76",,,,,,,,,,,
MUNDO NOVO-BA,,,,BA,,,"87,56",,,,,-,,,,,,"87,56",,,,,"87,56",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNIZ FERREIRA-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
MURITIBA-BA,,,,BA,,,"94,29",,,,,-,,,,,,"94,29",,,,,"94,29",,,,,,,,,,,
MUTUIPE-BA,,,,BA,,,"87,56",,,,,-,,,,,,"87,56",,,,,"87,56",,,,,,,,,,,
NAZARE-BA,,,,BA,,,"90,92",,,,,-,,,,,,"90,92",,,,,"90,92",,,,,,,,,,,
NORDESTINA-BA,,,,BA,,,"70,72",,,,,-,,,,,,"70,72",,,,,"70,72",,,,,,,,,,,
NOVA CANAA-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
NOVA FATIMA-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
NOVA ITARANA-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
NOVA SOURE-BA,,,,BA,,,"90,92",,,,,-,,,,,,"90,92",,,,,"90,92",,,,,,,,,,,
NOVO TRIUNFO-BA,,,,BA,,,"74,09",,,,,-,,,,,,"74,09",,,,,"74,09",,,,,,,,,,,
OLINDINA-BA,,,,BA,,,"87,56",,,,,-,,,,,,"87,56",,,,,"87,56",,,,,,,,,,,
OURICANGAS-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
OUROLANDIA-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
PARIPIRANGA-BA,,,,BA,,,"90,92",,,,,-,,,,,,"90,92",,,,,"90,92",,,,,,,,,,,
PAULO AFONSO-BA,,,,BA,,,"124,60",,,,,-,,,,,,"124,60",,,,,"124,60",,,,,,,,,,,
PE DE SERRA-BA,,,,BA,,,"74,09",,,,,-,,,,,,"74,09",,,,,"74,09",,,,,,,,,,,
PEDRAO-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
PEDRO ALEXANDRE-BA,,,,BA,,,"80,82",,,,,-,,,,,,"80,82",,,,,"80,82",,,,,,,,,,,
PINTADAS-BA,,,,BA,,,"70,72",,,,,-,,,,,,"70,72",,,,,"70,72",,,,,,,,,,,
PIRITIBA-BA,,,,BA,,,"84,19",,,,,-,,,,,,"84,19",,,,,"84,19",,,,,,,,,,,
PLANALTINO-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
PLANALTO-BA,,,,BA,,,"87,56",,,,,-,,,,,,"87,56",,,,,"87,56",,,,,,,,,,,
POCOES-BA,,,,BA,,,"104,39",,,,,-,,,,,,"104,39",,,,,"104,39",,,,,,,,,,,
