ANAGE,,,BA,,,,,,"85,98",,,,,,-,,,,,,,"85,98",,,,,,,"685,35",,,,,,,,
ANGUERA,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
ANTAS,,,BA,,,,,,"70,62",,,,,,-,,,,,,,"70,62",,,,,,,"535,64",,,,,,,,
ANTONIO CARDOSO,,,BA,,,,,,"64,48",,,,,,-,,,,,,,"64,48",,,,,,,"489,06",,,,,,,,
APORA,,,BA,,,,,,"73,69",,,,,,-,,,,,,,"73,69",,,,,,,"558,92",,,,,,,,
APUAREMA,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
ARACAS,,,BA,,,,,,"219.078,54",,,,,,"95.167,56",,,,,,,"314.246,10",,,,,,,"1.891.290,86",,,,,,,,
ARACI,,,BA,,,,,,"95,19",,,,,,-,,,,,,,"95,19",,,,,,,"721,97",,,,,,,,
ARAMARI,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
ARATUIPE,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
BAIXA GRANDE,,,BA,,,,,,"79,84",,,,,,-,,,,,,,"79,84",,,,,,,"605,51",,,,,,,,
BANZAE,,,BA,,,,,,"64,48",,,,,,-,,,,,,,"64,48",,,,,,,"489,06",,,,,,,,
BARRA DO CHOCA,,,BA,,,,,,"95,19",,,,,,-,,,,,,,"95,19",,,,,,,"721,97",,,,,,,,
BARROCAS,,,BA,,,,,,"67,55",,,,,,-,,,,,,,"67,55",,,,,,,"512,35",,,,,,,,
BELO CAMPO,,,BA,,,,,,"73,69",,,,,,-,,,,,,,"73,69",,,,,,,"558,92",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRITINGA,,,BA,,,,,,"70,62",,,,,,-,,,,,,,"70,62",,,,,,,"535,64",,,,,,,,
BOA NOVA,,,BA,,,,,,"79,84",,,,,,-,,,,,,,"79,84",,,,,,,"605,51",,,,,,,,
BOA VISTA DO TUPIM,,,BA,,,,,,"76,76",,,,,,-,,,,,,,"76,76",,,,,,,"582,22",,,,,,,,
BOM JESUS DA SERRA,,,BA,,,,,,"64,48",,,,,,-,,,,,,,"64,48",,,,,,,"489,06",,,,,,,,
BREJOES,,,BA,,,,,,"70,62",,,,,,-,,,,,,,"70,62",,,,,,,"535,64",,,,,,,,
CAATIBA,,,BA,,,,,,"70,62",,,,,,-,,,,,,,"70,62",,,,,,,"535,64",,,,,,,,
CABACEIRAS DO PARAGUACU,,,BA,,,,,,"70,62",,,,,,-,,,,,,,"70,62",,,,,,,"535,64",,,,,,,,
CACHOEIRA,,,BA,,,,,,"85,98",,,,,,-,,,,,,,"85,98",,,,,,,"652,09",,,,,,,,
CAEM,,,BA,,,,,,"67,55",,,,,,-,,,,,,,"67,55",,,,,,,"512,35",,,,,,,,
CAETANOS,,,BA,,,,,,"67,55",,,,,,-,,,,,,,"67,55",,,,,,,"512,35",,,,,,,,
CAMACARI,,,BA,,,,,,"122,83",,,,,,-,,,,,,,"122,83",,,,,,,"2.733,17",,,,,,,,
CANDEAL,,,BA,,,,,,"64,48",,,,,,-,,,,,,,"64,48",,,,,,,"489,06",,,,,,,,
CANDEIAS,,,BA,,,,,,"205.815,03",,,,,,"266.183,55",,,,,,,"471.998,58",,,,,,,"2.653.728,13",,,,,,,,
CANDIDO SALES,,,BA,,,,,,"85,98",,,,,,-,,,,,,,"85,98",,,,,,,"652,09",,,,,,,,
CANSANCAO,,,BA,,,,,,"85,98",,,,,,-,,,,,,,"85,98",,,,,,,"652,09",,,,,,,,
CANUDOS,,,BA,,,,,,"67,55",,,,,,-,,,,,,,"67,55",,,,,,,"512,35",,,,,,,,
CAPELA DO ALTO ALEGRE,,,BA,,,,,,"64,48",,,,,,-,,,,,,,"64,48",,,,,,,"489,06",,,,,,,,
CAPIM GROSSO,,,BA,,,,,,"79,84",,,,,,-,,,,,,,"79,84",,,,,,,"605,51",,,,,,,,
CARDEAL DA SILVA,,,BA,,,,,,"54.139,66",,,,,,"34.880,47",,,,,,,"89.020,13",,,,,,,"523.528,27",,,,,,,,
CASTRO ALVES,,,BA,,,,,,"82,91",,,,,,-,,,,,,,"82,91",,,,,,,"628,80",,,,,,,,
CATU,,,BA,,,,,,"197.421,59",,,,,,"97.562,69",,,,,,,"294.984,28",,,,,,,"1.834.456,28",,,,,,,,
CICERO DANTAS,,,BA,,,,,,"85,98",,,,,,-,,,,,,,"85,98",,,,,,,"652,09",,,,,,,,
CIPO,,,BA,,,,,,"70,62",,,,,,-,,,,,,,"70,62",,,,,,,"535,64",,,,,,,,
CONCEICAO DA FEIRA,,,BA,,,,,,"73,69",,,,,,-,,,,,,,"73,69",,,,,,,"558,92",,,,,,,,
CONCEICAO DO ALMEIDA,,,BA,,,,,,"76,76",,,,,,-,,,,,,,"76,76",,,,,,,"582,22",,,,,,,,
CONCEICAO DO COITE,,,BA,,,,,,"101,33",,,,,,-,,,,,,,"101,33",,,,,,,"768,54",,,,,,,,
CONCEICAO DO JACUIPE,,,BA,,,,,,"82,91",,,,,,-,,,,,,,"82,91",,,,,,,"628,80",,,,,,,,
CONDE,,,BA,,,,,,"133,21",,,,,,"34,42",,,,,,,"167,63",,,,,,,"5.478,64",,,,,,,,
CORACAO DE MARIA,,,BA,,,,,,"79,84",,,,,,-,,,,,,,"79,84",,,,,,,"605,51",,,,,,,,
CORONEL JOAO SA,,,BA,,,,,,"76,76",,,,,,-,,,,,,,"76,76",,,,,,,"582,22",,,,,,,,
CRAVOLANDIA,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
CRISOPOLIS,,,BA,,,,,,"76,76",,,,,,-,,,,,,,"76,76",,,,,,,"582,22",,,,,,,,
CRUZ DAS ALMAS,,,BA,,,,,,"98,26",,,,,,-,,,,,,,"98,26",,,,,,,"745,24",,,,,,,,
DARIO MEIRA,,,BA,,,,,,"70,62",,,,,,-,,,,,,,"70,62",,,,,,,"535,64",,,,,,,,
DIAS D'AVILA,,,BA,,,,,,"1.114,73",,,,,,"428,20",,,,,,,"1.542,93",,,,,,,"10.225,13",,,,,,,,
DOM MACEDO COSTA,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
ELISIO MEDRADO,,,BA,,,,,,"61,41",,,,,,-,,,,,,,"61,41",,,,,,,"465,77",,,,,,,,
