MANAUS-AM,,,,,,,,AM,,"1.139.957,58",,,,,,"132.286,84",,,,,,"1.272.244,42",,,,,,,"9.173.622,00",,,,,,,,,
PARINTINS-AM,,,,,,,,AM,,-,,,,,,"10.062,96",,,,,,"10.062,96",,,,,,,"71.432,61",,,,,,,,,
SILVES-AM,,,,,,,,AM,,-,,,,,,"10.062,96",,,,,,"10.062,96",,,,,,,"71.432,61",,,,,,,,,
URUCARA-AM,,,,,,,,AM,,-,,,,,,"10.062,96",,,,,,"10.062,96",,,,,,,"71.432,61",,,,,,,,,
URUCURITUBA-AM,,,,,,,,AM,,-,,,,,,"10.062,96",,,,,,"10.062,96",,,,,,,"71.432,61",,,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,"3.658.278,39",,,,,,"2.722.621,53",,,,,,"6.380.899,92",,,,,,,"48.911.888,64",,,,,,,,,
LARANJAL DO JARI-AP,,,,,,,,AP,,-,,,,,,"10.062,96",,,,,,"10.062,96",,,,,,,"71.432,61",,,,,,,,,
MACAPA-AP,,,,,,,,AP,,-,,,,,,"10.062,96",,,,,,"10.062,96",,,,,,,"71.432,61",,,,,,,,,
MAZAGAO-AP,,,,,,,,AP,,-,,,,,,"10.062,96",,,,,,"10.062,96",,,,,,,"71.432,61",,,,,,,,,
AMAPA  TOTAL,,,,,,,,,,-,,,,,,"30.188,88",,,,,,"30.188,88",,,,,,,"214.297,83",,,,,,,,,
ACAJUTIBA-BA,,,,,,,,BA,,"1.247,25",,,,,,-,,,,,,"1.247,25",,,,,,,"8.814,36",,,,,,,,,
ADUSTINA-BA,,,,,,,,BA,,"1.247,25",,,,,,-,,,,,,"1.247,25",,,,,,,"8.814,36",,,,,,,,,
AGUA FRIA-BA,,,,,,,,BA,,"1.247,25",,,,,,-,,,,,,"1.247,25",,,,,,,"8.814,36",,,,,,,,,
AIQUARA-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
ALAGOINHAS-BA,,,,,,,,BA,,"386.401,76",,,,,,"220.064,50",,,,,,"606.466,26",,,,,,,"4.767.011,94",,,,,,,,,
ALCOBACA-BA,,,,,,,,BA,,"1.355,71",,,,,,-,,,,,,"1.355,71",,,,,,,"9.539,84",,,,,,,,,
ALMADINA-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
AMARGOSA-BA,,,,,,,,BA,,"1.572,62",,,,,,-,,,,,,"1.572,62",,,,,,,"11.154,77",,,,,,,,,
AMELIA RODRIGUES-BA,,,,,,,,BA,,"1.409,94",,,,,,-,,,,,,"1.409,94",,,,,,,"9.923,14",,,,,,,,,
ANAGE-BA,,,,,,,,BA,,"1.464,17",,,,,,-,,,,,,"1.464,17",,,,,,,"10.306,35",,,,,,,,,
ANGUERA-BA,,,,,,,,BA,,"1.084,57",,,,,,-,,,,,,"1.084,57",,,,,,,"7.664,66",,,,,,,,,
ANTAS-BA,,,,,,,,BA,,"1.301,48",,,,,,-,,,,,,"1.301,48",,,,,,,"9.238,57",,,,,,,,,
