MARECHAL DEODORO,,,,,,AL,,,,"106.885,04",,,,,,,"78.268,08",,,,,,,"185.153,12",,,,,,,,"2.275.205,83",,,,,,
MATRIZ DE CAMARAGIBE,,,,,,AL,,,,"521,73",,,,,,,-,,,,,,,"521,73",,,,,,,,"7.731,52",,,,,,
MESSIAS,,,,,,AL,,,,"421,40",,,,,,,-,,,,,,,"421,40",,,,,,,,"6.244,68",,,,,,
MURICI,,,,,,AL,,,,"541,80",,,,,,,-,,,,,,,"541,80",,,,,,,,"8.028,89",,,,,,
NOVO LINO,,,,,,AL,,,,"421,40",,,,,,,-,,,,,,,"421,40",,,,,,,,"6.244,68",,,,,,
PARIPUEIRA,,,,,,AL,,,,"401,33",,,,,,,"5.689,76",,,,,,,"6.091,09",,,,,,,,"74.426,99",,,,,,
PASSO DE CAMARAGIBE,,,,,,AL,,,,"441,46",,,,,,,-,,,,,,,"441,46",,,,,,,,"6.542,03",,,,,,
PENEDO,,,,,,AL,,,,"662,20",,,,,,,-,,,,,,,"662,20",,,,,,,,"9.813,09",,,,,,
PIACABUCU,,,,,,AL,,,,"481,60",,,,,,,-,,,,,,,"481,60",,,,,,,,"7.136,77",,,,,,
PILAR,,,,,,AL,,,,"86.141,08",,,,,,,"55.198,59",,,,,,,"141.339,67",,,,,,,,"2.031.236,29",,,,,,
PINDOBA,,,,,,AL,,,,"401,33",,,,,,,-,,,,,,,"401,33",,,,,,,,"5.947,30",,,,,,
PORTO CALVO,,,,,,AL,,,,"521,73",,,,,,,-,,,,,,,"521,73",,,,,,,,"7.731,52",,,,,,
PORTO DE PEDRAS,,,,,,AL,,,,"421,40",,,,,,,-,,,,,,,"421,40",,,,,,,,"6.244,68",,,,,,
PORTO REAL DO COLEGIO,,,,,,AL,,,,"501,66",,,,,,,-,,,,,,,"501,66",,,,,,,,"7.434,13",,,,,,
RIO LARGO,,,,,,AL,,,,"4.064,76",,,,,,,"2.194,65",,,,,,,"6.259,41",,,,,,,,"60.571,86",,,,,,
ROTEIRO,,,,,,AL,,,,"588,42",,,,,,,"120,67",,,,,,,"709,09",,,,,,,,"13.839,24",,,,,,
SANTA LUZIA DO NORTE,,,,,,AL,,,,"401,33",,,,,,,-,,,,,,,"401,33",,,,,,,,"5.947,30",,,,,,
SANTANA DO MUNDAU,,,,,,AL,,,,"421,40",,,,,,,-,,,,,,,"421,40",,,,,,,,"6.244,68",,,,,,
SAO JOSE DA LAJE,,,,,,AL,,,,"521,73",,,,,,,-,,,,,,,"521,73",,,,,,,,"7.731,52",,,,,,
SAO LUIS DO QUITUNDE,,,,,,AL,,,,"561,86",,,,,,,-,,,,,,,"561,86",,,,,,,,"8.326,25",,,,,,
SAO MIGUEL DOS CAMPOS,,,,,,AL,,,,"189.090,38",,,,,,,"103.327,65",,,,,,,"292.418,03",,,,,,,,"2.444.783,65",,,,,,
SAO MIGUEL DOS MILAGRES,,,,,,AL,,,,"401,33",,,,,,,-,,,,,,,"401,33",,,,,,,,"5.947,30",,,,,,
SATUBA,,,,,,AL,,,,"67.044,25",,,,,,,"42.958,80",,,,,,,"110.003,05",,,,,,,,"1.066.984,94",,,,,,
TEOTONIO VILELA,,,,,,AL,,,,"602,00",,,,,,,-,,,,,,,"602,00",,,,,,,,"8.920,98",,,,,,
UNIAO DOS PALMARES,,,,,,AL,,,,"662,20",,,,,,,-,,,,,,,"662,20",,,,,,,,"9.813,09",,,,,,
VICOSA,,,,,,AL,,,,"541,80",,,,,,,-,,,,,,,"541,80",,,,,,,,"8.028,89",,,,,,
TOTAL ALAGOAS,,,,,,,,,,"1.328.381,15",,,,,,,"356.015,49",,,,,,,"1.684.396,64",,,,,,,,"20.183.466,67",,,,,,
ANAMA,,,,,,AM,,,,-,,,,,,,"1.858,44",,,,,,,"1.858,44",,,,,,,,"26.105,39",,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANORI,,,,,,AM,,,,-,,,,,,,"1.858,44",,,,,,,"1.858,44",,,,,,,,"26.105,39",,,,,,
AUTAZES,,,,,,AM,,,,-,,,,,,,"4.624,16",,,,,,,"4.624,16",,,,,,,,"62.924,16",,,,,,
BERURI,,,,,,AM,,,,-,,,,,,,"1.858,44",,,,,,,"1.858,44",,,,,,,,"26.105,39",,,,,,
CAREIRO DA VARZEA,,,,,,AM,,,,-,,,,,,,"4.624,16",,,,,,,"4.624,16",,,,,,,,"62.924,16",,,,,,
CAREIRO,,,,,,AM,,,,-,,,,,,,"1.858,44",,,,,,,"1.858,44",,,,,,,,"26.105,39",,,,,,
COARI,,,,,,AM,,,,"1.346.814,37",,,,,,,"1.244.404,38",,,,,,,"2.591.218,75",,,,,,,,"29.018.847,10",,,,,,
CODAJAS,,,,,,AM,,,,-,,,,,,,"1.858,44",,,,,,,"1.858,44",,,,,,,,"26.105,39",,,,,,
IRANDUBA,,,,,,AM,,,,-,,,,,,,"4.624,16",,,,,,,"4.624,16",,,,,,,,"62.924,16",,,,,,
ITACOATIARA,,,,,,AM,,,,-,,,,,,,"4.624,16",,,,,,,"4.624,16",,,,,,,,"62.924,16",,,,,,
ITAPIRANGA,,,,,,AM,,,,-,,,,,,,"4.624,16",,,,,,,"4.624,16",,,,,,,,"62.924,16",,,,,,
MANACAPURU,,,,,,AM,,,,-,,,,,,,"1.858,44",,,,,,,"1.858,44",,,,,,,,"26.105,39",,,,,,
MANAQUIRI,,,,,,AM,,,,-,,,,,,,"1.858,44",,,,,,,"1.858,44",,,,,,,,"26.105,39",,,,,,
MANAUS,,,,,,AM,,,,"804.709,22",,,,,,,"55.329,18",,,,,,,"860.038,40",,,,,,,,"8.014.309,83",,,,,,
PARINTINS,,,,,,AM,,,,-,,,,,,,"4.624,16",,,,,,,"4.624,16",,,,,,,,"62.924,16",,,,,,
SILVES,,,,,,AM,,,,-,,,,,,,"4.624,16",,,,,,,"4.624,16",,,,,,,,"62.924,16",,,,,,
URUCARA,,,,,,AM,,,,-,,,,,,,"4.624,16",,,,,,,"4.624,16",,,,,,,,"62.924,16",,,,,,
URUCURITUBA,,,,,,AM,,,,-,,,,,,,"4.624,16",,,,,,,"4.624,16",,,,,,,,"62.924,16",,,,,,
TOTAL AMAZONAS,,,,,,,,,,"2.151.523,59",,,,,,,"1.354.360,08",,,,,,,"3.505.883,67",,,,,,,,"37.782.212,10",,,,,,
LARANJAL DO JARI,,,,,,AP,,,,-,,,,,,,"4.624,16",,,,,,,"4.624,16",,,,,,,,"62.924,16",,,,,,
MACAPA,,,,,,AP,,,,-,,,,,,,"4.624,16",,,,,,,"4.624,16",,,,,,,,"62.924,16",,,,,,
MAZAGAO,,,,,,AP,,,,-,,,,,,,"4.624,16",,,,,,,"4.624,16",,,,,,,,"62.924,16",,,,,,
TOTAL AMAPA,,,,,,,,,,-,,,,,,,"13.872,48",,,,,,,"13.872,48",,,,,,,,"188.772,48",,,,,,
ACAJUTIBA,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
ADUSTINA,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
AGUA FRIA,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
AIQUARA,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
ALAGOINHAS,,,,,,BA,,,,"221.986,01",,,,,,,"117.778,78",,,,,,,"339.764,79",,,,,,,,"3.971.312,64",,,,,,
AMARGOSA,,,,,,BA,,,,"108,07",,,,,,,-,,,,,,,"108,07",,,,,,,,"1.159,36",,,,,,
AMELIA RODRIGUES,,,,,,BA,,,,"104,21",,,,,,,-,,,,,,,"104,21",,,,,,,,"1.117,96",,,,,,
ANAGE,,,,,,BA,,,,"119,65",,,,,,,-,,,,,,,"119,65",,,,,,,,"1.283,58",,,,,,
ANGUERA,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
ANTAS,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
ANTONIO CARDOSO,,,,,,BA,,,,"81,05",,,,,,,-,,,,,,,"81,05",,,,,,,,"869,51",,,,,,
APORA,,,,,,BA,,,,"92,63",,,,,,,-,,,,,,,"92,63",,,,,,,,"993,74",,,,,,
APUAREMA,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
ARACAS,,,,,,BA,,,,"177.616,46",,,,,,,"78.211,92",,,,,,,"255.828,38",,,,,,,,"3.202.037,07",,,,,,
ARACI,,,,,,BA,,,,"119,65",,,,,,,-,,,,,,,"119,65",,,,,,,,"1.283,58",,,,,,
ARAMARI,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
ARATUIPE,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
BAIXA GRANDE,,,,,,BA,,,,"100,35",,,,,,,-,,,,,,,"100,35",,,,,,,,"1.076,53",,,,,,
BANZAE,,,,,,BA,,,,"81,05",,,,,,,-,,,,,,,"81,05",,,,,,,,"869,51",,,,,,
BARRA DO CHOCA,,,,,,BA,,,,"119,65",,,,,,,-,,,,,,,"119,65",,,,,,,,"1.283,58",,,,,,
BARROCAS,,,,,,BA,,,,"84,91",,,,,,,-,,,,,,,"84,91",,,,,,,,"910,90",,,,,,
BELO CAMPO,,,,,,BA,,,,"92,63",,,,,,,-,,,,,,,"92,63",,,,,,,,"993,74",,,,,,
BIRITINGA,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
BOA NOVA,,,,,,BA,,,,"100,35",,,,,,,-,,,,,,,"100,35",,,,,,,,"1.076,53",,,,,,
BOA VISTA DO TUPIM,,,,,,BA,,,,"96,49",,,,,,,-,,,,,,,"96,49",,,,,,,,"1.035,14",,,,,,
BOM JESUS DA SERRA,,,,,,BA,,,,"81,05",,,,,,,-,,,,,,,"81,05",,,,,,,,"869,51",,,,,,
BREJOES,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
CAATIBA,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
CABACEIRAS DO PARAGUACU,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
CACHOEIRA,,,,,,BA,,,,"108,07",,,,,,,-,,,,,,,"108,07",,,,,,,,"1.159,36",,,,,,
CAEM,,,,,,BA,,,,"84,91",,,,,,,-,,,,,,,"84,91",,,,,,,,"910,90",,,,,,
CAETANOS,,,,,,BA,,,,"84,91",,,,,,,-,,,,,,,"84,91",,,,,,,,"910,90",,,,,,
CAMACARI,,,,,,BA,,,,"793,70",,,,,,,"268,51",,,,,,,"1.062,21",,,,,,,,"13.459,47",,,,,,
CANDEAL,,,,,,BA,,,,"81,05",,,,,,,-,,,,,,,"81,05",,,,,,,,"869,51",,,,,,
CANDEIAS,,,,,,BA,,,,"180.470,71",,,,,,,"164.170,32",,,,,,,"344.641,03",,,,,,,,"4.277.605,43",,,,,,
CANDIDO SALES,,,,,,BA,,,,"108,07",,,,,,,-,,,,,,,"108,07",,,,,,,,"1.159,36",,,,,,
CANSANCAO,,,,,,BA,,,,"108,07",,,,,,,-,,,,,,,"108,07",,,,,,,,"1.159,36",,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANUDOS,,,,,,BA,,,,"84,91",,,,,,,-,,,,,,,"84,91",,,,,,,,"910,90",,,,,,
CAPELA DO ALTO ALEGRE,,,,,,BA,,,,"81,05",,,,,,,-,,,,,,,"81,05",,,,,,,,"869,51",,,,,,
CAPIM GROSSO,,,,,,BA,,,,"100,35",,,,,,,-,,,,,,,"100,35",,,,,,,,"1.076,53",,,,,,
CARDEAL DA SILVA,,,,,,BA,,,,"88.962,15",,,,,,,"20.429,08",,,,,,,"109.391,23",,,,,,,,"1.336.645,75",,,,,,
CASTRO ALVES,,,,,,BA,,,,"104,21",,,,,,,-,,,,,,,"104,21",,,,,,,,"1.117,96",,,,,,
CATU,,,,,,BA,,,,"174.310,31",,,,,,,"91.695,78",,,,,,,"266.006,09",,,,,,,,"3.120.927,02",,,,,,
CICERO DANTAS,,,,,,BA,,,,"108,07",,,,,,,-,,,,,,,"108,07",,,,,,,,"1.159,36",,,,,,
CIPO,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
CONCEICAO DA FEIRA,,,,,,BA,,,,"92,63",,,,,,,-,,,,,,,"92,63",,,,,,,,"993,74",,,,,,
CONCEICAO DO ALMEIDA,,,,,,BA,,,,"96,49",,,,,,,-,,,,,,,"96,49",,,,,,,,"1.035,14",,,,,,
CONCEICAO DO COITE,,,,,,BA,,,,"127,37",,,,,,,-,,,,,,,"127,37",,,,,,,,"1.366,39",,,,,,
CONCEICAO DO JACUIPE,,,,,,BA,,,,"104,21",,,,,,,-,,,,,,,"104,21",,,,,,,,"1.117,96",,,,,,
CONDE,,,,,,BA,,,,"708,08",,,,,,,"391,99",,,,,,,"1.100,07",,,,,,,,"36.962,95",,,,,,
CORACAO DE MARIA,,,,,,BA,,,,"100,35",,,,,,,-,,,,,,,"100,35",,,,,,,,"1.076,53",,,,,,
CORONEL JOAO SA,,,,,,BA,,,,"96,49",,,,,,,-,,,,,,,"96,49",,,,,,,,"1.035,14",,,,,,
CRAVOLANDIA,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
CRISOPOLIS,,,,,,BA,,,,"96,49",,,,,,,-,,,,,,,"96,49",,,,,,,,"1.035,14",,,,,,
CRUZ DAS ALMAS,,,,,,BA,,,,"123,51",,,,,,,-,,,,,,,"123,51",,,,,,,,"1.324,98",,,,,,
DARIO MEIRA,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
DIAS D'AVILA,,,,,,BA,,,,"771,75",,,,,,,"273,88",,,,,,,"1.045,63",,,,,,,,"3.620,31",,,,,,
DOM MACEDO COSTA,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
ELISIO MEDRADO,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
ENCRUZILHADA,,,,,,BA,,,,"111,93",,,,,,,-,,,,,,,"111,93",,,,,,,,"1.200,76",,,,,,
ENTRE RIOS,,,,,,BA,,,,"168.705,18",,,,,,,"102.404,46",,,,,,,"271.109,64",,,,,,,,"3.289.369,94",,,,,,
ESPLANADA,,,,,,BA,,,,"305.449,12",,,,,,,"184.554,66",,,,,,,"490.003,78",,,,,,,,"5.686.722,42",,,,,,
EUCLIDES DA CUNHA,,,,,,BA,,,,"123,51",,,,,,,-,,,,,,,"123,51",,,,,,,,"1.324,98",,,,,,
FATIMA,,,,,,BA,,,,"96,49",,,,,,,-,,,,,,,"96,49",,,,,,,,"1.035,14",,,,,,
FEIRA DE SANTANA,,,,,,BA,,,,"154,39",,,,,,,-,,,,,,,"154,39",,,,,,,,"1.656,25",,,,,,
GAVIAO,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
GLORIA,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
GOVERNADOR MANGABEIRA,,,,,,BA,,,,"92,63",,,,,,,-,,,,,,,"92,63",,,,,,,,"993,74",,,,,,
HELIOPOLIS,,,,,,BA,,,,"84,91",,,,,,,-,,,,,,,"84,91",,,,,,,,"910,90",,,,,,
IACU,,,,,,BA,,,,"108,07",,,,,,,-,,,,,,,"108,07",,,,,,,,"1.159,36",,,,,,
IBIQUERA,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
ICHU,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
INHAMBUPE,,,,,,BA,,,,"108,07",,,,,,,-,,,,,,,"108,07",,,,,,,,"1.159,36",,,,,,
IPECAETA,,,,,,BA,,,,"96,49",,,,,,,-,,,,,,,"96,49",,,,,,,,"1.035,14",,,,,,
IPIRA,,,,,,BA,,,,"127,37",,,,,,,-,,,,,,,"127,37",,,,,,,,"1.366,39",,,,,,
IRAJUBA,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
IRARA,,,,,,BA,,,,"104,21",,,,,,,-,,,,,,,"104,21",,,,,,,,"1.117,96",,,,,,
ITABERABA,,,,,,BA,,,,"127,37",,,,,,,-,,,,,,,"127,37",,,,,,,,"1.366,39",,,,,,
ITAGI,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
ITAMBE,,,,,,BA,,,,"108,07",,,,,,,-,,,,,,,"108,07",,,,,,,,"1.159,36",,,,,,
ITANAGRA,,,,,,BA,,,,"74.474,07",,,,,,,"13.112,63",,,,,,,"87.586,70",,,,,,,,"1.046.103,58",,,,,,
ITAPARICA,,,,,,BA,,,,"2.672,70",,,,,,,"64.614,16",,,,,,,"67.286,86",,,,,,,,"1.222.065,71",,,,,,
ITAPETINGA,,,,,,BA,,,,"127,37",,,,,,,-,,,,,,,"127,37",,,,,,,,"1.366,39",,,,,,
ITAPICURU,,,,,,BA,,,,"104,21",,,,,,,-,,,,,,,"104,21",,,,,,,,"1.117,96",,,,,,
ITAQUARA,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
ITARANTIM,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
ITATIM,,,,,,BA,,,,"84,91",,,,,,,-,,,,,,,"84,91",,,,,,,,"910,90",,,,,,
ITIRUCU,,,,,,BA,,,,"84,91",,,,,,,-,,,,,,,"84,91",,,,,,,,"910,90",,,,,,
ITIUBA,,,,,,BA,,,,"111,93",,,,,,,-,,,,,,,"111,93",,,,,,,,"1.200,76",,,,,,
JACOBINA,,,,,,BA,,,,"135,09",,,,,,,-,,,,,,,"135,09",,,,,,,,"1.449,20",,,,,,
JAGUAQUARA,,,,,,BA,,,,"119,65",,,,,,,-,,,,,,,"119,65",,,,,,,,"1.283,58",,,,,,
JAGUARIPE,,,,,,BA,,,,"84,91",,,,,,,-,,,,,,,"84,91",,,,,,,,"910,90",,,,,,
JANDAIRA,,,,,,BA,,,,"81,05",,,,,,,-,,,,,,,"81,05",,,,,,,,"869,51",,,,,,
JEQUIE,,,,,,BA,,,,"154,39",,,,,,,-,,,,,,,"154,39",,,,,,,,"1.656,25",,,,,,
JEREMOABO,,,,,,BA,,,,"111,93",,,,,,,-,,,,,,,"111,93",,,,,,,,"1.200,76",,,,,,
JIQUIRICA,,,,,,BA,,,,"84,91",,,,,,,-,,,,,,,"84,91",,,,,,,,"910,90",,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JITAUNA,,,,,,BA,,,,"100,35",,,,,,,-,,,,,,,"100,35",,,,,,,,"1.076,53",,,,,,
LAFAIETE COUTINHO,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
LAJE,,,,,,BA,,,,"96,49",,,,,,,-,,,,,,,"96,49",,,,,,,,"1.035,14",,,,,,
LAJEDINHO,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
LAJEDO DO TABOCAL,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
LAMARAO,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
LAURO DE FREITAS,,,,,,BA,,,,"146,67",,,,,,,-,,,,,,,"146,67",,,,,,,,"1.573,43",,,,,,
MACAJUBA,,,,,,BA,,,,"81,05",,,,,,,-,,,,,,,"81,05",,,,,,,,"869,51",,,,,,
MACARANI,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
MADRE DE DEUS,,,,,,BA,,,,"807.061,19",,,,,,,"289.634,78",,,,,,,"1.096.695,97",,,,,,,,"15.901.413,33",,,,,,
MAIQUINIQUE,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
MAIRI,,,,,,BA,,,,"100,35",,,,,,,-,,,,,,,"100,35",,,,,,,,"1.076,53",,,,,,
MANOEL VITORINO,,,,,,BA,,,,"92,63",,,,,,,-,,,,,,,"92,63",,,,,,,,"993,74",,,,,,
MARACAS,,,,,,BA,,,,"108,07",,,,,,,-,,,,,,,"108,07",,,,,,,,"1.159,36",,,,,,
MARAGOGIPE,,,,,,BA,,,,"119,65",,,,,,,-,,,,,,,"119,65",,,,,,,,"1.283,58",,,,,,
MARCIONILIO SOUZA,,,,,,BA,,,,"81,05",,,,,,,-,,,,,,,"81,05",,,,,,,,"869,51",,,,,,
MATA DE SAO JOAO,,,,,,BA,,,,"134.590,24",,,,,,,"56.806,18",,,,,,,"191.396,42",,,,,,,,"2.470.927,93",,,,,,
MIGUEL CALMON,,,,,,BA,,,,"108,07",,,,,,,-,,,,,,,"108,07",,,,,,,,"1.159,36",,,,,,
MILAGRES,,,,,,BA,,,,"84,91",,,,,,,-,,,,,,,"84,91",,,,,,,,"910,90",,,,,,
MIRANTE,,,,,,BA,,,,"84,91",,,,,,,-,,,,,,,"84,91",,,,,,,,"910,90",,,,,,
MONTE SANTO,,,,,,BA,,,,"123,51",,,,,,,-,,,,,,,"123,51",,,,,,,,"1.324,98",,,,,,
MUNDO NOVO,,,,,,BA,,,,"100,35",,,,,,,-,,,,,,,"100,35",,,,,,,,"1.076,53",,,,,,
MUNIZ FERREIRA,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
MURITIBA,,,,,,BA,,,,"108,07",,,,,,,-,,,,,,,"108,07",,,,,,,,"1.159,36",,,,,,
MUTUIPE,,,,,,BA,,,,"100,35",,,,,,,-,,,,,,,"100,35",,,,,,,,"1.076,53",,,,,,
NAZARE,,,,,,BA,,,,"104,21",,,,,,,-,,,,,,,"104,21",,,,,,,,"1.117,96",,,,,,
NORDESTINA,,,,,,BA,,,,"81,05",,,,,,,-,,,,,,,"81,05",,,,,,,,"869,51",,,,,,
NOVA CANAA,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
NOVA FATIMA,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
NOVA ITARANA,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
NOVA SOURE,,,,,,BA,,,,"104,21",,,,,,,-,,,,,,,"104,21",,,,,,,,"1.117,96",,,,,,
NOVO TRIUNFO,,,,,,BA,,,,"84,91",,,,,,,-,,,,,,,"84,91",,,,,,,,"910,90",,,,,,
OLINDINA,,,,,,BA,,,,"100,35",,,,,,,-,,,,,,,"100,35",,,,,,,,"1.076,53",,,,,,
OURICANGAS,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
OUROLANDIA,,,,,,BA,,,,"88,77",,,,,,,-,,,,,,,"88,77",,,,,,,,"952,34",,,,,,
PARIPIRANGA,,,,,,BA,,,,"104,21",,,,,,,-,,,,,,,"104,21",,,,,,,,"1.117,96",,,,,,
PAULO AFONSO,,,,,,BA,,,,"142,81",,,,,,,-,,,,,,,"142,81",,,,,,,,"1.532,02",,,,,,
PE DE SERRA,,,,,,BA,,,,"84,91",,,,,,,-,,,,,,,"84,91",,,,,,,,"910,90",,,,,,
PEDRAO,,,,,,BA,,,,"77,19",,,,,,,-,,,,,,,"77,19",,,,,,,,"828,09",,,,,,
