CANDEIAS-BA,,,,,,,,,BA,,,"246.467,39",,,,,"364.908,38",,,,,,,"611.375,77",,,,,,"4.505.262,62",,,,,,,,,,
CANDIDO SALES-BA,,,,,,,,,BA,,,"985,54",,,,,-,,,,,,,"985,54",,,,,,"8.111,37",,,,,,,,,,
CANSANCAO-BA,,,,,,,,,BA,,,"1.058,55",,,,,-,,,,,,,"1.058,55",,,,,,"8.712,24",,,,,,,,,,
CANUDOS-BA,,,,,,,,,BA,,,"839,53",,,,,-,,,,,,,"839,53",,,,,,"6.909,68",,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,,,BA,,,"766,53",,,,,-,,,,,,,"766,53",,,,,,"6.491,16",,,,,,,,,,
CAPIM GROSSO-BA,,,,,,,,,BA,,,"985,54",,,,,-,,,,,,,"985,54",,,,,,"8.111,37",,,,,,,,,,
CARAVELAS-BA,,,,,,,,,BA,,,"949,04",,,,,-,,,,,,,"949,04",,,,,,"7.810,95",,,,,,,,,,
CARDEAL DA SILVA-BA,,,,,,,,,BA,,,"134.560,70",,,,,"37.850,52",,,,,,,"172.411,22",,,,,,"1.401.578,21",,,,,,,,,,
CASTRO ALVES-BA,,,,,,,,,BA,,,"985,54",,,,,-,,,,,,,"985,54",,,,,,"8.111,37",,,,,,,,,,
CATU-BA,,,,,,,,,BA,,,"199.686,47",,,,,"89.968,15",,,,,,,"289.654,62",,,,,,"2.420.279,29",,,,,,,,,,
CICERO DANTAS-BA,,,,,,,,,BA,,,"1.058,55",,,,,-,,,,,,,"1.058,55",,,,,,"8.529,90",,,,,,,,,,
CIPO-BA,,,,,,,,,BA,,,"839,53",,,,,-,,,,,,,"839,53",,,,,,"6.909,68",,,,,,,,,,
COARACI-BA,,,,,,,,,BA,,,"949,04",,,,,-,,,,,,,"949,04",,,,,,"7.810,95",,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,,,,BA,,,"949,04",,,,,-,,,,,,,"949,04",,,,,,"7.628,62",,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,,,BA,,,"876,04",,,,,-,,,,,,,"876,04",,,,,,"7.210,11",,,,,,,,,,
CONCEICAO DO COITE-BA,,,,,,,,,BA,,,"1.204,55",,,,,-,,,,,,,"1.204,55",,,,,,"9.913,90",,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,,,BA,,,"1.022,04",,,,,-,,,,,,,"1.022,04",,,,,,"8.229,46",,,,,,,,,,
CONDE-BA,,,,,,,,,BA,,,"6.164,97",,,,,"3.364,27",,,,,,,"9.529,24",,,,,,"53.760,78",,,,,,,,,,
CORACAO DE MARIA-BA,,,,,,,,,BA,,,"949,04",,,,,-,,,,,,,"949,04",,,,,,"7.810,95",,,,,,,,,,
CORONEL JOAO SA-BA,,,,,,,,,BA,,,"876,04",,,,,-,,,,,,,"876,04",,,,,,"7.392,44",,,,,,,,,,
CRAVOLANDIA-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
CRISOPOLIS-BA,,,,,,,,,BA,,,"949,04",,,,,-,,,,,,,"949,04",,,,,,"7.628,62",,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,,,,BA,,,"1.204,55",,,,,-,,,,,,,"1.204,55",,,,,,"9.731,58",,,,,,,,,,
DARIO MEIRA-BA,,,,,,,,,BA,,,"803,03",,,,,-,,,,,,,"803,03",,,,,,"6.609,25",,,,,,,,,,
DIAS D'AVILA-BA,,,,,,,,,BA,,,"1.241,05",,,,,-,,,,,,,"1.241,05",,,,,,"9.849,67",,,,,,,,,,
DOM MACEDO COSTA-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
