MATRIZ DE CAMARAGIBE-AL,,,,,,,AL,,"731,69",,,,,,-,,,,,,,,"731,69",,,,,,,,"4.401,70",,,,,,,,,
MESSIAS-AL,,,,,,,AL,,"623,29",,,,,,-,,,,,,,,"623,29",,,,,,,,"3.749,59",,,,,,,,,
MURICI-AL,,,,,,,AL,,"731,69",,,,,,-,,,,,,,,"731,69",,,,,,,,"4.401,70",,,,,,,,,
NOVO LINO-AL,,,,,,,AL,,"569,09",,,,,,-,,,,,,,,"569,09",,,,,,,,"3.423,52",,,,,,,,,
PARIPUEIRA-AL,,,,,,,AL,,"541,99",,,,,,"6.950,52",,,,,,,,"7.492,51",,,,,,,,"54.976,75",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,AL,,"596,19",,,,,,-,,,,,,,,"596,19",,,,,,,,"3.586,56",,,,,,,,,
PENEDO-AL,,,,,,,AL,,"894,28",,,,,,-,,,,,,,,"894,28",,,,,,,,"1.319.183,73",,,,,,,,,
PIACABUCU-AL,,,,,,,AL,,"650,39",,,,,,-,,,,,,,,"650,39",,,,,,,,"3.912,61",,,,,,,,,
PILAR-AL,,,,,,,AL,,"125.895,25",,,,,,"80.713,01",,,,,,,,"206.608,26",,,,,,,,"1.148.626,80",,,,,,,,,
PINDOBA-AL,,,,,,,AL,,"541,99",,,,,,-,,,,,,,,"541,99",,,,,,,,"3.260,51",,,,,,,,,
PORTO CALVO-AL,,,,,,,AL,,"731,69",,,,,,-,,,,,,,,"731,69",,,,,,,,"4.401,70",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,AL,,"569,09",,,,,,-,,,,,,,,"569,09",,,,,,,,"3.423,52",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,AL,,"650,39",,,,,,-,,,,,,,,"650,39",,,,,,,,"3.912,61",,,,,,,,,
RIO LARGO-AL,,,,,,,AL,,"13.076,39",,,,,,"7.839,98",,,,,,,,"20.916,37",,,,,,,,"121.494,28",,,,,,,,,
ROTEIRO-AL,,,,,,,AL,,"63.423,64",,,,,,"916,52",,,,,,,,"64.340,16",,,,,,,,"254.319,76",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,AL,,"541,99",,,,,,-,,,,,,,,"541,99",,,,,,,,"4.443,66",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,AL,,"569,09",,,,,,-,,,,,,,,"569,09",,,,,,,,"3.423,52",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,AL,,"704,59",,,,,,-,,,,,,,,"704,59",,,,,,,,"4.238,67",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,AL,,"758,79",,,,,,-,,,,,,,,"758,79",,,,,,,,"4.564,72",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,AL,,"275.038,17",,,,,,"197.163,88",,,,,,,,"472.202,05",,,,,,,,"3.056.447,49",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,AL,,"541,99",,,,,,-,,,,,,,,"541,99",,,,,,,,"3.260,51",,,,,,,,,
SATUBA-AL,,,,,,,AL,,"29.475,09",,,,,,"18.609,41",,,,,,,,"48.084,50",,,,,,,,"1.608.687,75",,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,AL,,"840,09",,,,,,-,,,,,,,,"840,09",,,,,,,,"5.053,81",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,AL,,"894,28",,,,,,-,,,,,,,,"894,28",,,,,,,,"5.379,85",,,,,,,,,
VICOSA-AL,,,,,,,AL,,"731,69",,,,,,-,,,,,,,,"731,69",,,,,,,,"4.401,70",,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,"2.132.784,39",,,,,,"512.619,35",,,,,,,,"2.645.403,74",,,,,,,,"17.998.121,31",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAMA-AM,,,,,,,AM,,-,,,,,,"3.046,79",,,,,,,,"3.046,79",,,,,,,,"16.141,00",,,,,,,,,
ANORI-AM,,,,,,,AM,,-,,,,,,"3.046,79",,,,,,,,"3.046,79",,,,,,,,"16.141,00",,,,,,,,,
AUTAZES-AM,,,,,,,AM,,-,,,,,,"7.640,43",,,,,,,,"7.640,43",,,,,,,,"42.315,66",,,,,,,,,
BERURI-AM,,,,,,,AM,,-,,,,,,"3.046,79",,,,,,,,"3.046,79",,,,,,,,"16.141,00",,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,AM,,-,,,,,,"7.640,43",,,,,,,,"7.640,43",,,,,,,,"42.315,66",,,,,,,,,
CAREIRO-AM,,,,,,,AM,,-,,,,,,"3.046,79",,,,,,,,"3.046,79",,,,,,,,"16.141,00",,,,,,,,,
COARI-AM,,,,,,,AM,,"2.040.025,23",,,,,,"2.028.042,17",,,,,,,,"4.068.067,40",,,,,,,,"23.016.045,77",,,,,,,,,
CODAJAS-AM,,,,,,,AM,,-,,,,,,"3.046,79",,,,,,,,"3.046,79",,,,,,,,"16.141,00",,,,,,,,,
IRANDUBA-AM,,,,,,,AM,,-,,,,,,"7.640,43",,,,,,,,"7.640,43",,,,,,,,"42.315,66",,,,,,,,,
ITACOATIARA-AM,,,,,,,AM,,-,,,,,,"7.640,43",,,,,,,,"7.640,43",,,,,,,,"42.315,66",,,,,,,,,
ITAPIRANGA-AM,,,,,,,AM,,-,,,,,,"7.640,43",,,,,,,,"7.640,43",,,,,,,,"42.315,66",,,,,,,,,
MANACAPURU-AM,,,,,,,AM,,-,,,,,,"3.046,79",,,,,,,,"3.046,79",,,,,,,,"16.141,00",,,,,,,,,
MANAQUIRI-AM,,,,,,,AM,,-,,,,,,"3.046,79",,,,,,,,"3.046,79",,,,,,,,"16.141,00",,,,,,,,,
MANAUS-AM,,,,,,,AM,,"1.213.707,49",,,,,,"91.857,22",,,,,,,,"1.305.564,71",,,,,,,,"6.998.140,14",,,,,,,,,
PARINTINS-AM,,,,,,,AM,,-,,,,,,"7.640,43",,,,,,,,"7.640,43",,,,,,,,"42.315,66",,,,,,,,,
SILVES-AM,,,,,,,AM,,-,,,,,,"7.640,43",,,,,,,,"7.640,43",,,,,,,,"42.315,66",,,,,,,,,
URUCARA-AM,,,,,,,AM,,-,,,,,,"7.640,43",,,,,,,,"7.640,43",,,,,,,,"42.315,66",,,,,,,,,
URUCURITUBA-AM,,,,,,,AM,,-,,,,,,"7.640,43",,,,,,,,"7.640,43",,,,,,,,"42.315,66",,,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,"3.253.732,72",,,,,,"2.209.990,79",,,,,,,,"5.463.723,51",,,,,,,,"30.508.013,85",,,,,,,,,
LARANJAL DO JARI-AP,,,,,,,AP,,-,,,,,,"7.640,43",,,,,,,,"7.640,43",,,,,,,,"42.315,66",,,,,,,,,
MACAPA-AP,,,,,,,AP,,-,,,,,,"7.640,43",,,,,,,,"7.640,43",,,,,,,,"42.315,66",,,,,,,,,
MAZAGAO-AP,,,,,,,AP,,-,,,,,,"7.640,43",,,,,,,,"7.640,43",,,,,,,,"42.315,66",,,,,,,,,
AMAPA  TOTAL,,,,,,,,,-,,,,,,"22.921,29",,,,,,,,"22.921,29",,,,,,,,"126.946,98",,,,,,,,,
ACAJUTIBA-BA,,,,,,,BA,,"972,31",,,,,,-,,,,,,,,"972,31",,,,,,,,"7.128,89",,,,,,,,,
ADUSTINA-BA,,,,,,,BA,,"972,31",,,,,,-,,,,,,,,"972,31",,,,,,,,"7.128,89",,,,,,,,,
AGUA FRIA-BA,,,,,,,BA,,"972,31",,,,,,-,,,,,,,,"972,31",,,,,,,,"7.128,89",,,,,,,,,
AIQUARA-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
ALAGOINHAS-BA,,,,,,,BA,,"285.757,39",,,,,,"161.352,08",,,,,,,,"447.109,47",,,,,,,,"2.504.293,92",,,,,,,,,
ALCOBACA-BA,,,,,,,BA,,"1.056,86",,,,,,-,,,,,,,,"1.056,86",,,,,,,,"7.748,81",,,,,,,,,
ALMADINA-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
AMARGOSA-BA,,,,,,,BA,,"1.225,96",,,,,,-,,,,,,,,"1.225,96",,,,,,,,"8.988,65",,,,,,,,,
AMELIA RODRIGUES-BA,,,,,,,BA,,"1.099,14",,,,,,-,,,,,,,,"1.099,14",,,,,,,,"8.058,78",,,,,,,,,
ANAGE-BA,,,,,,,BA,,"1.141,41",,,,,,-,,,,,,,,"1.141,41",,,,,,,,"8.368,71",,,,,,,,,
ANGUERA-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
ANTAS-BA,,,,,,,BA,,"1.014,59",,,,,,-,,,,,,,,"1.014,59",,,,,,,,"7.438,87",,,,,,,,,
ANTONIO CARDOSO-BA,,,,,,,BA,,"930,04",,,,,,-,,,,,,,,"930,04",,,,,,,,"6.818,96",,,,,,,,,
APORA-BA,,,,,,,BA,,"1.014,59",,,,,,-,,,,,,,,"1.014,59",,,,,,,,"7.438,87",,,,,,,,,
APUAREMA-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
ARACAS-BA,,,,,,,BA,,"257.968,37",,,,,,"134.586,29",,,,,,,,"392.554,66",,,,,,,,"2.347.167,00",,,,,,,,,
ARACI-BA,,,,,,,BA,,"1.352,79",,,,,,-,,,,,,,,"1.352,79",,,,,,,,"9.918,50",,,,,,,,,
ARAMARI-BA,,,,,,,BA,,"1.994,92",,,,,,"482,76",,,,,,,,"2.477,68",,,,,,,,"13.960,99",,,,,,,,,
ARATACA-BA,,,,,,,BA,,"887,76",,,,,,-,,,,,,,,"887,76",,,,,,,,"6.509,00",,,,,,,,,
ARATUIPE-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
AURELINO LEAL-BA,,,,,,,BA,,"972,31",,,,,,-,,,,,,,,"972,31",,,,,,,,"7.128,89",,,,,,,,,
BAIXA GRANDE-BA,,,,,,,BA,,"1.099,14",,,,,,-,,,,,,,,"1.099,14",,,,,,,,"8.058,78",,,,,,,,,
BANZAE-BA,,,,,,,BA,,"887,76",,,,,,-,,,,,,,,"887,76",,,,,,,,"6.509,00",,,,,,,,,
BARRA DO CHOCA-BA,,,,,,,BA,,"1.225,96",,,,,,-,,,,,,,,"1.225,96",,,,,,,,"8.988,65",,,,,,,,,
BARRA DO ROCHA-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
BARRO PRETO-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
BARROCAS-BA,,,,,,,BA,,"930,04",,,,,,-,,,,,,,,"930,04",,,,,,,,"6.818,96",,,,,,,,,
BELMONTE-BA,,,,,,,BA,,"1.099,14",,,,,,-,,,,,,,,"1.099,14",,,,,,,,"8.058,78",,,,,,,,,
BELO CAMPO-BA,,,,,,,BA,,"972,31",,,,,,-,,,,,,,,"972,31",,,,,,,,"7.128,89",,,,,,,,,
BIRITINGA-BA,,,,,,,BA,,"930,04",,,,,,-,,,,,,,,"930,04",,,,,,,,"6.818,96",,,,,,,,,
BOA NOVA-BA,,,,,,,BA,,"1.014,59",,,,,,-,,,,,,,,"1.014,59",,,,,,,,"7.438,87",,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,BA,,"1.014,59",,,,,,-,,,,,,,,"1.014,59",,,,,,,,"7.438,87",,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,BA,,"887,76",,,,,,-,,,,,,,,"887,76",,,,,,,,"6.509,00",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREJOES-BA,,,,,,,BA,,"930,04",,,,,,-,,,,,,,,"930,04",,,,,,,,"6.818,96",,,,,,,,,
BUERAREMA-BA,,,,,,,BA,,"1.056,86",,,,,,-,,,,,,,,"1.056,86",,,,,,,,"7.748,81",,,,,,,,,
CAATIBA-BA,,,,,,,BA,,"887,76",,,,,,-,,,,,,,,"887,76",,,,,,,,"6.509,00",,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,BA,,"1.014,59",,,,,,-,,,,,,,,"1.014,59",,,,,,,,"7.438,87",,,,,,,,,
CACHOEIRA-BA,,,,,,,BA,,"1.225,96",,,,,,-,,,,,,,,"1.225,96",,,,,,,,"8.988,65",,,,,,,,,
CAEM-BA,,,,,,,BA,,"887,76",,,,,,-,,,,,,,,"887,76",,,,,,,,"6.509,00",,,,,,,,,
CAETANOS-BA,,,,,,,BA,,"930,04",,,,,,-,,,,,,,,"930,04",,,,,,,,"6.818,96",,,,,,,,,
CAIRU-BA,,,,,,,BA,,"31.764,17",,,,,,"330.599,67",,,,,,,,"362.363,84",,,,,,,,"2.656.124,92",,,,,,,,,
CAMACAN-BA,,,,,,,BA,,"1.183,69",,,,,,-,,,,,,,,"1.183,69",,,,,,,,"8.678,69",,,,,,,,,
CAMACARI-BA,,,,,,,BA,,"1.986,76",,,,,,"124,23",,,,,,,,"2.110,99",,,,,,,,"16.317,46",,,,,,,,,
CAMAMU-BA,,,,,,,BA,,"1.225,96",,,,,,-,,,,,,,,"1.225,96",,,,,,,,"8.988,65",,,,,,,,,
CANAVIEIRAS-BA,,,,,,,BA,,"1.225,96",,,,,,-,,,,,,,,"1.225,96",,,,,,,,"8.988,65",,,,,,,,,
CANDEAL-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
CANDEIAS-BA,,,,,,,BA,,"185.054,14",,,,,,"271.602,94",,,,,,,,"456.657,08",,,,,,,,"2.671.951,11",,,,,,,,,
CANDIDO SALES-BA,,,,,,,BA,,"1.141,41",,,,,,-,,,,,,,,"1.141,41",,,,,,,,"8.368,71",,,,,,,,,
CANSANCAO-BA,,,,,,,BA,,"1.225,96",,,,,,-,,,,,,,,"1.225,96",,,,,,,,"8.988,65",,,,,,,,,
CANUDOS-BA,,,,,,,BA,,"972,31",,,,,,-,,,,,,,,"972,31",,,,,,,,"7.128,89",,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,BA,,"930,04",,,,,,-,,,,,,,,"930,04",,,,,,,,"6.818,96",,,,,,,,,
CAPIM GROSSO-BA,,,,,,,BA,,"1.141,41",,,,,,-,,,,,,,,"1.141,41",,,,,,,,"8.368,71",,,,,,,,,
CARAVELAS-BA,,,,,,,BA,,"1.099,14",,,,,,-,,,,,,,,"1.099,14",,,,,,,,"8.058,78",,,,,,,,,
CARDEAL DA SILVA-BA,,,,,,,BA,,"111.921,25",,,,,,"32.110,24",,,,,,,,"144.031,49",,,,,,,,"907.405,02",,,,,,,,,
CASTRO ALVES-BA,,,,,,,BA,,"1.141,41",,,,,,-,,,,,,,,"1.141,41",,,,,,,,"8.368,71",,,,,,,,,
CATU-BA,,,,,,,BA,,"221.403,18",,,,,,"117.234,45",,,,,,,,"338.637,63",,,,,,,,"1.548.719,92",,,,,,,,,
CICERO DANTAS-BA,,,,,,,BA,,"1.183,69",,,,,,-,,,,,,,,"1.183,69",,,,,,,,"8.678,69",,,,,,,,,
CIPO-BA,,,,,,,BA,,"972,31",,,,,,-,,,,,,,,"972,31",,,,,,,,"7.128,89",,,,,,,,,
COARACI-BA,,,,,,,BA,,"1.099,14",,,,,,-,,,,,,,,"1.099,14",,,,,,,,"8.058,78",,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,,BA,,"1.056,86",,,,,,-,,,,,,,,"1.056,86",,,,,,,,"7.748,81",,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,BA,,"1.014,59",,,,,,-,,,,,,,,"1.014,59",,,,,,,,"7.438,87",,,,,,,,,
CONCEICAO DO COITE-BA,,,,,,,BA,,"1.395,06",,,,,,-,,,,,,,,"1.395,06",,,,,,,,"10.228,44",,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,BA,,"1.141,41",,,,,,-,,,,,,,,"1.141,41",,,,,,,,"8.368,71",,,,,,,,,
CONDE-BA,,,,,,,BA,,"4.192,31",,,,,,"1.995,10",,,,,,,,"6.187,41",,,,,,,,"39.185,74",,,,,,,,,
CORACAO DE MARIA-BA,,,,,,,BA,,"1.099,14",,,,,,-,,,,,,,,"1.099,14",,,,,,,,"8.058,78",,,,,,,,,
CORONEL JOAO SA-BA,,,,,,,BA,,"1.056,86",,,,,,-,,,,,,,,"1.056,86",,,,,,,,"7.748,81",,,,,,,,,
CRAVOLANDIA-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
CRISOPOLIS-BA,,,,,,,BA,,"1.056,86",,,,,,-,,,,,,,,"1.056,86",,,,,,,,"7.748,81",,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,,BA,,"1.352,79",,,,,,-,,,,,,,,"1.352,79",,,,,,,,"9.918,50",,,,,,,,,
DARIO MEIRA-BA,,,,,,,BA,,"930,04",,,,,,-,,,,,,,,"930,04",,,,,,,,"6.818,96",,,,,,,,,
DIAS D'AVILA-BA,,,,,,,BA,,"1.352,79",,,,,,-,,,,,,,,"1.352,79",,,,,,,,"9.918,50",,,,,,,,,
DOM MACEDO COSTA-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
ELISIO MEDRADO-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
ENCRUZILHADA-BA,,,,,,,BA,,"1.099,14",,,,,,-,,,,,,,,"1.099,14",,,,,,,,"8.058,78",,,,,,,,,
ENTRE RIOS-BA,,,,,,,BA,,"229.339,71",,,,,,"161.654,35",,,,,,,,"390.994,06",,,,,,,,"2.255.947,97",,,,,,,,,
ESPLANADA-BA,,,,,,,BA,,"1.247.127,96",,,,,,"336.927,16",,,,,,,,"1.584.055,12",,,,,,,,"8.762.477,49",,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,BA,,"1.395,06",,,,,,-,,,,,,,,"1.395,06",,,,,,,,"10.228,44",,,,,,,,,
EUNAPOLIS-BA,,,,,,,BA,,"1.521,88",,,,,,-,,,,,,,,"1.521,88",,,,,,,,"11.158,31",,,,,,,,,
FATIMA-BA,,,,,,,BA,,"1.056,86",,,,,,-,,,,,,,,"1.056,86",,,,,,,,"7.748,81",,,,,,,,,
FEIRA DE SANTANA-BA,,,,,,,BA,,"1.690,98",,,,,,-,,,,,,,,"1.690,98",,,,,,,,"12.398,12",,,,,,,,,
FIRMINO ALVES-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
FLORESTA AZUL-BA,,,,,,,BA,,"887,76",,,,,,-,,,,,,,,"887,76",,,,,,,,"6.509,00",,,,,,,,,
GANDU-BA,,,,,,,BA,,"1.183,69",,,,,,-,,,,,,,,"1.183,69",,,,,,,,"8.678,69",,,,,,,,,
GAVIAO-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
GLORIA-BA,,,,,,,BA,,"930,04",,,,,,-,,,,,,,,"930,04",,,,,,,,"6.818,96",,,,,,,,,
GONGOGI-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,,BA,,"1.056,86",,,,,,-,,,,,,,,"1.056,86",,,,,,,,"7.748,81",,,,,,,,,
GUARATINGA-BA,,,,,,,BA,,"1.099,14",,,,,,-,,,,,,,,"1.099,14",,,,,,,,"8.058,78",,,,,,,,,
HELIOPOLIS-BA,,,,,,,BA,,"972,31",,,,,,-,,,,,,,,"972,31",,,,,,,,"7.128,89",,,,,,,,,
IACU-BA,,,,,,,BA,,"1.141,41",,,,,,-,,,,,,,,"1.141,41",,,,,,,,"8.368,71",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBICARAI-BA,,,,,,,BA,,"1.141,41",,,,,,-,,,,,,,,"1.141,41",,,,,,,,"8.368,71",,,,,,,,,
IBICUI-BA,,,,,,,BA,,"972,31",,,,,,-,,,,,,,,"972,31",,,,,,,,"7.128,89",,,,,,,,,
IBIQUERA-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
IBIRAPITANGA-BA,,,,,,,BA,,"1.099,14",,,,,,-,,,,,,,,"1.099,14",,,,,,,,"8.058,78",,,,,,,,,
IBIRAPUA-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
IBIRATAIA-BA,,,,,,,BA,,"1.099,14",,,,,,-,,,,,,,,"1.099,14",,,,,,,,"8.058,78",,,,,,,,,
ICHU-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
IGRAPIUNA-BA,,,,,,,BA,,"930,04",,,,,,-,,,,,,,,"930,04",,,,,,,,"6.818,96",,,,,,,,,
IGUAI-BA,,,,,,,BA,,"1.141,41",,,,,,-,,,,,,,,"1.141,41",,,,,,,,"8.368,71",,,,,,,,,
ILHEUS-BA,,,,,,,BA,,"1.690,98",,,,,,-,,,,,,,,"1.690,98",,,,,,,,"12.398,12",,,,,,,,,
INHAMBUPE-BA,,,,,,,BA,,"1.783,41",,,,,,"284,30",,,,,,,,"2.067,71",,,,,,,,"16.298,33",,,,,,,,,
IPECAETA-BA,,,,,,,BA,,"1.014,59",,,,,,-,,,,,,,,"1.014,59",,,,,,,,"7.438,87",,,,,,,,,
IPIAU-BA,,,,,,,BA,,"1.310,51",,,,,,-,,,,,,,,"1.310,51",,,,,,,,"9.608,55",,,,,,,,,
IPIRA-BA,,,,,,,BA,,"1.395,06",,,,,,-,,,,,,,,"1.395,06",,,,,,,,"10.228,44",,,,,,,,,
IRAJUBA-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
IRARA-BA,,,,,,,BA,,"1.141,41",,,,,,-,,,,,,,,"1.141,41",,,,,,,,"8.368,71",,,,,,,,,
ITABELA-BA,,,,,,,BA,,"1.141,41",,,,,,-,,,,,,,,"1.141,41",,,,,,,,"8.368,71",,,,,,,,,
ITABERABA-BA,,,,,,,BA,,"1.395,06",,,,,,-,,,,,,,,"1.395,06",,,,,,,,"10.228,44",,,,,,,,,
ITABUNA-BA,,,,,,,BA,,"1.690,98",,,,,,-,,,,,,,,"1.690,98",,,,,,,,"12.398,12",,,,,,,,,
ITACARE-BA,,,,,,,BA,,"1.141,41",,,,,,-,,,,,,,,"1.141,41",,,,,,,,"8.368,71",,,,,,,,,
ITAGI-BA,,,,,,,BA,,"930,04",,,,,,-,,,,,,,,"930,04",,,,,,,,"6.818,96",,,,,,,,,
ITAGIBA-BA,,,,,,,BA,,"1.014,59",,,,,,-,,,,,,,,"1.014,59",,,,,,,,"7.438,87",,,,,,,,,
ITAGIMIRIM-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
ITAJU DO COLONIA-BA,,,,,,,BA,,"845,49",,,,,,-,,,,,,,,"845,49",,,,,,,,"6.199,06",,,,,,,,,
ITAJUIPE-BA,,,,,,,BA,,"1.099,14",,,,,,-,,,,,,,,"1.099,14",,,,,,,,"8.058,78",,,,,,,,,
