ANAGE-BA,,,BA,,,,"104,65",,,,,,-,,,,,"104,65",,,,,"104,65",,,,,,,,,
ANGUERA-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
ANTAS-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
ANTONIO CARDOSO-BA,,,BA,,,,"78,49",,,,,,-,,,,,"78,49",,,,,"78,49",,,,,,,,,
APORA-BA,,,BA,,,,"89,70",,,,,,-,,,,,"89,70",,,,,"89,70",,,,,,,,,
APUAREMA-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
ARACAS-BA,,,BA,,,,"224.171,58",,,,,,"100.822,38",,,,,"324.993,96",,,,,"324.993,96",,,,,,,,,
ARACI-BA,,,BA,,,,"115,86",,,,,,-,,,,,"115,86",,,,,"115,86",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARAMARI-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
ARATUIPE-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
BAIXA GRANDE-BA,,,BA,,,,"97,17",,,,,,-,,,,,"97,17",,,,,"97,17",,,,,,,,,
BANZAE-BA,,,BA,,,,"78,49",,,,,,-,,,,,"78,49",,,,,"78,49",,,,,,,,,
BARRA DO CHOCA-BA,,,BA,,,,"115,86",,,,,,-,,,,,"115,86",,,,,"115,86",,,,,,,,,
BARROCAS-BA,,,BA,,,,"82,22",,,,,,-,,,,,"82,22",,,,,"82,22",,,,,,,,,
BELO CAMPO-BA,,,BA,,,,"89,70",,,,,,-,,,,,"89,70",,,,,"89,70",,,,,,,,,
BIRITINGA-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
BOA NOVA-BA,,,BA,,,,"97,17",,,,,,-,,,,,"97,17",,,,,"97,17",,,,,,,,,
BOA VISTA DO TUPIM-BA,,,BA,,,,"93,44",,,,,,-,,,,,"93,44",,,,,"93,44",,,,,,,,,
BOM JESUS DA SERRA-BA,,,BA,,,,"78,49",,,,,,-,,,,,"78,49",,,,,"78,49",,,,,,,,,
BREJOES-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
CAATIBA-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
CACHOEIRA-BA,,,BA,,,,"104,65",,,,,,-,,,,,"104,65",,,,,"104,65",,,,,,,,,
CAEM-BA,,,BA,,,,"82,22",,,,,,-,,,,,"82,22",,,,,"82,22",,,,,,,,,
CAETANOS-BA,,,BA,,,,"82,22",,,,,,-,,,,,"82,22",,,,,"82,22",,,,,,,,,
CAMACARI-BA,,,BA,,,,"222,65",,,,,,"41,69",,,,,"264,34",,,,,"264,34",,,,,,,,,
CANDEAL-BA,,,BA,,,,"78,49",,,,,,-,,,,,"78,49",,,,,"78,49",,,,,,,,,
CANDEIAS-BA,,,BA,,,,"208.791,14",,,,,,"212.210,45",,,,,"421.001,59",,,,,"421.001,59",,,,,,,,,
CANDIDO SALES-BA,,,BA,,,,"104,65",,,,,,-,,,,,"104,65",,,,,"104,65",,,,,,,,,
CANSANCAO-BA,,,BA,,,,"104,65",,,,,,-,,,,,"104,65",,,,,"104,65",,,,,,,,,
CANUDOS-BA,,,BA,,,,"82,22",,,,,,-,,,,,"82,22",,,,,"82,22",,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,BA,,,,"78,49",,,,,,-,,,,,"78,49",,,,,"78,49",,,,,,,,,
CAPIM GROSSO-BA,,,BA,,,,"97,17",,,,,,-,,,,,"97,17",,,,,"97,17",,,,,,,,,
CARDEAL DA SILVA-BA,,,BA,,,,"118.519,94",,,,,,"29.121,90",,,,,"147.641,84",,,,,"147.641,84",,,,,,,,,
CASTRO ALVES-BA,,,BA,,,,"100,91",,,,,,-,,,,,"100,91",,,,,"100,91",,,,,,,,,
CATU-BA,,,BA,,,,"233.217,68",,,,,,"120.277,50",,,,,"353.495,18",,,,,"353.495,18",,,,,,,,,
CICERO DANTAS-BA,,,BA,,,,"104,65",,,,,,-,,,,,"104,65",,,,,"104,65",,,,,,,,,
CIPO-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
CONCEICAO DA FEIRA-BA,,,BA,,,,"89,70",,,,,,-,,,,,"89,70",,,,,"89,70",,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,BA,,,,"93,44",,,,,,-,,,,,"93,44",,,,,"93,44",,,,,,,,,
CONCEICAO DO COITE-BA,,,BA,,,,"123,34",,,,,,-,,,,,"123,34",,,,,"123,34",,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,BA,,,,"100,91",,,,,,-,,,,,"100,91",,,,,"100,91",,,,,,,,,
CONDE-BA,,,BA,,,,"138,81",,,,,,"26,85",,,,,"165,66",,,,,"165,66",,,,,,,,,
CORACAO DE MARIA-BA,,,BA,,,,"97,17",,,,,,-,,,,,"97,17",,,,,"97,17",,,,,,,,,
CORONEL JOAO SA-BA,,,BA,,,,"93,44",,,,,,-,,,,,"93,44",,,,,"93,44",,,,,,,,,
