FELIZ DESERTO-AL,,,,AL,,,,"4.736,79",,,,,,,,"6.492,36",,,,,,"11.229,15",,,,,,,,,"32.073,31",,,,,,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,"147,87",,,,,,,,-,,,,,,"147,87",,,,,,,,,"422,35",,,,,,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,"154,59",,,,,,,,-,,,,,,"154,59",,,,,,,,,"441,55",,,,,,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,"168,04",,,,,,,,-,,,,,,"168,04",,,,,,,,,"479,96",,,,,,,,,,,,,,
JACUIPE-AL,,,,AL,,,,"134,43",,,,,,,,-,,,,,,"134,43",,,,,,,,,"383,97",,,,,,,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,"134,43",,,,,,,,-,,,,,,"134,43",,,,,,,,,"383,97",,,,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,"168,04",,,,,,,,-,,,,,,"168,04",,,,,,,,,"479,96",,,,,,,,,,,,,,
JUNDIA-AL,,,,AL,,,,"134,43",,,,,,,,-,,,,,,"134,43",,,,,,,,,"383,97",,,,,,,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,"174,76",,,,,,,,-,,,,,,"174,76",,,,,,,,,"499,16",,,,,,,,,,,,,,
MACEIO-AL,,,,AL,,,,"8.333,84",,,,,,,,"7.623,42",,,,,,"15.957,26",,,,,,,,,"34.459,46",,,,,,,,,,,,,,
MARAGOGI-AL,,,,AL,,,,"161,31",,,,,,,,-,,,,,,"161,31",,,,,,,,,"460,75",,,,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,"12.176,03",,,,,,,,"4.116,16",,,,,,"16.292,19",,,,,,,,,"43.870,90",,,,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,"174,76",,,,,,,,-,,,,,,"174,76",,,,,,,,,"499,16",,,,,,,,,,,,,,
MESSIAS-AL,,,,AL,,,,"141,15",,,,,,,,-,,,,,,"141,15",,,,,,,,,"403,16",,,,,,,,,,,,,,
MURICI-AL,,,,AL,,,,"174,76",,,,,,,,-,,,,,,"174,76",,,,,,,,,"499,16",,,,,,,,,,,,,,
NOVO LINO-AL,,,,AL,,,,"141,15",,,,,,,,-,,,,,,"141,15",,,,,,,,,"403,16",,,,,,,,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,"134,43",,,,,,,,-,,,,,,"134,43",,,,,,,,,"383,97",,,,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,"147,87",,,,,,,,-,,,,,,"147,87",,,,,,,,,"422,35",,,,,,,,,,,,,,
PENEDO-AL,,,,AL,,,,"215,09",,,,,,,,-,,,,,,"215,09",,,,,,,,,"614,35",,,,,,,,,,,,,,
PIACABUCU-AL,,,,AL,,,,"6.674,59",,,,,,,,-,,,,,,"6.674,59",,,,,,,,,"16.761,02",,,,,,,,,,,,,,
PILAR-AL,,,,AL,,,,"24.616,93",,,,,,,,"11.533,47",,,,,,"36.150,40",,,,,,,,,"94.976,84",,,,,,,,,,,,,,
PINDOBA-AL,,,,AL,,,,"134,43",,,,,,,,-,,,,,,"134,43",,,,,,,,,"383,97",,,,,,,,,,,,,,
PORTO CALVO-AL,,,,AL,,,,"181,48",,,,,,,,-,,,,,,"181,48",,,,,,,,,"518,36",,,,,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,,"141,15",,,,,,,,-,,,,,,"141,15",,,,,,,,,"403,16",,,,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,,"161,31",,,,,,,,-,,,,,,"161,31",,,,,,,,,"460,75",,,,,,,,,,,,,,
RIO LARGO-AL,,,,AL,,,,"221,81",,,,,,,,-,,,,,,"221,81",,,,,,,,,"633,55",,,,,,,,,,,,,,
ROTEIRO-AL,,,,AL,,,,"258,42",,,,,,,,"80,11",,,,,,"338,53",,,,,,,,,"881,65",,,,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,,"6.654,77",,,,,,,,"608,62",,,,,,"7.263,39",,,,,,,,,"18.079,87",,,,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,,"147,87",,,,,,,,-,,,,,,"147,87",,,,,,,,,"422,35",,,,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,,"174,76",,,,,,,,-,,,,,,"174,76",,,,,,,,,"499,16",,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,,"188,2",,,,,,,,-,,,,,,"188,2",,,,,,,,,"537,55",,,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,,"23.581,88",,,,,,,,"8.922,12",,,,,,"32.504,00",,,,,,,,,"86.774,28",,,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,,"134,43",,,,,,,,-,,,,,,"134,43",,,,,,,,,"383,97",,,,,,,,,,,,,,
SATUBA-AL,,,,AL,,,,"3.201,09",,,,,,,,"1.967,38",,,,,,"5.168,47",,,,,,,,,"13.463,37",,,,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,,"194,92",,,,,,,,-,,,,,,"194,92",,,,,,,,,"556,74",,,,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,,"215,09",,,,,,,,-,,,,,,"215,09",,,,,,,,,"614,35",,,,,,,,,,,,,,
VICOSA-AL,,,,AL,,,,"181,48",,,,,,,,-,,,,,,"181,48",,,,,,,,,"518,36",,,,,,,,,,,,,,
COARI-AM,,,,AM,,,,"174.671,01",,,,,,,,"161.875,82",,,,,,"336.546,83",,,,,,,,,"808.878,80",,,,,,,,,,,,,,
CODAJAS-AM,,,,AM,,,,-,,,,,,,,"3.055,03",,,,,,"3.055,03",,,,,,,,,"24.391,40",,,,,,,,,,,,,,
MANAUS-AM,,,,AM,,,,"6.520,34",,,,,,,,"33.657,62",,,,,,"40.177,96",,,,,,,,,"113.688,55",,,,,,,,,,,,,,
ACAJUTIBA-BA,,,,BA,,,,"11,58",,,,,,,,-,,,,,,"11,58",,,,,,,,,"11,58",,,,,,,,,,,,,,
ADUSTINA-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
AGUA FRIA-BA,,,,BA,,,,"11,99",,,,,,,,-,,,,,,"11,99",,,,,,,,,"11,99",,,,,,,,,,,,,,
AIQUARA-BA,,,,BA,,,,"10,46",,,,,,,,-,,,,,,"10,46",,,,,,,,,"10,46",,,,,,,,,,,,,,
ALAGOINHAS-BA,,,,BA,,,,"40.627,97",,,,,,,,"21.249,55",,,,,,"61.877,52",,,,,,,,,"151.206,06",,,,,,,,,,,,,,
AMARGOSA-BA,,,,BA,,,,"14,62",,,,,,,,-,,,,,,"14,62",,,,,,,,,"14,62",,,,,,,,,,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,,"13,5",,,,,,,,-,,,,,,"13,5",,,,,,,,,"13,5",,,,,,,,,,,,,,
ANAGE-BA,,,,BA,,,,"16,48",,,,,,,,-,,,,,,"16,48",,,,,,,,,"16,48",,,,,,,,,,,,,,
ANGUERA-BA,,,,BA,,,,"10,46",,,,,,,,-,,,,,,"10,46",,,,,,,,,"10,46",,,,,,,,,,,,,,
ANTAS-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
APORA-BA,,,,BA,,,,"11,99",,,,,,,,-,,,,,,"11,99",,,,,,,,,"11,99",,,,,,,,,,,,,,
APUAREMA-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
ARACAS-BA,,,,BA,,,,"15.185,58",,,,,,,,"5.478,86",,,,,,"20.664,44",,,,,,,,,"52.746,46",,,,,,,,,,,,,,
ARACI-BA,,,,BA,,,,"16,85",,,,,,,,-,,,,,,"16,85",,,,,,,,,"16,85",,,,,,,,,,,,,,
ARAMARI-BA,,,,BA,,,,"10,46",,,,,,,,-,,,,,,"10,46",,,,,,,,,"10,46",,,,,,,,,,,,,,
ARATUIPE-BA,,,,BA,,,,"10,46",,,,,,,,-,,,,,,"10,46",,,,,,,,,"10,46",,,,,,,,,,,,,,
BAIXA GRANDE-BA,,,,BA,,,,"13,5",,,,,,,,-,,,,,,"13,5",,,,,,,,,"13,5",,,,,,,,,,,,,,
BANZAE-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
BARRA DO CHOCA-BA,,,,BA,,,,"15,74",,,,,,,,-,,,,,,"15,74",,,,,,,,,"15,74",,,,,,,,,,,,,,
BELO CAMPO-BA,,,,BA,,,,"11,99",,,,,,,,-,,,,,,"11,99",,,,,,,,,"11,99",,,,,,,,,,,,,,
BIRITINGA-BA,,,,BA,,,,"11,58",,,,,,,,-,,,,,,"11,58",,,,,,,,,"11,58",,,,,,,,,,,,,,
BOA NOVA-BA,,,,BA,,,,"12,7",,,,,,,,-,,,,,,"12,7",,,,,,,,,"12,7",,,,,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,BA,,,,"13,13",,,,,,,,-,,,,,,"13,13",,,,,,,,,"13,13",,,,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
BREJOES-BA,,,,BA,,,,"11,99",,,,,,,,-,,,,,,"11,99",,,,,,,,,"11,99",,,,,,,,,,,,,,
CAATIBA-BA,,,,BA,,,,"11,99",,,,,,,,-,,,,,,"11,99",,,,,,,,,"11,99",,,,,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,BA,,,,"11,99",,,,,,,,-,,,,,,"11,99",,,,,,,,,"11,99",,,,,,,,,,,,,,
CACHOEIRA-BA,,,,BA,,,,"14,62",,,,,,,,-,,,,,,"14,62",,,,,,,,,"14,62",,,,,,,,,,,,,,
CAEM-BA,,,,BA,,,,"12,7",,,,,,,,-,,,,,,"12,7",,,,,,,,,"12,7",,,,,,,,,,,,,,
CAETANOS-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
CAMACARI-BA,,,,BA,,,,"6.676,34",,,,,,,,"58,78",,,,,,"6.735,12",,,,,,,,,"16.666,77",,,,,,,,,,,,,,
CANDEAL-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
CANDEIAS-BA,,,,BA,,,,"88.531,67",,,,,,,,"41.262,40",,,,,,"129.794,07",,,,,,,,,"315.651,25",,,,,,,,,,,,,,
CANDIDO SALES-BA,,,,BA,,,,"14,26",,,,,,,,-,,,,,,"14,26",,,,,,,,,"14,26",,,,,,,,,,,,,,
CANSANCAO-BA,,,,BA,,,,"14,62",,,,,,,,-,,,,,,"14,62",,,,,,,,,"14,62",,,,,,,,,,,,,,
CANUDOS-BA,,,,BA,,,,"12,7",,,,,,,,-,,,,,,"12,7",,,,,,,,,"12,7",,,,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
CAPIM GROSSO-BA,,,,BA,,,,"14,26",,,,,,,,-,,,,,,"14,26",,,,,,,,,"14,26",,,,,,,,,,,,,,
CARAVELAS-BA,,,,BA,,,,"7.109,65",,,,,,,,"441,91",,,,,,"7.551,56",,,,,,,,,"18.848,08",,,,,,,,,,,,,,
CARDEAL DA SILVA-BA,,,,BA,,,,"17.894,47",,,,,,,,"7.314,70",,,,,,"25.209,17",,,,,,,,,"64.708,84",,,,,,,,,,,,,,
CASTRO ALVES-BA,,,,BA,,,,"14,26",,,,,,,,-,,,,,,"14,26",,,,,,,,,"14,26",,,,,,,,,,,,,,
CATU-BA,,,,BA,,,,"24.601,86",,,,,,,,"11.143,74",,,,,,"35.745,60",,,,,,,,,"94.499,12",,,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CICERO DANTAS-BA,,,,BA,,,,"14,62",,,,,,,,-,,,,,,"14,62",,,,,,,,,"14,62",,,,,,,,,,,,,,
CIPO-BA,,,,BA,,,,"11,58",,,,,,,,-,,,,,,"11,58",,,,,,,,,"11,58",,,,,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,BA,,,,"12,7",,,,,,,,-,,,,,,"12,7",,,,,,,,,"12,7",,,,,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,BA,,,,"13,13",,,,,,,,-,,,,,,"13,13",,,,,,,,,"13,13",,,,,,,,,,,,,,
CONCEICAO DO COITE-BA,,,,BA,,,,"16,85",,,,,,,,-,,,,,,"16,85",,,,,,,,,"16,85",,,,,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,BA,,,,"14,26",,,,,,,,-,,,,,,"14,26",,,,,,,,,"14,26",,,,,,,,,,,,,,
CONDE-BA,,,,BA,,,,"13,13",,,,,,,,-,,,,,,"13,13",,,,,,,,,"13,13",,,,,,,,,,,,,,
CORACAO DE MARIA-BA,,,,BA,,,,"13,5",,,,,,,,-,,,,,,"13,5",,,,,,,,,"13,5",,,,,,,,,,,,,,
CORONEL JOAO SA-BA,,,,BA,,,,"13,13",,,,,,,,-,,,,,,"13,13",,,,,,,,,"13,13",,,,,,,,,,,,,,
CRAVOLANDIA-BA,,,,BA,,,,"10,46",,,,,,,,-,,,,,,"10,46",,,,,,,,,"10,46",,,,,,,,,,,,,,
CRISOPOLIS-BA,,,,BA,,,,"12,7",,,,,,,,-,,,,,,"12,7",,,,,,,,,"12,7",,,,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,BA,,,,"16,85",,,,,,,,-,,,,,,"16,85",,,,,,,,,"16,85",,,,,,,,,,,,,,
DARIO MEIRA-BA,,,,BA,,,,"11,99",,,,,,,,-,,,,,,"11,99",,,,,,,,,"11,99",,,,,,,,,,,,,,
DIAS D'AVILA-BA,,,,BA,,,,"76,42",,,,,,,,"26,19",,,,,,"102,61",,,,,,,,,"165,73",,,,,,,,,,,,,,
DOM MACEDO COSTA-BA,,,,BA,,,,"10,46",,,,,,,,-,,,,,,"10,46",,,,,,,,,"10,46",,,,,,,,,,,,,,
ELISIO MEDRADO-BA,,,,BA,,,,"10,46",,,,,,,,-,,,,,,"10,46",,,,,,,,,"10,46",,,,,,,,,,,,,,
ENCRUZILHADA-BA,,,,BA,,,,"14,62",,,,,,,,-,,,,,,"14,62",,,,,,,,,"14,62",,,,,,,,,,,,,,
ENTRE RIOS-BA,,,,BA,,,,"49.862,69",,,,,,,,"27.943,34",,,,,,"77.806,03",,,,,,,,,"193.692,09",,,,,,,,,,,,,,
ESPLANADA-BA,,,,BA,,,,"61.922,07",,,,,,,,"35.816,87",,,,,,"97.738,94",,,,,,,,,"236.337,64",,,,,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,BA,,,,"16,85",,,,,,,,-,,,,,,"16,85",,,,,,,,,"16,85",,,,,,,,,,,,,,
FATIMA-BA,,,,BA,,,,"12,7",,,,,,,,-,,,,,,"12,7",,,,,,,,,"12,7",,,,,,,,,,,,,,
FEIRA DE SANTANA-BA,,,,BA,,,,"20,64",,,,,,,,-,,,,,,"20,64",,,,,,,,,"20,64",,,,,,,,,,,,,,
GAVIAO-BA,,,,BA,,,,"10,83",,,,,,,,-,,,,,,"10,83",,,,,,,,,"10,83",,,,,,,,,,,,,,
GLORIA-BA,,,,BA,,,,"11,58",,,,,,,,-,,,,,,"11,58",,,,,,,,,"11,58",,,,,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,BA,,,,"12,7",,,,,,,,-,,,,,,"12,7",,,,,,,,,"12,7",,,,,,,,,,,,,,
HELIOPOLIS-BA,,,,BA,,,,"11,58",,,,,,,,-,,,,,,"11,58",,,,,,,,,"11,58",,,,,,,,,,,,,,
IACU-BA,,,,BA,,,,"14,26",,,,,,,,-,,,,,,"14,26",,,,,,,,,"14,26",,,,,,,,,,,,,,
IBIQUERA-BA,,,,BA,,,,"10,83",,,,,,,,-,,,,,,"10,83",,,,,,,,,"10,83",,,,,,,,,,,,,,
ICHU-BA,,,,BA,,,,"10,83",,,,,,,,-,,,,,,"10,83",,,,,,,,,"10,83",,,,,,,,,,,,,,
INHAMBUPE-BA,,,,BA,,,,"14,26",,,,,,,,-,,,,,,"14,26",,,,,,,,,"14,26",,,,,,,,,,,,,,
IPECAETA-BA,,,,BA,,,,"12,7",,,,,,,,-,,,,,,"12,7",,,,,,,,,"12,7",,,,,,,,,,,,,,
IPIRA-BA,,,,BA,,,,"17,26",,,,,,,,-,,,,,,"17,26",,,,,,,,,"17,26",,,,,,,,,,,,,,
IRAJUBA-BA,,,,BA,,,,"10,83",,,,,,,,-,,,,,,"10,83",,,,,,,,,"10,83",,,,,,,,,,,,,,
IRARA-BA,,,,BA,,,,"14,26",,,,,,,,-,,,,,,"14,26",,,,,,,,,"14,26",,,,,,,,,,,,,,
ITABERABA-BA,,,,BA,,,,"17,26",,,,,,,,-,,,,,,"17,26",,,,,,,,,"17,26",,,,,,,,,,,,,,
ITAGI-BA,,,,BA,,,,"11,99",,,,,,,,-,,,,,,"11,99",,,,,,,,,"11,99",,,,,,,,,,,,,,
ITAMBE-BA,,,,BA,,,,"14,62",,,,,,,,-,,,,,,"14,62",,,,,,,,,"14,62",,,,,,,,,,,,,,
ITANAGRA-BA,,,,BA,,,,"8.890,34",,,,,,,,"1.495,88",,,,,,"10.386,22",,,,,,,,,"26.413,08",,,,,,,,,,,,,,
ITAPARICA-BA,,,,BA,,,,"53.437,45",,,,,,,,"797,91",,,,,,"54.235,36",,,,,,,,,"129.129,90",,,,,,,,,,,,,,
ITAPETINGA-BA,,,,BA,,,,"16,85",,,,,,,,-,,,,,,"16,85",,,,,,,,,"16,85",,,,,,,,,,,,,,
ITAPICURU-BA,,,,BA,,,,"14,26",,,,,,,,-,,,,,,"14,26",,,,,,,,,"14,26",,,,,,,,,,,,,,
ITAQUARA-BA,,,,BA,,,,"10,83",,,,,,,,-,,,,,,"10,83",,,,,,,,,"10,83",,,,,,,,,,,,,,
ITARANTIM-BA,,,,BA,,,,"11,99",,,,,,,,-,,,,,,"11,99",,,,,,,,,"11,99",,,,,,,,,,,,,,
ITATIM-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
ITIRUCU-BA,,,,BA,,,,"11,58",,,,,,,,-,,,,,,"11,58",,,,,,,,,"11,58",,,,,,,,,,,,,,
ITIUBA-BA,,,,BA,,,,"15,33",,,,,,,,-,,,,,,"15,33",,,,,,,,,"15,33",,,,,,,,,,,,,,
JACOBINA-BA,,,,BA,,,,"18,74",,,,,,,,-,,,,,,"18,74",,,,,,,,,"18,74",,,,,,,,,,,,,,
JAGUAQUARA-BA,,,,BA,,,,"16,48",,,,,,,,-,,,,,,"16,48",,,,,,,,,"16,48",,,,,,,,,,,,,,
JAGUARIPE-BA,,,,BA,,,,"11,58",,,,,,,,-,,,,,,"11,58",,,,,,,,,"11,58",,,,,,,,,,,,,,
JANDAIRA-BA,,,,BA,,,,"10,83",,,,,,,,-,,,,,,"10,83",,,,,,,,,"10,83",,,,,,,,,,,,,,
JEQUIE-BA,,,,BA,,,,"20,64",,,,,,,,-,,,,,,"20,64",,,,,,,,,"20,64",,,,,,,,,,,,,,
JEREMOABO-BA,,,,BA,,,,"15,33",,,,,,,,-,,,,,,"15,33",,,,,,,,,"15,33",,,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIQUIRICA-BA,,,,BA,,,,"11,58",,,,,,,,-,,,,,,"11,58",,,,,,,,,"11,58",,,,,,,,,,,,,,
JITAUNA-BA,,,,BA,,,,"12,7",,,,,,,,-,,,,,,"12,7",,,,,,,,,"12,7",,,,,,,,,,,,,,
LAFAIETE COUTINHO-BA,,,,BA,,,,"10,83",,,,,,,,-,,,,,,"10,83",,,,,,,,,"10,83",,,,,,,,,,,,,,
LAJE-BA,,,,BA,,,,"13,13",,,,,,,,-,,,,,,"13,13",,,,,,,,,"13,13",,,,,,,,,,,,,,
LAJEDINHO-BA,,,,BA,,,,"10,46",,,,,,,,-,,,,,,"10,46",,,,,,,,,"10,46",,,,,,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,BA,,,,"10,83",,,,,,,,-,,,,,,"10,83",,,,,,,,,"10,83",,,,,,,,,,,,,,
LAMARAO-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
LAURO DE FREITAS-BA,,,,BA,,,,"19,15",,,,,,,,-,,,,,,"19,15",,,,,,,,,"19,15",,,,,,,,,,,,,,
MACAJUBA-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
MACARANI-BA,,,,BA,,,,"12,7",,,,,,,,-,,,,,,"12,7",,,,,,,,,"12,7",,,,,,,,,,,,,,
MADRE DE DEUS-BA,,,,BA,,,,"53.355,71",,,,,,,,"82.771,81",,,,,,"136.127,52",,,,,,,,,"282.693,55",,,,,,,,,,,,,,
MAIQUINIQUE-BA,,,,BA,,,,"10,83",,,,,,,,-,,,,,,"10,83",,,,,,,,,"10,83",,,,,,,,,,,,,,
MAIRI-BA,,,,BA,,,,"13,13",,,,,,,,-,,,,,,"13,13",,,,,,,,,"13,13",,,,,,,,,,,,,,
MANOEL VITORINO-BA,,,,BA,,,,"11,99",,,,,,,,-,,,,,,"11,99",,,,,,,,,"11,99",,,,,,,,,,,,,,
MARACAS-BA,,,,BA,,,,"14,62",,,,,,,,-,,,,,,"14,62",,,,,,,,,"14,62",,,,,,,,,,,,,,
MARAGOGIPE-BA,,,,BA,,,,"15,33",,,,,,,,-,,,,,,"15,33",,,,,,,,,"15,33",,,,,,,,,,,,,,
MARCIONILIO SOUZA-BA,,,,BA,,,,"11,58",,,,,,,,-,,,,,,"11,58",,,,,,,,,"11,58",,,,,,,,,,,,,,
MATA DE SAO JOAO-BA,,,,BA,,,,"28.737,18",,,,,,,,"11.943,67",,,,,,"40.680,85",,,,,,,,,"111.324,06",,,,,,,,,,,,,,
MIGUEL CALMON-BA,,,,BA,,,,"15,33",,,,,,,,-,,,,,,"15,33",,,,,,,,,"15,33",,,,,,,,,,,,,,
MILAGRES-BA,,,,BA,,,,"11,58",,,,,,,,-,,,,,,"11,58",,,,,,,,,"11,58",,,,,,,,,,,,,,
MIRANTE-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
MONTE SANTO-BA,,,,BA,,,,"16,85",,,,,,,,-,,,,,,"16,85",,,,,,,,,"16,85",,,,,,,,,,,,,,
MUNDO NOVO-BA,,,,BA,,,,"13,5",,,,,,,,-,,,,,,"13,5",,,,,,,,,"13,5",,,,,,,,,,,,,,
MUNIZ FERREIRA-BA,,,,BA,,,,"10,83",,,,,,,,-,,,,,,"10,83",,,,,,,,,"10,83",,,,,,,,,,,,,,
MURITIBA-BA,,,,BA,,,,"14,26",,,,,,,,-,,,,,,"14,26",,,,,,,,,"14,26",,,,,,,,,,,,,,
MUTUIPE-BA,,,,BA,,,,"13,13",,,,,,,,-,,,,,,"13,13",,,,,,,,,"13,13",,,,,,,,,,,,,,
NAZARE-BA,,,,BA,,,,"14,26",,,,,,,,-,,,,,,"14,26",,,,,,,,,"14,26",,,,,,,,,,,,,,
NORDESTINA-BA,,,,BA,,,,"10,87",,,,,,,,-,,,,,,"10,87",,,,,,,,,"10,87",,,,,,,,,,,,,,
NOVA CANAA-BA,,,,BA,,,,"11,58",,,,,,,,-,,,,,,"11,58",,,,,,,,,"11,58",,,,,,,,,,,,,,
NOVA FATIMA-BA,,,,BA,,,,"10,83",,,,,,,,-,,,,,,"10,83",,,,,,,,,"10,83",,,,,,,,,,,,,,
NOVA ITARANA-BA,,,,BA,,,,"10,83",,,,,,,,-,,,,,,"10,83",,,,,,,,,"10,83",,,,,,,,,,,,,,
NOVA SOURE-BA,,,,BA,,,,"13,5",,,,,,,,-,,,,,,"13,5",,,,,,,,,"13,5",,,,,,,,,,,,,,
NOVO TRIUNFO-BA,,,,BA,,,,"11,58",,,,,,,,-,,,,,,"11,58",,,,,,,,,"11,58",,,,,,,,,,,,,,
OLINDINA-BA,,,,BA,,,,"13,5",,,,,,,,-,,,,,,"13,5",,,,,,,,,"13,5",,,,,,,,,,,,,,
OURICANGAS-BA,,,,BA,,,,"10,83",,,,,,,,-,,,,,,"10,83",,,,,,,,,"10,83",,,,,,,,,,,,,,
OUROLANDIA-BA,,,,BA,,,,"11,99",,,,,,,,-,,,,,,"11,99",,,,,,,,,"11,99",,,,,,,,,,,,,,
PARIPIRANGA-BA,,,,BA,,,,"14,26",,,,,,,,-,,,,,,"14,26",,,,,,,,,"14,26",,,,,,,,,,,,,,
