PARINTINS-AM,,,,,AM,,,,-,,,,,"6.086,06",,,,,,"6.086,06",,,,,,"57.528,95",,,,,,,,,,
SILVES-AM,,,,,AM,,,,-,,,,,"6.086,06",,,,,,"6.086,06",,,,,,"57.528,95",,,,,,,,,,
URUCARA-AM,,,,,AM,,,,-,,,,,"6.086,06",,,,,,"6.086,06",,,,,,"57.528,95",,,,,,,,,,
URUCURITUBA-AM,,,,,AM,,,,-,,,,,"6.086,06",,,,,,"6.086,06",,,,,,"57.528,95",,,,,,,,,,
TOTAL AMAZONAS,,,,,,,,,"2.559.529,81",,,,,"2.408.398,39",,,,,,"4.967.928,20",,,,,,"47.560.566,97",,,,,,,,,,
LARANJAL DO JARI-AP,,,,,AP,,,,-,,,,,"6.086,06",,,,,,"6.086,06",,,,,,"57.528,95",,,,,,,,,,
MACAPA-AP,,,,,AP,,,,-,,,,,"6.086,06",,,,,,"6.086,06",,,,,,"57.528,95",,,,,,,,,,
MAZAGAO-AP,,,,,AP,,,,-,,,,,"6.086,06",,,,,,"6.086,06",,,,,,"57.528,95",,,,,,,,,,
TOTAL AMAPA,,,,,,,,,-,,,,,"18.258,18",,,,,,"18.258,18",,,,,,"172.586,85",,,,,,,,,,
ACAJUTIBA-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
ADUSTINA-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
AGUA FRIA-BA,,,,,BA,,,,"92,85",,,,,-,,,,,,"92,85",,,,,,"835,89",,,,,,,,,,
AIQUARA-BA,,,,,BA,,,,"80,74",,,,,-,,,,,,"80,74",,,,,,"726,84",,,,,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,"328.006,66",,,,,"150.370,54",,,,,,"478.377,20",,,,,,"4.129.931,98",,,,,,,,,,
AMARGOSA-BA,,,,,BA,,,,"113,04",,,,,-,,,,,,"113,04",,,,,,"1.017,63",,,,,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,,"109,00",,,,,-,,,,,,"109,00",,,,,,"981,25",,,,,,,,,,
