ENCRUZILHADA,,,BA,,,"116,75",,,,,,,-,,,,,,,,"116,75",,,,,,,"308,66",,,,,,,,,,,,,
ENTRE RIOS,,,BA,,,"220.084,73",,,,,,,"123.926,38",,,,,,,,"344.011,11",,,,,,,"920.962,09",,,,,,,,,,,,,
ESPLANADA,,,BA,,,"340.089,43",,,,,,,"204.768,63",,,,,,,,"544.858,06",,,,,,,"1.550.614,78",,,,,,,,,,,,,
EUCLIDES DA CUNHA,,,BA,,,"128,82",,,,,,,-,,,,,,,,"128,82",,,,,,,"340,58",,,,,,,,,,,,,
FATIMA,,,BA,,,"100,64",,,,,,,-,,,,,,,,"100,64",,,,,,,"266,08",,,,,,,,,,,,,
FEIRA DE SANTANA,,,BA,,,"161,03",,,,,,,-,,,,,,,,"161,03",,,,,,,"425,73",,,,,,,,,,,,,
GAVIAO,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
GLORIA,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
GOVERNADOR MANGABEIRA,,,BA,,,"96,62",,,,,,,-,,,,,,,,"96,62",,,,,,,"255,44",,,,,,,,,,,,,
HELIOPOLIS,,,BA,,,"88,56",,,,,,,-,,,,,,,,"88,56",,,,,,,"234,14",,,,,,,,,,,,,
IACU,,,BA,,,"112,72",,,,,,,-,,,,,,,,"112,72",,,,,,,"298,01",,,,,,,,,,,,,
IBIQUERA,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
ICHU,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
INHAMBUPE,,,BA,,,"112,72",,,,,,,-,,,,,,,,"112,72",,,,,,,"298,01",,,,,,,,,,,,,
IPECAETA,,,BA,,,"100,64",,,,,,,-,,,,,,,,"100,64",,,,,,,"266,08",,,,,,,,,,,,,
IPIRA,,,BA,,,"132,85",,,,,,,-,,,,,,,,"132,85",,,,,,,"351,22",,,,,,,,,,,,,
IRAJUBA,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
IRARA,,,BA,,,"108,69",,,,,,,-,,,,,,,,"108,69",,,,,,,"287,36",,,,,,,,,,,,,
ITABERABA,,,BA,,,"132,85",,,,,,,-,,,,,,,,"132,85",,,,,,,"351,22",,,,,,,,,,,,,
ITAGI,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
ITAMBE,,,BA,,,"112,72",,,,,,,-,,,,,,,,"112,72",,,,,,,"298,01",,,,,,,,,,,,,
ITANAGRA,,,BA,,,"91.279,15",,,,,,,"15.365,74",,,,,,,,"106.644,89",,,,,,,"287.487,88",,,,,,,,,,,,,
ITAPARICA,,,BA,,,"2.787,59",,,,,,,"191.529,87",,,,,,,,"194.317,46",,,,,,,"400.644,54",,,,,,,,,,,,,
ITAPETINGA,,,BA,,,"132,85",,,,,,,-,,,,,,,,"132,85",,,,,,,"351,22",,,,,,,,,,,,,
ITAPICURU,,,BA,,,"108,69",,,,,,,-,,,,,,,,"108,69",,,,,,,"287,36",,,,,,,,,,,,,
ITAQUARA,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
ITARANTIM,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
ITATIM,,,BA,,,"88,56",,,,,,,-,,,,,,,,"88,56",,,,,,,"234,14",,,,,,,,,,,,,
ITIRUCU,,,BA,,,"88,56",,,,,,,-,,,,,,,,"88,56",,,,,,,"234,14",,,,,,,,,,,,,
ITIUBA,,,BA,,,"116,75",,,,,,,-,,,,,,,,"116,75",,,,,,,"308,66",,,,,,,,,,,,,
JACOBINA,,,BA,,,"140,90",,,,,,,-,,,,,,,,"140,90",,,,,,,"372,51",,,,,,,,,,,,,
JAGUAQUARA,,,BA,,,"124,80",,,,,,,-,,,,,,,,"124,80",,,,,,,"329,94",,,,,,,,,,,,,
JAGUARIPE,,,BA,,,"88,56",,,,,,,-,,,,,,,,"88,56",,,,,,,"234,14",,,,,,,,,,,,,
JANDAIRA,,,BA,,,"84,54",,,,,,,-,,,,,,,,"84,54",,,,,,,"223,50",,,,,,,,,,,,,
JEQUIE,,,BA,,,"161,03",,,,,,,-,,,,,,,,"161,03",,,,,,,"425,73",,,,,,,,,,,,,
JEREMOABO,,,BA,,,"116,75",,,,,,,-,,,,,,,,"116,75",,,,,,,"308,66",,,,,,,,,,,,,
JIQUIRICA,,,BA,,,"88,56",,,,,,,-,,,,,,,,"88,56",,,,,,,"234,14",,,,,,,,,,,,,
JITAUNA,,,BA,,,"104,67",,,,,,,-,,,,,,,,"104,67",,,,,,,"276,72",,,,,,,,,,,,,
LAFAIETE COUTINHO,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAJE,,,BA,,,"100,64",,,,,,,-,,,,,,,,"100,64",,,,,,,"266,08",,,,,,,,,,,,,
LAJEDINHO,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
LAJEDO DO TABOCAL,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
LAMARAO,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
LAURO DE FREITAS,,,BA,,,"152,98",,,,,,,-,,,,,,,,"152,98",,,,,,,"404,45",,,,,,,,,,,,,
MACAJUBA,,,BA,,,"84,54",,,,,,,-,,,,,,,,"84,54",,,,,,,"223,50",,,,,,,,,,,,,
MACARANI,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
MADRE DE DEUS,,,BA,,,"1.131.500,22",,,,,,,"881.381,96",,,,,,,,"2.012.882,18",,,,,,,"4.714.816,19",,,,,,,,,,,,,
MAIQUINIQUE,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
MAIRI,,,BA,,,"104,67",,,,,,,-,,,,,,,,"104,67",,,,,,,"276,72",,,,,,,,,,,,,
MANOEL VITORINO,,,BA,,,"96,62",,,,,,,-,,,,,,,,"96,62",,,,,,,"255,44",,,,,,,,,,,,,
MARACAS,,,BA,,,"112,72",,,,,,,-,,,,,,,,"112,72",,,,,,,"298,01",,,,,,,,,,,,,
MARAGOGIPE,,,BA,,,"124,80",,,,,,,-,,,,,,,,"124,80",,,,,,,"329,94",,,,,,,,,,,,,
MARCIONILIO SOUZA,,,BA,,,"84,54",,,,,,,-,,,,,,,,"84,54",,,,,,,"223,50",,,,,,,,,,,,,
MATA DE SAO JOAO,,,BA,,,"173.942,51",,,,,,,"67.884,39",,,,,,,,"241.826,90",,,,,,,"652.522,05",,,,,,,,,,,,,
MIGUEL CALMON,,,BA,,,"112,72",,,,,,,-,,,,,,,,"112,72",,,,,,,"298,01",,,,,,,,,,,,,
MILAGRES,,,BA,,,"88,56",,,,,,,-,,,,,,,,"88,56",,,,,,,"234,14",,,,,,,,,,,,,
MIRANTE,,,BA,,,"88,56",,,,,,,-,,,,,,,,"88,56",,,,,,,"234,14",,,,,,,,,,,,,
MONTE SANTO,,,BA,,,"128,82",,,,,,,-,,,,,,,,"128,82",,,,,,,"340,58",,,,,,,,,,,,,
MUNDO NOVO,,,BA,,,"104,67",,,,,,,-,,,,,,,,"104,67",,,,,,,"276,72",,,,,,,,,,,,,
MUNIZ FERREIRA,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
MURITIBA,,,BA,,,"112,72",,,,,,,-,,,,,,,,"112,72",,,,,,,"298,01",,,,,,,,,,,,,
MUTUIPE,,,BA,,,"104,67",,,,,,,-,,,,,,,,"104,67",,,,,,,"276,72",,,,,,,,,,,,,
NAZARE,,,BA,,,"108,69",,,,,,,-,,,,,,,,"108,69",,,,,,,"287,36",,,,,,,,,,,,,
NORDESTINA,,,BA,,,"84,54",,,,,,,-,,,,,,,,"84,54",,,,,,,"223,50",,,,,,,,,,,,,
NOVA CANAA,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
NOVA FATIMA,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
NOVA ITARANA,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
NOVA SOURE,,,BA,,,"108,69",,,,,,,-,,,,,,,,"108,69",,,,,,,"287,36",,,,,,,,,,,,,
NOVO TRIUNFO,,,BA,,,"88,56",,,,,,,-,,,,,,,,"88,56",,,,,,,"234,14",,,,,,,,,,,,,
OLINDINA,,,BA,,,"104,67",,,,,,,-,,,,,,,,"104,67",,,,,,,"276,72",,,,,,,,,,,,,
OURICANGAS,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
