DOM MACEDO COSTA-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"177,92"
ELISIO MEDRADO-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"177,92"
ENCRUZILHADA-BA,,,,,BA,,,,,"32,53",,,,,,,,-,,,,,,"32,53",,,,,,,,"249,08"
ENTRE RIOS-BA,,,,,BA,,,,,"113.477,60",,,,,,,,"63.154,69",,,,,,"176.632,29",,,,,,,,"1.316.161,87"
ESPLANADA-BA,,,,,BA,,,,,"144.942,77",,,,,,,,"83.418,39",,,,,,"228.361,16",,,,,,,,"1.694.061,70"
EUCLIDES DA CUNHA-BA,,,,,BA,,,,,"37,18",,,,,,,,-,,,,,,"37,18",,,,,,,,"284,79"
FATIMA-BA,,,,,BA,,,,,"27,88",,,,,,,,-,,,,,,"27,88",,,,,,,,"213,66"
FEIRA DE SANTANA-BA,,,,,BA,,,,,"46,48",,,,,,,,-,,,,,,"46,48",,,,,,,,"355,60"
GAVIAO-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
GLORIA-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,,"27,88",,,,,,,,-,,,,,,"27,88",,,,,,,,"213,66"
HELIOPOLIS-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
IACU-BA,,,,,BA,,,,,"31,37",,,,,,,,-,,,,,,"31,37",,,,,,,,"240,35"
IBIQUERA-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
ICHU-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
INHAMBUPE-BA,,,,,BA,,,,,"31,37",,,,,,,,-,,,,,,"31,37",,,,,,,,"240,35"
IPECAETA-BA,,,,,BA,,,,,"27,88",,,,,,,,-,,,,,,"27,88",,,,,,,,"213,66"
IPIRA-BA,,,,,BA,,,,,"38,34",,,,,,,,-,,,,,,"38,34",,,,,,,,"293,58"
IRAJUBA-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
IRARA-BA,,,,,BA,,,,,"31,37",,,,,,,,-,,,,,,"31,37",,,,,,,,"240,35"
ITABERABA-BA,,,,,BA,,,,,"38,34",,,,,,,,-,,,,,,"38,34",,,,,,,,"293,58"
ITAGI-BA,,,,,BA,,,,,"26,72",,,,,,,,-,,,,,,"26,72",,,,,,,,"204,57"
ITAMBE-BA,,,,,BA,,,,,"32,53",,,,,,,,-,,,,,,"32,53",,,,,,,,"249,08"
ITANAGRA-BA,,,,,BA,,,,,"19.816,30",,,,,,,,"2.669,55",,,,,,"22.485,85",,,,,,,,"178.180,35"
ITAPARICA-BA,,,,,BA,,,,,"679,45",,,,,,,,"1.089,95",,,,,,"1.769,40",,,,,,,,"489.530,14"
ITAPETINGA-BA,,,,,BA,,,,,"37,18",,,,,,,,-,,,,,,"37,18",,,,,,,,"284,79"
ITAPICURU-BA,,,,,BA,,,,,"31,37",,,,,,,,-,,,,,,"31,37",,,,,,,,"240,35"
ITAQUARA-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
ITARANTIM-BA,,,,,BA,,,,,"26,72",,,,,,,,-,,,,,,"26,72",,,,,,,,"204,57"
ITATIM-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
ITIRUCU-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
ITIUBA-BA,,,,,BA,,,,,"33,69",,,,,,,,-,,,,,,"33,69",,,,,,,,"258,16"
JACOBINA-BA,,,,,BA,,,,,"41,83",,,,,,,,-,,,,,,"41,83",,,,,,,,"320,20"
JAGUAQUARA-BA,,,,,BA,,,,,"36,02",,,,,,,,-,,,,,,"36,02",,,,,,,,"276,06"
JAGUARIPE-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANDAIRA-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"178,29"
JEQUIE-BA,,,,,BA,,,,,"46,48",,,,,,,,-,,,,,,"46,48",,,,,,,,"355,60"
JEREMOABO-BA,,,,,BA,,,,,"33,69",,,,,,,,-,,,,,,"33,69",,,,,,,,"258,16"
