BAIXA GRANDE-BA,,,,,BA,,,,"992,17",,,,,,,-,,,,,,,,"992,17",,,,,,"5.615,31",,,,,,,,,
BANZAE-BA,,,,,BA,,,,"801,37",,,,,,,-,,,,,,,,"801,37",,,,,,"4.535,44",,,,,,,,,
BARRA DO CHOCA-BA,,,,,BA,,,,"1.182,98",,,,,,,-,,,,,,,,"1.182,98",,,,,,"6.695,18",,,,,,,,,
BARRA DO ROCHA-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.208,78",,,,,,,,,
BARRO PRETO-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.208,78",,,,,,,,,
BARROCAS-BA,,,,,BA,,,,"839,53",,,,,,,-,,,,,,,,"839,53",,,,,,"4.751,42",,,,,,,,,
BELMONTE-BA,,,,,BA,,,,"992,17",,,,,,,-,,,,,,,,"992,17",,,,,,"5.471,44",,,,,,,,,
BELO CAMPO-BA,,,,,BA,,,,"915,85",,,,,,,-,,,,,,,,"915,85",,,,,,"5.183,34",,,,,,,,,
BIRITINGA-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.967,38",,,,,,,,,
BOA NOVA-BA,,,,,BA,,,,"992,17",,,,,,,-,,,,,,,,"992,17",,,,,,"5.615,31",,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,,"954,01",,,,,,,-,,,,,,,,"954,01",,,,,,"5.399,33",,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,,"801,37",,,,,,,-,,,,,,,,"801,37",,,,,,"4.535,44",,,,,,,,,
BREJOES-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.967,38",,,,,,,,,
BUERAREMA-BA,,,,,BA,,,,"954,01",,,,,,,-,,,,,,,,"954,01",,,,,,"5.260,99",,,,,,,,,
CAATIBA-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.967,38",,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.967,38",,,,,,,,,
CACHOEIRA-BA,,,,,BA,,,,"1.068,50",,,,,,,-,,,,,,,,"1.068,50",,,,,,"6.047,25",,,,,,,,,
CAEM-BA,,,,,BA,,,,"839,53",,,,,,,-,,,,,,,,"839,53",,,,,,"4.751,42",,,,,,,,,
CAETANOS-BA,,,,,BA,,,,"839,53",,,,,,,-,,,,,,,,"839,53",,,,,,"4.751,42",,,,,,,,,
CAIRU-BA,,,,,BA,,,,"28.543,52",,,,,,,"223.960,28",,,,,,,,"252.503,80",,,,,,"1.376.564,61",,,,,,,,,
CAMACAN-BA,,,,,BA,,,,"1.068,50",,,,,,,-,,,,,,,,"1.068,50",,,,,,"5.892,31",,,,,,,,,
CAMACARI-BA,,,,,BA,,,,"2.217,06",,,,,,,"302,87",,,,,,,,"2.519,93",,,,,,"13.251,50",,,,,,,,,
CAMAMU-BA,,,,,BA,,,,"1.106,66",,,,,,,-,,,,,,,,"1.106,66",,,,,,"6.102,77",,,,,,,,,
CANAVIEIRAS-BA,,,,,BA,,,,"1.106,66",,,,,,,-,,,,,,,,"1.106,66",,,,,,"6.102,77",,,,,,,,,
CANDEAL-BA,,,,,BA,,,,"801,37",,,,,,,-,,,,,,,,"801,37",,,,,,"4.535,44",,,,,,,,,
CANDEIAS-BA,,,,,BA,,,,"213.129,79",,,,,,,"240.135,90",,,,,,,,"453.265,69",,,,,,"4.437.722,40",,,,,,,,,
CANDIDO SALES-BA,,,,,BA,,,,"1.068,50",,,,,,,-,,,,,,,,"1.068,50",,,,,,"6.047,25",,,,,,,,,
CANSANCAO-BA,,,,,BA,,,,"1.068,50",,,,,,,-,,,,,,,,"1.068,50",,,,,,"6.047,25",,,,,,,,,
CANUDOS-BA,,,,,BA,,,,"839,53",,,,,,,-,,,,,,,,"839,53",,,,,,"4.751,42",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,"801,37",,,,,,,-,,,,,,,,"801,37",,,,,,"4.535,44",,,,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,,"992,17",,,,,,,-,,,,,,,,"992,17",,,,,,"5.615,31",,,,,,,,,
CARAVELAS-BA,,,,,BA,,,,"992,17",,,,,,,-,,,,,,,,"992,17",,,,,,"5.471,44",,,,,,,,,
CARDEAL DA SILVA-BA,,,,,BA,,,,"115.913,43",,,,,,,"33.402,42",,,,,,,,"149.315,85",,,,,,"1.471.060,70",,,,,,,,,
CASTRO ALVES-BA,,,,,BA,,,,"1.030,33",,,,,,,-,,,,,,,,"1.030,33",,,,,,"5.831,27",,,,,,,,,
CATU-BA,,,,,BA,,,,"168.906,01",,,,,,,"87.643,39",,,,,,,,"256.549,40",,,,,,"2.849.812,80",,,,,,,,,
CICERO DANTAS-BA,,,,,BA,,,,"1.068,50",,,,,,,-,,,,,,,,"1.068,50",,,,,,"6.047,25",,,,,,,,,
CIPO-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.967,38",,,,,,,,,
COARACI-BA,,,,,BA,,,,"1.030,33",,,,,,,-,,,,,,,,"1.030,33",,,,,,"5.681,87",,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,BA,,,,"915,85",,,,,,,-,,,,,,,,"915,85",,,,,,"5.183,34",,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,"954,01",,,,,,,-,,,,,,,,"954,01",,,,,,"5.399,33",,,,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,,"1.259,30",,,,,,,-,,,,,,,,"1.259,30",,,,,,"7.127,14",,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,"1.030,33",,,,,,,-,,,,,,,,"1.030,33",,,,,,"5.831,27",,,,,,,,,
CONDE-BA,,,,,BA,,,,"1.752,76",,,,,,,"490,58",,,,,,,,"2.243,34",,,,,,"11.457,90",,,,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,,"992,17",,,,,,,-,,,,,,,,"992,17",,,,,,"5.615,31",,,,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,,"954,01",,,,,,,-,,,,,,,,"954,01",,,,,,"5.399,33",,,,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.319,44",,,,,,,,,
CRISOPOLIS-BA,,,,,BA,,,,"954,01",,,,,,,-,,,,,,,,"954,01",,,,,,"5.399,33",,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,,"1.221,14",,,,,,,-,,,,,,,,"1.221,14",,,,,,"6.911,17",,,,,,,,,
DARIO MEIRA-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.967,38",,,,,,,,,
DIAS D'AVILA-BA,,,,,BA,,,,"1.182,98",,,,,,,-,,,,,,,,"1.182,98",,,,,,"6.695,18",,,,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.319,44",,,,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.319,44",,,,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,,"1.106,66",,,,,,,-,,,,,,,,"1.106,66",,,,,,"6.263,26",,,,,,,,,
ENTRE RIOS-BA,,,,,BA,,,,"209.840,13",,,,,,,"144.074,13",,,,,,,,"353.914,26",,,,,,"3.391.792,66",,,,,,,,,
ESPLANADA-BA,,,,,BA,,,,"557.628,09",,,,,,,"366.275,42",,,,,,,,"923.903,51",,,,,,"9.443.621,72",,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,,"1.221,14",,,,,,,-,,,,,,,,"1.221,14",,,,,,"6.911,17",,,,,,,,,
EUNAPOLIS-BA,,,,,BA,,,,"1.373,78",,,,,,,-,,,,,,,,"1.373,78",,,,,,"7.575,86",,,,,,,,,
FATIMA-BA,,,,,BA,,,,"954,01",,,,,,,-,,,,,,,,"954,01",,,,,,"5.399,33",,,,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,,"1.526,42",,,,,,,-,,,,,,,,"1.526,42",,,,,,"8.638,96",,,,,,,,,
FIRMINO ALVES-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.208,78",,,,,,,,,
FLORESTA AZUL-BA,,,,,BA,,,,"801,37",,,,,,,-,,,,,,,,"801,37",,,,,,"4.419,23",,,,,,,,,
GANDU-BA,,,,,BA,,,,"1.030,33",,,,,,,-,,,,,,,,"1.030,33",,,,,,"5.681,87",,,,,,,,,
GAVIAO-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.319,44",,,,,,,,,
GLORIA-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.967,38",,,,,,,,,
GONGOGI-BA,,,,,BA,,,,"801,37",,,,,,,-,,,,,,,,"801,37",,,,,,"4.419,23",,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,"915,85",,,,,,,-,,,,,,,,"915,85",,,,,,"5.183,34",,,,,,,,,
GUARATINGA-BA,,,,,BA,,,,"1.030,33",,,,,,,-,,,,,,,,"1.030,33",,,,,,"5.681,87",,,,,,,,,
HELIOPOLIS-BA,,,,,BA,,,,"839,53",,,,,,,-,,,,,,,,"839,53",,,,,,"4.751,42",,,,,,,,,
