ANGUERA-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
ANTAS-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
ANTONIO CARDOSO-BA,,,BA,,,,"51,99",,,,,,,,-,,,,,,"51,99",,,,,"96,25",,,,,,,,
APORA-BA,,,BA,,,,"59,42",,,,,,,,-,,,,,,"59,42",,,,,"110,01",,,,,,,,
APUAREMA-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
ARACAS-BA,,,BA,,,,"90.975,44",,,,,,,,"45.754,05",,,,,,"136.729,49",,,,,"275.821,41",,,,,,,,
ARACI-BA,,,BA,,,,"76,75",,,,,,,,-,,,,,,"76,75",,,,,"142,10",,,,,,,,
ARAMARI -BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
ARATUIPE-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
BAIXA GRANDE-BA,,,BA,,,,"64,37",,,,,,,,-,,,,,,"64,37",,,,,"119,18",,,,,,,,
BANZAE-BA,,,BA,,,,"51,99",,,,,,,,-,,,,,,"51,99",,,,,"96,25",,,,,,,,
BARRA DO CHOCA-BA,,,BA,,,,"76,75",,,,,,,,-,,,,,,"76,75",,,,,"142,10",,,,,,,,
BARROCAS-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
BELO CAMPO-BA,,,BA,,,,"59,42",,,,,,,,-,,,,,,"59,42",,,,,"110,01",,,,,,,,
BIRITINGA-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
BOA NOVA-BA,,,BA,,,,"64,37",,,,,,,,-,,,,,,"64,37",,,,,"119,18",,,,,,,,
BOA VISTA DO TUPIM-BA,,,BA,,,,"61,90",,,,,,,,-,,,,,,"61,90",,,,,"114,60",,,,,,,,
BOM JESUS DA SERRA-BA,,,BA,,,,"51,99",,,,,,,,-,,,,,,"51,99",,,,,"96,25",,,,,,,,
BREJOES-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
CAATIBA-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
CACHOEIRA-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
CAEM-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
CAETANOS-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
CAMACARI-BA,,,BA,,,,"18.511,15",,,,,,,,"61,78",,,,,,"18.572,93",,,,,"37.681,40",,,,,,,,
CANDEAL-BA,,,BA,,,,"51,99",,,,,,,,-,,,,,,"51,99",,,,,"96,25",,,,,,,,
CANDEIAS-BA,,,BA,,,,"237.574,90",,,,,,,,"120.334,82",,,,,,"357.909,72",,,,,"721.854,07",,,,,,,,
CANDIDO SALES-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
CANSANCAO-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
CANUDOS-BA,,,BA,,,,"54,47",,,,,,,,-,,,,,,"54,47",,,,,"100,84",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,BA,,,,"51,99",,,,,,,,-,,,,,,"51,99",,,,,"96,25",,,,,,,,
CAPIM GROSSO-BA,,,BA,,,,"64,37",,,,,,,,-,,,,,,"64,37",,,,,"119,18",,,,,,,,
CARAVELAS-BA,,,BA,,,,"18.265,01",,,,,,,,-,,,,,,"18.265,01",,,,,"37.180,23",,,,,,,,
CARDEAL DA SILVA-BA,,,BA,,,,"37.547,57",,,,,,,,"12.405,31",,,,,,"49.952,88",,,,,"102.231,67",,,,,,,,
CASTRO ALVES-BA,,,BA,,,,"66,85",,,,,,,,-,,,,,,"66,85",,,,,"123,76",,,,,,,,
CATU-BA,,,BA,,,,"76.161,66",,,,,,,,"132.167,34",,,,,,"208.329,00",,,,,"422.451,43",,,,,,,,
