NOVO LINO-AL,,,AL,,,"473,20",,,,,,,-,,,,,,,"473,20",,,,,,"3.545,50",,,,,,,,,,,,,,
PARIPUEIRA-AL,,,AL,,,"451,69",,,,,,,"5.416,69",,,,,,,"5.868,38",,,,,,"44.526,98",,,,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,AL,,,"494,71",,,,,,,-,,,,,,,"494,71",,,,,,"3.706,65",,,,,,,,,,,,,,
PENEDO-AL,,,AL,,,"344.956,59",,,,,,,"9,68",,,,,,,"344.966,27",,,,,,"2.129.005,43",,,,,,,,,,,,,,
PIACABUCU-AL,,,AL,,,"516,22",,,,,,,-,,,,,,,"516,22",,,,,,"3.867,82",,,,,,,,,,,,,,
PILAR-AL,,,AL,,,"146.511,92",,,,,,,"84.338,12",,,,,,,"230.850,04",,,,,,"1.899.877,70",,,,,,,,,,,,,,
PINDOBA-AL,,,AL,,,"430,18",,,,,,,-,,,,,,,"430,18",,,,,,"3.223,17",,,,,,,,,,,,,,
PORTO CALVO-AL,,,AL,,,"580,74",,,,,,,-,,,,,,,"580,74",,,,,,"4.351,29",,,,,,,,,,,,,,
PORTO DE PEDRAS-AL,,,AL,,,"430,18",,,,,,,-,,,,,,,"430,18",,,,,,"3.223,17",,,,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,AL,,,"537,73",,,,,,,-,,,,,,,"537,73",,,,,,"4.029,00",,,,,,,,,,,,,,
RIO LARGO-AL,,,AL,,,"345.843,22",,,,,,,"1.171,38",,,,,,,"347.014,60",,,,,,"2.149.507,68",,,,,,,,,,,,,,
ROTEIRO-AL,,,AL,,,"962.669,20",,,,,,,"420,98",,,,,,,"963.090,18",,,,,,"10.100.268,97",,,,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,AL,,,"431,44",,,,,,,-,,,,,,,"431,44",,,,,,"286.810,51",,,,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,AL,,,"451,69",,,,,,,-,,,,,,,"451,69",,,,,,"3.384,31",,,,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,"559,24",,,,,,,-,,,,,,,"559,24",,,,,,"4.190,14",,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,"623,76",,,,,,,-,,,,,,,"623,76",,,,,,"4.673,62",,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,"1.470.574,97",,,,,,,"141.263,68",,,,,,,"1.611.838,65",,,,,,"7.990.233,28",,,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,"430,18",,,,,,,-,,,,,,,"430,18",,,,,,"3.223,17",,,,,,,,,,,,,,
SATUBA-AL,,,AL,,,"19.184,32",,,,,,,"12.054,80",,,,,,,"31.239,12",,,,,,"260.081,26",,,,,,,,,,,,,,
TEOTONIO VILELA-AL,,,AL,,,"666,78",,,,,,,-,,,,,,,"666,78",,,,,,"4.995,95",,,,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,AL,,,"709,80",,,,,,,-,,,,,,,"709,80",,,,,,"5.318,26",,,,,,,,,,,,,,
VICOSA-AL,,,AL,,,"580,74",,,,,,,-,,,,,,,"580,74",,,,,,"4.351,29",,,,,,,,,,,,,,
ALAGOAS  TOTAL,,,,,,"5.215.697,17",,,,,,,"352.343,77",,,,,,,"5.568.040,94",,,,,,"44.553.510,75",,,,,,,,,,,,,,
ANAMA-AM,,,AM,,,"38.625,11",,,,,,,"2.144,76",,,,,,,"40.769,87",,,,,,"338.688,21",,,,,,,,,,,,,,
ANORI-AM,,,AM,,,"38.625,11",,,,,,,"2.238,46",,,,,,,"40.863,57",,,,,,"340.463,03",,,,,,,,,,,,,,
AUTAZES-AM,,,AM,,,-,,,,,,,"6.911,80",,,,,,,"6.911,80",,,,,,"49.137,61",,,,,,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERURI-AM,,,AM,,,-,,,,,,,"1.926,84",,,,,,,"1.926,84",,,,,,"14.756,49",,,,,,,,,,,,,,
CAAPIRANGA-AM,,,AM,,,"38.625,11",,,,,,,"200,70",,,,,,,"38.825,81",,,,,,"322.936,38",,,,,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,AM,,,-,,,,,,,"6.911,80",,,,,,,"6.911,80",,,,,,"49.137,61",,,,,,,,,,,,,,
CAREIRO-AM,,,AM,,,-,,,,,,,"1.926,84",,,,,,,"1.926,84",,,,,,"14.756,49",,,,,,,,,,,,,,
COARI-AM,,,AM,,,"2.278.023,80",,,,,,,"2.091.548,23",,,,,,,"4.369.572,03",,,,,,"32.852.214,89",,,,,,,,,,,,,,
CODAJAS-AM,,,AM,,,"38.625,11",,,,,,,"2.435,36",,,,,,,"41.060,47",,,,,,"337.186,25",,,,,,,,,,,,,,
IRANDUBA-AM,,,AM,,,-,,,,,,,"6.911,80",,,,,,,"6.911,80",,,,,,"49.137,61",,,,,,,,,,,,,,
ITACOATIARA-AM,,,AM,,,-,,,,,,,"6.911,80",,,,,,,"6.911,80",,,,,,"49.137,61",,,,,,,,,,,,,,
ITAPIRANGA-AM,,,AM,,,-,,,,,,,"6.911,80",,,,,,,"6.911,80",,,,,,"49.137,61",,,,,,,,,,,,,,
MANACAPURU-AM,,,AM,,,-,,,,,,,"1.926,84",,,,,,,"1.926,84",,,,,,"14.756,49",,,,,,,,,,,,,,
MANAQUIRI-AM,,,AM,,,-,,,,,,,"1.926,84",,,,,,,"1.926,84",,,,,,"14.756,49",,,,,,,,,,,,,,
MANAUS-AM,,,AM,,,"344.248,26",,,,,,,"220.166,67",,,,,,,"564.414,93",,,,,,"3.882.199,07",,,,,,,,,,,,,,
PARINTINS-AM,,,AM,,,-,,,,,,,"6.911,80",,,,,,,"6.911,80",,,,,,"49.137,61",,,,,,,,,,,,,,
SILVES-AM,,,AM,,,-,,,,,,,"6.911,80",,,,,,,"6.911,80",,,,,,"49.137,61",,,,,,,,,,,,,,
TEFE-AM,,,AM,,,"164.094,89",,,,,,,"79.064,10",,,,,,,"243.158,99",,,,,,"1.813.789,47",,,,,,,,,,,,,,
URUCARA-AM,,,AM,,,-,,,,,,,"6.911,80",,,,,,,"6.911,80",,,,,,"49.137,61",,,,,,,,,,,,,,
URUCURITUBA-AM,,,AM,,,-,,,,,,,"6.911,80",,,,,,,"6.911,80",,,,,,"49.137,61",,,,,,,,,,,,,,
AMAZONAS  TOTAL,,,,,,"2.940.867,39",,,,,,,"2.467.711,84",,,,,,,"5.408.579,23",,,,,,"40.388.741,75",,,,,,,,,,,,,,
LARANJAL DO JARI-AP,,,AP,,,-,,,,,,,"6.911,80",,,,,,,"6.911,80",,,,,,"49.137,61",,,,,,,,,,,,,,
MACAPA-AP,,,AP,,,-,,,,,,,"6.911,80",,,,,,,"6.911,80",,,,,,"49.137,61",,,,,,,,,,,,,,
MAZAGAO-AP,,,AP,,,-,,,,,,,"6.911,80",,,,,,,"6.911,80",,,,,,"49.137,61",,,,,,,,,,,,,,
AMAPA  TOTAL,,,,,,-,,,,,,,"20.735,40",,,,,,,"20.735,40",,,,,,"147.412,83",,,,,,,,,,,,,,
ACAJUTIBA-BA,,,BA,,,"1.346,89",,,,,,,-,,,,,,,"1.346,89",,,,,,"10.675,62",,,,,,,,,,,,,,
ADUSTINA-BA,,,BA,,,"1.346,89",,,,,,,-,,,,,,,"1.346,89",,,,,,"10.675,62",,,,,,,,,,,,,,
AGUA FRIA-BA,,,BA,,,"1.346,89",,,,,,,-,,,,,,,"1.346,89",,,,,,"10.675,62",,,,,,,,,,,,,,
AIQUARA-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
ALAGOINHAS-BA,,,BA,,,"293.774,68",,,,,,,"192.176,31",,,,,,,"485.950,99",,,,,,"3.811.562,04",,,,,,,,,,,,,,
ALCOBACA-BA,,,BA,,,"1.522,57",,,,,,,-,,,,,,,"1.522,57",,,,,,"12.068,11",,,,,,,,,,,,,,
ALMADINA-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
AMARGOSA-BA,,,BA,,,"1.698,25",,,,,,,-,,,,,,,"1.698,25",,,,,,"13.460,59",,,,,,,,,,,,,,
AMELIA RODRIGUES-BA,,,BA,,,"1.581,13",,,,,,,-,,,,,,,"1.581,13",,,,,,"12.532,26",,,,,,,,,,,,,,
ANAGE-BA,,,BA,,,"1.581,13",,,,,,,-,,,,,,,"1.581,13",,,,,,"12.532,26",,,,,,,,,,,,,,
ANGUERA-BA,,,BA,,,"1.229,76",,,,,,,-,,,,,,,"1.229,76",,,,,,"9.747,30",,,,,,,,,,,,,,
ANTAS-BA,,,BA,,,"1.405,45",,,,,,,-,,,,,,,"1.405,45",,,,,,"11.139,78",,,,,,,,,,,,,,
ANTONIO CARDOSO-BA,,,BA,,,"1.229,76",,,,,,,-,,,,,,,"1.229,76",,,,,,"9.747,30",,,,,,,,,,,,,,
APORA-BA,,,BA,,,"1.405,45",,,,,,,-,,,,,,,"1.405,45",,,,,,"11.139,78",,,,,,,,,,,,,,
APUAREMA-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
ARACAS-BA,,,BA,,,"340.213,25",,,,,,,"201.294,62",,,,,,,"541.507,87",,,,,,"4.500.456,46",,,,,,,,,,,,,,
ARACI-BA,,,BA,,,"1.873,93",,,,,,,-,,,,,,,"1.873,93",,,,,,"14.853,05",,,,,,,,,,,,,,
ARAMARI-BA,,,BA,,,"1.539,54",,,,,,,"130,10",,,,,,,"1.669,64",,,,,,"19.136,92",,,,,,,,,,,,,,
ARATACA-BA,,,BA,,,"1.229,76",,,,,,,-,,,,,,,"1.229,76",,,,,,"9.747,30",,,,,,,,,,,,,,
ARATUIPE-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
AURELINO LEAL-BA,,,BA,,,"1.288,33",,,,,,,-,,,,,,,"1.288,33",,,,,,"10.211,47",,,,,,,,,,,,,,
BAIXA GRANDE-BA,,,BA,,,"1.522,57",,,,,,,-,,,,,,,"1.522,57",,,,,,"12.068,11",,,,,,,,,,,,,,
BANZAE-BA,,,BA,,,"1.229,76",,,,,,,-,,,,,,,"1.229,76",,,,,,"9.747,30",,,,,,,,,,,,,,
BARRA DO CHOCA-BA,,,BA,,,"1.698,25",,,,,,,-,,,,,,,"1.698,25",,,,,,"13.460,59",,,,,,,,,,,,,,
BARRA DO ROCHA-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
BARRO PRETO-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
BARROCAS-BA,,,BA,,,"1.346,89",,,,,,,-,,,,,,,"1.346,89",,,,,,"10.675,62",,,,,,,,,,,,,,
BELMONTE-BA,,,BA,,,"1.522,57",,,,,,,-,,,,,,,"1.522,57",,,,,,"12.068,11",,,,,,,,,,,,,,
BELO CAMPO-BA,,,BA,,,"1.405,45",,,,,,,-,,,,,,,"1.405,45",,,,,,"11.139,78",,,,,,,,,,,,,,
BIRITINGA-BA,,,BA,,,"1.346,89",,,,,,,-,,,,,,,"1.346,89",,,,,,"10.675,62",,,,,,,,,,,,,,
BOA NOVA-BA,,,BA,,,"1.346,89",,,,,,,-,,,,,,,"1.346,89",,,,,,"10.675,62",,,,,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,BA,,,"1.405,45",,,,,,,-,,,,,,,"1.405,45",,,,,,"11.139,78",,,,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,BA,,,"1.229,76",,,,,,,-,,,,,,,"1.229,76",,,,,,"9.747,30",,,,,,,,,,,,,,
BREJOES-BA,,,BA,,,"1.346,89",,,,,,,-,,,,,,,"1.346,89",,,,,,"10.675,62",,,,,,,,,,,,,,
BUERAREMA-BA,,,BA,,,"1.464,01",,,,,,,-,,,,,,,"1.464,01",,,,,,"11.603,94",,,,,,,,,,,,,,
CAATIBA-BA,,,BA,,,"1.229,76",,,,,,,-,,,,,,,"1.229,76",,,,,,"9.747,30",,,,,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,BA,,,"1.405,45",,,,,,,-,,,,,,,"1.405,45",,,,,,"11.139,78",,,,,,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACHOEIRA-BA,,,BA,,,"1.698,25",,,,,,,-,,,,,,,"1.698,25",,,,,,"13.460,59",,,,,,,,,,,,,,
CAEM-BA,,,BA,,,"1.229,76",,,,,,,-,,,,,,,"1.229,76",,,,,,"9.747,30",,,,,,,,,,,,,,
CAETANOS-BA,,,BA,,,"1.288,33",,,,,,,-,,,,,,,"1.288,33",,,,,,"10.211,47",,,,,,,,,,,,,,
CAIRU-BA,,,BA,,,"40.459,91",,,,,,,"465.332,20",,,,,,,"505.792,11",,,,,,"4.011.828,05",,,,,,,,,,,,,,
CAMACAN-BA,,,BA,,,"1.639,69",,,,,,,-,,,,,,,"1.639,69",,,,,,"12.996,42",,,,,,,,,,,,,,
CAMACARI-BA,,,BA,,,"348.945,02",,,,,,,"167.450,54",,,,,,,"516.395,56",,,,,,"3.715.274,54",,,,,,,,,,,,,,
CAMAMU-BA,,,BA,,,"1.698,25",,,,,,,-,,,,,,,"1.698,25",,,,,,"13.460,59",,,,,,,,,,,,,,
CANAVIEIRAS-BA,,,BA,,,"1.698,25",,,,,,,-,,,,,,,"1.698,25",,,,,,"13.460,59",,,,,,,,,,,,,,
CANDEAL-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
CANDEIAS-BA,,,BA,,,"490.584,72",,,,,,,"375.573,51",,,,,,,"866.158,23",,,,,,"5.994.072,73",,,,,,,,,,,,,,
CANDIDO SALES-BA,,,BA,,,"1.581,13",,,,,,,-,,,,,,,"1.581,13",,,,,,"12.532,26",,,,,,,,,,,,,,
CANSANCAO-BA,,,BA,,,"1.698,25",,,,,,,-,,,,,,,"1.698,25",,,,,,"13.460,59",,,,,,,,,,,,,,
CANUDOS-BA,,,BA,,,"1.346,89",,,,,,,-,,,,,,,"1.346,89",,,,,,"10.675,62",,,,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,BA,,,"1.229,76",,,,,,,-,,,,,,,"1.229,76",,,,,,"9.747,30",,,,,,,,,,,,,,
CAPIM GROSSO-BA,,,BA,,,"1.581,13",,,,,,,-,,,,,,,"1.581,13",,,,,,"12.532,26",,,,,,,,,,,,,,
CARAVELAS-BA,,,BA,,,"1.522,57",,,,,,,-,,,,,,,"1.522,57",,,,,,"12.068,11",,,,,,,,,,,,,,
CARDEAL DA SILVA-BA,,,BA,,,"85.859,88",,,,,,,"29.836,85",,,,,,,"115.696,73",,,,,,"884.954,62",,,,,,,,,,,,,,
CASTRO ALVES-BA,,,BA,,,"1.581,13",,,,,,,-,,,,,,,"1.581,13",,,,,,"12.532,26",,,,,,,,,,,,,,
CATU-BA,,,BA,,,"240.628,72",,,,,,,"128.785,10",,,,,,,"369.413,82",,,,,,"2.656.698,90",,,,,,,,,,,,,,
CICERO DANTAS-BA,,,BA,,,"1.698,25",,,,,,,-,,,,,,,"1.698,25",,,,,,"13.460,59",,,,,,,,,,,,,,
CIPO-BA,,,BA,,,"1.346,89",,,,,,,-,,,,,,,"1.346,89",,,,,,"10.675,62",,,,,,,,,,,,,,
COARACI-BA,,,BA,,,"1.522,57",,,,,,,-,,,,,,,"1.522,57",,,,,,"12.068,11",,,,,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,BA,,,"1.522,57",,,,,,,-,,,,,,,"1.522,57",,,,,,"12.068,11",,,,,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,BA,,,"1.405,45",,,,,,,-,,,,,,,"1.405,45",,,,,,"11.139,78",,,,,,,,,,,,,,
CONCEICAO DO COITE-BA,,,BA,,,"1.932,49",,,,,,,-,,,,,,,"1.932,49",,,,,,"15.317,21",,,,,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,BA,,,"1.639,69",,,,,,,-,,,,,,,"1.639,69",,,,,,"12.996,42",,,,,,,,,,,,,,
CONDE-BA,,,BA,,,"3.840,68",,,,,,,"1.495,18",,,,,,,"5.335,86",,,,,,"37.681,62",,,,,,,,,,,,,,
CORACAO DE MARIA-BA,,,BA,,,"1.522,57",,,,,,,-,,,,,,,"1.522,57",,,,,,"12.068,11",,,,,,,,,,,,,,
CORONEL JOAO SA-BA,,,BA,,,"1.405,45",,,,,,,-,,,,,,,"1.405,45",,,,,,"11.139,78",,,,,,,,,,,,,,
CRAVOLANDIA-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
CRISOPOLIS-BA,,,BA,,,"1.522,57",,,,,,,-,,,,,,,"1.522,57",,,,,,"12.068,11",,,,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,BA,,,"1.932,49",,,,,,,-,,,,,,,"1.932,49",,,,,,"15.317,21",,,,,,,,,,,,,,
DARIO MEIRA-BA,,,BA,,,"1.288,33",,,,,,,-,,,,,,,"1.288,33",,,,,,"10.211,47",,,,,,,,,,,,,,
DIAS D'AVILA-BA,,,BA,,,"1.991,05",,,,,,,-,,,,,,,"1.991,05",,,,,,"15.781,38",,,,,,,,,,,,,,
DOM MACEDO COSTA-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
ELISIO MEDRADO-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
ENCRUZILHADA-BA,,,BA,,,"1.522,57",,,,,,,-,,,,,,,"1.522,57",,,,,,"12.068,11",,,,,,,,,,,,,,
ENTRE RIOS-BA,,,BA,,,"230.125,07",,,,,,,"167.197,20",,,,,,,"397.322,27",,,,,,"3.279.047,38",,,,,,,,,,,,,,
ESPLANADA-BA,,,BA,,,"408.615,64",,,,,,,"321.409,32",,,,,,,"730.024,96",,,,,,"5.613.963,46",,,,,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,BA,,,"1.932,49",,,,,,,-,,,,,,,"1.932,49",,,,,,"15.317,21",,,,,,,,,,,,,,
EUNAPOLIS-BA,,,BA,,,"307.788,62",,,,,,,"1.897,84",,,,,,,"309.686,46",,,,,,"2.112.587,57",,,,,,,,,,,,,,
FATIMA-BA,,,BA,,,"1.405,45",,,,,,,-,,,,,,,"1.405,45",,,,,,"11.139,78",,,,,,,,,,,,,,
FEIRA DE SANTANA-BA,,,BA,,,"2.342,41",,,,,,,-,,,,,,,"2.342,41",,,,,,"18.566,33",,,,,,,,,,,,,,
FIRMINO ALVES-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
FLORESTA AZUL-BA,,,BA,,,"1.229,76",,,,,,,-,,,,,,,"1.229,76",,,,,,"9.747,30",,,,,,,,,,,,,,
GANDU-BA,,,BA,,,"1.639,69",,,,,,,-,,,,,,,"1.639,69",,,,,,"12.996,42",,,,,,,,,,,,,,
GAVIAO-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
GLORIA-BA,,,BA,,,"1.346,89",,,,,,,-,,,,,,,"1.346,89",,,,,,"10.675,62",,,,,,,,,,,,,,
GONGOGI-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,BA,,,"1.464,01",,,,,,,-,,,,,,,"1.464,01",,,,,,"11.603,94",,,,,,,,,,,,,,
GUARATINGA-BA,,,BA,,,"1.522,57",,,,,,,-,,,,,,,"1.522,57",,,,,,"12.068,11",,,,,,,,,,,,,,
HELIOPOLIS-BA,,,BA,,,"1.288,33",,,,,,,-,,,,,,,"1.288,33",,,,,,"10.211,47",,,,,,,,,,,,,,
IACU-BA,,,BA,,,"1.581,13",,,,,,,-,,,,,,,"1.581,13",,,,,,"12.532,26",,,,,,,,,,,,,,
IBICARAI-BA,,,BA,,,"1.581,13",,,,,,,-,,,,,,,"1.581,13",,,,,,"12.532,26",,,,,,,,,,,,,,
IBICUI-BA,,,BA,,,"1.346,89",,,,,,,-,,,,,,,"1.346,89",,,,,,"10.675,62",,,,,,,,,,,,,,
IBIQUERA-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
IBIRAPITANGA-BA,,,BA,,,"1.522,57",,,,,,,-,,,,,,,"1.522,57",,,,,,"12.068,11",,,,,,,,,,,,,,
IBIRAPUA-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
IBIRATAIA-BA,,,BA,,,"1.464,01",,,,,,,-,,,,,,,"1.464,01",,,,,,"11.603,94",,,,,,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICHU-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
IGRAPIUNA-BA,,,BA,,,"1.288,33",,,,,,,-,,,,,,,"1.288,33",,,,,,"10.211,47",,,,,,,,,,,,,,
IGUAI-BA,,,BA,,,"1.581,13",,,,,,,-,,,,,,,"1.581,13",,,,,,"12.532,26",,,,,,,,,,,,,,
ILHEUS-BA,,,BA,,,"2.342,41",,,,,,,-,,,,,,,"2.342,41",,,,,,"18.566,33",,,,,,,,,,,,,,
INHAMBUPE-BA,,,BA,,,"2.525,36",,,,,,,"391,96",,,,,,,"2.917,32",,,,,,"23.369,74",,,,,,,,,,,,,,
IPECAETA-BA,,,BA,,,"1.346,89",,,,,,,-,,,,,,,"1.346,89",,,,,,"10.675,62",,,,,,,,,,,,,,
IPIAU-BA,,,BA,,,"1.815,37",,,,,,,-,,,,,,,"1.815,37",,,,,,"14.388,89",,,,,,,,,,,,,,
IPIRA-BA,,,BA,,,"1.932,49",,,,,,,-,,,,,,,"1.932,49",,,,,,"15.317,21",,,,,,,,,,,,,,
IRAJUBA-BA,,,BA,,,"1.171,20",,,,,,,-,,,,,,,"1.171,20",,,,,,"9.283,15",,,,,,,,,,,,,,
IRARA-BA,,,BA,,,"1.581,13",,,,,,,-,,,,,,,"1.581,13",,,,,,"12.532,26",,,,,,,,,,,,,,
ITABELA-BA,,,BA,,,"1.639,69",,,,,,,-,,,,,,,"1.639,69",,,,,,"12.996,42",,,,,,,,,,,,,,
ITABERABA-BA,,,BA,,,"1.932,49",,,,,,,-,,,,,,,"1.932,49",,,,,,"15.317,21",,,,,,,,,,,,,,
ITABUNA-BA,,,BA,,,"307.964,30",,,,,,,"239,30",,,,,,,"308.203,60",,,,,,"2.077.646,88",,,,,,,,,,,,,,
ITACARE-BA,,,BA,,,"1.581,13",,,,,,,-,,,,,,,"1.581,13",,,,,,"12.532,26",,,,,,,,,,,,,,
