Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARATUIPE-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
AURELINO LEAL-BA,,,,,BA,,,,"797,92",,,,,,,,,-,,,,,,,"797,92",,,,,,"1.499,50",,,,,,,,,,
BAIXA GRANDE-BA,,,,,BA,,,,"909,11",,,,,,,,,-,,,,,,,"909,11",,,,,,"1.709,32",,,,,,,,,,
BANZAE-BA,,,,,BA,,,,"734,29",,,,,,,,,-,,,,,,,"734,29",,,,,,"1.380,62",,,,,,,,,,
BARRA DO CHOCA-BA,,,,,BA,,,,"1.001,40",,,,,,,,,-,,,,,,,"1.001,40",,,,,,"1.881,34",,,,,,,,,,
BARRA DO ROCHA-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
BARRO PRETO-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
BARROCAS-BA,,,,,BA,,,,"769,25",,,,,,,,,-,,,,,,,"769,25",,,,,,"1.446,36",,,,,,,,,,
BELMONTE-BA,,,,,BA,,,,"909,11",,,,,,,,,-,,,,,,,"909,11",,,,,,"1.709,32",,,,,,,,,,
BELO CAMPO-BA,,,,,BA,,,,"797,92",,,,,,,,,-,,,,,,,"797,92",,,,,,"1.499,50",,,,,,,,,,
BIRITINGA-BA,,,,,BA,,,,"762,94",,,,,,,,,-,,,,,,,"762,94",,,,,,"1.433,74",,,,,,,,,,
BOA NOVA-BA,,,,,BA,,,,"826,57",,,,,,,,,-,,,,,,,"826,57",,,,,,"1.552,61",,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,,"832,88",,,,,,,,,-,,,,,,,"832,88",,,,,,"1.565,23",,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,,"734,29",,,,,,,,,-,,,,,,,"734,29",,,,,,"1.380,62",,,,,,,,,,
BREJOES-BA,,,,,BA,,,,"762,94",,,,,,,,,-,,,,,,,"762,94",,,,,,"1.433,74",,,,,,,,,,
BUERAREMA-BA,,,,,BA,,,,"874,15",,,,,,,,,-,,,,,,,"874,15",,,,,,"1.643,59",,,,,,,,,,
CAATIBA-BA,,,,,BA,,,,"721,67",,,,,,,,,-,,,,,,,"721,67",,,,,,"1.355,38",,,,,,,,,,
