CONCEICAO DA FEIRA-BA,,,,,,,,BA,,,"1.391,05",,,,,,,-,,,,,,,,"1.391,05",,,,,,,"6.045,83",,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,,BA,,,"1.284,05",,,,,,,-,,,,,,,,"1.284,05",,,,,,,"5.580,76",,,,,,,,,
CONCEICAO DO COITE-BA,,,,,,,,BA,,,"1.765,57",,,,,,,-,,,,,,,,"1.765,57",,,,,,,"7.673,55",,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,,BA,,,"1.498,05",,,,,,,-,,,,,,,,"1.498,05",,,,,,,"6.510,89",,,,,,,,,
CONDE-BA,,,,,,,,BA,,,"3.729,23",,,,,,,"1.508,13",,,,,,,,"5.237,36",,,,,,,"17.147,37",,,,,,,,,
CORACAO DE MARIA-BA,,,,,,,,BA,,,"1.391,05",,,,,,,-,,,,,,,,"1.391,05",,,,,,,"6.045,83",,,,,,,,,
CORONEL JOAO SA-BA,,,,,,,,BA,,,"1.284,05",,,,,,,-,,,,,,,,"1.284,05",,,,,,,"5.580,76",,,,,,,,,
CRAVOLANDIA-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
CRISOPOLIS-BA,,,,,,,,BA,,,"1.391,05",,,,,,,-,,,,,,,,"1.391,05",,,,,,,"6.045,83",,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,,,BA,,,"1.765,57",,,,,,,-,,,,,,,,"1.765,57",,,,,,,"7.673,55",,,,,,,,,
DARIO MEIRA-BA,,,,,,,,BA,,,"1.177,04",,,,,,,-,,,,,,,,"1.177,04",,,,,,,"5.115,69",,,,,,,,,
DIAS D'AVILA-BA,,,,,,,,BA,,,"1.819,07",,,,,,,-,,,,,,,,"1.819,07",,,,,,,"7.906,09",,,,,,,,,
DOM MACEDO COSTA-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
ELISIO MEDRADO-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
ENCRUZILHADA-BA,,,,,,,,BA,,,"1.391,05",,,,,,,-,,,,,,,,"1.391,05",,,,,,,"6.045,83",,,,,,,,,
ENTRE RIOS-BA,,,,,,,,BA,,,"212.665,92",,,,,,,"154.707,26",,,,,,,,"367.373,18",,,,,,,"1.588.675,04",,,,,,,,,
ESPLANADA-BA,,,,,,,,BA,,,"339.565,73",,,,,,,"264.989,87",,,,,,,,"604.555,60",,,,,,,"2.644.877,88",,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,,BA,,,"1.765,57",,,,,,,-,,,,,,,,"1.765,57",,,,,,,"7.673,55",,,,,,,,,
EUNAPOLIS-BA,,,,,,,,BA,,,"194.081,39",,,,,,,"5.921,00",,,,,,,,"200.002,39",,,,,,,"1.031.142,23",,,,,,,,,
FATIMA-BA,,,,,,,,BA,,,"1.284,05",,,,,,,-,,,,,,,,"1.284,05",,,,,,,"5.580,76",,,,,,,,,
FEIRA DE SANTANA-BA,,,,,,,,BA,,,"2.140,08",,,,,,,-,,,,,,,,"2.140,08",,,,,,,"9.301,28",,,,,,,,,
FIRMINO ALVES-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
FLORESTA AZUL-BA,,,,,,,,BA,,,"1.123,54",,,,,,,-,,,,,,,,"1.123,54",,,,,,,"4.883,16",,,,,,,,,
GANDU-BA,,,,,,,,BA,,,"1.498,05",,,,,,,-,,,,,,,,"1.498,05",,,,,,,"6.510,89",,,,,,,,,
GAVIAO-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
GLORIA-BA,,,,,,,,BA,,,"1.230,54",,,,,,,-,,,,,,,,"1.230,54",,,,,,,"5.348,22",,,,,,,,,
GONGOGI-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,,,BA,,,"1.337,55",,,,,,,-,,,,,,,,"1.337,55",,,,,,,"5.813,29",,,,,,,,,
GUARATINGA-BA,,,,,,,,BA,,,"1.391,05",,,,,,,-,,,,,,,,"1.391,05",,,,,,,"6.045,83",,,,,,,,,
HELIOPOLIS-BA,,,,,,,,BA,,,"1.177,04",,,,,,,-,,,,,,,,"1.177,04",,,,,,,"5.115,69",,,,,,,,,
IACU-BA,,,,,,,,BA,,,"1.444,55",,,,,,,-,,,,,,,,"1.444,55",,,,,,,"6.278,36",,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBICARAI-BA,,,,,,,,BA,,,"1.444,55",,,,,,,-,,,,,,,,"1.444,55",,,,,,,"6.278,36",,,,,,,,,
IBICUI-BA,,,,,,,,BA,,,"1.230,54",,,,,,,-,,,,,,,,"1.230,54",,,,,,,"5.348,22",,,,,,,,,
IBIQUERA-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
IBIRAPITANGA-BA,,,,,,,,BA,,,"1.391,05",,,,,,,-,,,,,,,,"1.391,05",,,,,,,"6.045,83",,,,,,,,,
IBIRAPUA-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
