ITACOATIARA-AM,,,,,,,,,,AM,,-,,,,,,,"9.177,13",,,,,,,,"9.177,13",,,,,,,"106.583,13",,,,,,,,
ITAPIRANGA-AM,,,,,,,,,,AM,,-,,,,,,,"9.177,13",,,,,,,,"9.177,13",,,,,,,"106.583,13",,,,,,,,
MANACAPURU-AM,,,,,,,,,,AM,,-,,,,,,,"2.850,44",,,,,,,,"2.850,44",,,,,,,"38.764,56",,,,,,,,
MANAQUIRI-AM,,,,,,,,,,AM,,-,,,,,,,"2.850,44",,,,,,,,"2.850,44",,,,,,,"38.764,56",,,,,,,,
MANAUS-AM,,,,,,,,,,AM,,"358.954,27",,,,,,,"266.019,53",,,,,,,,"624.973,80",,,,,,,"15.003.536,80",,,,,,,,
PARINTINS-AM,,,,,,,,,,AM,,-,,,,,,,"9.177,13",,,,,,,,"9.177,13",,,,,,,"106.583,13",,,,,,,,
SILVES-AM,,,,,,,,,,AM,,-,,,,,,,"9.177,13",,,,,,,,"9.177,13",,,,,,,"106.583,13",,,,,,,,
TEFE-AM,,,,,,,,,,AM,,"58.302,50",,,,,,,"7.979,53",,,,,,,,"66.282,03",,,,,,,"874.629,82",,,,,,,,
URUCARA-AM,,,,,,,,,,AM,,-,,,,,,,"9.177,13",,,,,,,,"9.177,13",,,,,,,"106.583,13",,,,,,,,
URUCURITUBA-AM,,,,,,,,,,AM,,-,,,,,,,"9.177,13",,,,,,,,"9.177,13",,,,,,,"106.583,13",,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,,,"3.741.673,21",,,,,,,"3.294.553,99",,,,,,,,"7.036.227,20",,,,,,,"88.900.751,48",,,,,,,,
LARANJAL DO JARI-AP,,,,,,,,,,AP,,-,,,,,,,"9.177,13",,,,,,,,"9.177,13",,,,,,,"106.583,13",,,,,,,,
MACAPA-AP,,,,,,,,,,AP,,-,,,,,,,"9.177,13",,,,,,,,"9.177,13",,,,,,,"106.583,13",,,,,,,,
MAZAGAO-AP,,,,,,,,,,AP,,-,,,,,,,"9.177,13",,,,,,,,"9.177,13",,,,,,,"106.583,13",,,,,,,,
AMAPA  TOTAL,,,,,,,,,,,,-,,,,,,,"27.531,39",,,,,,,,"27.531,39",,,,,,,"319.749,39",,,,,,,,
ACAJUTIBA-BA,,,,,,,,,,BA,,"1.407,65",,,,,,,"0,01",,,,,,,,"1.407,66",,,,,,,"16.176,01",,,,,,,,
ADUSTINA-BA,,,,,,,,,,BA,,"1.407,65",,,,,,,"0,01",,,,,,,,"1.407,66",,,,,,,"16.176,01",,,,,,,,
AGUA FRIA-BA,,,,,,,,,,BA,,"1.407,65",,,,,,,"0,01",,,,,,,,"1.407,66",,,,,,,"16.176,01",,,,,,,,
AIQUARA-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
ALAGOINHAS-BA,,,,,,,,,,BA,,"424.018,30",,,,,,,"286.088,87",,,,,,,,"710.107,17",,,,,,,"8.405.358,52",,,,,,,,
ALCOBACA-BA,,,,,,,,,,BA,,"1.591,26",,,,,,,"0,01",,,,,,,,"1.591,27",,,,,,,"18.285,94",,,,,,,,
ALMADINA-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
AMARGOSA-BA,,,,,,,,,,BA,,"1.774,87",,,,,,,"0,01",,,,,,,,"1.774,88",,,,,,,"20.395,86",,,,,,,,
AMELIA RODRIGUES-BA,,,,,,,,,,BA,,"1.652,46",,,,,,,"0,01",,,,,,,,"1.652,47",,,,,,,"18.989,25",,,,,,,,
ANAGE-BA,,,,,,,,,,BA,,"1.652,46",,,,,,,"0,01",,,,,,,,"1.652,47",,,,,,,"18.989,25",,,,,,,,
ANGUERA-BA,,,,,,,,,,BA,,"1.285,25",,,,,,,"0,01",,,,,,,,"1.285,26",,,,,,,"14.769,40",,,,,,,,
ANTAS-BA,,,,,,,,,,BA,,"1.468,86",,,,,,,"0,01",,,,,,,,"1.468,87",,,,,,,"16.879,31",,,,,,,,
ANTONIO CARDOSO-BA,,,,,,,,,,BA,,"1.285,25",,,,,,,"0,01",,,,,,,,"1.285,26",,,,,,,"14.769,40",,,,,,,,
APORA-BA,,,,,,,,,,BA,,"1.468,86",,,,,,,"0,01",,,,,,,,"1.468,87",,,,,,,"16.879,31",,,,,,,,
APUAREMA-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
ARACAS-BA,,,,,,,,,,BA,,"445.561,48",,,,,,,"262.374,71",,,,,,,,"707.936,19",,,,,,,"7.970.789,80",,,,,,,,
ARACI-BA,,,,,,,,,,BA,,"1.958,48",,,,,,,"0,02",,,,,,,,"1.958,50",,,,,,,"22.505,78",,,,,,,,
ARAMARI-BA,,,,,,,,,,BA,,"2.595,83",,,,,,,"550,45",,,,,,,,"3.146,28",,,,,,,"18.974,12",,,,,,,,
ARATACA-BA,,,,,,,,,,BA,,"1.285,25",,,,,,,"0,01",,,,,,,,"1.285,26",,,,,,,"14.769,40",,,,,,,,
ARATUIPE-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
AURELINO LEAL-BA,,,,,,,,,,BA,,"1.346,45",,,,,,,"0,01",,,,,,,,"1.346,46",,,,,,,"15.472,71",,,,,,,,
BAIXA GRANDE-BA,,,,,,,,,,BA,,"1.591,26",,,,,,,"0,01",,,,,,,,"1.591,27",,,,,,,"18.285,94",,,,,,,,
BANZAE-BA,,,,,,,,,,BA,,"1.285,25",,,,,,,"0,01",,,,,,,,"1.285,26",,,,,,,"14.769,40",,,,,,,,
BARRA DO CHOCA-BA,,,,,,,,,,BA,,"1.774,87",,,,,,,"0,01",,,,,,,,"1.774,88",,,,,,,"20.395,86",,,,,,,,
BARRA DO ROCHA-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
BARRO PRETO-BA,,,,,,,,,,BA,,"1.224,05",,,,,,,"0,01",,,,,,,,"1.224,06",,,,,,,"14.066,11",,,,,,,,
BARROCAS-BA,,,,,,,,,,BA,,"1.407,65",,,,,,,"0,01",,,,,,,,"1.407,66",,,,,,,"16.176,01",,,,,,,,
BELMONTE-BA,,,,,,,,,,BA,,"1.591,26",,,,,,,"0,01",,,,,,,,"1.591,27",,,,,,,"18.285,94",,,,,,,,
BELO CAMPO-BA,,,,,,,,,,BA,,"1.468,86",,,,,,,"0,01",,,,,,,,"1.468,87",,,,,,,"16.879,31",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRITINGA-BA,,,,,,,,,,BA,,"1.407,65",,,,,,,"0,01",,,,,,,,"1.407,66",,,,,,,"16.176,01",,,,,,,,
BOA NOVA-BA,,,,,,,,,,BA,,"1.407,65",,,,,,,"0,01",,,,,,,,"1.407,66",,,,,,,"16.176,01",,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,,,,BA,,"1.468,86",,,,,,,"0,01",,,,,,,,"1.468,87",,,,,,,"16.879,31",,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,,,,BA,,"1.285,25",,,,,,,"0,01",,,,,,,,"1.285,26",,,,,,,"14.769,40",,,,,,,,
BREJOES-BA,,,,,,,,,,BA,,"1.407,65",,,,,,,"0,01",,,,,,,,"1.407,66",,,,,,,"16.176,01",,,,,,,,
BUERAREMA-BA,,,,,,,,,,BA,,"1.530,06",,,,,,,"0,01",,,,,,,,"1.530,07",,,,,,,"17.582,62",,,,,,,,
CAATIBA-BA,,,,,,,,,,BA,,"1.285,25",,,,,,,"0,01",,,,,,,,"1.285,26",,,,,,,"14.769,40",,,,,,,,
