CARDEAL DA SILVA-BA,,,,,BA,,,,"39.715,33",,,,,,,,"14.961,58",,,,,,"54.676,91",,,,,"109.372,32",,,,,,,,,,,,,,
CASTRO ALVES-BA,,,,,BA,,,,"35,35",,,,,,,,"25,75",,,,,,"61,10",,,,,"88,41",,,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATU-BA,,,,,BA,,,,"55.644,95",,,,,,,,"23.967,66",,,,,,"79.612,61",,,,,"155.017,35",,,,,,,,,,,,,,
CICERO DANTAS-BA,,,,,BA,,,,"36,66",,,,,,,,"26,70",,,,,,"63,36",,,,,"91,68",,,,,,,,,,,,,,
CIPO-BA,,,,,BA,,,,"28,80",,,,,,,,"20,98",,,,,,"49,78",,,,,"72,03",,,,,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,BA,,,,"31,42",,,,,,,,"22,88",,,,,,"54,30",,,,,"78,58",,,,,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,"32,73",,,,,,,,"23,84",,,,,,"56,57",,,,,"81,86",,,,,,,,,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,,"41,89",,,,,,,,"30,51",,,,,,"72,40",,,,,"104,77",,,,,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,"35,35",,,,,,,,"25,75",,,,,,"61,10",,,,,"88,41",,,,,,,,,,,,,,
CONDE-BA,,,,,BA,,,,"32,73",,,,,,,,"23,84",,,,,,"56,57",,,,,"81,86",,,,,,,,,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,,"34,04",,,,,,,,"24,79",,,,,,"58,83",,,,,"85,13",,,,,,,,,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,,"32,73",,,,,,,,"23,84",,,,,,"56,57",,,,,"81,86",,,,,,,,,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
CRISOPOLIS-BA,,,,,BA,,,,"31,42",,,,,,,,"22,88",,,,,,"54,30",,,,,"78,58",,,,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,,"41,89",,,,,,,,"30,51",,,,,,"72,40",,,,,"104,77",,,,,,,,,,,,,,
DARIO MEIRA-BA,,,,,BA,,,,"30,11",,,,,,,,"21,93",,,,,,"52,04",,,,,"75,30",,,,,,,,,,,,,,
DIAS D'AVILA-BA,,,,,BA,,,,"128,64",,,,,,,,"66,01",,,,,,"194,65",,,,,"380,74",,,,,,,,,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,,"36,66",,,,,,,,"26,70",,,,,,"63,36",,,,,"91,68",,,,,,,,,,,,,,
ENTRE RIOS-BA,,,,,BA,,,,"115.369,74",,,,,,,,"63.725,57",,,,,,"179.095,31",,,,,"362.093,25",,,,,,,,,,,,,,
ESPLANADA-BA,,,,,BA,,,,"157.913,33",,,,,,,,"91.245,41",,,,,,"249.158,74",,,,,"486.589,79",,,,,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,,"41,89",,,,,,,,"30,51",,,,,,"72,40",,,,,"104,77",,,,,,,,,,,,,,
FATIMA-BA,,,,,BA,,,,"31,42",,,,,,,,"22,88",,,,,,"54,30",,,,,"78,58",,,,,,,,,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,,"52,37",,,,,,,,"38,14",,,,,,"90,51",,,,,"130,97",,,,,,,,,,,,,,
GAVIAO-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
GLORIA-BA,,,,,BA,,,,"28,80",,,,,,,,"20,98",,,,,,"49,78",,,,,"72,03",,,,,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,"31,42",,,,,,,,"22,88",,,,,,"54,30",,,,,"78,58",,,,,,,,,,,,,,
HELIOPOLIS-BA,,,,,BA,,,,"28,80",,,,,,,,"20,98",,,,,,"49,78",,,,,"72,03",,,,,,,,,,,,,,
IACU-BA,,,,,BA,,,,"35,35",,,,,,,,"25,75",,,,,,"61,10",,,,,"88,41",,,,,,,,,,,,,,
IBIQUERA-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
ICHU-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
INHAMBUPE-BA,,,,,BA,,,,"35,35",,,,,,,,"25,75",,,,,,"61,10",,,,,"88,41",,,,,,,,,,,,,,
IPECAETA-BA,,,,,BA,,,,"31,42",,,,,,,,"22,88",,,,,,"54,30",,,,,"78,58",,,,,,,,,,,,,,
IPIRA-BA,,,,,BA,,,,"43,20",,,,,,,,"31,47",,,,,,"74,67",,,,,"108,05",,,,,,,,,,,,,,
IRAJUBA-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
IRARA-BA,,,,,BA,,,,"35,35",,,,,,,,"25,75",,,,,,"61,10",,,,,"88,41",,,,,,,,,,,,,,
ITABERABA-BA,,,,,BA,,,,"43,20",,,,,,,,"31,47",,,,,,"74,67",,,,,"108,05",,,,,,,,,,,,,,
ITAGI-BA,,,,,BA,,,,"30,11",,,,,,,,"21,93",,,,,,"52,04",,,,,"75,30",,,,,,,,,,,,,,
ITAMBE-BA,,,,,BA,,,,"36,66",,,,,,,,"26,70",,,,,,"63,36",,,,,"91,68",,,,,,,,,,,,,,
ITANAGRA-BA,,,,,BA,,,,"20.492,75",,,,,,,,"2.523,21",,,,,,"23.015,96",,,,,"45.756,78",,,,,,,,,,,,,,
ITAPARICA-BA,,,,,BA,,,,"911,04",,,,,,,,"597,43",,,,,,"1.508,47",,,,,"3.048,71",,,,,,,,,,,,,,
ITAPETINGA-BA,,,,,BA,,,,"41,89",,,,,,,,"30,51",,,,,,"72,40",,,,,"104,77",,,,,,,,,,,,,,
ITAPICURU-BA,,,,,BA,,,,"35,35",,,,,,,,"25,75",,,,,,"61,10",,,,,"88,41",,,,,,,,,,,,,,
ITAQUARA-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
ITARANTIM-BA,,,,,BA,,,,"30,11",,,,,,,,"21,93",,,,,,"52,04",,,,,"75,30",,,,,,,,,,,,,,
ITATIM-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
ITIRUCU-BA,,,,,BA,,,,"28,80",,,,,,,,"20,98",,,,,,"49,78",,,,,"72,03",,,,,,,,,,,,,,
ITIUBA-BA,,,,,BA,,,,"37,97",,,,,,,,"27,65",,,,,,"65,62",,,,,"94,95",,,,,,,,,,,,,,
JACOBINA-BA,,,,,BA,,,,"47,13",,,,,,,,"34,33",,,,,,"81,46",,,,,"117,88",,,,,,,,,,,,,,
JAGUAQUARA-BA,,,,,BA,,,,"40,58",,,,,,,,"29,56",,,,,,"70,14",,,,,"101,50",,,,,,,,,,,,,,
JAGUARIPE-BA,,,,,BA,,,,"28,80",,,,,,,,"20,98",,,,,,"49,78",,,,,"72,03",,,,,,,,,,,,,,
JANDAIRA-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEQUIE-BA,,,,,BA,,,,"52,37",,,,,,,,"38,14",,,,,,"90,51",,,,,"130,97",,,,,,,,,,,,,,
JEREMOABO-BA,,,,,BA,,,,"37,97",,,,,,,,"27,65",,,,,,"65,62",,,,,"94,95",,,,,,,,,,,,,,
JIQUIRICA-BA,,,,,BA,,,,"28,80",,,,,,,,"20,98",,,,,,"49,78",,,,,"72,03",,,,,,,,,,,,,,
JITAUNA-BA,,,,,BA,,,,"31,42",,,,,,,,"22,88",,,,,,"54,30",,,,,"78,58",,,,,,,,,,,,,,
LAFAIETE COUTINHO-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
LAJE-BA,,,,,BA,,,,"32,73",,,,,,,,"23,84",,,,,,"56,57",,,,,"81,86",,,,,,,,,,,,,,
LAJEDINHO-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
LAMARAO-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
LAURO DE FREITAS-BA,,,,,BA,,,,"48,44",,,,,,,,"35,28",,,,,,"83,72",,,,,"121,15",,,,,,,,,,,,,,
MACAJUBA-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
MACARANI-BA,,,,,BA,,,,"31,42",,,,,,,,"22,88",,,,,,"54,30",,,,,"78,58",,,,,,,,,,,,,,
MADRE DE DEUS-BA,,,,,BA,,,,"136.580,77",,,,,,,,"126.099,51",,,,,,"262.680,28",,,,,"559.149,56",,,,,,,,,,,,,,
MAIQUINIQUE-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
MAIRI-BA,,,,,BA,,,,"32,73",,,,,,,,"23,84",,,,,,"56,57",,,,,"81,86",,,,,,,,,,,,,,
MANOEL VITORINO-BA,,,,,BA,,,,"30,11",,,,,,,,"21,93",,,,,,"52,04",,,,,"75,30",,,,,,,,,,,,,,
MARACAS-BA,,,,,BA,,,,"36,66",,,,,,,,"26,70",,,,,,"63,36",,,,,"91,68",,,,,,,,,,,,,,
MARAGOGIPE-BA,,,,,BA,,,,"37,97",,,,,,,,"27,65",,,,,,"65,62",,,,,"94,95",,,,,,,,,,,,,,
MARCIONILIO SOUZA-BA,,,,,BA,,,,"28,80",,,,,,,,"20,98",,,,,,"49,78",,,,,"72,03",,,,,,,,,,,,,,
MATA DE SÃO JOAO-BA,,,,,BA,,,,"60.229,38",,,,,,,,"25.046,72",,,,,,"85.276,10",,,,,"165.730,79",,,,,,,,,,,,,,
MIGUEL CALMON-BA,,,,,BA,,,,"37,97",,,,,,,,"27,65",,,,,,"65,62",,,,,"94,95",,,,,,,,,,,,,,
MILAGRES-BA,,,,,BA,,,,"28,80",,,,,,,,"20,98",,,,,,"49,78",,,,,"72,03",,,,,,,,,,,,,,
MIRANTE-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
MONTE SANTO-BA,,,,,BA,,,,"41,89",,,,,,,,"30,51",,,,,,"72,40",,,,,"104,77",,,,,,,,,,,,,,
MUNDO NOVO-BA,,,,,BA,,,,"34,04",,,,,,,,"24,79",,,,,,"58,83",,,,,"85,13",,,,,,,,,,,,,,
MUNIZ FERREIRA-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
MURITIBA-BA,,,,,BA,,,,"35,35",,,,,,,,"25,75",,,,,,"61,10",,,,,"88,41",,,,,,,,,,,,,,
MUTUIPE-BA,,,,,BA,,,,"32,73",,,,,,,,"23,84",,,,,,"56,57",,,,,"81,86",,,,,,,,,,,,,,
NAZARE-BA,,,,,BA,,,,"35,35",,,,,,,,"25,75",,,,,,"61,10",,,,,"88,41",,,,,,,,,,,,,,
NORDESTINA-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
