DARIO MEIRA-BA,,,,BA,,,,,"35,11",,,,,,-,,,,,"35,10",,,,,,,"268,60",,,,,,,,,
DIAS D'AVILA-BA,,,,BA,,,,,"167,71",,,,,,"51,16",,,,,"218,85",,,,,,,"1.844,72",,,,,,,,,
DOM MACEDO COSTA-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
ELISIO MEDRADO-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
ENCRUZILHADA-BA,,,,BA,,,,,"42,74",,,,,,-,,,,,"42,73",,,,,,,"327,03",,,,,,,,,
ENTRE RIOS-BA,,,,BA,,,,,"124.291,24",,,,,,"67.338,87",,,,,"191.630,10",,,,,,,"1.648.829,73",,,,,,,,,
ESPLANADA-BA,,,,BA,,,,,"168.993,92",,,,,,"96.147,17",,,,,"265.141,07",,,,,,,"2.243.822,86",,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,BA,,,,,"48,84",,,,,,-,,,,,"48,84",,,,,,,"373,74",,,,,,,,,
FATIMA-BA,,,,BA,,,,,"36,63",,,,,,-,,,,,"36,63",,,,,,,"280,31",,,,,,,,,
FEIRA DE SANTANA-BA,,,,BA,,,,,"61,05",,,,,,-,,,,,"61,05",,,,,,,"467,19",,,,,,,,,
GAVIAO-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
GLORIA-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,BA,,,,,"36,63",,,,,,-,,,,,"36,63",,,,,,,"280,31",,,,,,,,,
HELIOPOLIS-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
IACU-BA,,,,BA,,,,,"41,21",,,,,,-,,,,,"41,21",,,,,,,"315,34",,,,,,,,,
IBIQUERA-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
ICHU-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
INHAMBUPE-BA,,,,BA,,,,,"41,21",,,,,,-,,,,,"41,21",,,,,,,"315,34",,,,,,,,,
IPECAETA-BA,,,,BA,,,,,"36,63",,,,,,-,,,,,"36,63",,,,,,,"280,31",,,,,,,,,
IPIRA-BA,,,,BA,,,,,"50,37",,,,,,-,,,,,"50,36",,,,,,,"385,41",,,,,,,,,
IRAJUBA-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
IRARA-BA,,,,BA,,,,,"41,21",,,,,,-,,,,,"41,21",,,,,,,"315,34",,,,,,,,,
ITABERABA-BA,,,,BA,,,,,"50,37",,,,,,-,,,,,"50,36",,,,,,,"385,41",,,,,,,,,
ITAGI-BA,,,,BA,,,,,"35,11",,,,,,-,,,,,"35,10",,,,,,,"268,60",,,,,,,,,
ITAMBE-BA,,,,BA,,,,,"42,74",,,,,,-,,,,,"42,73",,,,,,,"327,03",,,,,,,,,
ITANAGRA-BA,,,,BA,,,,,"26.554,85",,,,,,"4.287,40",,,,,"30.842,23",,,,,,,"225.068,32",,,,,,,,,
ITAPARICA-BA,,,,BA,,,,,"1.024,25",,,,,,"1.361,02",,,,,"2.385,25",,,,,,,"17.946,80",,,,,,,,,
