TEOTONIO VILELA-AL,,,,,,,AL,,,,"1.038,78",,,,,,,,,,,-,,,,,,,"1.038,78",,,,,,,,,,"4.892,00",,,,,,
UNIAO DOS PALMARES-AL,,,,,,,AL,,,,"1.105,80",,,,,,,,,,,-,,,,,,,"1.105,80",,,,,,,,,,"5.207,61",,,,,,
VICOSA-AL,,,,,,,AL,,,,"904,75",,,,,,,,,,,-,,,,,,,"904,75",,,,,,,,,,"4.260,78",,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,"2.595.111,43",,,,,,,,,,,"642.340,67",,,,,,,"3.237.452,10",,,,,,,,,,"15.218.978,27",,,,,,
ANAMA-AM,,,,,,,AM,,,,-,,,,,,,,,,,"2.687,22",,,,,,,"2.687,22",,,,,,,,,,"13.152,07",,,,,,
ANORI-AM,,,,,,,AM,,,,-,,,,,,,,,,,"2.687,22",,,,,,,"2.687,22",,,,,,,,,,"13.152,07",,,,,,
AUTAZES-AM,,,,,,,AM,,,,-,,,,,,,,,,,"8.076,85",,,,,,,"8.076,85",,,,,,,,,,"35.985,92",,,,,,
BERURI-AM,,,,,,,AM,,,,-,,,,,,,,,,,"2.687,22",,,,,,,"2.687,22",,,,,,,,,,"13.152,07",,,,,,
CAREIRO DA VARZEA-AM,,,,,,,AM,,,,-,,,,,,,,,,,"8.076,85",,,,,,,"8.076,85",,,,,,,,,,"35.985,92",,,,,,
CAREIRO-AM,,,,,,,AM,,,,-,,,,,,,,,,,"2.687,22",,,,,,,"2.687,22",,,,,,,,,,"13.152,07",,,,,,
COARI-AM,,,,,,,AM,,,,"2.238.526,89",,,,,,,,,,,"2.148.969,60",,,,,,,"4.387.496,49",,,,,,,,,,"19.907.543,55",,,,,,
CODAJAS-AM,,,,,,,AM,,,,-,,,,,,,,,,,"2.687,22",,,,,,,"2.687,22",,,,,,,,,,"13.152,07",,,,,,
IRANDUBA-AM,,,,,,,AM,,,,-,,,,,,,,,,,"8.076,85",,,,,,,"8.076,85",,,,,,,,,,"35.985,92",,,,,,
ITACOATIARA-AM,,,,,,,AM,,,,-,,,,,,,,,,,"8.076,85",,,,,,,"8.076,85",,,,,,,,,,"35.985,92",,,,,,
ITAPIRANGA-AM,,,,,,,AM,,,,-,,,,,,,,,,,"8.076,85",,,,,,,"8.076,85",,,,,,,,,,"35.985,92",,,,,,
MANACAPURU-AM,,,,,,,AM,,,,-,,,,,,,,,,,"2.687,22",,,,,,,"2.687,22",,,,,,,,,,"13.152,07",,,,,,
MANAQUIRI-AM,,,,,,,AM,,,,-,,,,,,,,,,,"2.687,22",,,,,,,"2.687,22",,,,,,,,,,"13.152,07",,,,,,
MANAUS-AM,,,,,,,AM,,,,"1.123.252,47",,,,,,,,,,,"106.886,91",,,,,,,"1.230.139,38",,,,,,,,,,"5.523.194,85",,,,,,
PARINTINS-AM,,,,,,,AM,,,,-,,,,,,,,,,,"8.076,85",,,,,,,"8.076,85",,,,,,,,,,"35.985,92",,,,,,
SILVES-AM,,,,,,,AM,,,,-,,,,,,,,,,,"8.076,85",,,,,,,"8.076,85",,,,,,,,,,"35.985,92",,,,,,
URUCARA-AM,,,,,,,AM,,,,-,,,,,,,,,,,"8.076,85",,,,,,,"8.076,85",,,,,,,,,,"35.985,92",,,,,,
URUCURITUBA-AM,,,,,,,AM,,,,-,,,,,,,,,,,"8.076,85",,,,,,,"8.076,85",,,,,,,,,,"35.985,92",,,,,,
AMAZONAS  TOTAL,,,,,,,,,,,"3.361.779,36",,,,,,,,,,,"2.347.358,70",,,,,,,"5.709.138,06",,,,,,,,,,"25.846.676,17",,,,,,
LARANJAL DO JARI-AP,,,,,,,AP,,,,-,,,,,,,,,,,"8.076,85",,,,,,,"8.076,85",,,,,,,,,,"35.985,92",,,,,,
MACAPA-AP,,,,,,,AP,,,,-,,,,,,,,,,,"8.076,85",,,,,,,"8.076,85",,,,,,,,,,"35.985,92",,,,,,
MAZAGAO-AP,,,,,,,AP,,,,-,,,,,,,,,,,"8.076,85",,,,,,,"8.076,85",,,,,,,,,,"35.985,92",,,,,,
AMAPA TOTAL,,,,,,,,,,,-,,,,,,,,,,,"24.230,55",,,,,,,"24.230,55",,,,,,,,,,"107.957,76",,,,,,
ACAJUTIBA-BA,,,,,,,BA,,,,"1.014,75",,,,,,,,,,,-,,,,,,,"1.014,75",,,,,,,,,,"4.474,23",,,,,,
ADUSTINA-BA,,,,,,,BA,,,,"1.014,75",,,,,,,,,,,-,,,,,,,"1.014,75",,,,,,,,,,"4.474,23",,,,,,
AGUA FRIA-BA,,,,,,,BA,,,,"1.014,75",,,,,,,,,,,-,,,,,,,"1.014,75",,,,,,,,,,"4.474,23",,,,,,
AIQUARA-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
ALAGOINHAS-BA,,,,,,,BA,,,,"334.086,70",,,,,,,,,,,"188.512,23",,,,,,,"522.598,93",,,,,,,,,,"2.492.000,73",,,,,,
ALCOBACA-BA,,,,,,,BA,,,,"1.096,68",,,,,,,,,,,-,,,,,,,"1.096,68",,,,,,,,,,"4.834,32",,,,,,
ALMADINA-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
AMARGOSA-BA,,,,,,,BA,,,,"1.285,78",,,,,,,,,,,-,,,,,,,"1.285,78",,,,,,,,,,"5.670,40",,,,,,
AMELIA RODRIGUES-BA,,,,,,,BA,,,,"1.140,81",,,,,,,,,,,-,,,,,,,"1.140,81",,,,,,,,,,"5.028,88",,,,,,
ANAGE-BA,,,,,,,BA,,,,"1.184,92",,,,,,,,,,,-,,,,,,,"1.184,92",,,,,,,,,,"5.223,41",,,,,,
ANGUERA-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
ANTAS-BA,,,,,,,BA,,,,"1.065,18",,,,,,,,,,,-,,,,,,,"1.065,18",,,,,,,,,,"4.697,71",,,,,,
ANTONIO CARDOSO-BA,,,,,,,BA,,,,"976,94",,,,,,,,,,,-,,,,,,,"976,94",,,,,,,,,,"4.308,67",,,,,,
APORA-BA,,,,,,,BA,,,,"1.058,88",,,,,,,,,,,-,,,,,,,"1.058,88",,,,,,,,,,"4.668,78",,,,,,
APUAREMA-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
ARACAS-BA,,,,,,,BA,,,,"318.122,78",,,,,,,,,,,"168.001,78",,,,,,,"486.124,56",,,,,,,,,,"2.204.992,77",,,,,,
ARACI-BA,,,,,,,BA,,,,"1.418,14",,,,,,,,,,,-,,,,,,,"1.418,14",,,,,,,,,,"6.253,98",,,,,,
ARAMARI-BA,,,,,,,BA,,,,"2.976,44",,,,,,,,,,,"879,50",,,,,,,"3.855,94",,,,,,,,,,"19.465,89",,,,,,
ARATACA-BA,,,,,,,BA,,,,"926,52",,,,,,,,,,,-,,,,,,,"926,52",,,,,,,,,,"4.085,20",,,,,,
ARATUIPE-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
AURELINO LEAL-BA,,,,,,,BA,,,,"1.008,45",,,,,,,,,,,-,,,,,,,"1.008,45",,,,,,,,,,"4.445,31",,,,,,
BAIXA GRANDE-BA,,,,,,,BA,,,,"1.147,11",,,,,,,,,,,-,,,,,,,"1.147,11",,,,,,,,,,"5.057,81",,,,,,
BANZAE-BA,,,,,,,BA,,,,"926,52",,,,,,,,,,,-,,,,,,,"926,52",,,,,,,,,,"4.085,20",,,,,,
BARRA DO CHOCA-BA,,,,,,,BA,,,,"1.266,86",,,,,,,,,,,-,,,,,,,"1.266,86",,,,,,,,,,"5.583,52",,,,,,
BARRA DO ROCHA-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
BARRO PRETO-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
BARROCAS-BA,,,,,,,BA,,,,"970,63",,,,,,,,,,,-,,,,,,,"970,63",,,,,,,,,,"4.279,69",,,,,,
BELMONTE-BA,,,,,,,BA,,,,"1.147,11",,,,,,,,,,,-,,,,,,,"1.147,11",,,,,,,,,,"5.057,81",,,,,,
BELO CAMPO-BA,,,,,,,BA,,,,"1.008,45",,,,,,,,,,,-,,,,,,,"1.008,45",,,,,,,,,,"4.445,31",,,,,,
BIRITINGA-BA,,,,,,,BA,,,,"964,32",,,,,,,,,,,-,,,,,,,"964,32",,,,,,,,,,"4.250,72",,,,,,
BOA NOVA-BA,,,,,,,BA,,,,"1.046,26",,,,,,,,,,,-,,,,,,,"1.046,26",,,,,,,,,,"4.610,83",,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,BA,,,,"1.052,57",,,,,,,,,,,-,,,,,,,"1.052,57",,,,,,,,,,"4.639,80",,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,BA,,,,"926,52",,,,,,,,,,,-,,,,,,,"926,52",,,,,,,,,,"4.085,20",,,,,,
BREJOES-BA,,,,,,,BA,,,,"964,32",,,,,,,,,,,-,,,,,,,"964,32",,,,,,,,,,"4.250,72",,,,,,
BUERAREMA-BA,,,,,,,BA,,,,"1.102,99",,,,,,,,,,,-,,,,,,,"1.102,99",,,,,,,,,,"4.863,30",,,,,,
CAATIBA-BA,,,,,,,BA,,,,"913,90",,,,,,,,,,,-,,,,,,,"913,90",,,,,,,,,,"4.027,24",,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,BA,,,,"1.065,18",,,,,,,,,,,-,,,,,,,"1.065,18",,,,,,,,,,"4.697,71",,,,,,
CACHOEIRA-BA,,,,,,,BA,,,,"1.285,78",,,,,,,,,,,-,,,,,,,"1.285,78",,,,,,,,,,"5.670,40",,,,,,
CAEM-BA,,,,,,,BA,,,,"920,21",,,,,,,,,,,-,,,,,,,"920,21",,,,,,,,,,"4.056,22",,,,,,
CAETANOS-BA,,,,,,,BA,,,,"970,63",,,,,,,,,,,-,,,,,,,"970,63",,,,,,,,,,"4.279,69",,,,,,
CAIRU-BA,,,,,,,BA,,,,"37.889,06",,,,,,,,,,,"393.466,08",,,,,,,"431.355,14",,,,,,,,,,"1.931.574,38",,,,,,
CAMACAN-BA,,,,,,,BA,,,,"1.235,35",,,,,,,,,,,-,,,,,,,"1.235,35",,,,,,,,,,"5.446,89",,,,,,
CAMACARI-BA,,,,,,,BA,,,,"2.374,44",,,,,,,,,,,"267,18",,,,,,,"2.641,62",,,,,,,,,,"12.763,36",,,,,,
CAMAMU-BA,,,,,,,BA,,,,"1.279,47",,,,,,,,,,,-,,,,,,,"1.279,47",,,,,,,,,,"5.641,42",,,,,,
CANAVIEIRAS-BA,,,,,,,BA,,,,"1.279,47",,,,,,,,,,,-,,,,,,,"1.279,47",,,,,,,,,,"5.641,42",,,,,,
CANDEAL-BA,,,,,,,BA,,,,"876,09",,,,,,,,,,,-,,,,,,,"876,09",,,,,,,,,,"3.861,69",,,,,,
CANDEIAS-BA,,,,,,,BA,,,,"247.086,48",,,,,,,,,,,"301.752,19",,,,,,,"548.838,67",,,,,,,,,,"2.674.352,64",,,,,,
CANDIDO SALES-BA,,,,,,,BA,,,,"1.184,92",,,,,,,,,,,-,,,,,,,"1.184,92",,,,,,,,,,"5.223,41",,,,,,
CANSANCAO-BA,,,,,,,BA,,,,"1.285,78",,,,,,,,,,,-,,,,,,,"1.285,78",,,,,,,,,,"5.670,40",,,,,,
CANUDOS-BA,,,,,,,BA,,,,"1.021,06",,,,,,,,,,,-,,,,,,,"1.021,06",,,,,,,,,,"4.503,21",,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,BA,,,,"976,94",,,,,,,,,,,-,,,,,,,"976,94",,,,,,,,,,"4.308,67",,,,,,
CAPIM GROSSO-BA,,,,,,,BA,,,,"1.197,53",,,,,,,,,,,-,,,,,,,"1.197,53",,,,,,,,,,"5.281,31",,,,,,
CARAVELAS-BA,,,,,,,BA,,,,"1.147,11",,,,,,,,,,,-,,,,,,,"1.147,11",,,,,,,,,,"5.057,81",,,,,,
CARDEAL DA SILVA-BA,,,,,,,BA,,,,"130.087,37",,,,,,,,,,,"39.978,38",,,,,,,"170.065,75",,,,,,,,,,"807.938,02",,,,,,
CASTRO ALVES-BA,,,,,,,BA,,,,"1.191,23",,,,,,,,,,,-,,,,,,,"1.191,23",,,,,,,,,,"5.252,38",,,,,,
CATU-BA,,,,,,,BA,,,,"208.226,49",,,,,,,,,,,"107.438,62",,,,,,,"315.665,11",,,,,,,,,,"1.566.968,48",,,,,,
CICERO DANTAS-BA,,,,,,,BA,,,,"1.235,35",,,,,,,,,,,-,,,,,,,"1.235,35",,,,,,,,,,"5.446,89",,,,,,
CIPO-BA,,,,,,,BA,,,,"1.014,75",,,,,,,,,,,-,,,,,,,"1.014,75",,,,,,,,,,"4.474,23",,,,,,
COARACI-BA,,,,,,,BA,,,,"1.140,81",,,,,,,,,,,-,,,,,,,"1.140,81",,,,,,,,,,"5.028,88",,,,,,
CONCEICAO DA FEIRA-BA,,,,,,,BA,,,,"1.109,30",,,,,,,,,,,-,,,,,,,"1.109,30",,,,,,,,,,"4.892,27",,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,BA,,,,"1.052,57",,,,,,,,,,,-,,,,,,,"1.052,57",,,,,,,,,,"4.639,80",,,,,,
CONCEICAO DO COITE-BA,,,,,,,BA,,,,"1.455,95",,,,,,,,,,,-,,,,,,,"1.455,95",,,,,,,,,,"6.419,57",,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,BA,,,,"1.191,23",,,,,,,,,,,-,,,,,,,"1.191,23",,,,,,,,,,"5.252,38",,,,,,
CONDE-BA,,,,,,,BA,,,,"3.437,77",,,,,,,,,,,"1.477,47",,,,,,,"4.915,24",,,,,,,,,,"26.177,23",,,,,,
CORACAO DE MARIA-BA,,,,,,,BA,,,,"1.147,11",,,,,,,,,,,-,,,,,,,"1.147,11",,,,,,,,,,"5.057,81",,,,,,
CORONEL JOAO SA-BA,,,,,,,BA,,,,"1.102,99",,,,,,,,,,,-,,,,,,,"1.102,99",,,,,,,,,,"4.863,30",,,,,,
CRAVOLANDIA-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
CRISOPOLIS-BA,,,,,,,BA,,,,"1.102,99",,,,,,,,,,,-,,,,,,,"1.102,99",,,,,,,,,,"4.863,30",,,,,,
CRUZ DAS ALMAS-BA,,,,,,,BA,,,,"1.411,83",,,,,,,,,,,-,,,,,,,"1.411,83",,,,,,,,,,"6.225,00",,,,,,
DARIO MEIRA-BA,,,,,,,BA,,,,"964,32",,,,,,,,,,,-,,,,,,,"964,32",,,,,,,,,,"4.250,72",,,,,,
DIAS D'AVILA-BA,,,,,,,BA,,,,"1.418,14",,,,,,,,,,,-,,,,,,,"1.418,14",,,,,,,,,,"6.253,98",,,,,,
DOM MACEDO COSTA-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
ELISIO MEDRADO-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
ENCRUZILHADA-BA,,,,,,,BA,,,,"1.128,19",,,,,,,,,,,-,,,,,,,"1.128,19",,,,,,,,,,"4.970,93",,,,,,
ENTRE RIOS-BA,,,,,,,BA,,,,"231.309,90",,,,,,,,,,,"170.384,75",,,,,,,"401.694,65",,,,,,,,,,"1.969.237,05",,,,,,
ESPLANADA-BA,,,,,,,BA,,,,"1.291.094,22",,,,,,,,,,,"516.159,73",,,,,,,"1.807.253,95",,,,,,,,,,"6.613.643,55",,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,BA,,,,"1.462,25",,,,,,,,,,,-,,,,,,,"1.462,25",,,,,,,,,,"6.448,50",,,,,,
EUNAPOLIS-BA,,,,,,,BA,,,,"1.588,30",,,,,,,,,,,-,,,,,,,"1.588,30",,,,,,,,,,"7.003,11",,,,,,
FATIMA-BA,,,,,,,BA,,,,"1.102,99",,,,,,,,,,,-,,,,,,,"1.102,99",,,,,,,,,,"4.863,30",,,,,,
FEIRA DE SANTANA-BA,,,,,,,BA,,,,"1.764,79",,,,,,,,,,,-,,,,,,,"1.764,79",,,,,,,,,,"7.781,28",,,,,,
FIRMINO ALVES-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
FLORESTA AZUL-BA,,,,,,,BA,,,,"926,52",,,,,,,,,,,-,,,,,,,"926,52",,,,,,,,,,"4.085,20",,,,,,
GANDU-BA,,,,,,,BA,,,,"1.241,66",,,,,,,,,,,-,,,,,,,"1.241,66",,,,,,,,,,"5.475,87",,,,,,
GAVIAO-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
GLORIA-BA,,,,,,,BA,,,,"964,32",,,,,,,,,,,-,,,,,,,"964,32",,,,,,,,,,"4.250,72",,,,,,
GONGOGI-BA,,,,,,,BA,,,,"876,09",,,,,,,,,,,-,,,,,,,"876,09",,,,,,,,,,"3.861,69",,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,,BA,,,,"1.109,30",,,,,,,,,,,-,,,,,,,"1.109,30",,,,,,,,,,"4.892,27",,,,,,
GUARATINGA-BA,,,,,,,BA,,,,"1.140,81",,,,,,,,,,,-,,,,,,,"1.140,81",,,,,,,,,,"5.028,88",,,,,,
HELIOPOLIS-BA,,,,,,,BA,,,,"1.021,06",,,,,,,,,,,-,,,,,,,"1.021,06",,,,,,,,,,"4.503,21",,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IACU-BA,,,,,,,BA,,,,"1.184,92",,,,,,,,,,,-,,,,,,,"1.184,92",,,,,,,,,,"5.223,41",,,,,,
IBICARAI-BA,,,,,,,BA,,,,"1.184,92",,,,,,,,,,,-,,,,,,,"1.184,92",,,,,,,,,,"5.223,41",,,,,,
IBICUI-BA,,,,,,,BA,,,,"1.014,75",,,,,,,,,,,-,,,,,,,"1.014,75",,,,,,,,,,"4.474,23",,,,,,
IBIQUERA-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
IBIRAPITANGA-BA,,,,,,,BA,,,,"1.147,11",,,,,,,,,,,-,,,,,,,"1.147,11",,,,,,,,,,"5.057,81",,,,,,
IBIRAPUA-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
IBIRATAIA-BA,,,,,,,BA,,,,"1.140,81",,,,,,,,,,,-,,,,,,,"1.140,81",,,,,,,,,,"5.028,88",,,,,,
ICHU-BA,,,,,,,BA,,,,"882,39",,,,,,,,,,,-,,,,,,,"882,39",,,,,,,,,,"3.890,62",,,,,,
IGRAPIUNA-BA,,,,,,,BA,,,,"964,32",,,,,,,,,,,-,,,,,,,"964,32",,,,,,,,,,"4.250,72",,,,,,
IGUAI-BA,,,,,,,BA,,,,"1.191,23",,,,,,,,,,,-,,,,,,,"1.191,23",,,,,,,,,,"5.252,38",,,,,,
ILHEUS-BA,,,,,,,BA,,,,"1.764,79",,,,,,,,,,,-,,,,,,,"1.764,79",,,,,,,,,,"7.781,28",,,,,,
INHAMBUPE-BA,,,,,,,BA,,,,"2.746,85",,,,,,,,,,,"745,14",,,,,,,"3.491,99",,,,,,,,,,"17.151,88",,,,,,
