BOA NOVA-BA,,,,,BA,,,,"23,75",,,,,,-,,,,,,"23,75",,,,,,,"155,12",,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,,"24,74",,,,,,-,,,,,,"24,74",,,,,,,"161,49",,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
BREJOES-BA,,,,,BA,,,,"22,76",,,,,,-,,,,,,"22,76",,,,,,,"148,47",,,,,,,,,
CAATIBA-BA,,,,,BA,,,,"22,76",,,,,,-,,,,,,"22,76",,,,,,,"148,47",,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,"22,76",,,,,,-,,,,,,"22,76",,,,,,,"148,47",,,,,,,,,
CACHOEIRA-BA,,,,,BA,,,,"27,70",,,,,,-,,,,,,"27,70",,,,,,,"180,78",,,,,,,,,
CAEM-BA,,,,,BA,,,,"23,75",,,,,,-,,,,,,"23,75",,,,,,,"155,12",,,,,,,,,
CAETANOS-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
CAMACARI-BA,,,,,BA,,,,"13.871,78",,,,,,"54,88",,,,,,"13.926,66",,,,,,,"86.886,77",,,,,,,,,
CANDEAL-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
CANDEIAS-BA,,,,,BA,,,,"180.842,78",,,,,,"83.857,29",,,,,,"264.700,07",,,,,,,"1.640.894,95",,,,,,,,,
CANDIDO SALES-BA,,,,,BA,,,,"26,72",,,,,,-,,,,,,"26,72",,,,,,,"174,49",,,,,,,,,
CANSANCAO-BA,,,,,BA,,,,"27,70",,,,,,-,,,,,,"27,70",,,,,,,"180,78",,,,,,,,,
CANUDOS-BA,,,,,BA,,,,"23,75",,,,,,-,,,,,,"23,75",,,,,,,"155,12",,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,,"26,72",,,,,,-,,,,,,"26,72",,,,,,,"174,49",,,,,,,,,
CARAVELAS-BA,,,,,BA,,,,"15.134,17",,,,,,"1.073,51",,,,,,"16.207,68",,,,,,,"99.927,17",,,,,,,,,
CARDEAL DA SILVA-BA,,,,,BA,,,,"34.586,68",,,,,,"13.467,09",,,,,,"48.053,77",,,,,,,"311.654,80",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTRO ALVES-BA,,,,,BA,,,,"26,72",,,,,,-,,,,,,"26,72",,,,,,,"174,49",,,,,,,,,
CATU-BA,,,,,BA,,,,"49.392,01",,,,,,"21.823,43",,,,,,"71.215,44",,,,,,,"447.750,97",,,,,,,,,
CICERO DANTAS-BA,,,,,BA,,,,"27,70",,,,,,-,,,,,,"27,70",,,,,,,"180,78",,,,,,,,,
CIPO-BA,,,,,BA,,,,"21,77",,,,,,-,,,,,,"21,77",,,,,,,"142,13",,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,BA,,,,"23,75",,,,,,-,,,,,,"23,75",,,,,,,"155,12",,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,"24,74",,,,,,-,,,,,,"24,74",,,,,,,"161,49",,,,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,,"31,66",,,,,,-,,,,,,"31,66",,,,,,,"206,73",,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,"26,72",,,,,,-,,,,,,"26,72",,,,,,,"174,49",,,,,,,,,
CONDE-BA,,,,,BA,,,,"24,74",,,,,,-,,,,,,"24,74",,,,,,,"161,49",,,,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,,"25,73",,,,,,-,,,,,,"25,73",,,,,,,"167,79",,,,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,,"24,74",,,,,,-,,,,,,"24,74",,,,,,,"161,49",,,,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,13",,,,,,,,,
CRISOPOLIS-BA,,,,,BA,,,,"23,75",,,,,,-,,,,,,"23,75",,,,,,,"155,12",,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,,"31,66",,,,,,-,,,,,,"31,66",,,,,,,"206,73",,,,,,,,,
