ARATUIPE-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
BAIXA GRANDE-BA,,,,BA,,,,"37,08",,,,,,-,,,,,,"37,08",,,,,,,"224,28",,,,,,,,,,
BANZAE-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
BARRA DO CHOCA-BA,,,,BA,,,,"42,79",,,,,,-,,,,,,"42,79",,,,,,,"258,79",,,,,,,,,,
BELO CAMPO-BA,,,,BA,,,,"32,80",,,,,,-,,,,,,"32,80",,,,,,,"198,40",,,,,,,,,,
BIRITINGA-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
BOA NOVA-BA,,,,BA,,,,"34,23",,,,,,-,,,,,,"34,23",,,,,,,"207,01",,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,BA,,,,"35,66",,,,,,-,,,,,,"35,66",,,,,,,"215,66",,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
BREJOES-BA,,,,BA,,,,"32,80",,,,,,-,,,,,,"32,80",,,,,,,"198,40",,,,,,,,,,
CAATIBA-BA,,,,BA,,,,"32,80",,,,,,-,,,,,,"32,80",,,,,,,"198,40",,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,BA,,,,"32,80",,,,,,-,,,,,,"32,80",,,,,,,"198,40",,,,,,,,,,
CACHOEIRA-BA,,,,BA,,,,"39,93",,,,,,-,,,,,,"39,93",,,,,,,"241,53",,,,,,,,,,
CAEM-BA,,,,BA,,,,"34,23",,,,,,-,,,,,,"34,23",,,,,,,"207,01",,,,,,,,,,
CAETANOS-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
CAMACARI-BA,,,,BA,,,,"20.457,36",,,,,,"82,10",,,,,,"20.539,46",,,,,,,"121.729,92",,,,,,,,,,
CANDEAL-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
CANDEIAS-BA,,,,BA,,,,"257.433,45",,,,,,"124.054,46",,,,,,"381.487,91",,,,,,,"2.247.212,20",,,,,,,,,,
CANDIDO SALES-BA,,,,BA,,,,"38,51",,,,,,-,,,,,,"38,51",,,,,,,"232,91",,,,,,,,,,
CANSANCAO-BA,,,,BA,,,,"39,93",,,,,,-,,,,,,"39,93",,,,,,,"241,53",,,,,,,,,,
CANUDOS-BA,,,,BA,,,,"34,23",,,,,,-,,,,,,"34,23",,,,,,,"207,01",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
CAPIM GROSSO-BA,,,,BA,,,,"38,51",,,,,,-,,,,,,"38,51",,,,,,,"232,91",,,,,,,,,,
CARAVELAS-BA,,,,BA,,,,"20.206,26",,,,,,-,,,,,,"20.206,26",,,,,,,"120.617,02",,,,,,,,,,
CARDEAL DA SILVA-BA,,,,BA,,,,"43.958,35",,,,,,"15.301,70",,,,,,"59.260,05",,,,,,,"388.414,52",,,,,,,,,,
CASTRO ALVES-BA,,,,BA,,,,"38,51",,,,,,-,,,,,,"38,51",,,,,,,"232,91",,,,,,,,,,
CATU-BA,,,,BA,,,,"75.951,66",,,,,,"133.160,73",,,,,,"209.112,39",,,,,,,"1.266.633,95",,,,,,,,,,
CICERO DANTAS-BA,,,,BA,,,,"39,93",,,,,,-,,,,,,"39,93",,,,,,,"241,53",,,,,,,,,,
CIPO-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,BA,,,,"34,23",,,,,,-,,,,,,"34,23",,,,,,,"207,01",,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,BA,,,,"35,66",,,,,,-,,,,,,"35,66",,,,,,,"215,66",,,,,,,,,,
CONCEICAO DO COITE-BA,,,,BA,,,,"45,64",,,,,,-,,,,,,"45,64",,,,,,,"276,05",,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,BA,,,,"38,51",,,,,,-,,,,,,"38,51",,,,,,,"232,91",,,,,,,,,,
CONDE-BA,,,,BA,,,,"35,66",,,,,,-,,,,,,"35,66",,,,,,,"215,66",,,,,,,,,,
CORACAO DE MARIA-BA,,,,BA,,,,"37,08",,,,,,-,,,,,,"37,08",,,,,,,"224,28",,,,,,,,,,
CORONEL JOAO SA-BA,,,,BA,,,,"35,66",,,,,,-,,,,,,"35,66",,,,,,,"215,66",,,,,,,,,,
CRAVOLANDIA-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
CRISOPOLIS-BA,,,,BA,,,,"34,23",,,,,,-,,,,,,"34,23",,,,,,,"207,01",,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,BA,,,,"45,64",,,,,,-,,,,,,"45,64",,,,,,,"276,05",,,,,,,,,,
DARIO MEIRA-BA,,,,BA,,,,"32,80",,,,,,-,,,,,,"32,80",,,,,,,"198,40",,,,,,,,,,
DIAS D'AVILA-BA,,,,BA,,,,"42,79",,,,,,-,,,,,,"42,79",,,,,,,"258,79",,,,,,,,,,
DOM MACEDO COSTA-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
ELISIO MEDRADO-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
ENCRUZILHADA-BA,,,,BA,,,,"39,93",,,,,,-,,,,,,"39,93",,,,,,,"241,53",,,,,,,,,,
ENTRE RIOS-BA,,,,BA,,,,"131.857,36",,,,,,"71.988,28",,,,,,"203.845,64",,,,,,,"1.323.294,86",,,,,,,,,,
ESPLANADA-BA,,,,BA,,,,"164.631,00",,,,,,"93.129,12",,,,,,"257.760,12",,,,,,,"1.677.408,36",,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,BA,,,,"45,64",,,,,,-,,,,,,"45,64",,,,,,,"276,05",,,,,,,,,,
FATIMA-BA,,,,BA,,,,"34,23",,,,,,-,,,,,,"34,23",,,,,,,"207,01",,,,,,,,,,
FEIRA DE SANTANA-BA,,,,BA,,,,"57,05",,,,,,-,,,,,,"57,05",,,,,,,"345,05",,,,,,,,,,
GAVIAO-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
GLORIA-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,BA,,,,"34,23",,,,,,-,,,,,,"34,23",,,,,,,"207,01",,,,,,,,,,
HELIOPOLIS-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
IACU-BA,,,,BA,,,,"38,51",,,,,,-,,,,,,"38,51",,,,,,,"232,91",,,,,,,,,,
IBIQUERA-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
ICHU-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
INHAMBUPE-BA,,,,BA,,,,"38,51",,,,,,-,,,,,,"38,51",,,,,,,"232,91",,,,,,,,,,
IPECAETA-BA,,,,BA,,,,"34,23",,,,,,-,,,,,,"34,23",,,,,,,"207,01",,,,,,,,,,
IPIRA-BA,,,,BA,,,,"47,07",,,,,,-,,,,,,"47,07",,,,,,,"284,67",,,,,,,,,,
IRAJUBA-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
IRARA-BA,,,,BA,,,,"38,51",,,,,,-,,,,,,"38,51",,,,,,,"232,91",,,,,,,,,,
ITABERABA-BA,,,,BA,,,,"47,07",,,,,,-,,,,,,"47,07",,,,,,,"284,67",,,,,,,,,,
ITAGI-BA,,,,BA,,,,"32,80",,,,,,-,,,,,,"32,80",,,,,,,"198,40",,,,,,,,,,
ITAMBE-BA,,,,BA,,,,"39,93",,,,,,-,,,,,,"39,93",,,,,,,"241,53",,,,,,,,,,
ITANAGRA-BA,,,,BA,,,,"28.846,37",,,,,,"5.492,12",,,,,,"34.338,49",,,,,,,"200.581,10",,,,,,,,,,
ITAPARICA-BA,,,,BA,,,,"957,11",,,,,,"1.328,99",,,,,,"2.286,10",,,,,,,"13.826,94",,,,,,,,,,
ITAPETINGA-BA,,,,BA,,,,"45,64",,,,,,-,,,,,,"45,64",,,,,,,"276,05",,,,,,,,,,
ITAPICURU-BA,,,,BA,,,,"38,51",,,,,,-,,,,,,"38,51",,,,,,,"232,91",,,,,,,,,,
ITAQUARA-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
ITARANTIM-BA,,,,BA,,,,"32,80",,,,,,-,,,,,,"32,80",,,,,,,"198,40",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITATIM-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
