SANTA LUZIA DO NORTE-AL,,,,,,,,,AL,,,"100.595,09",,,,,,,"369,25",,,,,,,"100.964,34",,,,,,,,,,"297.680,32",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,AL,,,"670,89",,,,,,,-,,,,,,,"670,89",,,,,,,,,,"2.055,70",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,AL,,,"830,62",,,,,,,-,,,,,,,"830,62",,,,,,,,,,"2.545,13",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,AL,,,"926,47",,,,,,,-,,,,,,,"926,47",,,,,,,,,,"2.838,82",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,,AL,,,"281.805,37",,,,,,,"159.126,71",,,,,,,"440.932,08",,,,,,,,,,"1.354.487,74",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,,AL,,,"638,94",,,,,,,-,,,,,,,"638,94",,,,,,,,,,"1.957,80",,,,,,,,,,
SATUBA-AL,,,,,,,,,AL,,,"28.703,08",,,,,,,"18.513,49",,,,,,,"47.216,57",,,,,,,,,,"141.894,89",,,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,,AL,,,"990,36",,,,,,,-,,,,,,,"990,36",,,,,,,,,,"3.034,59",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,,AL,,,"1.054,26",,,,,,,-,,,,,,,"1.054,26",,,,,,,,,,"3.230,38",,,,,,,,,,
VICOSA-AL,,,,,,,,,AL,,,"862,57",,,,,,,-,,,,,,,"862,57",,,,,,,,,,"2.643,03",,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,,"4.842.175,86",,,,,,,"462.789,90",,,,,,,"5.304.965,76",,,,,,,,,,"15.932.188,92",,,,,,,,,,
ANAMA-AM,,,,,,,,,AM,,,-,,,,,,,"4.052,82",,,,,,,"4.052,82",,,,,,,,,,"11.726,27",,,,,,,,,,
ANORI-AM,,,,,,,,,AM,,,-,,,,,,,"4.052,82",,,,,,,"4.052,82",,,,,,,,,,"11.726,27",,,,,,,,,,
AUTAZES-AM,,,,,,,,,AM,,,-,,,,,,,"10.415,72",,,,,,,"10.415,72",,,,,,,,,,"32.438,09",,,,,,,,,,
BERURI-AM,,,,,,,,,AM,,,-,,,,,,,"4.052,82",,,,,,,"4.052,82",,,,,,,,,,"11.726,27",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,,AM,,,-,,,,,,,"10.415,72",,,,,,,"10.415,72",,,,,,,,,,"32.438,09",,,,,,,,,,
CAREIRO-AM,,,,,,,,,AM,,,-,,,,,,,"4.052,82",,,,,,,"4.052,82",,,,,,,,,,"11.726,27",,,,,,,,,,
COARI-AM,,,,,,,,,AM,,,"3.202.495,97",,,,,,,"3.095.748,49",,,,,,,"6.298.244,46",,,,,,,,,,"18.639.709,48",,,,,,,,,,
CODAJAS-AM,,,,,,,,,AM,,,-,,,,,,,"4.052,82",,,,,,,"4.052,82",,,,,,,,,,"11.726,27",,,,,,,,,,
IRANDUBA-AM,,,,,,,,,AM,,,-,,,,,,,"10.415,72",,,,,,,"10.415,72",,,,,,,,,,"32.438,09",,,,,,,,,,
ITACOATIARA-AM,,,,,,,,,AM,,,-,,,,,,,"10.415,72",,,,,,,"10.415,72",,,,,,,,,,"32.438,09",,,,,,,,,,
ITAPIRANGA-AM,,,,,,,,,AM,,,-,,,,,,,"10.415,72",,,,,,,"10.415,72",,,,,,,,,,"32.438,09",,,,,,,,,,
MANACAPURU-AM,,,,,,,,,AM,,,-,,,,,,,"4.052,82",,,,,,,"4.052,82",,,,,,,,,,"11.726,27",,,,,,,,,,
MANAQUIRI-AM,,,,,,,,,AM,,,-,,,,,,,"4.052,82",,,,,,,"4.052,82",,,,,,,,,,"11.726,27",,,,,,,,,,
MANAUS-AM,,,,,,,,,AM,,,"1.952.461,09",,,,,,,"127.069,27",,,,,,,"2.079.530,36",,,,,,,,,,"6.192.822,80",,,,,,,,,,
PARINTINS-AM,,,,,,,,,AM,,,-,,,,,,,"10.415,72",,,,,,,"10.415,72",,,,,,,,,,"32.438,09",,,,,,,,,,
SILVES-AM,,,,,,,,,AM,,,-,,,,,,,"10.415,72",,,,,,,"10.415,72",,,,,,,,,,"32.438,09",,,,,,,,,,
TEFE-AM,,,,,,,,,AM,,,-,,,,,,,-,,,,,,,-,,,,,,,,,,"807.310,59",,,,,,,,,,
URUCARA-AM,,,,,,,,,AM,,,-,,,,,,,"10.415,72",,,,,,,"10.415,72",,,,,,,,,,"32.438,09",,,,,,,,,,
URUCURITUBA-AM,,,,,,,,,AM,,,-,,,,,,,"10.415,72",,,,,,,"10.415,72",,,,,,,,,,"32.438,09",,,,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,,,"5.154.957,06",,,,,,,"3.344.928,98",,,,,,,"8.499.886,04",,,,,,,,,,"26.013.869,57",,,,,,,,,,
LARANJAL DO JARI-AP,,,,,,,,,AP,,,-,,,,,,,"10.415,72",,,,,,,"10.415,72",,,,,,,,,,"32.438,09",,,,,,,,,,
MACAPA-AP,,,,,,,,,AP,,,-,,,,,,,"10.415,72",,,,,,,"10.415,72",,,,,,,,,,"32.438,09",,,,,,,,,,
MAZAGAO-AP,,,,,,,,,AP,,,-,,,,,,,"10.415,72",,,,,,,"10.415,72",,,,,,,,,,"32.438,09",,,,,,,,,,
AMAPA  TOTAL,,,,,,,,,,,,-,,,,,,,"31.247,16",,,,,,,"31.247,16",,,,,,,,,,"97.314,27",,,,,,,,,,
ACAJUTIBA-BA,,,,,,,,,BA,,,"1.386,44",,,,,,,-,,,,,,,"1.386,44",,,,,,,,,,"4.053,26",,,,,,,,,,
ADUSTINA-BA,,,,,,,,,BA,,,"1.386,44",,,,,,,-,,,,,,,"1.386,44",,,,,,,,,,"4.053,26",,,,,,,,,,
AGUA FRIA-BA,,,,,,,,,BA,,,"1.386,44",,,,,,,-,,,,,,,"1.386,44",,,,,,,,,,"4.053,26",,,,,,,,,,
AIQUARA-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
ALAGOINHAS-BA,,,,,,,,,BA,,,"429.598,70",,,,,,,"234.962,67",,,,,,,"664.561,37",,,,,,,,,,"2.109.119,95",,,,,,,,,,
ALCOBACA-BA,,,,,,,,,BA,,,"1.567,28",,,,,,,-,,,,,,,"1.567,28",,,,,,,,,,"4.581,95",,,,,,,,,,
ALMADINA-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
AMARGOSA-BA,,,,,,,,,BA,,,"1.748,12",,,,,,,-,,,,,,,"1.748,12",,,,,,,,,,"5.110,63",,,,,,,,,,
AMELIA RODRIGUES-BA,,,,,,,,,BA,,,"1.627,56",,,,,,,-,,,,,,,"1.627,56",,,,,,,,,,"4.758,18",,,,,,,,,,
ANAGE-BA,,,,,,,,,BA,,,"1.627,56",,,,,,,-,,,,,,,"1.627,56",,,,,,,,,,"4.758,18",,,,,,,,,,
ANGUERA-BA,,,,,,,,,BA,,,"1.265,88",,,,,,,-,,,,,,,"1.265,88",,,,,,,,,,"3.700,80",,,,,,,,,,
ANTAS-BA,,,,,,,,,BA,,,"1.446,72",,,,,,,-,,,,,,,"1.446,72",,,,,,,,,,"4.229,49",,,,,,,,,,
ANTONIO CARDOSO-BA,,,,,,,,,BA,,,"1.265,88",,,,,,,-,,,,,,,"1.265,88",,,,,,,,,,"3.700,80",,,,,,,,,,
APORA-BA,,,,,,,,,BA,,,"1.446,72",,,,,,,-,,,,,,,"1.446,72",,,,,,,,,,"4.229,49",,,,,,,,,,
APUAREMA-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
ARACAS-BA,,,,,,,,,BA,,,"424.230,35",,,,,,,"228.124,90",,,,,,,"652.355,25",,,,,,,,,,"1.992.837,05",,,,,,,,,,
ARACI-BA,,,,,,,,,BA,,,"1.928,96",,,,,,,-,,,,,,,"1.928,96",,,,,,,,,,"5.639,32",,,,,,,,,,
ARAMARI-BA,,,,,,,,,BA,,,"1.265,88",,,,,,,-,,,,,,,"1.265,88",,,,,,,,,,"3.780,09",,,,,,,,,,
ARATACA-BA,,,,,,,,,BA,,,"1.265,88",,,,,,,-,,,,,,,"1.265,88",,,,,,,,,,"3.700,80",,,,,,,,,,
ARATUIPE-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
AURELINO LEAL-BA,,,,,,,,,BA,,,"1.326,16",,,,,,,-,,,,,,,"1.326,16",,,,,,,,,,"3.877,03",,,,,,,,,,
BAIXA GRANDE-BA,,,,,,,,,BA,,,"1.567,28",,,,,,,-,,,,,,,"1.567,28",,,,,,,,,,"4.581,95",,,,,,,,,,
BANZAE-BA,,,,,,,,,BA,,,"1.265,88",,,,,,,-,,,,,,,"1.265,88",,,,,,,,,,"3.700,80",,,,,,,,,,
BARRA DO CHOCA-BA,,,,,,,,,BA,,,"1.748,12",,,,,,,-,,,,,,,"1.748,12",,,,,,,,,,"5.110,63",,,,,,,,,,
BARRA DO ROCHA-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
BARRO PRETO-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
BARROCAS-BA,,,,,,,,,BA,,,"1.386,44",,,,,,,-,,,,,,,"1.386,44",,,,,,,,,,"4.053,26",,,,,,,,,,
BELMONTE-BA,,,,,,,,,BA,,,"1.567,28",,,,,,,-,,,,,,,"1.567,28",,,,,,,,,,"4.581,95",,,,,,,,,,
BELO CAMPO-BA,,,,,,,,,BA,,,"1.446,72",,,,,,,-,,,,,,,"1.446,72",,,,,,,,,,"4.229,49",,,,,,,,,,
BIRITINGA-BA,,,,,,,,,BA,,,"1.386,44",,,,,,,-,,,,,,,"1.386,44",,,,,,,,,,"4.053,26",,,,,,,,,,
BOA NOVA-BA,,,,,,,,,BA,,,"1.386,44",,,,,,,-,,,,,,,"1.386,44",,,,,,,,,,"4.053,26",,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,,,BA,,,"1.446,72",,,,,,,-,,,,,,,"1.446,72",,,,,,,,,,"4.229,49",,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,,,BA,,,"1.265,88",,,,,,,-,,,,,,,"1.265,88",,,,,,,,,,"3.700,80",,,,,,,,,,
BREJOES-BA,,,,,,,,,BA,,,"1.386,44",,,,,,,-,,,,,,,"1.386,44",,,,,,,,,,"4.053,26",,,,,,,,,,
BUERAREMA-BA,,,,,,,,,BA,,,"1.507,00",,,,,,,-,,,,,,,"1.507,00",,,,,,,,,,"4.405,72",,,,,,,,,,
CAATIBA-BA,,,,,,,,,BA,,,"1.265,88",,,,,,,-,,,,,,,"1.265,88",,,,,,,,,,"3.700,80",,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,,,BA,,,"1.446,72",,,,,,,-,,,,,,,"1.446,72",,,,,,,,,,"4.229,49",,,,,,,,,,
CACHOEIRA-BA,,,,,,,,,BA,,,"1.748,12",,,,,,,-,,,,,,,"1.748,12",,,,,,,,,,"5.110,63",,,,,,,,,,
CAEM-BA,,,,,,,,,BA,,,"1.265,88",,,,,,,-,,,,,,,"1.265,88",,,,,,,,,,"3.700,80",,,,,,,,,,
CAETANOS-BA,,,,,,,,,BA,,,"1.326,16",,,,,,,-,,,,,,,"1.326,16",,,,,,,,,,"3.877,03",,,,,,,,,,
CAIRU-BA,,,,,,,,,BA,,,"41.648,02",,,,,,,"471.085,31",,,,,,,"512.733,33",,,,,,,,,,"1.500.718,80",,,,,,,,,,
CAMACAN-BA,,,,,,,,,BA,,,"1.687,84",,,,,,,-,,,,,,,"1.687,84",,,,,,,,,,"4.934,41",,,,,,,,,,
CAMACARI-BA,,,,,,,,,BA,,,"2.417,11",,,,,,,"2,48",,,,,,,"2.419,59",,,,,,,,,,"7.179,09",,,,,,,,,,
CAMAMU-BA,,,,,,,,,BA,,,"1.748,12",,,,,,,-,,,,,,,"1.748,12",,,,,,,,,,"5.110,63",,,,,,,,,,
CANAVIEIRAS-BA,,,,,,,,,BA,,,"1.748,12",,,,,,,-,,,,,,,"1.748,12",,,,,,,,,,"5.110,63",,,,,,,,,,
CANDEAL-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
CANDEIAS-BA,,,,,,,,,BA,,,"300.594,13",,,,,,,"434.894,05",,,,,,,"735.488,18",,,,,,,,,,"2.236.973,60",,,,,,,,,,
CANDIDO SALES-BA,,,,,,,,,BA,,,"1.627,56",,,,,,,-,,,,,,,"1.627,56",,,,,,,,,,"4.758,18",,,,,,,,,,
CANSANCAO-BA,,,,,,,,,BA,,,"1.748,12",,,,,,,-,,,,,,,"1.748,12",,,,,,,,,,"5.110,63",,,,,,,,,,
CANUDOS-BA,,,,,,,,,BA,,,"1.386,44",,,,,,,-,,,,,,,"1.386,44",,,,,,,,,,"4.053,26",,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,,,BA,,,"1.265,88",,,,,,,-,,,,,,,"1.265,88",,,,,,,,,,"3.700,80",,,,,,,,,,
CAPIM GROSSO-BA,,,,,,,,,BA,,,"1.627,56",,,,,,,-,,,,,,,"1.627,56",,,,,,,,,,"4.758,18",,,,,,,,,,
CARAVELAS-BA,,,,,,,,,BA,,,"1.567,28",,,,,,,-,,,,,,,"1.567,28",,,,,,,,,,"4.581,95",,,,,,,,,,
CARDEAL DA SILVA-BA,,,,,,,,,BA,,,"163.770,24",,,,,,,"41.221,08",,,,,,,"204.991,32",,,,,,,,,,"618.843,03",,,,,,,,,,
CASTRO ALVES-BA,,,,,,,,,BA,,,"1.627,56",,,,,,,-,,,,,,,"1.627,56",,,,,,,,,,"4.758,18",,,,,,,,,,
CATU-BA,,,,,,,,,BA,,,"342.598,76",,,,,,,"188.151,53",,,,,,,"530.750,29",,,,,,,,,,"1.653.334,35",,,,,,,,,,
CICERO DANTAS-BA,,,,,,,,,BA,,,"1.748,12",,,,,,,-,,,,,,,"1.748,12",,,,,,,,,,"5.110,63",,,,,,,,,,
CIPO-BA,,,,,,,,,BA,,,"1.386,44",,,,,,,-,,,,,,,"1.386,44",,,,,,,,,,"4.053,26",,,,,,,,,,
COARACI-BA,,,,,,,,,BA,,,"1.567,28",,,,,,,-,,,,,,,"1.567,28",,,,,,,,,,"4.581,95",,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,,,,BA,,,"1.567,28",,,,,,,-,,,,,,,"1.567,28",,,,,,,,,,"4.581,95",,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,,,BA,,,"1.446,72",,,,,,,-,,,,,,,"1.446,72",,,,,,,,,,"4.229,49",,,,,,,,,,
CONCEICAO DO COITE-BA,,,,,,,,,BA,,,"1.989,24",,,,,,,-,,,,,,,"1.989,24",,,,,,,,,,"5.815,55",,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,,,BA,,,"1.687,84",,,,,,,-,,,,,,,"1.687,84",,,,,,,,,,"4.934,41",,,,,,,,,,
CONDE-BA,,,,,,,,,BA,,,"3.695,08",,,,,,,"1.372,43",,,,,,,"5.067,51",,,,,,,,,,"14.490,21",,,,,,,,,,
CORACAO DE MARIA-BA,,,,,,,,,BA,,,"1.567,28",,,,,,,-,,,,,,,"1.567,28",,,,,,,,,,"4.581,95",,,,,,,,,,
CORONEL JOAO SA-BA,,,,,,,,,BA,,,"1.446,72",,,,,,,-,,,,,,,"1.446,72",,,,,,,,,,"4.229,49",,,,,,,,,,
CRAVOLANDIA-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
CRISOPOLIS-BA,,,,,,,,,BA,,,"1.567,28",,,,,,,-,,,,,,,"1.567,28",,,,,,,,,,"4.581,95",,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,,,,BA,,,"1.989,24",,,,,,,-,,,,,,,"1.989,24",,,,,,,,,,"5.815,55",,,,,,,,,,
DARIO MEIRA-BA,,,,,,,,,BA,,,"1.326,16",,,,,,,-,,,,,,,"1.326,16",,,,,,,,,,"3.877,03",,,,,,,,,,
DIAS D'AVILA-BA,,,,,,,,,BA,,,"2.049,52",,,,,,,-,,,,,,,"2.049,52",,,,,,,,,,"5.991,78",,,,,,,,,,
DOM MACEDO COSTA-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
ELISIO MEDRADO-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
ENCRUZILHADA-BA,,,,,,,,,BA,,,"1.567,28",,,,,,,-,,,,,,,"1.567,28",,,,,,,,,,"4.581,95",,,,,,,,,,
ENTRE RIOS-BA,,,,,,,,,BA,,,"437.774,59",,,,,,,"280.800,58",,,,,,,"718.575,17",,,,,,,,,,"2.093.002,17",,,,,,,,,,
ESPLANADA-BA,,,,,,,,,BA,,,"701.767,91",,,,,,,"484.090,94",,,,,,,"1.185.858,85",,,,,,,,,,"3.546.405,06",,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,,,BA,,,"1.989,24",,,,,,,-,,,,,,,"1.989,24",,,,,,,,,,"5.815,55",,,,,,,,,,
EUNAPOLIS-BA,,,,,,,,,BA,,,"2.230,36",,,,,,,-,,,,,,,"2.230,36",,,,,,,,,,"6.520,47",,,,,,,,,,
FATIMA-BA,,,,,,,,,BA,,,"1.446,72",,,,,,,-,,,,,,,"1.446,72",,,,,,,,,,"4.229,49",,,,,,,,,,
FEIRA DE SANTANA-BA,,,,,,,,,BA,,,"2.411,20",,,,,,,-,,,,,,,"2.411,20",,,,,,,,,,"7.049,16",,,,,,,,,,
FIRMINO ALVES-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
FLORESTA AZUL-BA,,,,,,,,,BA,,,"1.265,88",,,,,,,-,,,,,,,"1.265,88",,,,,,,,,,"3.700,80",,,,,,,,,,
GANDU-BA,,,,,,,,,BA,,,"1.687,84",,,,,,,-,,,,,,,"1.687,84",,,,,,,,,,"4.934,41",,,,,,,,,,
GAVIAO-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
GLORIA-BA,,,,,,,,,BA,,,"1.386,44",,,,,,,-,,,,,,,"1.386,44",,,,,,,,,,"4.053,26",,,,,,,,,,
GONGOGI-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,,,,BA,,,"1.507,00",,,,,,,-,,,,,,,"1.507,00",,,,,,,,,,"4.405,72",,,,,,,,,,
GUARATINGA-BA,,,,,,,,,BA,,,"1.567,28",,,,,,,-,,,,,,,"1.567,28",,,,,,,,,,"4.581,95",,,,,,,,,,
HELIOPOLIS-BA,,,,,,,,,BA,,,"1.326,16",,,,,,,-,,,,,,,"1.326,16",,,,,,,,,,"3.877,03",,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IACU-BA,,,,,,,,,BA,,,"1.627,56",,,,,,,-,,,,,,,"1.627,56",,,,,,,,,,"4.758,18",,,,,,,,,,
IBICARAI-BA,,,,,,,,,BA,,,"1.627,56",,,,,,,-,,,,,,,"1.627,56",,,,,,,,,,"4.758,18",,,,,,,,,,
IBICUI-BA,,,,,,,,,BA,,,"1.386,44",,,,,,,-,,,,,,,"1.386,44",,,,,,,,,,"4.053,26",,,,,,,,,,
IBIQUERA-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
IBIRAPITANGA-BA,,,,,,,,,BA,,,"1.567,28",,,,,,,-,,,,,,,"1.567,28",,,,,,,,,,"4.581,95",,,,,,,,,,
IBIRAPUA-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
IBIRATAIA-BA,,,,,,,,,BA,,,"1.507,00",,,,,,,-,,,,,,,"1.507,00",,,,,,,,,,"4.405,72",,,,,,,,,,
ICHU-BA,,,,,,,,,BA,,,"1.205,60",,,,,,,-,,,,,,,"1.205,60",,,,,,,,,,"3.524,57",,,,,,,,,,
