CAREIRO,,,,AM,,,,,-,,,,,,,,"2.412,09",,,,,,,"2.412,09",,,,,,,,"12.481,36",,,,,,,,,
COARI,,,,AM,,,,,"1.485.688,18",,,,,,,,"1.260.110,63",,,,,,,"2.745.798,81",,,,,,,,"13.344.644,95",,,,,,,,,
CODAJAS,,,,AM,,,,,-,,,,,,,,"2.412,09",,,,,,,"2.412,09",,,,,,,,"12.481,36",,,,,,,,,
IRANDUBA,,,,AM,,,,,-,,,,,,,,"5.972,99",,,,,,,"5.972,99",,,,,,,,"29.636,29",,,,,,,,,
ITACOATIARA,,,,AM,,,,,-,,,,,,,,"5.972,99",,,,,,,"5.972,99",,,,,,,,"29.636,29",,,,,,,,,
ITAPIRANGA,,,,AM,,,,,-,,,,,,,,"5.972,99",,,,,,,"5.972,99",,,,,,,,"29.636,29",,,,,,,,,
MANACAPURU,,,,AM,,,,,-,,,,,,,,"2.412,09",,,,,,,"2.412,09",,,,,,,,"12.481,36",,,,,,,,,
MANAQUIRI,,,,AM,,,,,-,,,,,,,,"2.412,09",,,,,,,"2.412,09",,,,,,,,"12.481,36",,,,,,,,,
MANAUS,,,,AM,,,,,"878.270,68",,,,,,,,"71.256,31",,,,,,,"949.526,99",,,,,,,,"4.318.852,15",,,,,,,,,
PARINTINS,,,,AM,,,,,-,,,,,,,,"5.972,99",,,,,,,"5.972,99",,,,,,,,"29.636,29",,,,,,,,,
SILVES,,,,AM,,,,,-,,,,,,,,"5.972,99",,,,,,,"5.972,99",,,,,,,,"29.636,29",,,,,,,,,
URUCARA,,,,AM,,,,,-,,,,,,,,"5.972,99",,,,,,,"5.972,99",,,,,,,,"29.636,29",,,,,,,,,
URUCURITUBA,,,,AM,,,,,-,,,,,,,,"5.972,99",,,,,,,"5.972,99",,,,,,,,"29.636,29",,,,,,,,,
LARANJAL DO JARI,,,,AP,,,,,-,,,,,,,,"5.972,99",,,,,,,"5.972,99",,,,,,,,"29.636,29",,,,,,,,,
MACAPA,,,,AP,,,,,-,,,,,,,,"5.972,99",,,,,,,"5.972,99",,,,,,,,"29.636,29",,,,,,,,,
MAZAGAO,,,,AP,,,,,-,,,,,,,,"5.972,99",,,,,,,"5.972,99",,,,,,,,"29.636,29",,,,,,,,,
ACAJUTIBA,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
ADUSTINA,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
AGUA FRIA,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
AIQUARA,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
ALAGOINHAS,,,,BA,,,,,"227.613,69",,,,,,,,"128.913,71",,,,,,,"356.527,40",,,,,,,,"1.818.259,37",,,,,,,,,
AMARGOSA,,,,BA,,,,,"98,85",,,,,,,,-,,,,,,,"98,85",,,,,,,,"497,63",,,,,,,,,
AMELIA RODRIGUES,,,,BA,,,,,"95,32",,,,,,,,-,,,,,,,"95,32",,,,,,,,"479,85",,,,,,,,,
ANAGE,,,,BA,,,,,"109,44",,,,,,,,-,,,,,,,"109,44",,,,,,,,"550,95",,,,,,,,,
ANGUERA,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
ANTAS,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
ANTONIO CARDOSO,,,,BA,,,,,"74,14",,,,,,,,-,,,,,,,"74,14",,,,,,,,"373,21",,,,,,,,,
APORA,,,,BA,,,,,"84,73",,,,,,,,-,,,,,,,"84,73",,,,,,,,"426,54",,,,,,,,,
APUAREMA,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
ARACAS,,,,BA,,,,,"197.824,19",,,,,,,,"97.935,58",,,,,,,"295.759,77",,,,,,,,"1.492.496,91",,,,,,,,,
ARACI,,,,BA,,,,,"109,44",,,,,,,,-,,,,,,,"109,44",,,,,,,,"550,95",,,,,,,,,
ARAMARI,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
ARATUIPE,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
BAIXA GRANDE,,,,BA,,,,,"91,79",,,,,,,,-,,,,,,,"91,79",,,,,,,,"462,08",,,,,,,,,
BANZAE,,,,BA,,,,,"74,14",,,,,,,,-,,,,,,,"74,14",,,,,,,,"373,21",,,,,,,,,
BARRA DO CHOCA,,,,BA,,,,,"109,44",,,,,,,,-,,,,,,,"109,44",,,,,,,,"550,95",,,,,,,,,
BARROCAS,,,,BA,,,,,"77,67",,,,,,,,-,,,,,,,"77,67",,,,,,,,"390,98",,,,,,,,,
BELO CAMPO,,,,BA,,,,,"84,73",,,,,,,,-,,,,,,,"84,73",,,,,,,,"426,54",,,,,,,,,
BIRITINGA,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOA NOVA,,,,BA,,,,,"91,79",,,,,,,,-,,,,,,,"91,79",,,,,,,,"462,08",,,,,,,,,
BOA VISTA DO TUPIM,,,,BA,,,,,"88,26",,,,,,,,-,,,,,,,"88,26",,,,,,,,"444,31",,,,,,,,,
BOM JESUS DA SERRA,,,,BA,,,,,"74,14",,,,,,,,-,,,,,,,"74,14",,,,,,,,"373,21",,,,,,,,,
BREJOES,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
CAATIBA,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
CABACEIRAS DO PARAGUACU,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
CACHOEIRA,,,,BA,,,,,"98,85",,,,,,,,-,,,,,,,"98,85",,,,,,,,"497,63",,,,,,,,,
CAEM,,,,BA,,,,,"77,67",,,,,,,,-,,,,,,,"77,67",,,,,,,,"390,98",,,,,,,,,
CAETANOS,,,,BA,,,,,"77,67",,,,,,,,-,,,,,,,"77,67",,,,,,,,"390,98",,,,,,,,,
CAMACARI,,,,BA,,,,,"1.052,02",,,,,,,,"382,54",,,,,,,"1.434,56",,,,,,,,"4.584,92",,,,,,,,,
CANDEAL,,,,BA,,,,,"74,14",,,,,,,,-,,,,,,,"74,14",,,,,,,,"373,21",,,,,,,,,
CANDEIAS,,,,BA,,,,,"174.704,27",,,,,,,,"204.069,74",,,,,,,"378.774,01",,,,,,,,"1.979.979,25",,,,,,,,,
CANDIDO SALES,,,,BA,,,,,"98,85",,,,,,,,-,,,,,,,"98,85",,,,,,,,"497,63",,,,,,,,,
CANSANCAO,,,,BA,,,,,"98,85",,,,,,,,-,,,,,,,"98,85",,,,,,,,"497,63",,,,,,,,,
CANUDOS,,,,BA,,,,,"77,67",,,,,,,,-,,,,,,,"77,67",,,,,,,,"390,98",,,,,,,,,
CAPELA DO ALTO ALEGRE,,,,BA,,,,,"74,14",,,,,,,,-,,,,,,,"74,14",,,,,,,,"373,21",,,,,,,,,
CAPIM GROSSO,,,,BA,,,,,"91,79",,,,,,,,-,,,,,,,"91,79",,,,,,,,"462,08",,,,,,,,,
CARDEAL DA SILVA,,,,BA,,,,,"83.221,27",,,,,,,,"22.818,29",,,,,,,"106.039,56",,,,,,,,"609.873,35",,,,,,,,,
CASTRO ALVES,,,,BA,,,,,"95,32",,,,,,,,-,,,,,,,"95,32",,,,,,,,"479,85",,,,,,,,,
CATU,,,,BA,,,,,"174.240,87",,,,,,,,"89.476,60",,,,,,,"263.717,47",,,,,,,,"1.363.875,73",,,,,,,,,
CICERO DANTAS,,,,BA,,,,,"98,85",,,,,,,,-,,,,,,,"98,85",,,,,,,,"497,63",,,,,,,,,
CIPO,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
CONCEICAO DA FEIRA,,,,BA,,,,,"84,73",,,,,,,,-,,,,,,,"84,73",,,,,,,,"426,54",,,,,,,,,
CONCEICAO DO ALMEIDA,,,,BA,,,,,"88,26",,,,,,,,-,,,,,,,"88,26",,,,,,,,"444,31",,,,,,,,,
CONCEICAO DO COITE,,,,BA,,,,,"116,50",,,,,,,,-,,,,,,,"116,50",,,,,,,,"586,48",,,,,,,,,
CONCEICAO DO JACUIPE,,,,BA,,,,,"95,32",,,,,,,,-,,,,,,,"95,32",,,,,,,,"479,85",,,,,,,,,
CONDE,,,,BA,,,,,"1.388,97",,,,,,,,"836,68",,,,,,,"2.225,65",,,,,,,,"28.423,14",,,,,,,,,
CORACAO DE MARIA,,,,BA,,,,,"91,79",,,,,,,,-,,,,,,,"91,79",,,,,,,,"462,08",,,,,,,,,
CORONEL JOAO SA,,,,BA,,,,,"88,26",,,,,,,,-,,,,,,,"88,26",,,,,,,,"444,31",,,,,,,,,
CRAVOLANDIA,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
CRISOPOLIS,,,,BA,,,,,"88,26",,,,,,,,-,,,,,,,"88,26",,,,,,,,"444,31",,,,,,,,,
CRUZ DAS ALMAS,,,,BA,,,,,"112,97",,,,,,,,-,,,,,,,"112,97",,,,,,,,"568,71",,,,,,,,,
DARIO MEIRA,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
DIAS D'AVILA,,,,BA,,,,,"109,44",,,,,,,,-,,,,,,,"109,44",,,,,,,,"550,95",,,,,,,,,
DOM MACEDO COSTA,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
ELISIO MEDRADO,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
ENCRUZILHADA,,,,BA,,,,,"102,38",,,,,,,,-,,,,,,,"102,38",,,,,,,,"515,41",,,,,,,,,
ENTRE RIOS,,,,BA,,,,,"187.118,80",,,,,,,,"115.100,25",,,,,,,"302.219,05",,,,,,,,"1.546.817,24",,,,,,,,,
ESPLANADA,,,,BA,,,,,"317.647,60",,,,,,,,"202.288,42",,,,,,,"519.936,02",,,,,,,,"2.615.496,50",,,,,,,,,
EUCLIDES DA CUNHA,,,,BA,,,,,"112,97",,,,,,,,-,,,,,,,"112,97",,,,,,,,"568,71",,,,,,,,,
FATIMA,,,,BA,,,,,"88,26",,,,,,,,-,,,,,,,"88,26",,,,,,,,"444,31",,,,,,,,,
FEIRA DE SANTANA,,,,BA,,,,,"141,21",,,,,,,,-,,,,,,,"141,21",,,,,,,,"710,90",,,,,,,,,
GAVIAO,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
GLORIA,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
GOVERNADOR MANGABEIRA,,,,BA,,,,,"84,73",,,,,,,,-,,,,,,,"84,73",,,,,,,,"426,54",,,,,,,,,
HELIOPOLIS,,,,BA,,,,,"77,67",,,,,,,,-,,,,,,,"77,67",,,,,,,,"390,98",,,,,,,,,
IACU,,,,BA,,,,,"98,85",,,,,,,,-,,,,,,,"98,85",,,,,,,,"497,63",,,,,,,,,
IBIQUERA,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
ICHU,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
INHAMBUPE,,,,BA,,,,,"98,85",,,,,,,,-,,,,,,,"98,85",,,,,,,,"497,63",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPECAETA,,,,BA,,,,,"88,26",,,,,,,,-,,,,,,,"88,26",,,,,,,,"444,31",,,,,,,,,
IPIRA,,,,BA,,,,,"116,50",,,,,,,,-,,,,,,,"116,50",,,,,,,,"586,48",,,,,,,,,
IRAJUBA,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
IRARA,,,,BA,,,,,"95,32",,,,,,,,-,,,,,,,"95,32",,,,,,,,"479,85",,,,,,,,,
ITABERABA,,,,BA,,,,,"116,50",,,,,,,,-,,,,,,,"116,50",,,,,,,,"586,48",,,,,,,,,
ITAGI,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
ITAMBE,,,,BA,,,,,"98,85",,,,,,,,-,,,,,,,"98,85",,,,,,,,"497,63",,,,,,,,,
ITANAGRA,,,,BA,,,,,"66.180,09",,,,,,,,"14.345,44",,,,,,,"80.525,53",,,,,,,,"470.788,92",,,,,,,,,
ITAPARICA,,,,BA,,,,,"2.444,58",,,,,,,,"116.383,28",,,,,,,"118.827,86",,,,,,,,"610.180,04",,,,,,,,,
ITAPETINGA,,,,BA,,,,,"116,50",,,,,,,,-,,,,,,,"116,50",,,,,,,,"586,48",,,,,,,,,
ITAPICURU,,,,BA,,,,,"95,32",,,,,,,,-,,,,,,,"95,32",,,,,,,,"479,85",,,,,,,,,
ITAQUARA,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
ITARANTIM,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
ITATIM,,,,BA,,,,,"77,67",,,,,,,,-,,,,,,,"77,67",,,,,,,,"390,98",,,,,,,,,
ITIRUCU,,,,BA,,,,,"77,67",,,,,,,,-,,,,,,,"77,67",,,,,,,,"390,98",,,,,,,,,
ITIUBA,,,,BA,,,,,"102,38",,,,,,,,-,,,,,,,"102,38",,,,,,,,"515,41",,,,,,,,,
JACOBINA,,,,BA,,,,,"123,56",,,,,,,,-,,,,,,,"123,56",,,,,,,,"622,03",,,,,,,,,
JAGUAQUARA,,,,BA,,,,,"109,44",,,,,,,,-,,,,,,,"109,44",,,,,,,,"550,95",,,,,,,,,
JAGUARIPE,,,,BA,,,,,"77,67",,,,,,,,-,,,,,,,"77,67",,,,,,,,"390,98",,,,,,,,,
JANDAIRA,,,,BA,,,,,"74,14",,,,,,,,-,,,,,,,"74,14",,,,,,,,"373,21",,,,,,,,,
JEQUIE,,,,BA,,,,,"141,21",,,,,,,,-,,,,,,,"141,21",,,,,,,,"710,90",,,,,,,,,
JEREMOABO,,,,BA,,,,,"102,38",,,,,,,,-,,,,,,,"102,38",,,,,,,,"515,41",,,,,,,,,
JIQUIRICA,,,,BA,,,,,"77,67",,,,,,,,-,,,,,,,"77,67",,,,,,,,"390,98",,,,,,,,,
JITAUNA,,,,BA,,,,,"91,79",,,,,,,,-,,,,,,,"91,79",,,,,,,,"462,08",,,,,,,,,
LAFAIETE COUTINHO,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
LAJE,,,,BA,,,,,"88,26",,,,,,,,-,,,,,,,"88,26",,,,,,,,"444,31",,,,,,,,,
LAJEDINHO,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
LAJEDO DO TABOCAL,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
LAMARAO,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
LAURO DE FREITAS,,,,BA,,,,,"134,15",,,,,,,,-,,,,,,,"134,15",,,,,,,,"675,36",,,,,,,,,
MACAJUBA,,,,BA,,,,,"74,14",,,,,,,,-,,,,,,,"74,14",,,,,,,,"373,21",,,,,,,,,
MACARANI,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
MADRE DE DEUS,,,,BA,,,,,"880.421,91",,,,,,,,"532.310,28",,,,,,,"1.412.732,19",,,,,,,,"7.632.807,93",,,,,,,,,
MAIQUINIQUE,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
MAIRI,,,,BA,,,,,"91,79",,,,,,,,-,,,,,,,"91,79",,,,,,,,"462,08",,,,,,,,,
MANOEL VITORINO,,,,BA,,,,,"84,73",,,,,,,,-,,,,,,,"84,73",,,,,,,,"426,54",,,,,,,,,
MARACAS,,,,BA,,,,,"98,85",,,,,,,,-,,,,,,,"98,85",,,,,,,,"497,63",,,,,,,,,
MARAGOGIPE,,,,BA,,,,,"109,44",,,,,,,,-,,,,,,,"109,44",,,,,,,,"550,95",,,,,,,,,
MARCIONILIO SOUZA,,,,BA,,,,,"74,14",,,,,,,,-,,,,,,,"74,14",,,,,,,,"373,21",,,,,,,,,
MATA DE SAO JOAO,,,,BA,,,,,"149.041,79",,,,,,,,"66.894,49",,,,,,,"215.936,28",,,,,,,,"1.099.637,03",,,,,,,,,
MIGUEL CALMON,,,,BA,,,,,"98,85",,,,,,,,-,,,,,,,"98,85",,,,,,,,"497,63",,,,,,,,,
MILAGRES,,,,BA,,,,,"77,67",,,,,,,,-,,,,,,,"77,67",,,,,,,,"390,98",,,,,,,,,
MIRANTE,,,,BA,,,,,"77,67",,,,,,,,-,,,,,,,"77,67",,,,,,,,"390,98",,,,,,,,,
MONTE SANTO,,,,BA,,,,,"112,97",,,,,,,,-,,,,,,,"112,97",,,,,,,,"568,71",,,,,,,,,
MUNDO NOVO,,,,BA,,,,,"91,79",,,,,,,,-,,,,,,,"91,79",,,,,,,,"462,08",,,,,,,,,
MUNIZ FERREIRA,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
MURITIBA,,,,BA,,,,,"98,85",,,,,,,,-,,,,,,,"98,85",,,,,,,,"497,63",,,,,,,,,
MUTUIPE,,,,BA,,,,,"91,79",,,,,,,,-,,,,,,,"91,79",,,,,,,,"462,08",,,,,,,,,
NAZARE,,,,BA,,,,,"95,32",,,,,,,,-,,,,,,,"95,32",,,,,,,,"479,85",,,,,,,,,
NORDESTINA,,,,BA,,,,,"74,14",,,,,,,,-,,,,,,,"74,14",,,,,,,,"373,21",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA CANAA,,,,BA,,,,,"81,20",,,,,,,,-,,,,,,,"81,20",,,,,,,,"408,76",,,,,,,,,
NOVA FATIMA,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
NOVA ITARANA,,,,BA,,,,,"70,60",,,,,,,,-,,,,,,,"70,60",,,,,,,,"355,43",,,,,,,,,
NOVA SOURE,,,,BA,,,,,"95,32",,,,,,,,-,,,,,,,"95,32",,,,,,,,"479,85",,,,,,,,,
NOVO TRIUNFO,,,,BA,,,,,"77,67",,,,,,,,-,,,,,,,"77,67",,,,,,,,"390,98",,,,,,,,,
OLINDINA,,,,BA,,,,,"91,79",,,,,,,,-,,,,,,,"91,79",,,,,,,,"462,08",,,,,,,,,
