PILAR-AL,,,,,,AL,,,"234.133,45",,,,,,,,,"150.421,53",,,,,,,,,"384.554,98",,,,,,,,,,"999.739,89",,,,,,,,,
PINDOBA-AL,,,,,,AL,,,"658,41",,,,,,,,,-,,,,,,,,,"658,41",,,,,,,,,,"1.880,48",,,,,,,,,
PORTO CALVO-AL,,,,,,AL,,,"888,86",,,,,,,,,-,,,,,,,,,"888,86",,,,,,,,,,"2.538,66",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,AL,,,"691,33",,,,,,,,,-,,,,,,,,,"691,33",,,,,,,,,,"1.974,51",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,AL,,,"790,10",,,,,,,,,-,,,,,,,,,"790,10",,,,,,,,,,"2.256,58",,,,,,,,,
RIO LARGO-AL,,,,,,AL,,,"16.855,91",,,,,,,,,"10.150,11",,,,,,,,,"27.006,02",,,,,,,,,,"70.891,10",,,,,,,,,
ROTEIRO-AL,,,,,,AL,,,"2.160,55",,,,,,,,,"968,88",,,,,,,,,"3.129,43",,,,,,,,,,"6.807,81",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,AL,,,"47.874,00",,,,,,,,,"365,62",,,,,,,,,"48.239,62",,,,,,,,,,"100.436,16",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,AL,,,"691,33",,,,,,,,,-,,,,,,,,,"691,33",,,,,,,,,,"1.974,51",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,AL,,,"855,94",,,,,,,,,-,,,,,,,,,"855,94",,,,,,,,,,"2.444,63",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,AL,,,"921,78",,,,,,,,,-,,,,,,,,,"921,78",,,,,,,,,,"2.632,68",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,AL,,,"354.561,74",,,,,,,,,"254.688,01",,,,,,,,,"609.249,75",,,,,,,,,,"1.766.456,74",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,AL,,,"658,41",,,,,,,,,-,,,,,,,,,"658,41",,,,,,,,,,"1.880,48",,,,,,,,,
SATUBA-AL,,,,,,AL,,,"590.539,76",,,,,,,,,"20.094,04",,,,,,,,,"610.633,80",,,,,,,,,,"1.802.059,51",,,,,,,,,
TEOTONIO VILELA-AL,,,,,,AL,,,"1.020,54",,,,,,,,,-,,,,,,,,,"1.020,54",,,,,,,,,,"2.914,76",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,AL,,,"1.086,38",,,,,,,,,-,,,,,,,,,"1.086,38",,,,,,,,,,"3.102,81",,,,,,,,,
VICOSA-AL,,,,,,AL,,,"888,86",,,,,,,,,-,,,,,,,,,"888,86",,,,,,,,,,"2.538,66",,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,"2.440.082,20",,,,,,,,,"705.466,85",,,,,,,,,"3.145.549,05",,,,,,,,,,"9.169.158,81",,,,,,,,,
ANAMA-AM,,,,,,AM,,,-,,,,,,,,,"2.643,67",,,,,,,,,"2.643,67",,,,,,,,,,"7.851,38",,,,,,,,,
ANORI-AM,,,,,,AM,,,-,,,,,,,,,"2.643,67",,,,,,,,,"2.643,67",,,,,,,,,,"7.851,38",,,,,,,,,
AUTAZES-AM,,,,,,AM,,,-,,,,,,,,,"8.152,00",,,,,,,,,"8.152,00",,,,,,,,,,"21.969,02",,,,,,,,,
BERURI-AM,,,,,,AM,,,-,,,,,,,,,"2.643,67",,,,,,,,,"2.643,67",,,,,,,,,,"7.851,38",,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,AM,,,-,,,,,,,,,"8.152,00",,,,,,,,,"8.152,00",,,,,,,,,,"21.969,02",,,,,,,,,
CAREIRO-AM,,,,,,AM,,,-,,,,,,,,,"2.643,67",,,,,,,,,"2.643,67",,,,,,,,,,"7.851,38",,,,,,,,,
COARI-AM,,,,,,AM,,,"2.113.152,22",,,,,,,,,"2.040.111,60",,,,,,,,,"4.153.263,82",,,,,,,,,,"11.651.469,42",,,,,,,,,
CODAJAS-AM,,,,,,AM,,,-,,,,,,,,,"2.643,67",,,,,,,,,"2.643,67",,,,,,,,,,"7.851,38",,,,,,,,,
IRANDUBA-AM,,,,,,AM,,,-,,,,,,,,,"8.152,00",,,,,,,,,"8.152,00",,,,,,,,,,"21.969,02",,,,,,,,,
ITACOATIARA-AM,,,,,,AM,,,-,,,,,,,,,"8.152,00",,,,,,,,,"8.152,00",,,,,,,,,,"21.969,02",,,,,,,,,
ITAPIRANGA-AM,,,,,,AM,,,-,,,,,,,,,"8.152,00",,,,,,,,,"8.152,00",,,,,,,,,,"21.969,02",,,,,,,,,
MANACAPURU-AM,,,,,,AM,,,-,,,,,,,,,"2.643,67",,,,,,,,,"2.643,67",,,,,,,,,,"7.851,38",,,,,,,,,
MANAQUIRI-AM,,,,,,AM,,,-,,,,,,,,,"2.643,67",,,,,,,,,"2.643,67",,,,,,,,,,"7.851,38",,,,,,,,,
MANAUS-AM,,,,,,AM,,,"1.060.888,88",,,,,,,,,"109.138,04",,,,,,,,,"1.170.026,92",,,,,,,,,,"3.364.519,80",,,,,,,,,
PARINTINS-AM,,,,,,AM,,,-,,,,,,,,,"8.152,00",,,,,,,,,"8.152,00",,,,,,,,,,"21.969,02",,,,,,,,,
SILVES-AM,,,,,,AM,,,-,,,,,,,,,"8.152,00",,,,,,,,,"8.152,00",,,,,,,,,,"21.969,02",,,,,,,,,
URUCARA-AM,,,,,,AM,,,-,,,,,,,,,"8.152,00",,,,,,,,,"8.152,00",,,,,,,,,,"21.969,02",,,,,,,,,
URUCURITUBA-AM,,,,,,AM,,,-,,,,,,,,,"8.152,00",,,,,,,,,"8.152,00",,,,,,,,,,"21.969,02",,,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,"3.174.041,10",,,,,,,,,"2.241.123,33",,,,,,,,,"5.415.164,43",,,,,,,,,,"15.268.670,06",,,,,,,,,
LARANJAL DO JARI-AP,,,,,,AP,,,-,,,,,,,,,"8.152,00",,,,,,,,,"8.152,00",,,,,,,,,,"21.969,02",,,,,,,,,
MACAPA-AP,,,,,,AP,,,-,,,,,,,,,"8.152,00",,,,,,,,,"8.152,00",,,,,,,,,,"21.969,02",,,,,,,,,
MAZAGAO-AP,,,,,,AP,,,-,,,,,,,,,"8.152,00",,,,,,,,,"8.152,00",,,,,,,,,,"21.969,02",,,,,,,,,
AMAPA  TOTAL,,,,,,,,,-,,,,,,,,,"24.456,00",,,,,,,,,"24.456,00",,,,,,,,,,"65.907,06",,,,,,,,,
ACAJUTIBA-BA,,,,,,BA,,,"1.062,95",,,,,,,,,-,,,,,,,,,"1.062,95",,,,,,,,,,"2.575,05",,,,,,,,,
ADUSTINA-BA,,,,,,BA,,,"1.062,95",,,,,,,,,-,,,,,,,,,"1.062,95",,,,,,,,,,"2.575,05",,,,,,,,,
AGUA FRIA-BA,,,,,,BA,,,"1.062,95",,,,,,,,,-,,,,,,,,,"1.062,95",,,,,,,,,,"2.575,05",,,,,,,,,
AIQUARA-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
ALAGOINHAS-BA,,,,,,BA,,,"309.797,36",,,,,,,,,"171.616,21",,,,,,,,,"481.413,57",,,,,,,,,,"1.499.394,19",,,,,,,,,
ALCOBACA-BA,,,,,,BA,,,"1.151,64",,,,,,,,,-,,,,,,,,,"1.151,64",,,,,,,,,,"2.782,61",,,,,,,,,
ALMADINA-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
AMARGOSA-BA,,,,,,BA,,,"1.343,98",,,,,,,,,-,,,,,,,,,"1.343,98",,,,,,,,,,"3.263,16",,,,,,,,,
AMELIA RODRIGUES-BA,,,,,,BA,,,"1.197,87",,,,,,,,,-,,,,,,,,,"1.197,87",,,,,,,,,,"2.894,59",,,,,,,,,
ANAGE-BA,,,,,,BA,,,"1.244,08",,,,,,,,,-,,,,,,,,,"1.244,08",,,,,,,,,,"3.006,55",,,,,,,,,
ANGUERA-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
ANTAS-BA,,,,,,BA,,,"1.112,90",,,,,,,,,-,,,,,,,,,"1.112,90",,,,,,,,,,"2.703,35",,,,,,,,,
ANTONIO CARDOSO-BA,,,,,,BA,,,"1.020,47",,,,,,,,,-,,,,,,,,,"1.020,47",,,,,,,,,,"2.479,45",,,,,,,,,
APORA-BA,,,,,,BA,,,"1.109,17",,,,,,,,,-,,,,,,,,,"1.109,17",,,,,,,,,,"2.687,02",,,,,,,,,
APUAREMA-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
ARACAS-BA,,,,,,BA,,,"281.125,05",,,,,,,,,"145.063,25",,,,,,,,,"426.188,30",,,,,,,,,,"1.317.088,26",,,,,,,,,
ARACI-BA,,,,,,BA,,,"1.482,62",,,,,,,,,-,,,,,,,,,"1.482,62",,,,,,,,,,"3.599,03",,,,,,,,,
ARAMARI-BA,,,,,,BA,,,"3.352,13",,,,,,,,,"1.019,68",,,,,,,,,"4.371,81",,,,,,,,,,"11.868,92",,,,,,,,,
ARATACA-BA,,,,,,BA,,,"970,53",,,,,,,,,-,,,,,,,,,"970,53",,,,,,,,,,"2.351,15",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARATUIPE-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
AURELINO LEAL-BA,,,,,,BA,,,"1.059,23",,,,,,,,,-,,,,,,,,,"1.059,23",,,,,,,,,,"2.558,73",,,,,,,,,
BAIXA GRANDE-BA,,,,,,BA,,,"1.201,60",,,,,,,,,-,,,,,,,,,"1.201,60",,,,,,,,,,"2.910,92",,,,,,,,,
BANZAE-BA,,,,,,BA,,,"970,53",,,,,,,,,-,,,,,,,,,"970,53",,,,,,,,,,"2.351,15",,,,,,,,,
BARRA DO CHOCA-BA,,,,,,BA,,,"1.332,78",,,,,,,,,-,,,,,,,,,"1.332,78",,,,,,,,,,"3.214,12",,,,,,,,,
BARRA DO ROCHA-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
BARRO PRETO-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
BARROCAS-BA,,,,,,BA,,,"1.016,73",,,,,,,,,-,,,,,,,,,"1.016,73",,,,,,,,,,"2.463,09",,,,,,,,,
BELMONTE-BA,,,,,,BA,,,"1.201,60",,,,,,,,,-,,,,,,,,,"1.201,60",,,,,,,,,,"2.910,92",,,,,,,,,
BELO CAMPO-BA,,,,,,BA,,,"1.059,23",,,,,,,,,-,,,,,,,,,"1.059,23",,,,,,,,,,"2.558,73",,,,,,,,,
BIRITINGA-BA,,,,,,BA,,,"1.013,00",,,,,,,,,-,,,,,,,,,"1.013,00",,,,,,,,,,"2.446,74",,,,,,,,,
BOA NOVA-BA,,,,,,BA,,,"1.101,70",,,,,,,,,-,,,,,,,,,"1.101,70",,,,,,,,,,"2.654,31",,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,BA,,,"1.105,43",,,,,,,,,-,,,,,,,,,"1.105,43",,,,,,,,,,"2.670,66",,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,BA,,,"970,53",,,,,,,,,-,,,,,,,,,"970,53",,,,,,,,,,"2.351,15",,,,,,,,,
BREJOES-BA,,,,,,BA,,,"1.013,00",,,,,,,,,-,,,,,,,,,"1.013,00",,,,,,,,,,"2.446,74",,,,,,,,,
BUERAREMA-BA,,,,,,BA,,,"1.155,38",,,,,,,,,-,,,,,,,,,"1.155,38",,,,,,,,,,"2.798,97",,,,,,,,,
CAATIBA-BA,,,,,,BA,,,"963,05",,,,,,,,,-,,,,,,,,,"963,05",,,,,,,,,,"2.318,43",,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,BA,,,"1.112,90",,,,,,,,,-,,,,,,,,,"1.112,90",,,,,,,,,,"2.703,35",,,,,,,,,
CACHOEIRA-BA,,,,,,BA,,,"1.343,98",,,,,,,,,-,,,,,,,,,"1.343,98",,,,,,,,,,"3.263,16",,,,,,,,,
CAEM-BA,,,,,,BA,,,"966,79",,,,,,,,,-,,,,,,,,,"966,79",,,,,,,,,,"2.334,79",,,,,,,,,
CAETANOS-BA,,,,,,BA,,,"1.016,73",,,,,,,,,-,,,,,,,,,"1.016,73",,,,,,,,,,"2.463,09",,,,,,,,,
CAIRU-BA,,,,,,BA,,,"39.455,06",,,,,,,,,"406.411,77",,,,,,,,,"445.866,83",,,,,,,,,,"1.116.340,22",,,,,,,,,
CAMACAN-BA,,,,,,BA,,,"1.294,03",,,,,,,,,-,,,,,,,,,"1.294,03",,,,,,,,,,"3.134,85",,,,,,,,,
CAMACARI-BA,,,,,,BA,,,"2.122,97",,,,,,,,,"115,23",,,,,,,,,"2.238,20",,,,,,,,,,"8.295,17",,,,,,,,,
CAMAMU-BA,,,,,,BA,,,"1.340,24",,,,,,,,,-,,,,,,,,,"1.340,24",,,,,,,,,,"3.246,80",,,,,,,,,
CANAVIEIRAS-BA,,,,,,BA,,,"1.340,24",,,,,,,,,-,,,,,,,,,"1.340,24",,,,,,,,,,"3.246,80",,,,,,,,,
CANDEAL-BA,,,,,,BA,,,"920,57",,,,,,,,,-,,,,,,,,,"920,57",,,,,,,,,,"2.222,84",,,,,,,,,
CANDEIAS-BA,,,,,,BA,,,"243.494,45",,,,,,,,,"305.516,47",,,,,,,,,"549.010,92",,,,,,,,,,"1.621.320,49",,,,,,,,,
CANDIDO SALES-BA,,,,,,BA,,,"1.244,08",,,,,,,,,-,,,,,,,,,"1.244,08",,,,,,,,,,"3.006,55",,,,,,,,,
CANSANCAO-BA,,,,,,BA,,,"1.343,98",,,,,,,,,-,,,,,,,,,"1.343,98",,,,,,,,,,"3.263,16",,,,,,,,,
CANUDOS-BA,,,,,,BA,,,"1.066,69",,,,,,,,,-,,,,,,,,,"1.066,69",,,,,,,,,,"2.591,41",,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,BA,,,"1.020,47",,,,,,,,,-,,,,,,,,,"1.020,47",,,,,,,,,,"2.479,45",,,,,,,,,
CAPIM GROSSO-BA,,,,,,BA,,,"1.251,54",,,,,,,,,-,,,,,,,,,"1.251,54",,,,,,,,,,"3.039,23",,,,,,,,,
CARAVELAS-BA,,,,,,BA,,,"1.201,60",,,,,,,,,-,,,,,,,,,"1.201,60",,,,,,,,,,"2.910,92",,,,,,,,,
CARDEAL DA SILVA-BA,,,,,,BA,,,"122.419,21",,,,,,,,,"36.463,82",,,,,,,,,"158.883,03",,,,,,,,,,"490.045,19",,,,,,,,,
CASTRO ALVES-BA,,,,,,BA,,,"1.247,81",,,,,,,,,-,,,,,,,,,"1.247,81",,,,,,,,,,"3.022,90",,,,,,,,,
CATU-BA,,,,,,BA,,,"221.173,63",,,,,,,,,"122.679,22",,,,,,,,,"343.852,85",,,,,,,,,,"977.035,27",,,,,,,,,
CICERO DANTAS-BA,,,,,,BA,,,"1.294,03",,,,,,,,,-,,,,,,,,,"1.294,03",,,,,,,,,,"3.134,85",,,,,,,,,
CIPO-BA,,,,,,BA,,,"1.062,95",,,,,,,,,-,,,,,,,,,"1.062,95",,,,,,,,,,"2.575,05",,,,,,,,,
COARACI-BA,,,,,,BA,,,"1.197,87",,,,,,,,,-,,,,,,,,,"1.197,87",,,,,,,,,,"2.894,59",,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,BA,,,"1.159,11",,,,,,,,,-,,,,,,,,,"1.159,11",,,,,,,,,,"2.815,32",,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,BA,,,"1.105,43",,,,,,,,,-,,,,,,,,,"1.105,43",,,,,,,,,,"2.670,66",,,,,,,,,
CONCEICAO DO COITE-BA,,,,,,BA,,,"1.525,11",,,,,,,,,-,,,,,,,,,"1.525,11",,,,,,,,,,"3.694,65",,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,BA,,,"1.247,81",,,,,,,,,-,,,,,,,,,"1.247,81",,,,,,,,,,"3.022,90",,,,,,,,,
CONDE-BA,,,,,,BA,,,"3.735,17",,,,,,,,,"1.634,15",,,,,,,,,"5.369,32",,,,,,,,,,"16.739,69",,,,,,,,,
CORACAO DE MARIA-BA,,,,,,BA,,,"1.201,60",,,,,,,,,-,,,,,,,,,"1.201,60",,,,,,,,,,"2.910,92",,,,,,,,,
CORONEL JOAO SA-BA,,,,,,BA,,,"1.155,38",,,,,,,,,-,,,,,,,,,"1.155,38",,,,,,,,,,"2.798,97",,,,,,,,,
CRAVOLANDIA-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
CRISOPOLIS-BA,,,,,,BA,,,"1.155,38",,,,,,,,,-,,,,,,,,,"1.155,38",,,,,,,,,,"2.798,97",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,BA,,,"1.478,88",,,,,,,,,-,,,,,,,,,"1.478,88",,,,,,,,,,"3.582,67",,,,,,,,,
DARIO MEIRA-BA,,,,,,BA,,,"1.013,00",,,,,,,,,-,,,,,,,,,"1.013,00",,,,,,,,,,"2.446,74",,,,,,,,,
DIAS D'AVILA-BA,,,,,,BA,,,"1.482,62",,,,,,,,,-,,,,,,,,,"1.482,62",,,,,,,,,,"3.599,03",,,,,,,,,
DOM MACEDO COSTA-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
ELISIO MEDRADO-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
ENCRUZILHADA-BA,,,,,,BA,,,"1.190,40",,,,,,,,,-,,,,,,,,,"1.190,40",,,,,,,,,,"2.861,88",,,,,,,,,
ENTRE RIOS-BA,,,,,,BA,,,"232.210,37",,,,,,,,,"166.482,60",,,,,,,,,"398.692,97",,,,,,,,,,"1.192.451,76",,,,,,,,,
ESPLANADA-BA,,,,,,BA,,,"719.350,79",,,,,,,,,"486.749,22",,,,,,,,,"1.206.100,01",,,,,,,,,,"3.705.573,76",,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,BA,,,"1.528,84",,,,,,,,,-,,,,,,,,,"1.528,84",,,,,,,,,,"3.710,98",,,,,,,,,
EUNAPOLIS-BA,,,,,,BA,,,"1.663,75",,,,,,,,,-,,,,,,,,,"1.663,75",,,,,,,,,,"4.030,50",,,,,,,,,
FATIMA-BA,,,,,,BA,,,"1.155,38",,,,,,,,,-,,,,,,,,,"1.155,38",,,,,,,,,,"2.798,97",,,,,,,,,
FEIRA DE SANTANA-BA,,,,,,BA,,,"1.848,61",,,,,,,,,-,,,,,,,,,"1.848,61",,,,,,,,,,"4.478,35",,,,,,,,,
FIRMINO ALVES-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
FLORESTA AZUL-BA,,,,,,BA,,,"970,53",,,,,,,,,-,,,,,,,,,"970,53",,,,,,,,,,"2.351,15",,,,,,,,,
GANDU-BA,,,,,,BA,,,"1.297,77",,,,,,,,,-,,,,,,,,,"1.297,77",,,,,,,,,,"3.151,21",,,,,,,,,
GAVIAO-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
GLORIA-BA,,,,,,BA,,,"1.013,00",,,,,,,,,-,,,,,,,,,"1.013,00",,,,,,,,,,"2.446,74",,,,,,,,,
GONGOGI-BA,,,,,,BA,,,"920,57",,,,,,,,,-,,,,,,,,,"920,57",,,,,,,,,,"2.222,84",,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,BA,,,"1.159,11",,,,,,,,,-,,,,,,,,,"1.159,11",,,,,,,,,,"2.815,32",,,,,,,,,
GUARATINGA-BA,,,,,,BA,,,"1.197,87",,,,,,,,,-,,,,,,,,,"1.197,87",,,,,,,,,,"2.894,59",,,,,,,,,
HELIOPOLIS-BA,,,,,,BA,,,"1.066,69",,,,,,,,,-,,,,,,,,,"1.066,69",,,,,,,,,,"2.591,41",,,,,,,,,
IACU-BA,,,,,,BA,,,"1.244,08",,,,,,,,,-,,,,,,,,,"1.244,08",,,,,,,,,,"3.006,55",,,,,,,,,
IBICARAI-BA,,,,,,BA,,,"1.244,08",,,,,,,,,-,,,,,,,,,"1.244,08",,,,,,,,,,"3.006,55",,,,,,,,,
IBICUI-BA,,,,,,BA,,,"1.062,95",,,,,,,,,-,,,,,,,,,"1.062,95",,,,,,,,,,"2.575,05",,,,,,,,,
IBIQUERA-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
IBIRAPITANGA-BA,,,,,,BA,,,"1.201,60",,,,,,,,,-,,,,,,,,,"1.201,60",,,,,,,,,,"2.910,92",,,,,,,,,
IBIRAPUA-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
IBIRATAIA-BA,,,,,,BA,,,"1.197,87",,,,,,,,,-,,,,,,,,,"1.197,87",,,,,,,,,,"2.894,59",,,,,,,,,
ICHU-BA,,,,,,BA,,,"924,30",,,,,,,,,-,,,,,,,,,"924,30",,,,,,,,,,"2.239,17",,,,,,,,,
IGRAPIUNA-BA,,,,,,BA,,,"1.013,00",,,,,,,,,-,,,,,,,,,"1.013,00",,,,,,,,,,"2.446,74",,,,,,,,,
