BARRA DO CHOCA-BA,,,,,BA,,,,,"911,00",,,,,,,,,-,,,,,,,,,"911,00",,,,,,"8.517,34",,,,,,,
BARRA DO ROCHA-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.384,36",,,,,,,
BARRO PRETO-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.384,36",,,,,,,
BARROCAS-BA,,,,,BA,,,,,"646,52",,,,,,,,,-,,,,,,,,,"646,52",,,,,,"6.044,57",,,,,,,
BELMONTE-BA,,,,,BA,,,,,"764,06",,,,,,,,,-,,,,,,,,,"764,06",,,,,,"6.999,70",,,,,,,
BELO CAMPO-BA,,,,,BA,,,,,"705,30",,,,,,,,,-,,,,,,,,,"705,30",,,,,,"6.594,05",,,,,,,
BIRITINGA-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.319,30",,,,,,,
BOA NOVA-BA,,,,,BA,,,,,"764,06",,,,,,,,,-,,,,,,,,,"764,06",,,,,,"7.143,57",,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,,,"734,68",,,,,,,,,-,,,,,,,,,"734,68",,,,,,"6.868,82",,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,,,"617,14",,,,,,,,,-,,,,,,,,,"617,14",,,,,,"5.769,82",,,,,,,
BREJOES-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.319,30",,,,,,,
BUERAREMA-BA,,,,,BA,,,,,"734,68",,,,,,,,,-,,,,,,,,,"734,68",,,,,,"6.730,48",,,,,,,
CAATIBA-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.319,30",,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.319,30",,,,,,,
CACHOEIRA-BA,,,,,BA,,,,,"822,84",,,,,,,,,-,,,,,,,,,"822,84",,,,,,"7.693,07",,,,,,,
CAEM-BA,,,,,BA,,,,,"646,52",,,,,,,,,-,,,,,,,,,"646,52",,,,,,"6.044,57",,,,,,,
CAETANOS-BA,,,,,BA,,,,,"646,52",,,,,,,,,-,,,,,,,,,"646,52",,,,,,"6.044,57",,,,,,,
CAIRU-BA,,,,,BA,,,,,"25.960,92",,,,,,,,,"277.399,29",,,,,,,,,"303.360,21",,,,,,"1.926.587,64",,,,,,,
CAMACAN-BA,,,,,BA,,,,,"822,84",,,,,,,,,-,,,,,,,,,"822,84",,,,,,"7.538,13",,,,,,,
CAMACARI-BA,,,,,BA,,,,,"2.521,11",,,,,,,,,"582,55",,,,,,,,,"3.103,66",,,,,,"18.880,21",,,,,,,
CAMAMU-BA,,,,,BA,,,,,"852,23",,,,,,,,,-,,,,,,,,,"852,23",,,,,,"7.807,38",,,,,,,
CANAVIEIRAS-BA,,,,,BA,,,,,"852,23",,,,,,,,,-,,,,,,,,,"852,23",,,,,,"7.807,38",,,,,,,
CANDEAL-BA,,,,,BA,,,,,"617,14",,,,,,,,,-,,,,,,,,,"617,14",,,,,,"5.769,82",,,,,,,
CANDEIAS-BA,,,,,BA,,,,,"217.489,31",,,,,,,,,"258.283,09",,,,,,,,,"475.772,40",,,,,,"5.386.728,14",,,,,,,
CANDIDO SALES-BA,,,,,BA,,,,,"822,84",,,,,,,,,-,,,,,,,,,"822,84",,,,,,"7.693,07",,,,,,,
CANSANCAO-BA,,,,,BA,,,,,"822,84",,,,,,,,,-,,,,,,,,,"822,84",,,,,,"7.693,07",,,,,,,
CANUDOS-BA,,,,,BA,,,,,"646,52",,,,,,,,,-,,,,,,,,,"646,52",,,,,,"6.044,57",,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,,"617,14",,,,,,,,,-,,,,,,,,,"617,14",,,,,,"5.769,82",,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,,,"764,06",,,,,,,,,-,,,,,,,,,"764,06",,,,,,"7.143,57",,,,,,,
CARAVELAS-BA,,,,,BA,,,,,"764,06",,,,,,,,,-,,,,,,,,,"764,06",,,,,,"6.999,70",,,,,,,
CARDEAL DA SILVA-BA,,,,,BA,,,,,"125.522,19",,,,,,,,,"37.692,80",,,,,,,,,"163.214,99",,,,,,"1.785.431,65",,,,,,,
CASTRO ALVES-BA,,,,,BA,,,,,"793,46",,,,,,,,,-,,,,,,,,,"793,46",,,,,,"7.418,32",,,,,,,
CATU-BA,,,,,BA,,,,,"177.928,90",,,,,,,,,"92.490,27",,,,,,,,,"270.419,17",,,,,,"3.371.991,82",,,,,,,
CICERO DANTAS-BA,,,,,BA,,,,,"822,84",,,,,,,,,-,,,,,,,,,"822,84",,,,,,"7.693,07",,,,,,,
CIPO-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.319,30",,,,,,,
COARACI-BA,,,,,BA,,,,,"793,46",,,,,,,,,-,,,,,,,,,"793,46",,,,,,"7.268,92",,,,,,,
CONCEICAO DA FEIRA-BA,,,,,BA,,,,,"705,30",,,,,,,,,-,,,,,,,,,"705,30",,,,,,"6.594,05",,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,,"734,68",,,,,,,,,-,,,,,,,,,"734,68",,,,,,"6.868,82",,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,,,"969,78",,,,,,,,,-,,,,,,,,,"969,78",,,,,,"9.066,86",,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,,"793,46",,,,,,,,,-,,,,,,,,,"793,46",,,,,,"7.418,32",,,,,,,
CONDE-BA,,,,,BA,,,,,"3.650,13",,,,,,,,,"1.861,51",,,,,,,,,"5.511,64",,,,,,"23.900,08",,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,,,"764,06",,,,,,,,,-,,,,,,,,,"764,06",,,,,,"7.143,57",,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,,,"734,68",,,,,,,,,-,,,,,,,,,"734,68",,,,,,"6.868,82",,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.495,02",,,,,,,
CRISOPOLIS-BA,,,,,BA,,,,,"734,68",,,,,,,,,-,,,,,,,,,"734,68",,,,,,"6.868,82",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,,,"940,39",,,,,,,,,-,,,,,,,,,"940,39",,,,,,"8.792,11",,,,,,,
DARIO MEIRA-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.319,30",,,,,,,
DIAS D'AVILA-BA,,,,,BA,,,,,"911,00",,,,,,,,,-,,,,,,,,,"911,00",,,,,,"8.517,34",,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.495,02",,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.495,02",,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,,,"852,23",,,,,,,,,-,,,,,,,,,"852,23",,,,,,"7.967,87",,,,,,,
ENTRE RIOS-BA,,,,,BA,,,,,"221.599,69",,,,,,,,,"156.695,16",,,,,,,,,"378.294,85",,,,,,"4.144.322,37",,,,,,,
ESPLANADA-BA,,,,,BA,,,,,"664.500,52",,,,,,,,,"445.111,78",,,,,,,,,"1.109.612,30",,,,,,"11.598.103,41",,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,,,"940,39",,,,,,,,,-,,,,,,,,,"940,39",,,,,,"8.792,11",,,,,,,
EUNAPOLIS-BA,,,,,BA,,,,,"1.057,93",,,,,,,,,-,,,,,,,,,"1.057,93",,,,,,"9.691,91",,,,,,,
FATIMA-BA,,,,,BA,,,,,"734,68",,,,,,,,,-,,,,,,,,,"734,68",,,,,,"6.868,82",,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,,,"1.175,49",,,,,,,,,-,,,,,,,,,"1.175,49",,,,,,"10.990,14",,,,,,,
FIRMINO ALVES-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.384,36",,,,,,,
FLORESTA AZUL-BA,,,,,BA,,,,,"617,14",,,,,,,,,-,,,,,,,,,"617,14",,,,,,"5.653,61",,,,,,,
GANDU-BA,,,,,BA,,,,,"793,46",,,,,,,,,-,,,,,,,,,"793,46",,,,,,"7.268,92",,,,,,,
GAVIAO-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.495,02",,,,,,,
GLORIA-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.319,30",,,,,,,
GONGOGI-BA,,,,,BA,,,,,"617,14",,,,,,,,,-,,,,,,,,,"617,14",,,,,,"5.653,61",,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,,"705,30",,,,,,,,,-,,,,,,,,,"705,30",,,,,,"6.594,05",,,,,,,
GUARATINGA-BA,,,,,BA,,,,,"793,46",,,,,,,,,-,,,,,,,,,"793,46",,,,,,"7.268,92",,,,,,,
HELIOPOLIS-BA,,,,,BA,,,,,"646,52",,,,,,,,,-,,,,,,,,,"646,52",,,,,,"6.044,57",,,,,,,
IACU-BA,,,,,BA,,,,,"822,84",,,,,,,,,-,,,,,,,,,"822,84",,,,,,"7.693,07",,,,,,,
IBICARAI-BA,,,,,BA,,,,,"822,84",,,,,,,,,-,,,,,,,,,"822,84",,,,,,"7.538,13",,,,,,,
IBICUI-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.192,02",,,,,,,
IBIQUERA-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.495,02",,,,,,,
IBIRAPITANGA-BA,,,,,BA,,,,,"764,06",,,,,,,,,-,,,,,,,,,"764,06",,,,,,"6.999,70",,,,,,,
IBIRAPUA-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.384,36",,,,,,,
IBIRATAIA-BA,,,,,BA,,,,,"793,46",,,,,,,,,-,,,,,,,,,"793,46",,,,,,"7.268,92",,,,,,,
ICHU-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.495,02",,,,,,,
IGRAPIUNA-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.192,02",,,,,,,
IGUAI-BA,,,,,BA,,,,,"793,46",,,,,,,,,-,,,,,,,,,"793,46",,,,,,"7.268,92",,,,,,,
ILHEUS-BA,,,,,BA,,,,,"1.175,49",,,,,,,,,-,,,,,,,,,"1.175,49",,,,,,"10.768,79",,,,,,,
INHAMBUPE-BA,,,,,BA,,,,,"2.308,84",,,,,,,,,"757,86",,,,,,,,,"3.066,70",,,,,,"31.090,28",,,,,,,
IPECAETA-BA,,,,,BA,,,,,"734,68",,,,,,,,,-,,,,,,,,,"734,68",,,,,,"6.868,82",,,,,,,
IPIAU-BA,,,,,BA,,,,,"911,00",,,,,,,,,-,,,,,,,,,"911,00",,,,,,"8.345,80",,,,,,,
