APUAREMA-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
ARACAS-BA,,,,BA,,,,,"46.648,57",,,,,,,"16.420,11",,,,,"63.068,67",,,,,,"430.144,81",,,,,,,,,,,,
ARACI-BA,,,,BA,,,,,"49,97",,,,,,,-,,,,,"49,97",,,,,,"324,90",,,,,,,,,,,,
ARAMARI-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
ARATUIPE-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
BAIXA GRANDE-BA,,,,BA,,,,,"40,60",,,,,,,-,,,,,"40,60",,,,,,"263,99",,,,,,,,,,,,
BANZAE-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
BARRA DO CHOCA-BA,,,,BA,,,,,"46,85",,,,,,,-,,,,,"46,85",,,,,,"304,61",,,,,,,,,,,,
BELO CAMPO-BA,,,,BA,,,,,"35,92",,,,,,,-,,,,,"35,91",,,,,,"233,50",,,,,,,,,,,,
BIRITINGA-BA,,,,BA,,,,,"34,36",,,,,,,-,,,,,"34,35",,,,,,"223,35",,,,,,,,,,,,
BOA NOVA-BA,,,,BA,,,,,"37,48",,,,,,,-,,,,,"37,48",,,,,,"243,68",,,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,BA,,,,,"39,04",,,,,,,-,,,,,"39,04",,,,,,"253,82",,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
BREJOES-BA,,,,BA,,,,,"35,92",,,,,,,-,,,,,"35,91",,,,,,"233,50",,,,,,,,,,,,
CAATIBA-BA,,,,BA,,,,,"35,92",,,,,,,-,,,,,"35,91",,,,,,"233,50",,,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,BA,,,,,"35,92",,,,,,,-,,,,,"35,91",,,,,,"233,50",,,,,,,,,,,,
CACHOEIRA-BA,,,,BA,,,,,"43,73",,,,,,,-,,,,,"43,72",,,,,,"284,30",,,,,,,,,,,,
CAEM-BA,,,,BA,,,,,"37,48",,,,,,,-,,,,,"37,48",,,,,,"243,68",,,,,,,,,,,,
CAETANOS-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
CAMACARI-BA,,,,BA,,,,,"19.738,76",,,,,,,-,,,,,"19.738,75",,,,,,"139.862,62",,,,,,,,,,,,
CANDEAL-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
CANDEIAS-BA,,,,BA,,,,,"241.794,86",,,,,,,"114.908,47",,,,,"356.703,32",,,,,,"2.489.069,89",,,,,,,,,,,,
CANDIDO SALES-BA,,,,BA,,,,,"42,17",,,,,,,-,,,,,"42,16",,,,,,"274,13",,,,,,,,,,,,
CANSANCAO-BA,,,,BA,,,,,"43,73",,,,,,,-,,,,,"43,72",,,,,,"284,30",,,,,,,,,,,,
CANUDOS-BA,,,,BA,,,,,"37,48",,,,,,,-,,,,,"37,48",,,,,,"243,68",,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,BA,,,,,"32,80",,,,,,,-,,,,,"32,79",,,,,,"213,21",,,,,,,,,,,,
CAPIM GROSSO-BA,,,,BA,,,,,"42,17",,,,,,,-,,,,,"42,16",,,,,,"274,13",,,,,,,,,,,,
CARAVELAS-BA,,,,BA,,,,,"21.499,53",,,,,,,"1.366,12",,,,,"22.865,63",,,,,,"161.427,81",,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARDEAL DA SILVA-BA,,,,BA,,,,,"49.843,91",,,,,,,"19.429,63",,,,,"69.273,53",,,,,,"469.180,88",,,,,,,,,,,,
CASTRO ALVES-BA,,,,BA,,,,,"42,17",,,,,,,-,,,,,"42,16",,,,,,"274,13",,,,,,,,,,,,
CATU-BA,,,,BA,,,,,"68.001,06",,,,,,,"124.237,16",,,,,"192.238,20",,,,,,"1.093.304,36",,,,,,,,,,,,
CICERO DANTAS-BA,,,,BA,,,,,"43,73",,,,,,,-,,,,,"43,72",,,,,,"284,30",,,,,,,,,,,,
CIPO-BA,,,,BA,,,,,"34,36",,,,,,,-,,,,,"34,35",,,,,,"223,35",,,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,BA,,,,,"37,48",,,,,,,-,,,,,"37,48",,,,,,"243,68",,,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,BA,,,,,"39,04",,,,,,,-,,,,,"39,04",,,,,,"253,82",,,,,,,,,,,,
CONCEICAO DO COITE-BA,,,,BA,,,,,"49,97",,,,,,,-,,,,,"49,97",,,,,,"324,90",,,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,BA,,,,,"42,17",,,,,,,-,,,,,"42,16",,,,,,"274,13",,,,,,,,,,,,
CONDE-BA,,,,BA,,,,,"39,04",,,,,,,-,,,,,"39,04",,,,,,"253,82",,,,,,,,,,,,
CORACAO DE MARIA-BA,,,,BA,,,,,"40,60",,,,,,,-,,,,,"40,60",,,,,,"263,99",,,,,,,,,,,,
CORONEL JOAO SA-BA,,,,BA,,,,,"39,04",,,,,,,-,,,,,"39,04",,,,,,"253,82",,,,,,,,,,,,
CRAVOLANDIA-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
CRISOPOLIS-BA,,,,BA,,,,,"37,48",,,,,,,-,,,,,"37,48",,,,,,"243,68",,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,BA,,,,,"49,97",,,,,,,-,,,,,"49,97",,,,,,"324,90",,,,,,,,,,,,
DARIO MEIRA-BA,,,,BA,,,,,"35,92",,,,,,,-,,,,,"35,91",,,,,,"233,50",,,,,,,,,,,,
DIAS D'AVILA-BA,,,,BA,,,,,"176,39",,,,,,,"54,28",,,,,"230,67",,,,,,"1.625,87",,,,,,,,,,,,
DOM MACEDO COSTA-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
ELISIO MEDRADO-BA,,,,BA,,,,,"31,23",,,,,,,-,,,,,"31,23",,,,,,"203,05",,,,,,,,,,,,
ENCRUZILHADA-BA,,,,BA,,,,,"43,73",,,,,,,-,,,,,"43,72",,,,,,"284,30",,,,,,,,,,,,
ENTRE RIOS-BA,,,,BA,,,,,"126.731,98",,,,,,,"68.982,68",,,,,"195.714,64",,,,,,"1.457.199,63",,,,,,,,,,,,
ESPLANADA-BA,,,,BA,,,,,"174.374,75",,,,,,,"99.703,76",,,,,"274.078,49",,,,,,"1.978.681,79",,,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,BA,,,,,"49,97",,,,,,,-,,,,,"49,97",,,,,,"324,90",,,,,,,,,,,,
FATIMA-BA,,,,BA,,,,,"37,48",,,,,,,-,,,,,"37,48",,,,,,"243,68",,,,,,,,,,,,
