CORURIPE-AL,,,,,AL,,,,"1.389.488,32",,,,,,,,,"48.562,10",,,,,,,"1.438.050,42",,,,,,,,,"6.676.737,06",,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"16.121,10",,,,,,,,,"22.529,24",,,,,,,"38.650,34",,,,,,,,,"169.844,00",,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"490,23",,,,,,,,,-,,,,,,,"490,23",,,,,,,,,"2.154,24",,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"512,51",,,,,,,,,-,,,,,,,"512,51",,,,,,,,,"2.252,15",,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"579,36",,,,,,,,,-,,,,,,,"579,36",,,,,,,,,"2.545,92",,,,,,,,,,
JACUIPE-AL,,,,,AL,,,,"445,66",,,,,,,,,-,,,,,,,"445,66",,,,,,,,,"1.958,40",,,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,"445,66",,,,,,,,,-,,,,,,,"445,66",,,,,,,,,"1.958,40",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,AL,,,,"570,50",,,,,,,,,"33,71",,,,,,,"604,21",,,,,,,,,"5.719,12",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,"579,36",,,,,,,,,-,,,,,,,"579,36",,,,,,,,,"2.545,92",,,,,,,,,,
JUNDIA-AL,,,,,AL,,,,"445,66",,,,,,,,,-,,,,,,,"445,66",,,,,,,,,"1.958,40",,,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,"579,36",,,,,,,,,-,,,,,,,"579,36",,,,,,,,,"2.545,92",,,,,,,,,,
MACEIO-AL,,,,,AL,,,,"53.006,29",,,,,,,,,"16.368,23",,,,,,,"69.374,52",,,,,,,,,"347.922,42",,,,,,,,,,
MARAGOGI-AL,,,,,AL,,,,"623,93",,,,,,,,,-,,,,,,,"623,93",,,,,,,,,"2.741,77",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,"918.103,51",,,,,,,,,"26.885,23",,,,,,,"944.988,74",,,,,,,,,"4.647.372,85",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,"579,36",,,,,,,,,-,,,,,,,"579,36",,,,,,,,,"2.545,92",,,,,,,,,,
MESSIAS-AL,,,,,AL,,,,"512,51",,,,,,,,,-,,,,,,,"512,51",,,,,,,,,"2.252,15",,,,,,,,,,
MURICI-AL,,,,,AL,,,,"601,64",,,,,,,,,-,,,,,,,"601,64",,,,,,,,,"2.643,84",,,,,,,,,,
NOVO LINO-AL,,,,,AL,,,,"490,23",,,,,,,,,-,,,,,,,"490,23",,,,,,,,,"2.154,24",,,,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,"467,94",,,,,,,,,"5.338,39",,,,,,,"5.806,33",,,,,,,,,"25.565,87",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,"512,51",,,,,,,,,-,,,,,,,"512,51",,,,,,,,,"2.252,15",,,,,,,,,,
PENEDO-AL,,,,,AL,,,,"284.818,82",,,,,,,,,"15,80",,,,,,,"284.834,62",,,,,,,,,"1.202.366,36",,,,,,,,,,
PIACABUCU-AL,,,,,AL,,,,"534,79",,,,,,,,,-,,,,,,,"534,79",,,,,,,,,"2.350,08",,,,,,,,,,
PILAR-AL,,,,,AL,,,,"151.917,02",,,,,,,,,"86.231,64",,,,,,,"238.148,66",,,,,,,,,"1.127.711,89",,,,,,,,,,
PINDOBA-AL,,,,,AL,,,,"445,66",,,,,,,,,-,,,,,,,"445,66",,,,,,,,,"1.958,40",,,,,,,,,,
PORTO CALVO-AL,,,,,AL,,,,"601,64",,,,,,,,,-,,,,,,,"601,64",,,,,,,,,"2.643,84",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,"445,66",,,,,,,,,-,,,,,,,"445,66",,,,,,,,,"1.958,40",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,"557,08",,,,,,,,,-,,,,,,,"557,08",,,,,,,,,"2.448,02",,,,,,,,,,
RIO LARGO-AL,,,,,AL,,,,"286.667,19",,,,,,,,,"2.199,75",,,,,,,"288.866,94",,,,,,,,,"1.214.222,16",,,,,,,,,,
ROTEIRO-AL,,,,,AL,,,,"1.360.225,94",,,,,,,,,"341,12",,,,,,,"1.360.567,06",,,,,,,,,"6.346.798,59",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,"41.498,66",,,,,,,,,"83,74",,,,,,,"41.582,40",,,,,,,,,"200.833,25",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,"467,94",,,,,,,,,-,,,,,,,"467,94",,,,,,,,,"2.056,30",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,"579,36",,,,,,,,,-,,,,,,,"579,36",,,,,,,,,"2.545,92",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,"646,21",,,,,,,,,-,,,,,,,"646,21",,,,,,,,,"2.839,69",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,"484.457,37",,,,,,,,,"142.472,39",,,,,,,"626.929,76",,,,,,,,,"2.944.318,24",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,"445,66",,,,,,,,,-,,,,,,,"445,66",,,,,,,,,"1.958,40",,,,,,,,,,
SATUBA-AL,,,,,AL,,,,"36.766,34",,,,,,,,,"23.383,72",,,,,,,"60.150,06",,,,,,,,,"138.144,38",,,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,"690,78",,,,,,,,,-,,,,,,,"690,78",,,,,,,,,"3.035,54",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,"735,34",,,,,,,,,-,,,,,,,"735,34",,,,,,,,,"3.231,37",,,,,,,,,,
VICOSA-AL,,,,,AL,,,,"601,64",,,,,,,,,-,,,,,,,"601,64",,,,,,,,,"2.643,84",,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,"5.115.503,50",,,,,,,,,"374.695,34",,,,,,,"5.490.198,84",,,,,,,,,"25.473.761,76",,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAMA-AM,,,,,AM,,,,"41.444,81",,,,,,,,,"1.969,73",,,,,,,"43.414,54",,,,,,,,,"208.616,47",,,,,,,,,,
ANORI-AM,,,,,AM,,,,"41.718,53",,,,,,,,,"2.085,12",,,,,,,"43.803,65",,,,,,,,,"209.760,96",,,,,,,,,,
AUTAZES-AM,,,,,AM,,,,-,,,,,,,,,"5.566,43",,,,,,,"5.566,43",,,,,,,,,"29.747,36",,,,,,,,,,
BERURI-AM,,,,,AM,,,,-,,,,,,,,,"1.765,12",,,,,,,"1.765,12",,,,,,,,,"8.843,79",,,,,,,,,,
CAAPIRANGA-AM,,,,,AM,,,,"41.144,38",,,,,,,,,"183,07",,,,,,,"41.327,45",,,,,,,,,"199.123,61",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,AM,,,,-,,,,,,,,,"5.566,43",,,,,,,"5.566,43",,,,,,,,,"29.747,36",,,,,,,,,,
CAREIRO-AM,,,,,AM,,,,-,,,,,,,,,"1.765,12",,,,,,,"1.765,12",,,,,,,,,"8.843,79",,,,,,,,,,
COARI-AM,,,,,AM,,,,"2.230.477,07",,,,,,,,,"1.998.705,07",,,,,,,"4.229.182,14",,,,,,,,,"19.898.603,66",,,,,,,,,,
CODAJAS-AM,,,,,AM,,,,"40.416,47",,,,,,,,,"2.240,19",,,,,,,"42.656,66",,,,,,,,,"207.234,49",,,,,,,,,,
IRANDUBA-AM,,,,,AM,,,,-,,,,,,,,,"5.566,43",,,,,,,"5.566,43",,,,,,,,,"29.747,36",,,,,,,,,,
ITACOATIARA-AM,,,,,AM,,,,-,,,,,,,,,"5.566,43",,,,,,,"5.566,43",,,,,,,,,"29.747,36",,,,,,,,,,
ITAPIRANGA-AM,,,,,AM,,,,-,,,,,,,,,"5.566,43",,,,,,,"5.566,43",,,,,,,,,"29.747,36",,,,,,,,,,
MANACAPURU-AM,,,,,AM,,,,-,,,,,,,,,"1.765,12",,,,,,,"1.765,12",,,,,,,,,"8.843,79",,,,,,,,,,
MANAQUIRI-AM,,,,,AM,,,,-,,,,,,,,,"1.765,12",,,,,,,"1.765,12",,,,,,,,,"8.843,79",,,,,,,,,,
MANAUS-AM,,,,,AM,,,,"281.633,77",,,,,,,,,"179.371,11",,,,,,,"461.004,88",,,,,,,,,"2.333.308,66",,,,,,,,,,
PARINTINS-AM,,,,,AM,,,,-,,,,,,,,,"5.566,43",,,,,,,"5.566,43",,,,,,,,,"29.747,36",,,,,,,,,,
SILVES-AM,,,,,AM,,,,-,,,,,,,,,"5.566,43",,,,,,,"5.566,43",,,,,,,,,"29.747,36",,,,,,,,,,
TEFE-AM,,,,,AM,,,,"146.153,89",,,,,,,,,"70.721,34",,,,,,,"216.875,23",,,,,,,,,"1.073.540,72",,,,,,,,,,
URUCARA-AM,,,,,AM,,,,-,,,,,,,,,"5.566,43",,,,,,,"5.566,43",,,,,,,,,"29.747,36",,,,,,,,,,
URUCURITUBA-AM,,,,,AM,,,,-,,,,,,,,,"5.566,43",,,,,,,"5.566,43",,,,,,,,,"29.747,36",,,,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,"2.822.988,92",,,,,,,,,"2.312.433,98",,,,,,,"5.135.422,90",,,,,,,,,"24.433.289,97",,,,,,,,,,
LARANJAL DO JARI-AP,,,,,AP,,,,-,,,,,,,,,"5.566,43",,,,,,,"5.566,43",,,,,,,,,"29.747,36",,,,,,,,,,
MACAPA-AP,,,,,AP,,,,-,,,,,,,,,"5.566,43",,,,,,,"5.566,43",,,,,,,,,"29.747,36",,,,,,,,,,
MAZAGAO-AP,,,,,AP,,,,-,,,,,,,,,"5.566,43",,,,,,,"5.566,43",,,,,,,,,"29.747,36",,,,,,,,,,
AMAPA  TOTAL,,,,,,,,,-,,,,,,,,,"16.699,29",,,,,,,"16.699,29",,,,,,,,,"89.242,08",,,,,,,,,,
ACAJUTIBA-BA,,,,,BA,,,,"1.321,96",,,,,,,,,-,,,,,,,"1.321,96",,,,,,,,,"6.670,18",,,,,,,,,,
ADUSTINA-BA,,,,,BA,,,,"1.321,96",,,,,,,,,-,,,,,,,"1.321,96",,,,,,,,,"6.670,18",,,,,,,,,,
AGUA FRIA-BA,,,,,BA,,,,"1.321,96",,,,,,,,,-,,,,,,,"1.321,96",,,,,,,,,"6.670,18",,,,,,,,,,
AIQUARA-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,"299.368,44",,,,,,,,,"194.477,26",,,,,,,"493.845,70",,,,,,,,,"2.327.772,27",,,,,,,,,,
ALCOBACA-BA,,,,,BA,,,,"1.494,39",,,,,,,,,-,,,,,,,"1.494,39",,,,,,,,,"7.540,22",,,,,,,,,,
ALMADINA-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
AMARGOSA-BA,,,,,BA,,,,"1.666,82",,,,,,,,,-,,,,,,,"1.666,82",,,,,,,,,"8.410,25",,,,,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,,"1.551,86",,,,,,,,,-,,,,,,,"1.551,86",,,,,,,,,"7.830,22",,,,,,,,,,
ANAGE-BA,,,,,BA,,,,"1.551,86",,,,,,,,,-,,,,,,,"1.551,86",,,,,,,,,"7.830,22",,,,,,,,,,
ANGUERA-BA,,,,,BA,,,,"1.207,00",,,,,,,,,-,,,,,,,"1.207,00",,,,,,,,,"6.090,16",,,,,,,,,,
ANTAS-BA,,,,,BA,,,,"1.379,43",,,,,,,,,-,,,,,,,"1.379,43",,,,,,,,,"6.960,19",,,,,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,,"1.207,00",,,,,,,,,-,,,,,,,"1.207,00",,,,,,,,,"6.090,16",,,,,,,,,,
APORA-BA,,,,,BA,,,,"1.379,43",,,,,,,,,-,,,,,,,"1.379,43",,,,,,,,,"6.960,19",,,,,,,,,,
APUAREMA-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
ARACAS-BA,,,,,BA,,,,"358.624,41",,,,,,,,,"211.964,82",,,,,,,"570.589,23",,,,,,,,,"2.804.147,41",,,,,,,,,,
ARACI-BA,,,,,BA,,,,"1.839,25",,,,,,,,,-,,,,,,,"1.839,25",,,,,,,,,"9.280,26",,,,,,,,,,
ARAMARI-BA,,,,,BA,,,,"1.668,38",,,,,,,,,"193,77",,,,,,,"1.862,15",,,,,,,,,"13.933,60",,,,,,,,,,
ARATACA-BA,,,,,BA,,,,"1.207,00",,,,,,,,,-,,,,,,,"1.207,00",,,,,,,,,"6.090,16",,,,,,,,,,
ARATUIPE-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
AURELINO LEAL-BA,,,,,BA,,,,"1.264,48",,,,,,,,,-,,,,,,,"1.264,48",,,,,,,,,"6.380,17",,,,,,,,,,
BAIXA GRANDE-BA,,,,,BA,,,,"1.494,39",,,,,,,,,-,,,,,,,"1.494,39",,,,,,,,,"7.540,22",,,,,,,,,,
BANZAE-BA,,,,,BA,,,,"1.207,00",,,,,,,,,-,,,,,,,"1.207,00",,,,,,,,,"6.090,16",,,,,,,,,,
BARRA DO CHOCA-BA,,,,,BA,,,,"1.666,82",,,,,,,,,-,,,,,,,"1.666,82",,,,,,,,,"8.410,25",,,,,,,,,,
BARRA DO ROCHA-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
BARRO PRETO-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
BARROCAS-BA,,,,,BA,,,,"1.321,96",,,,,,,,,-,,,,,,,"1.321,96",,,,,,,,,"6.670,18",,,,,,,,,,
BELMONTE-BA,,,,,BA,,,,"1.494,39",,,,,,,,,-,,,,,,,"1.494,39",,,,,,,,,"7.540,22",,,,,,,,,,
BELO CAMPO-BA,,,,,BA,,,,"1.379,43",,,,,,,,,-,,,,,,,"1.379,43",,,,,,,,,"6.960,19",,,,,,,,,,
BIRITINGA-BA,,,,,BA,,,,"1.321,96",,,,,,,,,-,,,,,,,"1.321,96",,,,,,,,,"6.670,18",,,,,,,,,,
BOA NOVA-BA,,,,,BA,,,,"1.321,96",,,,,,,,,-,,,,,,,"1.321,96",,,,,,,,,"6.670,18",,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,,"1.379,43",,,,,,,,,-,,,,,,,"1.379,43",,,,,,,,,"6.960,19",,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,,"1.207,00",,,,,,,,,-,,,,,,,"1.207,00",,,,,,,,,"6.090,16",,,,,,,,,,
BREJOES-BA,,,,,BA,,,,"1.321,96",,,,,,,,,-,,,,,,,"1.321,96",,,,,,,,,"6.670,18",,,,,,,,,,
BUERAREMA-BA,,,,,BA,,,,"1.436,91",,,,,,,,,-,,,,,,,"1.436,91",,,,,,,,,"7.250,20",,,,,,,,,,
CAATIBA-BA,,,,,BA,,,,"1.207,00",,,,,,,,,-,,,,,,,"1.207,00",,,,,,,,,"6.090,16",,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,"1.379,43",,,,,,,,,-,,,,,,,"1.379,43",,,,,,,,,"6.960,19",,,,,,,,,,
CACHOEIRA-BA,,,,,BA,,,,"1.666,82",,,,,,,,,-,,,,,,,"1.666,82",,,,,,,,,"8.410,25",,,,,,,,,,
CAEM-BA,,,,,BA,,,,"1.207,00",,,,,,,,,-,,,,,,,"1.207,00",,,,,,,,,"6.090,16",,,,,,,,,,
CAETANOS-BA,,,,,BA,,,,"1.264,48",,,,,,,,,-,,,,,,,"1.264,48",,,,,,,,,"6.380,17",,,,,,,,,,
CAIRU-BA,,,,,BA,,,,"39.711,03",,,,,,,,,"456.711,26",,,,,,,"496.422,29",,,,,,,,,"2.510.153,92",,,,,,,,,,
CAMACAN-BA,,,,,BA,,,,"1.609,34",,,,,,,,,-,,,,,,,"1.609,34",,,,,,,,,"8.120,23",,,,,,,,,,
CAMACARI-BA,,,,,BA,,,,"287.123,28",,,,,,,,,"175.266,57",,,,,,,"462.389,85",,,,,,,,,"2.227.792,19",,,,,,,,,,
CAMAMU-BA,,,,,BA,,,,"1.666,82",,,,,,,,,-,,,,,,,"1.666,82",,,,,,,,,"8.410,25",,,,,,,,,,
CANAVIEIRAS-BA,,,,,BA,,,,"1.666,82",,,,,,,,,-,,,,,,,"1.666,82",,,,,,,,,"8.410,25",,,,,,,,,,
CANDEAL-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
CANDEIAS-BA,,,,,BA,,,,"434.029,11",,,,,,,,,"327.681,68",,,,,,,"761.710,79",,,,,,,,,"3.546.027,08",,,,,,,,,,
CANDIDO SALES-BA,,,,,BA,,,,"1.551,86",,,,,,,,,-,,,,,,,"1.551,86",,,,,,,,,"7.830,22",,,,,,,,,,
CANSANCAO-BA,,,,,BA,,,,"1.666,82",,,,,,,,,-,,,,,,,"1.666,82",,,,,,,,,"8.410,25",,,,,,,,,,
CANUDOS-BA,,,,,BA,,,,"1.321,96",,,,,,,,,-,,,,,,,"1.321,96",,,,,,,,,"6.670,18",,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,"1.207,00",,,,,,,,,-,,,,,,,"1.207,00",,,,,,,,,"6.090,16",,,,,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,,"1.551,86",,,,,,,,,-,,,,,,,"1.551,86",,,,,,,,,"7.830,22",,,,,,,,,,
CARAVELAS-BA,,,,,BA,,,,"1.494,39",,,,,,,,,-,,,,,,,"1.494,39",,,,,,,,,"7.540,22",,,,,,,,,,
CARDEAL DA SILVA-BA,,,,,BA,,,,"86.493,60",,,,,,,,,"29.690,92",,,,,,,"116.184,52",,,,,,,,,"540.580,03",,,,,,,,,,
CASTRO ALVES-BA,,,,,BA,,,,"1.551,86",,,,,,,,,-,,,,,,,"1.551,86",,,,,,,,,"7.830,22",,,,,,,,,,
CATU-BA,,,,,BA,,,,"225.158,79",,,,,,,,,"107.526,98",,,,,,,"332.685,77",,,,,,,,,"1.576.800,83",,,,,,,,,,
CICERO DANTAS-BA,,,,,BA,,,,"1.666,82",,,,,,,,,-,,,,,,,"1.666,82",,,,,,,,,"8.410,25",,,,,,,,,,
CIPO-BA,,,,,BA,,,,"1.321,96",,,,,,,,,-,,,,,,,"1.321,96",,,,,,,,,"6.670,18",,,,,,,,,,
COARACI-BA,,,,,BA,,,,"1.494,39",,,,,,,,,-,,,,,,,"1.494,39",,,,,,,,,"7.540,22",,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,BA,,,,"1.494,39",,,,,,,,,-,,,,,,,"1.494,39",,,,,,,,,"7.540,22",,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,"1.379,43",,,,,,,,,-,,,,,,,"1.379,43",,,,,,,,,"6.960,19",,,,,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,,"1.896,72",,,,,,,,,-,,,,,,,"1.896,72",,,,,,,,,"9.570,27",,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,"1.609,34",,,,,,,,,-,,,,,,,"1.609,34",,,,,,,,,"8.120,23",,,,,,,,,,
CONDE-BA,,,,,BA,,,,"3.955,57",,,,,,,,,"1.587,46",,,,,,,"5.543,03",,,,,,,,,"22.690,40",,,,,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,,"1.494,39",,,,,,,,,-,,,,,,,"1.494,39",,,,,,,,,"7.540,22",,,,,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,,"1.379,43",,,,,,,,,-,,,,,,,"1.379,43",,,,,,,,,"6.960,19",,,,,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
CRISOPOLIS-BA,,,,,BA,,,,"1.494,39",,,,,,,,,-,,,,,,,"1.494,39",,,,,,,,,"7.540,22",,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,,"1.896,72",,,,,,,,,-,,,,,,,"1.896,72",,,,,,,,,"9.570,27",,,,,,,,,,
DARIO MEIRA-BA,,,,,BA,,,,"1.264,48",,,,,,,,,-,,,,,,,"1.264,48",,,,,,,,,"6.380,17",,,,,,,,,,
DIAS D'AVILA-BA,,,,,BA,,,,"1.954,20",,,,,,,,,-,,,,,,,"1.954,20",,,,,,,,,"9.860,29",,,,,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,,"1.494,39",,,,,,,,,-,,,,,,,"1.494,39",,,,,,,,,"7.540,22",,,,,,,,,,
ENTRE RIOS-BA,,,,,BA,,,,"249.497,12",,,,,,,,,"179.083,55",,,,,,,"428.580,67",,,,,,,,,"2.017.255,71",,,,,,,,,,
ESPLANADA-BA,,,,,BA,,,,"403.379,59",,,,,,,,,"310.374,16",,,,,,,"713.753,75",,,,,,,,,"3.358.631,63",,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,,"1.896,72",,,,,,,,,-,,,,,,,"1.896,72",,,,,,,,,"9.570,27",,,,,,,,,,
EUNAPOLIS-BA,,,,,BA,,,,"246.665,58",,,,,,,,,"8.361,23",,,,,,,"255.026,81",,,,,,,,,"1.286.169,04",,,,,,,,,,
FATIMA-BA,,,,,BA,,,,"1.379,43",,,,,,,,,-,,,,,,,"1.379,43",,,,,,,,,"6.960,19",,,,,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,,"2.299,06",,,,,,,,,-,,,,,,,"2.299,06",,,,,,,,,"11.600,34",,,,,,,,,,
FIRMINO ALVES-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
FLORESTA AZUL-BA,,,,,BA,,,,"1.207,00",,,,,,,,,-,,,,,,,"1.207,00",,,,,,,,,"6.090,16",,,,,,,,,,
GANDU-BA,,,,,BA,,,,"1.609,34",,,,,,,,,-,,,,,,,"1.609,34",,,,,,,,,"8.120,23",,,,,,,,,,
GAVIAO-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
GLORIA-BA,,,,,BA,,,,"1.321,96",,,,,,,,,-,,,,,,,"1.321,96",,,,,,,,,"6.670,18",,,,,,,,,,
GONGOGI-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,"1.436,91",,,,,,,,,-,,,,,,,"1.436,91",,,,,,,,,"7.250,20",,,,,,,,,,
GUARATINGA-BA,,,,,BA,,,,"1.494,39",,,,,,,,,-,,,,,,,"1.494,39",,,,,,,,,"7.540,22",,,,,,,,,,
HELIOPOLIS-BA,,,,,BA,,,,"1.264,48",,,,,,,,,-,,,,,,,"1.264,48",,,,,,,,,"6.380,17",,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IACU-BA,,,,,BA,,,,"1.551,86",,,,,,,,,-,,,,,,,"1.551,86",,,,,,,,,"7.830,22",,,,,,,,,,
IBICARAI-BA,,,,,BA,,,,"1.551,86",,,,,,,,,-,,,,,,,"1.551,86",,,,,,,,,"7.830,22",,,,,,,,,,
IBICUI-BA,,,,,BA,,,,"1.321,96",,,,,,,,,-,,,,,,,"1.321,96",,,,,,,,,"6.670,18",,,,,,,,,,
IBIQUERA-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
IBIRAPITANGA-BA,,,,,BA,,,,"1.494,39",,,,,,,,,-,,,,,,,"1.494,39",,,,,,,,,"7.540,22",,,,,,,,,,
IBIRAPUA-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
IBIRATAIA-BA,,,,,BA,,,,"1.436,91",,,,,,,,,-,,,,,,,"1.436,91",,,,,,,,,"7.250,20",,,,,,,,,,
ICHU-BA,,,,,BA,,,,"1.149,53",,,,,,,,,-,,,,,,,"1.149,53",,,,,,,,,"5.800,16",,,,,,,,,,
IGRAPIUNA-BA,,,,,BA,,,,"1.264,48",,,,,,,,,-,,,,,,,"1.264,48",,,,,,,,,"6.380,17",,,,,,,,,,
IGUAI-BA,,,,,BA,,,,"1.551,86",,,,,,,,,-,,,,,,,"1.551,86",,,,,,,,,"7.830,22",,,,,,,,,,
