URUCURITUBA-AM,,,,,,,,AM,,,-,,,,,,,,"4.993,78",,,,,,,"4.993,78",,,,,,,,,,"14.465,49",,,,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,,"2.192.944,60",,,,,,,,"1.581.473,36",,,,,,,"3.774.417,96",,,,,,,,,,"11.128.297,72",,,,,,,,,,
LARANJAL DO JARI-AP,,,,,,,,AP,,,-,,,,,,,,"4.993,78",,,,,,,"4.993,78",,,,,,,,,,"14.465,49",,,,,,,,,,
MACAPA-AP,,,,,,,,AP,,,-,,,,,,,,"4.993,78",,,,,,,"4.993,78",,,,,,,,,,"14.465,49",,,,,,,,,,
MAZAGAO-AP,,,,,,,,AP,,,-,,,,,,,,"4.993,78",,,,,,,"4.993,78",,,,,,,,,,"14.465,49",,,,,,,,,,
AMAPA  TOTAL,,,,,,,,,,,-,,,,,,,,"14.981,34",,,,,,,"14.981,34",,,,,,,,,,"43.396,47",,,,,,,,,,
ACAJUTIBA-BA,,,,,,,,BA,,,"789,79",,,,,,,,-,,,,,,,"789,79",,,,,,,,,,"2.994,42",,,,,,,,,,
ADUSTINA-BA,,,,,,,,BA,,,"789,79",,,,,,,,-,,,,,,,"789,79",,,,,,,,,,"2.994,42",,,,,,,,,,
AGUA FRIA-BA,,,,,,,,BA,,,"789,79",,,,,,,,-,,,,,,,"789,79",,,,,,,,,,"2.994,42",,,,,,,,,,
AIQUARA-BA,,,,,,,,BA,,,"686,77",,,,,,,,-,,,,,,,"686,77",,,,,,,,,,"2.603,84",,,,,,,,,,
ALAGOINHAS-BA,,,,,,,,BA,,,"194.719,05",,,,,,,,"106.087,46",,,,,,,"300.806,51",,,,,,,,,,"967.857,57",,,,,,,,,,
ALCOBACA-BA,,,,,,,,BA,,,"858,46",,,,,,,,-,,,,,,,"858,46",,,,,,,,,,"3.254,81",,,,,,,,,,
ALMADINA-BA,,,,,,,,BA,,,"686,77",,,,,,,,-,,,,,,,"686,77",,,,,,,,,,"2.603,84",,,,,,,,,,
AMARGOSA-BA,,,,,,,,BA,,,"995,82",,,,,,,,-,,,,,,,"995,82",,,,,,,,,,"3.775,58",,,,,,,,,,
AMELIA RODRIGUES-BA,,,,,,,,BA,,,"892,80",,,,,,,,-,,,,,,,"892,80",,,,,,,,,,"3.385,00",,,,,,,,,,
ANAGE-BA,,,,,,,,BA,,,"927,14",,,,,,,,-,,,,,,,"927,14",,,,,,,,,,"3.515,19",,,,,,,,,,
ANGUERA-BA,,,,,,,,BA,,,"686,77",,,,,,,,-,,,,,,,"686,77",,,,,,,,,,"2.603,84",,,,,,,,,,
ANTAS-BA,,,,,,,,BA,,,"824,13",,,,,,,,-,,,,,,,"824,13",,,,,,,,,,"3.124,62",,,,,,,,,,
ANTONIO CARDOSO-BA,,,,,,,,BA,,,"755,45",,,,,,,,-,,,,,,,"755,45",,,,,,,,,,"2.864,23",,,,,,,,,,
APORA-BA,,,,,,,,BA,,,"824,13",,,,,,,,-,,,,,,,"824,13",,,,,,,,,,"3.124,62",,,,,,,,,,
APUAREMA-BA,,,,,,,,BA,,,"686,77",,,,,,,,-,,,,,,,"686,77",,,,,,,,,,"2.603,84",,,,,,,,,,
ARACAS-BA,,,,,,,,BA,,,"176.894,31",,,,,,,,"87.811,62",,,,,,,"264.705,93",,,,,,,,,,"840.168,43",,,,,,,,,,
ARACI-BA,,,,,,,,BA,,,"1.098,84",,,,,,,,-,,,,,,,"1.098,84",,,,,,,,,,"4.166,17",,,,,,,,,,
ARAMARI-BA,,,,,,,,BA,,,"1.760,42",,,,,,,,"450,93",,,,,,,"2.211,35",,,,,,,,,,"8.090,32",,,,,,,,,,
ARATACA-BA,,,,,,,,BA,,,"721,11",,,,,,,,-,,,,,,,"721,11",,,,,,,,,,"2.734,03",,,,,,,,,,
ARATUIPE-BA,,,,,,,,BA,,,"686,77",,,,,,,,-,,,,,,,"686,77",,,,,,,,,,"2.603,84",,,,,,,,,,
AURELINO LEAL-BA,,,,,,,,BA,,,"789,79",,,,,,,,-,,,,,,,"789,79",,,,,,,,,,"2.994,42",,,,,,,,,,
BAIXA GRANDE-BA,,,,,,,,BA,,,"892,80",,,,,,,,-,,,,,,,"892,80",,,,,,,,,,"3.385,00",,,,,,,,,,
