JIQUIRICA-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
JITAUNA-BA,,,BA,,,"64,33",,,,,-,,,,,,,"64,33",,,,,,,"368,94",,,,,,,,,,
LAFAIETE COUTINHO-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
LAJE-BA,,,BA,,,"61,73",,,,,-,,,,,,,"61,73",,,,,,,"354,25",,,,,,,,,,
LAJEDINHO-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
LAJEDO DO TABOCAL-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
LAMARAO-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
LAURO DE FREITAS-BA,,,BA,,,"93,89",,,,,-,,,,,,,"93,89",,,,,,,"538,70",,,,,,,,,,
MACAJUBA-BA,,,BA,,,"51,87",,,,,-,,,,,,,"51,87",,,,,,,"297,63",,,,,,,,,,
MACARANI-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
MADRE DE DEUS-BA,,,BA,,,"606.308,46",,,,,"205.785,34",,,,,,,"812.093,80",,,,,,,"4.080.328,05",,,,,,,,,,
MAIQUINIQUE-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
MAIRI-BA,,,BA,,,"64,33",,,,,-,,,,,,,"64,33",,,,,,,"368,94",,,,,,,,,,
MANOEL VITORINO-BA,,,BA,,,"59,41",,,,,-,,,,,,,"59,41",,,,,,,"340,65",,,,,,,,,,
MARACAS-BA,,,BA,,,"69,26",,,,,-,,,,,,,"69,26",,,,,,,"397,24",,,,,,,,,,
MARAGOGIPE-BA,,,BA,,,"76,51",,,,,-,,,,,,,"76,51",,,,,,,"439,13",,,,,,,,,,
MARCIONILIO SOUZA-BA,,,BA,,,"51,87",,,,,-,,,,,,,"51,87",,,,,,,"297,63",,,,,,,,,,
MATA DE SAO JOAO-BA,,,BA,,,"108.819,36",,,,,"45.059,88",,,,,,,"153.879,24",,,,,,,"809.481,31",,,,,,,,,,
MIGUEL CALMON-BA,,,BA,,,"69,26",,,,,-,,,,,,,"69,26",,,,,,,"397,24",,,,,,,,,,
MILAGRES-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
MIRANTE-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
MONTE SANTO-BA,,,BA,,,"79,11",,,,,-,,,,,,,"79,11",,,,,,,"453,82",,,,,,,,,,
MUNDO NOVO-BA,,,BA,,,"64,33",,,,,-,,,,,,,"64,33",,,,,,,"368,94",,,,,,,,,,
MUNIZ FERREIRA-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
MURITIBA-BA,,,BA,,,"69,26",,,,,-,,,,,,,"69,26",,,,,,,"397,24",,,,,,,,,,
MUTUIPE-BA,,,BA,,,"64,33",,,,,-,,,,,,,"64,33",,,,,,,"368,94",,,,,,,,,,
NAZARE-BA,,,BA,,,"66,65",,,,,-,,,,,,,"66,65",,,,,,,"382,51",,,,,,,,,,
NORDESTINA-BA,,,BA,,,"51,87",,,,,-,,,,,,,"51,87",,,,,,,"297,63",,,,,,,,,,
NOVA CANAA-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
NOVA FATIMA-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
NOVA ITARANA-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
NOVA SOURE-BA,,,BA,,,"66,65",,,,,-,,,,,,,"66,65",,,,,,,"382,51",,,,,,,,,,
NOVO TRIUNFO-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
OLINDINA-BA,,,BA,,,"64,33",,,,,-,,,,,,,"64,33",,,,,,,"368,94",,,,,,,,,,
OURICANGAS-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
OUROLANDIA-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
PARIPIRANGA-BA,,,BA,,,"66,65",,,,,-,,,,,,,"66,65",,,,,,,"382,51",,,,,,,,,,
PAULO AFONSO-BA,,,BA,,,"91,57",,,,,-,,,,,,,"91,57",,,,,,,"525,12",,,,,,,,,,
PE DE SERRA-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
PEDRAO-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDRO ALEXANDRE-BA,,,BA,,,"59,41",,,,,-,,,,,,,"59,41",,,,,,,"340,65",,,,,,,,,,
PINTADAS-BA,,,BA,,,"51,87",,,,,-,,,,,,,"51,87",,,,,,,"297,63",,,,,,,,,,
PIRITIBA-BA,,,BA,,,"61,73",,,,,-,,,,,,,"61,73",,,,,,,"354,25",,,,,,,,,,
PLANALTINO-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
PLANALTO-BA,,,BA,,,"64,33",,,,,-,,,,,,,"64,33",,,,,,,"368,94",,,,,,,,,,
POCOES-BA,,,BA,,,"76,51",,,,,-,,,,,,,"76,51",,,,,,,"439,13",,,,,,,,,,
POJUCA-BA,,,BA,,,"309.750,84",,,,,"261.346,95",,,,,,,"571.097,79",,,,,,,"2.994.169,93",,,,,,,,,,
QUEIMADAS-BA,,,BA,,,"66,65",,,,,-,,,,,,,"66,65",,,,,,,"382,51",,,,,,,,,,
