COARI-AM,,,,AM,,,"2.013.384,78",,,,,,,,,"1.870.090,50",,,,,,"3.883.475,28",,,,,,,"46.608.715,17",,,,,,
CODAJAS-AM,,,,AM,,,-,,,,,,,,,"2.424,92",,,,,,"2.424,92",,,,,,,"27.619,01",,,,,,
IRANDUBA-AM,,,,AM,,,-,,,,,,,,,"6.382,78",,,,,,"6.382,78",,,,,,,"70.868,84",,,,,,
ITACOATIARA-AM,,,,AM,,,-,,,,,,,,,"6.382,78",,,,,,"6.382,78",,,,,,,"70.868,84",,,,,,
ITAPIRANGA-AM,,,,AM,,,-,,,,,,,,,"6.382,78",,,,,,"6.382,78",,,,,,,"70.868,84",,,,,,
MANACAPURU-AM,,,,AM,,,-,,,,,,,,,"2.424,92",,,,,,"2.424,92",,,,,,,"27.619,01",,,,,,
MANAQUIRI -AM,,,,AM,,,-,,,,,,,,,"2.424,92",,,,,,"2.424,92",,,,,,,"27.619,01",,,,,,
MANAUS-AM,,,,AM,,,"1.168.575,63",,,,,,,,,"78.943,58",,,,,,"1.247.519,21",,,,,,,"11.012.051,93",,,,,,
PARINTINS-AM,,,,AM,,,-,,,,,,,,,"6.382,78",,,,,,"6.382,78",,,,,,,"70.868,84",,,,,,
SILVES-AM,,,,AM,,,-,,,,,,,,,"6.382,78",,,,,,"6.382,78",,,,,,,"70.868,84",,,,,,
URUCARA-AM,,,,AM,,,-,,,,,,,,,"6.382,78",,,,,,"6.382,78",,,,,,,"70.868,84",,,,,,
URUCURITUBA-AM,,,,AM,,,-,,,,,,,,,"6.382,78",,,,,,"6.382,78",,,,,,,"70.868,84",,,,,,
AMAZONAS TOTAL,,,,,,,"3.181.960,41",,,,,,,,,"2.023.453,54",,,,,,"5.205.413,95",,,,,,,"58.451.919,73",,,,,,
LARANJAL DO JARI-AP,,,,AP,,,-,,,,,,,,,"6.382,78",,,,,,"6.382,78",,,,,,,"70.868,84",,,,,,
MACAPA-AP,,,,AP,,,-,,,,,,,,,"6.382,78",,,,,,"6.382,78",,,,,,,"70.868,84",,,,,,
MAZAGAO-AP,,,,AP,,,-,,,,,,,,,"6.382,78",,,,,,"6.382,78",,,,,,,"70.868,84",,,,,,
AMAPA TOTAL,,,,,,,-,,,,,,,,,"19.148,34",,,,,,"19.148,34",,,,,,,"212.606,52",,,,,,
ACAJUTIBA-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
ADUSTINA-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
AGUAFRIA-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
AIQUARA-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
ALAGOINHAS-BA,,,,BA,,,"208.063,53",,,,,,,,,"131.387,55",,,,,,"339.451,08",,,,,,,"4.831.915,23",,,,,,
AMARGOSA-BA,,,,BA,,,"109,40",,,,,,,,,-,,,,,,"109,40",,,,,,,"1.218,21",,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,"105,49",,,,,,,,,-,,,,,,"105,49",,,,,,,"1.174,66",,,,,,
ANAGE-BA,,,,BA,,,"109,40",,,,,,,,,-,,,,,,"109,40",,,,,,,"1.218,21",,,,,,
ANGUERA-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
ANTAS-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,"82,05",,,,,,,,,-,,,,,,"82,05",,,,,,,"913,64",,,,,,
APORA-BA,,,,BA,,,"93,77",,,,,,,,,-,,,,,,"93,77",,,,,,,"1.044,15",,,,,,
APUAREMA-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
ARACAS-BA,,,,BA,,,"238.283,44",,,,,,,,,"106.763,67",,,,,,"345.047,11",,,,,,,"3.893.629,56",,,,,,
ARACI-BA,,,,BA,,,"121,12",,,,,,,,,-,,,,,,"121,12",,,,,,,"1.348,71",,,,,,
ARAMARI -BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
ARATUIPE-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
BAIXA GRANDE-BA,,,,BA,,,"101,58",,,,,,,,,-,,,,,,"101,58",,,,,,,"1.131,16",,,,,,
BANZAE-BA,,,,BA,,,"82,05",,,,,,,,,-,,,,,,"82,05",,,,,,,"913,64",,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRA DO CHOCA-BA,,,,BA,,,"121,12",,,,,,,,,-,,,,,,"121,12",,,,,,,"1.348,71",,,,,,
BARROCAS-BA,,,,BA,,,"85,95",,,,,,,,,-,,,,,,"85,95",,,,,,,"957,14",,,,,,
BELO CAMPO-BA,,,,BA,,,"93,77",,,,,,,,,-,,,,,,"93,77",,,,,,,"1.044,15",,,,,,
BIRITINGA-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"9.335,59",,,,,,
BOA NOVA-BA,,,,BA,,,"101,58",,,,,,,,,-,,,,,,"101,58",,,,,,,"1.131,16",,,,,,
BOA VISTA DO TUPIM-BA,,,,BA,,,"97,68",,,,,,,,,-,,,,,,"97,68",,,,,,,"1.087,66",,,,,,
BOM JESUS DA SERRA-BA,,,,BA,,,"82,05",,,,,,,,,-,,,,,,"82,05",,,,,,,"913,64",,,,,,
BREJOES-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
CAATIBA-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
CACHOEIRA-BA,,,,BA,,,"109,40",,,,,,,,,-,,,,,,"109,40",,,,,,,"1.218,21",,,,,,
CAEM-BA,,,,BA,,,"85,95",,,,,,,,,-,,,,,,"85,95",,,,,,,"957,14",,,,,,
CAETANOS-BA,,,,BA,,,"85,95",,,,,,,,,-,,,,,,"85,95",,,,,,,"957,14",,,,,,
CAMACARI-BA,,,,BA,,,"280,92",,,,,,,,,"71,04",,,,,,"351,96",,,,,,,"8.600,06",,,,,,
CANDEAL-BA,,,,BA,,,"82,05",,,,,,,,,-,,,,,,"82,05",,,,,,,"913,64",,,,,,
CANDEIAS-BA,,,,BA,,,"220.843,73",,,,,,,,,"282.906,37",,,,,,"503.750,10",,,,,,,"5.749.228,85",,,,,,
CANDIDO SALES-BA,,,,BA,,,"109,40",,,,,,,,,-,,,,,,"109,40",,,,,,,"1.218,21",,,,,,
CANSANCAO-BA,,,,BA,,,"109,40",,,,,,,,,-,,,,,,"109,40",,,,,,,"1.218,21",,,,,,
CANUDOS-BA,,,,BA,,,"85,95",,,,,,,,,-,,,,,,"85,95",,,,,,,"957,14",,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,BA,,,"82,05",,,,,,,,,-,,,,,,"82,05",,,,,,,"913,64",,,,,,
CAPIM GROSSO-BA,,,,BA,,,"101,58",,,,,,,,,-,,,,,,"101,58",,,,,,,"1.131,16",,,,,,
CARDEAL DA SILVA-BA,,,,BA,,,"138.877,02",,,,,,,,,"39.101,64",,,,,,"177.978,66",,,,,,,"2.132.105,53",,,,,,
CASTRO ALVES-BA,,,,BA,,,"105,49",,,,,,,,,-,,,,,,"105,49",,,,,,,"1.174,66",,,,,,
CATU-BA,,,,BA,,,"218.096,23",,,,,,,,,"108.073,83",,,,,,"326.170,06",,,,,,,"3.842.806,97",,,,,,
CICERO DANTAS-BA,,,,BA,,,"109,40",,,,,,,,,-,,,,,,"109,40",,,,,,,"1.218,21",,,,,,
CIPO-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
CONCEICAO DA FEIRA-BA,,,,BA,,,"93,77",,,,,,,,,-,,,,,,"93,77",,,,,,,"1.044,15",,,,,,
CONCEICAO DO ALMEIDA-BA,,,,BA,,,"97,68",,,,,,,,,-,,,,,,"97,68",,,,,,,"1.087,66",,,,,,
CONCEICAO DO COITE-BA,,,,BA,,,"128,93",,,,,,,,,-,,,,,,"128,93",,,,,,,"1.435,73",,,,,,
CONCEICAO DO JACUIPE-BA,,,,BA,,,"105,49",,,,,,,,,-,,,,,,"105,49",,,,,,,"1.174,66",,,,,,
CONDE-BA,,,,BA,,,"173,52",,,,,,,,,"46,40",,,,,,"219,92",,,,,,,"2.420,59",,,,,,
CORACAO DE MARIA-BA,,,,BA,,,"101,58",,,,,,,,,-,,,,,,"101,58",,,,,,,"1.131,16",,,,,,
CORONEL JOAO SA-BA,,,,BA,,,"97,68",,,,,,,,,-,,,,,,"97,68",,,,,,,"1.087,66",,,,,,
CRAVOLANDIA-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
CRISOPOLIS-BA,,,,BA,,,"97,68",,,,,,,,,-,,,,,,"97,68",,,,,,,"1.087,66",,,,,,
CRUZ DAS ALMAS-BA,,,,BA,,,"125,03",,,,,,,,,-,,,,,,"125,03",,,,,,,"1.392,22",,,,,,
DARIO MEIRA-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
DIAS D'AVILA-BA,,,,BA,,,"121,12",,,,,,,,,-,,,,,,"121,12",,,,,,,"1.374,06",,,,,,
DOM MACEDO COSTA-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
ELISIO MEDRADO-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
ENCRUZILHADA-BA,,,,BA,,,"113,30",,,,,,,,,-,,,,,,"113,30",,,,,,,"1.261,69",,,,,,
ENTRE RIOS-BA,,,,BA,,,"266.371,53",,,,,,,,,"163.818,71",,,,,,"430.190,24",,,,,,,"4.673.896,66",,,,,,
ESPLANADA-BA,,,,BA,,,"473.381,25",,,,,,,,,"290.958,86",,,,,,"764.340,11",,,,,,,"8.338.768,73",,,,,,
EUCLIDES DA CUNHA-BA,,,,BA,,,"125,03",,,,,,,,,-,,,,,,"125,03",,,,,,,"1.392,22",,,,,,
FATIMA-BA,,,,BA,,,"97,68",,,,,,,,,-,,,,,,"97,68",,,,,,,"1.087,66",,,,,,
FEIRA DE SANTANA-BA,,,,BA,,,"156,28",,,,,,,,,-,,,,,,"156,28",,,,,,,"1.740,28",,,,,,
GAVIAO-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
GLORIA-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
GOVERNADOR MANGABEIRA-BA,,,,BA,,,"93,77",,,,,,,,,-,,,,,,"93,77",,,,,,,"1.044,15",,,,,,
HELIOPOLIS-BA,,,,BA,,,"85,95",,,,,,,,,-,,,,,,"85,95",,,,,,,"957,14",,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IACU-BA,,,,BA,,,"109,40",,,,,,,,,-,,,,,,"109,40",,,,,,,"1.218,21",,,,,,
IBIQUERA-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
ICHU-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
INHAMBUPE-BA,,,,BA,,,"109,40",,,,,,,,,-,,,,,,"109,40",,,,,,,"23.909,95",,,,,,
IPECAETA-BA,,,,BA,,,"97,68",,,,,,,,,-,,,,,,"97,68",,,,,,,"1.087,66",,,,,,
IPIRA-BA,,,,BA,,,"128,93",,,,,,,,,-,,,,,,"128,93",,,,,,,"1.435,73",,,,,,
IRAJUBA-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
IRARA-BA,,,,BA,,,"105,49",,,,,,,,,-,,,,,,"105,49",,,,,,,"1.174,66",,,,,,
ITABERABA-BA,,,,BA,,,"128,93",,,,,,,,,-,,,,,,"128,93",,,,,,,"1.435,73",,,,,,
ITAGI-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
ITAMBE-BA,,,,BA,,,"109,40",,,,,,,,,-,,,,,,"109,40",,,,,,,"1.218,21",,,,,,
ITANAGRA-BA,,,,BA,,,"94.896,94",,,,,,,,,"12.221,71",,,,,,"107.118,65",,,,,,,"1.215.811,60",,,,,,
ITAPARICA-BA,,,,BA,,,"2.703,12",,,,,,,,,"166.493,21",,,,,,"169.196,33",,,,,,,"1.762.149,22",,,,,,
ITAPETINGA-BA,,,,BA,,,"128,93",,,,,,,,,-,,,,,,"128,93",,,,,,,"1.435,73",,,,,,
ITAPICURU-BA,,,,BA,,,"105,49",,,,,,,,,-,,,,,,"105,49",,,,,,,"1.174,66",,,,,,
ITAQUARA-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
ITARANTIM-BA,,,,BA,,,"93,77",,,,,,,,,-,,,,,,"93,77",,,,,,,"1.044,15",,,,,,
ITATIM-BA,,,,BA,,,"85,95",,,,,,,,,-,,,,,,"85,95",,,,,,,"957,14",,,,,,
ITIRUCU-BA,,,,BA,,,"85,95",,,,,,,,,-,,,,,,"85,95",,,,,,,"957,14",,,,,,
ITIUBA-BA,,,,BA,,,"113,30",,,,,,,,,-,,,,,,"113,30",,,,,,,"1.261,69",,,,,,
JACOBINA-BA,,,,BA,,,"136,75",,,,,,,,,-,,,,,,"136,75",,,,,,,"1.522,75",,,,,,
JAGUAQUARA-BA,,,,BA,,,"121,12",,,,,,,,,-,,,,,,"121,12",,,,,,,"1.348,71",,,,,,
JAGUARIPE-BA,,,,BA,,,"85,95",,,,,,,,,-,,,,,,"85,95",,,,,,,"957,14",,,,,,
JANDAIRA-BA,,,,BA,,,"82,05",,,,,,,,,-,,,,,,"82,05",,,,,,,"913,64",,,,,,
JEQUIE-BA,,,,BA,,,"156,28",,,,,,,,,-,,,,,,"156,28",,,,,,,"1.740,28",,,,,,
JEREMOABO-BA,,,,BA,,,"113,30",,,,,,,,,-,,,,,,"113,30",,,,,,,"1.261,69",,,,,,
JIQUIRICA-BA,,,,BA,,,"85,95",,,,,,,,,-,,,,,,"85,95",,,,,,,"957,14",,,,,,
JITAUNA-BA,,,,BA,,,"101,58",,,,,,,,,-,,,,,,"101,58",,,,,,,"1.131,16",,,,,,
LAFAIETE COUTINHO-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
LAJE-BA,,,,BA,,,"97,68",,,,,,,,,-,,,,,,"97,68",,,,,,,"1.087,66",,,,,,
LAJEDINHO-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
LAJEDO DO TABOCAL-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
LAMARAO-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
LAURO DE FREITAS-BA,,,,BA,,,"148,47",,,,,,,,,-,,,,,,"148,47",,,,,,,"1.653,28",,,,,,
MACAJUBA-BA,,,,BA,,,"82,05",,,,,,,,,-,,,,,,"82,05",,,,,,,"913,64",,,,,,
MACARANI-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
MADRE DE DEUS-BA,,,,BA,,,"1.170.954,38",,,,,,,,,"764.147,95",,,,,,"1.935.102,33",,,,,,,"21.988.782,69",,,,,,
MAIQUINIQUE-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
MAIRI-BA,,,,BA,,,"101,58",,,,,,,,,-,,,,,,"101,58",,,,,,,"1.131,16",,,,,,
MANOEL VITORINO-BA,,,,BA,,,"93,77",,,,,,,,,-,,,,,,"93,77",,,,,,,"1.044,15",,,,,,
MARACAS-BA,,,,BA,,,"109,40",,,,,,,,,-,,,,,,"109,40",,,,,,,"1.218,21",,,,,,
MARAGOGIPE-BA,,,,BA,,,"121,12",,,,,,,,,-,,,,,,"121,12",,,,,,,"1.348,71",,,,,,
MARCIONILIO SOUZA-BA,,,,BA,,,"82,05",,,,,,,,,-,,,,,,"82,05",,,,,,,"913,64",,,,,,
MATA DE SÃO JOAO-BA,,,,BA,,,"167.950,38",,,,,,,,,"67.690,23",,,,,,"235.640,61",,,,,,,"2.845.814,75",,,,,,
MIGUEL CALMON-BA,,,,BA,,,"109,40",,,,,,,,,-,,,,,,"109,40",,,,,,,"1.218,21",,,,,,
MILAGRES-BA,,,,BA,,,"85,95",,,,,,,,,-,,,,,,"85,95",,,,,,,"957,14",,,,,,
MIRANTE-BA,,,,BA,,,"85,95",,,,,,,,,-,,,,,,"85,95",,,,,,,"957,14",,,,,,
MONTE SANTO-BA,,,,BA,,,"125,03",,,,,,,,,-,,,,,,"125,03",,,,,,,"1.392,22",,,,,,
MUNDO NOVO-BA,,,,BA,,,"101,58",,,,,,,,,-,,,,,,"101,58",,,,,,,"1.131,16",,,,,,
MUNIZ FERREIRA-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURITIBA-BA,,,,BA,,,"109,40",,,,,,,,,-,,,,,,"109,40",,,,,,,"1.218,21",,,,,,
MUTUIPE-BA,,,,BA,,,"101,58",,,,,,,,,-,,,,,,"101,58",,,,,,,"1.131,16",,,,,,
NAZARE-BA,,,,BA,,,"105,49",,,,,,,,,-,,,,,,"105,49",,,,,,,"1.174,66",,,,,,
NORDESTINA-BA,,,,BA,,,"82,05",,,,,,,,,-,,,,,,"82,05",,,,,,,"913,64",,,,,,
NOVA CANAA-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
NOVA FATIMA-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
NOVA ITARANA-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
NOVA SOURE-BA,,,,BA,,,"105,49",,,,,,,,,-,,,,,,"105,49",,,,,,,"1.174,66",,,,,,
NOVO TRIUNFO-BA,,,,BA,,,"85,95",,,,,,,,,-,,,,,,"85,95",,,,,,,"957,14",,,,,,
OLINDINA-BA,,,,BA,,,"101,58",,,,,,,,,-,,,,,,"101,58",,,,,,,"1.131,16",,,,,,
OURICANGAS-BA,,,,BA,,,"78,14",,,,,,,,,-,,,,,,"78,14",,,,,,,"870,11",,,,,,
OUROLANDIA-BA,,,,BA,,,"89,86",,,,,,,,,-,,,,,,"89,86",,,,,,,"1.000,65",,,,,,
PARIPIRANGA-BA,,,,BA,,,"105,49",,,,,,,,,-,,,,,,"105,49",,,,,,,"1.174,66",,,,,,
PAULO AFONSO-BA,,,,BA,,,"144,56",,,,,,,,,-,,,,,,"144,56",,,,,,,"1.609,78",,,,,,
