MANAUS-AM,,,,,AM,,,,"19.765,46",,,,,,,,"410,05",,,,,,"20.175,51",,,,,,,,,,"84.127,17",,,,,,,,,,,,
ACAJUTIBA-BA,,,,,BA,,,,"29,54",,,,,,,,-,,,,,,"29,54",,,,,,,,,,"97,42",,,,,,,,,,,,
ADUSTINA-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
AGUA FRIA-BA,,,,,BA,,,,"30,88",,,,,,,,-,,,,,,"30,88",,,,,,,,,,"101,85",,,,,,,,,,,,
AIQUARA-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,"123.736,24",,,,,,,,"64.342,08",,,,,,"188.078,32",,,,,,,,,,"617.674,79",,,,,,,,,,,,
AMARGOSA-BA,,,,,BA,,,,"37,59",,,,,,,,-,,,,,,"37,59",,,,,,,,,,"123,99",,,,,,,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,,"34,91",,,,,,,,-,,,,,,"34,91",,,,,,,,,,"115,13",,,,,,,,,,,,
ANAGE-BA,,,,,BA,,,,"41,62",,,,,,,,-,,,,,,"41,62",,,,,,,,,,"137,27",,,,,,,,,,,,
ANGUERA-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
ANTAS-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
APORA-BA,,,,,BA,,,,"30,88",,,,,,,,-,,,,,,"30,88",,,,,,,,,,"101,85",,,,,,,,,,,,
APUAREMA-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
ARACAS-BA,,,,,BA,,,,"47.770,89",,,,,,,,"16.322,46",,,,,,"64.093,35",,,,,,,,,,"203.905,90",,,,,,,,,,,,
ARACI-BA,,,,,BA,,,,"42,96",,,,,,,,-,,,,,,"42,96",,,,,,,,,,"141,70",,,,,,,,,,,,
ARAMARI-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
ARATUIPE-BA,,,,,BA,,,,"26,85",,,,,,,,-,,,,,,"26,85",,,,,,,,,,"88,56",,,,,,,,,,,,
BAIXA GRANDE-BA,,,,,BA,,,,"34,91",,,,,,,,-,,,,,,"34,91",,,,,,,,,,"115,13",,,,,,,,,,,,
BANZAE-BA,,,,,BA,,,,"28,20",,,,,,,,-,,,,,,"28,20",,,,,,,,,,"93,00",,,,,,,,,,,,
BARRA DO CHOCA-BA,,,,,BA,,,,"40,28",,,,,,,,-,,,,,,"40,28",,,,,,,,,,"132,85",,,,,,,,,,,,
BELO CAMPO-BA,,,,,BA,,,,"30,88",,,,,,,,-,,,,,,"30,88",,,,,,,,,,"101,85",,,,,,,,,,,,
BIRITINGA-BA,,,,,BA,,,,"29,54",,,,,,,,-,,,,,,"29,54",,,,,,,,,,"97,42",,,,,,,,,,,,
