ACAJUTIBA-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
ADUSTINA-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
AGUA FRIA-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
AIQUARA-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
ALAGOINHAS-BA,,,,,,BA,,,"257.913,42",,,,,,,"122.353,41",,,,,,,"380.266,83",,,,,"786.339,32",,,,,,,,,
AMARGOSA-BA,,,,,,BA,,,"93,92",,,,,,,-,,,,,,,"93,92",,,,,"188,21",,,,,,,,,
AMELIA RODRIGUES-BA,,,,,,BA,,,"90,56",,,,,,,-,,,,,,,"90,56",,,,,"181,48",,,,,,,,,
ANAGE-BA,,,,,,BA,,,"93,92",,,,,,,-,,,,,,,"93,92",,,,,"188,21",,,,,,,,,
ANGUERA-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
ANTAS-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
ANTONIO CARDOSO-BA,,,,,,BA,,,"70,44",,,,,,,-,,,,,,,"70,44",,,,,"141,16",,,,,,,,,
APORA-BA,,,,,,BA,,,"80,50",,,,,,,-,,,,,,,"80,50",,,,,"161,32",,,,,,,,,
APUAREMA-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
ARACAS-BA,,,,,,BA,,,"195.472,65",,,,,,,"86.360,48",,,,,,,"281.833,13",,,,,"598.368,58",,,,,,,,,
ARACI-BA,,,,,,BA,,,"103,98",,,,,,,-,,,,,,,"103,98",,,,,"208,37",,,,,,,,,
ARAMARI-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
ARATUIPE-BA,,,,,,BA,,,"67,08",,,,,,,-,,,,,,,"67,08",,,,,"134,43",,,,,,,,,
BAIXA GRANDE-BA,,,,,,BA,,,"87,21",,,,,,,-,,,,,,,"87,21",,,,,"174,77",,,,,,,,,
BANZAE-BA,,,,,,BA,,,"70,44",,,,,,,-,,,,,,,"70,44",,,,,"141,16",,,,,,,,,
BARRA DO CHOCA-BA,,,,,,BA,,,"103,98",,,,,,,-,,,,,,,"103,98",,,,,"208,37",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARROCAS-BA,,,,,,BA,,,"73,79",,,,,,,-,,,,,,,"73,79",,,,,"147,88",,,,,,,,,
BELO CAMPO-BA,,,,,,BA,,,"80,50",,,,,,,-,,,,,,,"80,50",,,,,"161,32",,,,,,,,,
BIRITINGA-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
BOA NOVA-BA,,,,,,BA,,,"87,21",,,,,,,-,,,,,,,"87,21",,,,,"174,77",,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,BA,,,"83,85",,,,,,,-,,,,,,,"83,85",,,,,"168,04",,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,BA,,,"70,44",,,,,,,-,,,,,,,"70,44",,,,,"141,16",,,,,,,,,
BREJOES-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
CAATIBA-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
CACHOEIRA-BA,,,,,,BA,,,"93,92",,,,,,,-,,,,,,,"93,92",,,,,"188,21",,,,,,,,,
CAEM-BA,,,,,,BA,,,"73,79",,,,,,,-,,,,,,,"73,79",,,,,"147,88",,,,,,,,,
CAETANOS-BA,,,,,,BA,,,"73,79",,,,,,,-,,,,,,,"73,79",,,,,"147,88",,,,,,,,,
CAMACARI-BA,,,,,,BA,,,"340,43",,,,,,,"86,62",,,,,,,"427,05",,,,,"561,75",,,,,,,,,
CANDEAL-BA,,,,,,BA,,,"70,44",,,,,,,-,,,,,,,"70,44",,,,,"141,16",,,,,,,,,
CANDEIAS-BA,,,,,,BA,,,"193.969,38",,,,,,,"229.855,01",,,,,,,"423.824,39",,,,,"856.393,62",,,,,,,,,
CANDIDO SALES-BA,,,,,,BA,,,"93,92",,,,,,,-,,,,,,,"93,92",,,,,"188,21",,,,,,,,,
CANSANCAO-BA,,,,,,BA,,,"93,92",,,,,,,-,,,,,,,"93,92",,,,,"188,21",,,,,,,,,
CANUDOS-BA,,,,,,BA,,,"73,79",,,,,,,-,,,,,,,"73,79",,,,,"147,88",,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,BA,,,"70,44",,,,,,,-,,,,,,,"70,44",,,,,"141,16",,,,,,,,,
CAPIM GROSSO-BA,,,,,,BA,,,"87,21",,,,,,,-,,,,,,,"87,21",,,,,"174,77",,,,,,,,,
CARDEAL DA SILVA-BA,,,,,,BA,,,"125.303,77",,,,,,,"39.961,62",,,,,,,"165.265,39",,,,,"271.766,33",,,,,,,,,
CASTRO ALVES-BA,,,,,,BA,,,"90,56",,,,,,,-,,,,,,,"90,56",,,,,"181,48",,,,,,,,,
CATU-BA,,,,,,BA,,,"188.091,77",,,,,,,"96.051,00",,,,,,,"284.142,77",,,,,"593.981,33",,,,,,,,,
CICERO DANTAS-BA,,,,,,BA,,,"93,92",,,,,,,-,,,,,,,"93,92",,,,,"188,21",,,,,,,,,
CIPO-BA,,,,,,BA,,,"77,15",,,,,,,-,,,,,,,"77,15",,,,,"154,60",,,,,,,,,
