ANGUERA-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
ANTAS-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"382,47",,,,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,,,"41,02",,,,,,,,-,,,,,,"41,02",,,,,,,,"373,11",,,,,,,,
APORA-BA,,,,BA,,,,,"46,88",,,,,,,,-,,,,,,"46,88",,,,,,,,"413,28",,,,,,,,
APUAREMA-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"368,45",,,,,,,,
ARACAS-BA,,,,BA,,,,,"111.375,69",,,,,,,,"56.266,61",,,,,,"167.642,30",,,,,,,,"963.661,60",,,,,,,,
ARACI-BA,,,,BA,,,,,"60,55",,,,,,,,-,,,,,,"60,55",,,,,,,,"563,85",,,,,,,,
ARAMARI-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
ARATUIPE-BA,,,,BA,,,,,"39,07",,,,,,,,-,,,,,,"39,07",,,,,,,,"355,27",,,,,,,,
BAIXA GRANDE-BA,,,,BA,,,,,"50,79",,,,,,,,-,,,,,,"50,79",,,,,,,,"461,89",,,,,,,,
BANZAE-BA,,,,BA,,,,,"41,02",,,,,,,,-,,,,,,"41,02",,,,,,,,"373,11",,,,,,,,
BARRA DO CHOCA-BA,,,,BA,,,,,"60,55",,,,,,,,-,,,,,,"60,55",,,,,,,,"537,71",,,,,,,,
BARROCAS-BA,,,,BA,,,,,"42,97",,,,,,,,-,,,,,,"42,97",,,,,,,,"102,79",,,,,,,,
BELO CAMPO-BA,,,,BA,,,,,"46,88",,,,,,,,-,,,,,,"46,88",,,,,,,,"413,28",,,,,,,,
BIRITINGA-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"395,46",,,,,,,,
BOA NOVA-BA,,,,BA,,,,,"50,79",,,,,,,,-,,,,,,"50,79",,,,,,,,"435,76",,,,,,,,
BOA VISTA DO TUPIM-BA,,,,BA,,,,,"48,83",,,,,,,,-,,,,,,"48,83",,,,,,,,"444,08",,,,,,,,
BOM JESUS DA SERRA-BA,,,,BA,,,,,"41,02",,,,,,,,-,,,,,,"41,02",,,,,,,,"373,11",,,,,,,,
BREJOES-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"408,61",,,,,,,,
CAATIBA-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"408,61",,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,BA,,,,,"44,93",,,,,,,,-,,,,,,"44,93",,,,,,,,"408,61",,,,,,,,
CACHOEIRA-BA,,,,BA,,,,,"54,69",,,,,,,,-,,,,,,"54,69",,,,,,,,"497,38",,,,,,,,
