CANDIDO SALES,,,BA,,,,,"95,74",,,,,,,-,,,,,,,"95,74",,,,,"185,29",,,,,,,,,
CANSANCAO,,,BA,,,,,"95,74",,,,,,,-,,,,,,,"95,74",,,,,"185,29",,,,,,,,,
CANUDOS,,,BA,,,,,"75,22",,,,,,,-,,,,,,,"75,22",,,,,"145,58",,,,,,,,,
CAPELA DO ALTO ALEGRE,,,BA,,,,,"71,80",,,,,,,-,,,,,,,"71,80",,,,,"138,96",,,,,,,,,
CAPIM GROSSO,,,BA,,,,,"88,90",,,,,,,-,,,,,,,"88,90",,,,,"172,05",,,,,,,,,
CARDEAL DA SILVA,,,BA,,,,,"104.929,59",,,,,,,"25.271,41",,,,,,,"130.201,00",,,,,"244.449,44",,,,,,,,,
CASTRO ALVES,,,BA,,,,,"92,32",,,,,,,-,,,,,,,"92,32",,,,,"178,67",,,,,,,,,
CATU,,,BA,,,,,"193.986,97",,,,,,,"91.945,80",,,,,,,"285.932,77",,,,,"502.493,78",,,,,,,,,
CICERO DANTAS,,,BA,,,,,"95,74",,,,,,,-,,,,,,,"95,74",,,,,"185,29",,,,,,,,,
CIPO,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
CONCEICAO DA FEIRA,,,BA,,,,,"82,06",,,,,,,-,,,,,,,"82,06",,,,,"158,82",,,,,,,,,
CONCEICAO DO ALMEIDA,,,BA,,,,,"85,48",,,,,,,-,,,,,,,"85,48",,,,,"165,44",,,,,,,,,
CONCEICAO DO COITE,,,BA,,,,,"112,83",,,,,,,-,,,,,,,"112,83",,,,,"218,37",,,,,,,,,
CONCEICAO DO JACUIPE,,,BA,,,,,"92,32",,,,,,,-,,,,,,,"92,32",,,,,"178,67",,,,,,,,,
CONDE,,,BA,,,,,"88,90",,,,,,,-,,,,,,,"88,90",,,,,"172,05",,,,,,,,,
CORACAO DE MARIA,,,BA,,,,,"88,90",,,,,,,-,,,,,,,"88,90",,,,,"172,05",,,,,,,,,
CORONEL JOAO SA,,,BA,,,,,"85,48",,,,,,,-,,,,,,,"85,48",,,,,"165,44",,,,,,,,,
CRAVOLANDIA,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
CRISOPOLIS,,,BA,,,,,"85,48",,,,,,,-,,,,,,,"85,48",,,,,"165,44",,,,,,,,,
CRUZ DAS ALMAS,,,BA,,,,,"109,41",,,,,,,-,,,,,,,"109,41",,,,,"211,76",,,,,,,,,
DARIO MEIRA,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
DIAS D'AVILA,,,BA,,,,,"105,99",,,,,,,-,,,,,,,"105,99",,,,,"205,14",,,,,,,,,
DOM MACEDO COSTA,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
ELISIO MEDRADO,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
ENCRUZILHADA,,,BA,,,,,"99,16",,,,,,,-,,,,,,,"99,16",,,,,"191,91",,,,,,,,,
ENTRE RIOS,,,BA,,,,,"198.878,02",,,,,,,"112.065,97",,,,,,,"310.943,99",,,,,"576.950,98",,,,,,,,,
ESPLANADA,,,BA,,,,,"345.358,74",,,,,,,"211.239,39",,,,,,,"556.598,13",,,,,"1.005.756,72",,,,,,,,,
EUCLIDES DA CUNHA,,,BA,,,,,"109,41",,,,,,,-,,,,,,,"109,41",,,,,"211,76",,,,,,,,,
FATIMA,,,BA,,,,,"85,48",,,,,,,-,,,,,,,"85,48",,,,,"165,44",,,,,,,,,
FEIRA DE SANTANA,,,BA,,,,,"136,77",,,,,,,-,,,,,,,"136,77",,,,,"264,70",,,,,,,,,
GAVIAO,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
GLORIA,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
GOVERNADOR MANGABEIRA,,,BA,,,,,"82,06",,,,,,,-,,,,,,,"82,06",,,,,"158,82",,,,,,,,,
HELIOPOLIS,,,BA,,,,,"75,22",,,,,,,-,,,,,,,"75,22",,,,,"145,58",,,,,,,,,
IACU,,,BA,,,,,"95,74",,,,,,,-,,,,,,,"95,74",,,,,"185,29",,,,,,,,,
IBIQUERA,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
ICHU,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
INHAMBUPE,,,BA,,,,,"95,74",,,,,,,-,,,,,,,"95,74",,,,,"185,29",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPECAETA,,,BA,,,,,"85,48",,,,,,,-,,,,,,,"85,48",,,,,"165,44",,,,,,,,,
IPIRA,,,BA,,,,,"112,83",,,,,,,-,,,,,,,"112,83",,,,,"218,37",,,,,,,,,
IRAJUBA,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
IRARA,,,BA,,,,,"92,32",,,,,,,-,,,,,,,"92,32",,,,,"178,67",,,,,,,,,
ITABERABA,,,BA,,,,,"112,83",,,,,,,-,,,,,,,"112,83",,,,,"218,37",,,,,,,,,
ITAGI,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
ITAMBE,,,BA,,,,,"95,74",,,,,,,-,,,,,,,"95,74",,,,,"185,29",,,,,,,,,
ITANAGRA,,,BA,,,,,"84.046,96",,,,,,,"14.547,81",,,,,,,"98.594,77",,,,,"180.842,99",,,,,,,,,
ITAPARICA,,,BA,,,,,"2.367,61",,,,,,,"141.726,37",,,,,,,"144.093,98",,,,,"206.327,08",,,,,,,,,
ITAPETINGA,,,BA,,,,,"112,83",,,,,,,-,,,,,,,"112,83",,,,,"218,37",,,,,,,,,
ITAPICURU,,,BA,,,,,"92,32",,,,,,,-,,,,,,,"92,32",,,,,"178,67",,,,,,,,,
ITAQUARA,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
ITARANTIM,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
ITATIM,,,BA,,,,,"75,22",,,,,,,-,,,,,,,"75,22",,,,,"145,58",,,,,,,,,
ITIRUCU,,,BA,,,,,"75,22",,,,,,,-,,,,,,,"75,22",,,,,"145,58",,,,,,,,,
ITIUBA,,,BA,,,,,"99,16",,,,,,,-,,,,,,,"99,16",,,,,"191,91",,,,,,,,,
JACOBINA,,,BA,,,,,"119,67",,,,,,,-,,,,,,,"119,67",,,,,"231,61",,,,,,,,,
JAGUAQUARA,,,BA,,,,,"105,99",,,,,,,-,,,,,,,"105,99",,,,,"205,14",,,,,,,,,
JAGUARIPE,,,BA,,,,,"75,22",,,,,,,-,,,,,,,"75,22",,,,,"145,58",,,,,,,,,
JANDAIRA,,,BA,,,,,"71,80",,,,,,,-,,,,,,,"71,80",,,,,"138,96",,,,,,,,,
JEQUIE,,,BA,,,,,"136,77",,,,,,,-,,,,,,,"136,77",,,,,"264,70",,,,,,,,,
JEREMOABO,,,BA,,,,,"99,16",,,,,,,-,,,,,,,"99,16",,,,,"191,91",,,,,,,,,
JIQUIRICA,,,BA,,,,,"75,22",,,,,,,-,,,,,,,"75,22",,,,,"145,58",,,,,,,,,
JITAUNA,,,BA,,,,,"88,90",,,,,,,-,,,,,,,"88,90",,,,,"172,05",,,,,,,,,
LAFAIETE COUTINHO,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
LAJE,,,BA,,,,,"85,48",,,,,,,-,,,,,,,"85,48",,,,,"165,44",,,,,,,,,
LAJEDINHO,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
LAJEDO DO TABOCAL,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
LAMARAO,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
LAURO DE FREITAS,,,BA,,,,,"129,93",,,,,,,-,,,,,,,"129,93",,,,,"251,47",,,,,,,,,
MACAJUBA,,,BA,,,,,"71,80",,,,,,,-,,,,,,,"71,80",,,,,"138,96",,,,,,,,,
MACARANI,,,BA,,,,,"78,64",,,,,,,-,,,,,,,"78,64",,,,,"152,20",,,,,,,,,
MADRE DE DEUS,,,BA,,,,,"957.666,64",,,,,,,"650.795,17",,,,,,,"1.608.461,81",,,,,"2.701.934,01",,,,,,,,,
MAIQUINIQUE,,,BA,,,,,"68,38",,,,,,,-,,,,,,,"68,38",,,,,"132,34",,,,,,,,,
MAIRI,,,BA,,,,,"88,90",,,,,,,-,,,,,,,"88,90",,,,,"172,05",,,,,,,,,
MANOEL VITORINO,,,BA,,,,,"82,06",,,,,,,-,,,,,,,"82,06",,,,,"158,82",,,,,,,,,
