CAEM-BA,,,,BA,,,,,"25,64",,,,,,,,,-,,,,,,"25,64",,,,,,,,"59,23",,,,,,,,,,,
CAETANOS-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
CAMACARI-BA,,,,BA,,,,,"8.699,05",,,,,,,,,"1,37",,,,,,"8.700,42",,,,,,,,"31.943,30",,,,,,,,,,,
CANDEAL-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
CANDEIAS-BA,,,,BA,,,,,"111.779,10",,,,,,,,,"41.013,27",,,,,,"152.792,37",,,,,,,,"597.852,41",,,,,,,,,,,
CANDIDO SALES-BA,,,,BA,,,,,"28,85",,,,,,,,,-,,,,,,"28,85",,,,,,,,"66,61",,,,,,,,,,,
CANSANCAO-BA,,,,BA,,,,,"29,92",,,,,,,,,-,,,,,,"29,92",,,,,,,,"68,91",,,,,,,,,,,
CANUDOS-BA,,,,BA,,,,,"25,64",,,,,,,,,-,,,,,,"25,64",,,,,,,,"59,23",,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,BA,,,,,"22,44",,,,,,,,,-,,,,,,"22,44",,,,,,,,"51,59",,,,,,,,,,,
CAPIM GROSSO-BA,,,,BA,,,,,"28,85",,,,,,,,,-,,,,,,"28,85",,,,,,,,"66,61",,,,,,,,,,,
CARAVELAS-BA,,,,BA,,,,,"9.461,27",,,,,,,,,"608,47",,,,,,"10.069,74",,,,,,,,"36.408,14",,,,,,,,,,,
CARDEAL DA SILVA-BA,,,,BA,,,,,"23.122,00",,,,,,,,,"9.332,20",,,,,,"32.454,20",,,,,,,,"121.930,76",,,,,,,,,,,
CASTRO ALVES-BA,,,,BA,,,,,"28,85",,,,,,,,,-,,,,,,"28,85",,,,,,,,"66,61",,,,,,,,,,,
CATU-BA,,,,BA,,,,,"30.063,41",,,,,,,,,"13.157,19",,,,,,"43.220,60",,,,,,,,"169.785,38",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CICERO DANTAS-BA,,,,BA,,,,,"29,92",,,,,,,,,-,,,,,,"29,92",,,,,,,,"68,91",,,,,,,,,,,
CIPO-BA,,,,BA,,,,,"23,51",,,,,,,,,-,,,,,,"23,51",,,,,,,,"54,24",,,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,BA,,,,,"25,64",,,,,,,,,-,,,,,,"25,64",,,,,,,,"59,23",,,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,BA,,,,,"26,71",,,,,,,,,-,,,,,,"26,71",,,,,,,,"61,60",,,,,,,,,,,
CONCEICAO DO COITE-BA,,,,BA,,,,,"34,19",,,,,,,,,-,,,,,,"34,19",,,,,,,,"78,89",,,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,BA,,,,,"28,85",,,,,,,,,-,,,,,,"28,85",,,,,,,,"66,61",,,,,,,,,,,
CONDE-BA,,,,BA,,,,,"26,71",,,,,,,,,-,,,,,,"26,71",,,,,,,,"61,60",,,,,,,,,,,
CORACAO DE MARIA-BA,,,,BA,,,,,"27,78",,,,,,,,,-,,,,,,"27,78",,,,,,,,"63,91",,,,,,,,,,,
CORONEL JOAO SA-BA,,,,BA,,,,,"26,71",,,,,,,,,-,,,,,,"26,71",,,,,,,,"61,60",,,,,,,,,,,
CRAVOLANDIA-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,23",,,,,,,,,,,
CRISOPOLIS-BA,,,,BA,,,,,"25,64",,,,,,,,,-,,,,,,"25,64",,,,,,,,"59,23",,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,BA,,,,,"34,19",,,,,,,,,-,,,,,,"34,19",,,,,,,,"78,89",,,,,,,,,,,
DARIO MEIRA-BA,,,,BA,,,,,"24,57",,,,,,,,,-,,,,,,"24,57",,,,,,,,"56,58",,,,,,,,,,,
DIAS D'AVILA-BA,,,,BA,,,,,"99,26",,,,,,,,,"28,34",,,,,,"127,60",,,,,,,,"383,17",,,,,,,,,,,
DOM MACEDO COSTA-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,23",,,,,,,,,,,
ELISIO MEDRADO-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,23",,,,,,,,,,,
ENCRUZILHADA-BA,,,,BA,,,,,"29,92",,,,,,,,,-,,,,,,"29,92",,,,,,,,"68,91",,,,,,,,,,,
ENTRE RIOS-BA,,,,BA,,,,,"65.043,20",,,,,,,,,"36.421,90",,,,,,"101.465,10",,,,,,,,"371.482,82",,,,,,,,,,,
ESPLANADA-BA,,,,BA,,,,,"83.263,50",,,,,,,,,"48.250,64",,,,,,"131.514,14",,,,,,,,"462.480,32",,,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,BA,,,,,"34,19",,,,,,,,,-,,,,,,"34,19",,,,,,,,"78,89",,,,,,,,,,,
FATIMA-BA,,,,BA,,,,,"25,64",,,,,,,,,-,,,,,,"25,64",,,,,,,,"59,23",,,,,,,,,,,
FEIRA DE SANTANA-BA,,,,BA,,,,,"42,74",,,,,,,,,-,,,,,,"42,74",,,,,,,,"98,19",,,,,,,,,,,
GAVIAO-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
GLORIA-BA,,,,BA,,,,,"23,51",,,,,,,,,-,,,,,,"23,51",,,,,,,,"54,24",,,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,BA,,,,,"25,64",,,,,,,,,-,,,,,,"25,64",,,,,,,,"59,23",,,,,,,,,,,
HELIOPOLIS-BA,,,,BA,,,,,"23,51",,,,,,,,,-,,,,,,"23,51",,,,,,,,"54,24",,,,,,,,,,,
IACU-BA,,,,BA,,,,,"28,85",,,,,,,,,-,,,,,,"28,85",,,,,,,,"66,61",,,,,,,,,,,
IBIQUERA-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
ICHU-BA,,,,BA,,,,,"21,37",,,,,,,,,-,,,,,,"21,37",,,,,,,,"49,60",,,,,,,,,,,
