JAPARATINGA-AL,,,,,AL,,,,,"320,74",,,,,,,,,-,,,,,,"320,74",,,,,,,,,"1.534,93",,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,,"400,93",,,,,,,,,-,,,,,,"400,93",,,,,,,,,"1.918,67",,,,,,,,,
JUNDIA-AL,,,,,AL,,,,,"320,74",,,,,,,,,-,,,,,,"320,74",,,,,,,,,"1.534,93",,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,,"416,96",,,,,,,,,-,,,,,,"416,96",,,,,,,,,"1.995,42",,,,,,,,,
MACEIO-AL,,,,,AL,,,,,"22.139,15",,,,,,,,,"11.508,44",,,,,,"33.647,59",,,,,,,,,"211.684,11",,,,,,,,,
MARAGOGI-AL,,,,,AL,,,,,"384,89",,,,,,,,,-,,,,,,"384,89",,,,,,,,,"1.841,93",,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,,"40.147,99",,,,,,,,,"20.232,88",,,,,,"60.380,87",,,,,,,,,"290.047,21",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,,"416,96",,,,,,,,,-,,,,,,"416,96",,,,,,,,,"1.995,42",,,,,,,,,
MESSIAS-AL,,,,,AL,,,,,"336,78",,,,,,,,,-,,,,,,"336,78",,,,,,,,,"1.611,68",,,,,,,,,
MURICI-AL,,,,,AL,,,,,"416,96",,,,,,,,,-,,,,,,"416,96",,,,,,,,,"1.995,42",,,,,,,,,
NOVO LINO-AL,,,,,AL,,,,,"336,78",,,,,,,,,-,,,,,,"336,78",,,,,,,,,"1.611,68",,,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,,"320,74",,,,,,,,,-,,,,,,"320,74",,,,,,,,,"1.534,93",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,AL,,,,,"352,82",,,,,,,,,-,,,,,,"352,82",,,,,,,,,"1.688,43",,,,,,,,,
PENEDO-AL,,,,,AL,,,,,"513,19",,,,,,,,,-,,,,,,"513,19",,,,,,,,,"2.455,91",,,,,,,,,
PIACABUCU-AL,,,,,AL,,,,,"368,85",,,,,,,,,-,,,,,,"368,85",,,,,,,,,"1.765,17",,,,,,,,,
PILAR-AL,,,,,AL,,,,,"74.282,15",,,,,,,,,"36.274,37",,,,,,"110.556,52",,,,,,,,,"519.836,64",,,,,,,,,
PINDOBA-AL,,,,,AL,,,,,"320,74",,,,,,,,,-,,,,,,"320,74",,,,,,,,,"1.534,93",,,,,,,,,
PORTO CALVO-AL,,,,,AL,,,,,"433,00",,,,,,,,,-,,,,,,"433,00",,,,,,,,,"2.072,17",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,AL,,,,,"336,78",,,,,,,,,-,,,,,,"336,78",,,,,,,,,"1.611,68",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,,"384,89",,,,,,,,,-,,,,,,"384,89",,,,,,,,,"1.841,93",,,,,,,,,
RIO LARGO-AL,,,,,AL,,,,,"529,23",,,,,,,,,-,,,,,,"529,23",,,,,,,,,"2.532,66",,,,,,,,,
ROTEIRO-AL,,,,,AL,,,,,"589,12",,,,,,,,,"173,11",,,,,,"762,23",,,,,,,,,"3.666,23",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,,"17.925,86",,,,,,,,,-,,,,,,"17.925,86",,,,,,,,,"86.816,11",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,,"352,82",,,,,,,,,-,,,,,,"352,82",,,,,,,,,"1.688,43",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,,"416,96",,,,,,,,,-,,,,,,"416,96",,,,,,,,,"1.995,42",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,,"449,04",,,,,,,,,-,,,,,,"449,04",,,,,,,,,"2.148,91",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,,"47.452,11",,,,,,,,,"15.781,23",,,,,,"63.233,34",,,,,,,,,"325.364,65",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,,"320,74",,,,,,,,,-,,,,,,"320,74",,,,,,,,,"1.534,93",,,,,,,,,
SATUBA-AL,,,,,AL,,,,,"5.562,87",,,,,,,,,"3.367,20",,,,,,"8.930,07",,,,,,,,,"45.969,15",,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,,"465,08",,,,,,,,,-,,,,,,"465,08",,,,,,,,,"2.225,66",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,,"513,19",,,,,,,,,-,,,,,,"513,19",,,,,,,,,"2.455,91",,,,,,,,,
VICOSA-AL,,,,,AL,,,,,"433,00",,,,,,,,,-,,,,,,"433,00",,,,,,,,,"2.072,17",,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,AM,,,,,"0,06",,,,,,,,,"26.097,56",,,,,,"26.097,62",,,,,,,,,"133.188,92",,,,,,,,,
COARI-AM,,,,,AM,,,,,"672.063,34",,,,,,,,,"604.394,04",,,,,,"1.276.457,38",,,,,,,,,"5.656.602,57",,,,,,,,,
IRANDUBA-AM,,,,,AM,,,,,"0,06",,,,,,,,,"26.097,56",,,,,,"26.097,62",,,,,,,,,"133.188,92",,,,,,,,,
MANAUS-AM,,,,,AM,,,,,"17.605,31",,,,,,,,,-,,,,,,"17.605,31",,,,,,,,,"328.102,56",,,,,,,,,
ACAJUTIBA-BA,,,,,BA,,,,,"28,71",,,,,,,,,-,,,,,,"28,71",,,,,,,,,"133,27",,,,,,,,,
ADUSTINA-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
AGUA FRIA-BA,,,,,BA,,,,,"30,01",,,,,,,,,-,,,,,,"30,01",,,,,,,,,"139,33",,,,,,,,,
AIQUARA-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,,"111.507,39",,,,,,,,,"59.084,30",,,,,,"170.591,69",,,,,,,,,"814.984,06",,,,,,,,,
AMARGOSA-BA,,,,,BA,,,,,"36,54",,,,,,,,,-,,,,,,"36,54",,,,,,,,,"169,64",,,,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,,,"33,93",,,,,,,,,-,,,,,,"33,93",,,,,,,,,"157,52",,,,,,,,,
ANAGE-BA,,,,,BA,,,,,"40,45",,,,,,,,,-,,,,,,"40,45",,,,,,,,,"187,80",,,,,,,,,
ANGUERA-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
ANTAS-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
APORA-BA,,,,,BA,,,,,"30,01",,,,,,,,,-,,,,,,"30,01",,,,,,,,,"139,33",,,,,,,,,
APUAREMA-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
ARACAS-BA,,,,,BA,,,,,"40.693,14",,,,,,,,,"14.129,23",,,,,,"54.822,37",,,,,,,,,"258.071,15",,,,,,,,,
ARACI-BA,,,,,BA,,,,,"41,76",,,,,,,,,-,,,,,,"41,76",,,,,,,,,"193,87",,,,,,,,,
ARAMARI-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
ARATUIPE-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
BAIXA GRANDE-BA,,,,,BA,,,,,"33,93",,,,,,,,,-,,,,,,"33,93",,,,,,,,,"157,52",,,,,,,,,
BANZAE-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
BARRA DO CHOCA-BA,,,,,BA,,,,,"39,15",,,,,,,,,-,,,,,,"39,15",,,,,,,,,"181,76",,,,,,,,,
BELO CAMPO-BA,,,,,BA,,,,,"30,01",,,,,,,,,-,,,,,,"30,01",,,,,,,,,"139,33",,,,,,,,,
BIRITINGA-BA,,,,,BA,,,,,"28,71",,,,,,,,,-,,,,,,"28,71",,,,,,,,,"133,27",,,,,,,,,
BOA NOVA-BA,,,,,BA,,,,,"31,32",,,,,,,,,-,,,,,,"31,32",,,,,,,,,"145,40",,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,,,"32,62",,,,,,,,,-,,,,,,"32,62",,,,,,,,,"151,45",,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
BREJOES-BA,,,,,BA,,,,,"30,01",,,,,,,,,-,,,,,,"30,01",,,,,,,,,"139,33",,,,,,,,,
CAATIBA-BA,,,,,BA,,,,,"30,01",,,,,,,,,-,,,,,,"30,01",,,,,,,,,"139,33",,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,,"30,01",,,,,,,,,-,,,,,,"30,01",,,,,,,,,"139,33",,,,,,,,,
CACHOEIRA-BA,,,,,BA,,,,,"36,54",,,,,,,,,-,,,,,,"36,54",,,,,,,,,"169,64",,,,,,,,,
CAEM-BA,,,,,BA,,,,,"31,32",,,,,,,,,-,,,,,,"31,32",,,,,,,,,"145,40",,,,,,,,,
CAETANOS-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
CAMACARI-BA,,,,,BA,,,,,"17.972,19",,,,,,,,,"132,65",,,,,,"18.104,84",,,,,,,,,"87.377,32",,,,,,,,,
CANDEAL-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
CANDEIAS-BA,,,,,BA,,,,,"233.138,32",,,,,,,,,"96.466,27",,,,,,"329.604,59",,,,,,,,,"1.555.588,28",,,,,,,,,
CANDIDO SALES-BA,,,,,BA,,,,,"35,23",,,,,,,,,-,,,,,,"35,23",,,,,,,,,"163,57",,,,,,,,,
CANSANCAO-BA,,,,,BA,,,,,"36,54",,,,,,,,,-,,,,,,"36,54",,,,,,,,,"169,64",,,,,,,,,
CANUDOS-BA,,,,,BA,,,,,"31,32",,,,,,,,,-,,,,,,"31,32",,,,,,,,,"145,40",,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,,,"35,23",,,,,,,,,-,,,,,,"35,23",,,,,,,,,"163,57",,,,,,,,,
CARAVELAS-BA,,,,,BA,,,,,"19.251,64",,,,,,,,,"1.234,97",,,,,,"20.486,61",,,,,,,,,"100.586,48",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARDEAL DA SILVA-BA,,,,,BA,,,,,"43.784,14",,,,,,,,,"16.870,60",,,,,,"60.654,74",,,,,,,,,"285.320,64",,,,,,,,,
CASTRO ALVES-BA,,,,,BA,,,,,"35,23",,,,,,,,,-,,,,,,"35,23",,,,,,,,,"163,57",,,,,,,,,
CATU-BA,,,,,BA,,,,,"60.764,38",,,,,,,,,"114.653,63",,,,,,"175.418,01",,,,,,,,,"584.114,60",,,,,,,,,
CICERO DANTAS-BA,,,,,BA,,,,,"36,54",,,,,,,,,-,,,,,,"36,54",,,,,,,,,"169,64",,,,,,,,,
CIPO-BA,,,,,BA,,,,,"28,71",,,,,,,,,-,,,,,,"28,71",,,,,,,,,"133,27",,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,BA,,,,,"31,32",,,,,,,,,-,,,,,,"31,32",,,,,,,,,"145,40",,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,,"32,62",,,,,,,,,-,,,,,,"32,62",,,,,,,,,"151,45",,,,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,,,"41,76",,,,,,,,,-,,,,,,"41,76",,,,,,,,,"193,87",,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,,"35,23",,,,,,,,,-,,,,,,"35,23",,,,,,,,,"163,57",,,,,,,,,
CONDE-BA,,,,,BA,,,,,"32,62",,,,,,,,,-,,,,,,"32,62",,,,,,,,,"151,45",,,,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,,,"33,93",,,,,,,,,-,,,,,,"33,93",,,,,,,,,"157,52",,,,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,,,"32,62",,,,,,,,,-,,,,,,"32,62",,,,,,,,,"151,45",,,,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
CRISOPOLIS-BA,,,,,BA,,,,,"31,32",,,,,,,,,-,,,,,,"31,32",,,,,,,,,"145,40",,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,,,"41,76",,,,,,,,,-,,,,,,"41,76",,,,,,,,,"193,87",,,,,,,,,
DARIO MEIRA-BA,,,,,BA,,,,,"30,01",,,,,,,,,-,,,,,,"30,01",,,,,,,,,"139,33",,,,,,,,,
DIAS D'AVILA-BA,,,,,BA,,,,,"171,97",,,,,,,,,"55,69",,,,,,"227,66",,,,,,,,,"944,05",,,,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,,,"36,54",,,,,,,,,-,,,,,,"36,54",,,,,,,,,"169,64",,,,,,,,,
ENTRE RIOS-BA,,,,,BA,,,,,"121.163,72",,,,,,,,,"66.769,28",,,,,,"187.933,00",,,,,,,,,"917.956,16",,,,,,,,,
ESPLANADA-BA,,,,,BA,,,,,"156.374,75",,,,,,,,,"89.435,10",,,,,,"245.809,85",,,,,,,,,"1.234.252,18",,,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,,,"41,76",,,,,,,,,-,,,,,,"41,76",,,,,,,,,"193,87",,,,,,,,,
FATIMA-BA,,,,,BA,,,,,"31,32",,,,,,,,,-,,,,,,"31,32",,,,,,,,,"145,40",,,,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,,,"52,20",,,,,,,,,-,,,,,,"52,20",,,,,,,,,"242,34",,,,,,,,,
GAVIAO-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
GLORIA-BA,,,,,BA,,,,,"28,71",,,,,,,,,-,,,,,,"28,71",,,,,,,,,"133,27",,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,,"31,32",,,,,,,,,-,,,,,,"31,32",,,,,,,,,"145,40",,,,,,,,,
HELIOPOLIS-BA,,,,,BA,,,,,"28,71",,,,,,,,,-,,,,,,"28,71",,,,,,,,,"133,27",,,,,,,,,
IACU-BA,,,,,BA,,,,,"35,23",,,,,,,,,-,,,,,,"35,23",,,,,,,,,"163,57",,,,,,,,,
IBIQUERA-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
ICHU-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
INHAMBUPE-BA,,,,,BA,,,,,"35,23",,,,,,,,,-,,,,,,"35,23",,,,,,,,,"163,57",,,,,,,,,
IPECAETA-BA,,,,,BA,,,,,"31,32",,,,,,,,,-,,,,,,"31,32",,,,,,,,,"145,40",,,,,,,,,
IPIRA-BA,,,,,BA,,,,,"43,06",,,,,,,,,-,,,,,,"43,06",,,,,,,,,"199,92",,,,,,,,,
IRAJUBA-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
IRARA-BA,,,,,BA,,,,,"35,23",,,,,,,,,-,,,,,,"35,23",,,,,,,,,"163,57",,,,,,,,,
ITABERABA-BA,,,,,BA,,,,,"43,06",,,,,,,,,-,,,,,,"43,06",,,,,,,,,"199,92",,,,,,,,,
ITAGI-BA,,,,,BA,,,,,"30,01",,,,,,,,,-,,,,,,"30,01",,,,,,,,,"139,33",,,,,,,,,
ITAMBE-BA,,,,,BA,,,,,"36,54",,,,,,,,,-,,,,,,"36,54",,,,,,,,,"169,64",,,,,,,,,
ITANAGRA-BA,,,,,BA,,,,,"21.733,82",,,,,,,,,"2.597,66",,,,,,"24.331,48",,,,,,,,,"118.958,46",,,,,,,,,
ITAPARICA-BA,,,,,BA,,,,,"763,03",,,,,,,,,"1.213,92",,,,,,"1.976,95",,,,,,,,,"9.389,55",,,,,,,,,
ITAPETINGA-BA,,,,,BA,,,,,"41,76",,,,,,,,,-,,,,,,"41,76",,,,,,,,,"193,87",,,,,,,,,
ITAPICURU-BA,,,,,BA,,,,,"35,23",,,,,,,,,-,,,,,,"35,23",,,,,,,,,"163,57",,,,,,,,,
ITAQUARA-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
ITARANTIM-BA,,,,,BA,,,,,"30,01",,,,,,,,,-,,,,,,"30,01",,,,,,,,,"139,33",,,,,,,,,
ITATIM-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
ITIRUCU-BA,,,,,BA,,,,,"28,71",,,,,,,,,-,,,,,,"28,71",,,,,,,,,"133,27",,,,,,,,,
ITIUBA-BA,,,,,BA,,,,,"37,84",,,,,,,,,-,,,,,,"37,84",,,,,,,,,"175,68",,,,,,,,,
JACOBINA-BA,,,,,BA,,,,,"46,98",,,,,,,,,-,,,,,,"46,98",,,,,,,,,"218,10",,,,,,,,,
JAGUAQUARA-BA,,,,,BA,,,,,"40,45",,,,,,,,,-,,,,,,"40,45",,,,,,,,,"187,80",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAGUARIPE-BA,,,,,BA,,,,,"28,71",,,,,,,,,-,,,,,,"28,71",,,,,,,,,"133,27",,,,,,,,,
JANDAIRA-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
JEQUIE-BA,,,,,BA,,,,,"52,20",,,,,,,,,-,,,,,,"52,20",,,,,,,,,"242,34",,,,,,,,,
JEREMOABO-BA,,,,,BA,,,,,"37,84",,,,,,,,,-,,,,,,"37,84",,,,,,,,,"175,68",,,,,,,,,
JIQUIRICA-BA,,,,,BA,,,,,"28,71",,,,,,,,,-,,,,,,"28,71",,,,,,,,,"133,27",,,,,,,,,
JITAUNA-BA,,,,,BA,,,,,"31,32",,,,,,,,,-,,,,,,"31,32",,,,,,,,,"145,40",,,,,,,,,
LAFAIETE COUTINHO-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
LAJE-BA,,,,,BA,,,,,"32,62",,,,,,,,,-,,,,,,"32,62",,,,,,,,,"151,45",,,,,,,,,
LAJEDINHO-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
LAJEDO DO TABOCAL-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
LAMARAO-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
LAURO DE FREITAS-BA,,,,,BA,,,,,"48,28",,,,,,,,,-,,,,,,"48,28",,,,,,,,,"224,16",,,,,,,,,
MACAJUBA-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
MACARANI-BA,,,,,BA,,,,,"31,32",,,,,,,,,-,,,,,,"31,32",,,,,,,,,"145,40",,,,,,,,,
MADRE DE DEUS-BA,,,,,BA,,,,,"151.727,60",,,,,,,,,"195.246,01",,,,,,"346.973,61",,,,,,,,,"1.536.291,00",,,,,,,,,
MAIQUINIQUE-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
MAIRI-BA,,,,,BA,,,,,"32,62",,,,,,,,,-,,,,,,"32,62",,,,,,,,,"151,45",,,,,,,,,
MANOEL VITORINO-BA,,,,,BA,,,,,"30,01",,,,,,,,,-,,,,,,"30,01",,,,,,,,,"139,33",,,,,,,,,
MARACAS-BA,,,,,BA,,,,,"36,54",,,,,,,,,-,,,,,,"36,54",,,,,,,,,"169,64",,,,,,,,,
MARAGOGIPE-BA,,,,,BA,,,,,"37,84",,,,,,,,,-,,,,,,"37,84",,,,,,,,,"175,68",,,,,,,,,
MARCIONILIO SOUZA-BA,,,,,BA,,,,,"28,71",,,,,,,,,-,,,,,,"28,71",,,,,,,,,"133,27",,,,,,,,,
MATA DE SAO JOAO-BA,,,,,BA,,,,,"57.638,57",,,,,,,,,"22.924,56",,,,,,"80.563,13",,,,,,,,,"414.741,27",,,,,,,,,
MIGUEL CALMON-BA,,,,,BA,,,,,"37,84",,,,,,,,,-,,,,,,"37,84",,,,,,,,,"175,68",,,,,,,,,
MILAGRES-BA,,,,,BA,,,,,"28,71",,,,,,,,,-,,,,,,"28,71",,,,,,,,,"133,27",,,,,,,,,
MIRANTE-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
MONTE SANTO-BA,,,,,BA,,,,,"41,76",,,,,,,,,-,,,,,,"41,76",,,,,,,,,"193,87",,,,,,,,,
MUNDO NOVO-BA,,,,,BA,,,,,"33,93",,,,,,,,,-,,,,,,"33,93",,,,,,,,,"157,52",,,,,,,,,
MUNIZ FERREIRA-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
MURITIBA-BA,,,,,BA,,,,,"35,23",,,,,,,,,-,,,,,,"35,23",,,,,,,,,"163,57",,,,,,,,,
MUTUIPE-BA,,,,,BA,,,,,"32,62",,,,,,,,,-,,,,,,"32,62",,,,,,,,,"151,45",,,,,,,,,
NAZARE-BA,,,,,BA,,,,,"35,23",,,,,,,,,-,,,,,,"35,23",,,,,,,,,"163,57",,,,,,,,,
NORDESTINA-BA,,,,,BA,,,,,"27,40",,,,,,,,,-,,,,,,"27,40",,,,,,,,,"127,22",,,,,,,,,
NOVA CANAA-BA,,,,,BA,,,,,"28,71",,,,,,,,,-,,,,,,"28,71",,,,,,,,,"133,27",,,,,,,,,
NOVA FATIMA-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
NOVA ITARANA-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
NOVA SOURE-BA,,,,,BA,,,,,"33,93",,,,,,,,,-,,,,,,"33,93",,,,,,,,,"157,52",,,,,,,,,
NOVO TRIUNFO-BA,,,,,BA,,,,,"28,71",,,,,,,,,-,,,,,,"28,71",,,,,,,,,"133,27",,,,,,,,,
OLINDINA-BA,,,,,BA,,,,,"33,93",,,,,,,,,-,,,,,,"33,93",,,,,,,,,"157,52",,,,,,,,,
OURICANGAS-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
OUROLANDIA-BA,,,,,BA,,,,,"30,01",,,,,,,,,-,,,,,,"30,01",,,,,,,,,"139,33",,,,,,,,,
PARIPIRANGA-BA,,,,,BA,,,,,"35,23",,,,,,,,,-,,,,,,"35,23",,,,,,,,,"163,57",,,,,,,,,
PAULO AFONSO-BA,,,,,BA,,,,,"46,98",,,,,,,,,-,,,,,,"46,98",,,,,,,,,"218,10",,,,,,,,,
PE DE SERRA-BA,,,,,BA,,,,,"28,71",,,,,,,,,-,,,,,,"28,71",,,,,,,,,"133,27",,,,,,,,,
PEDRAO-BA,,,,,BA,,,,,"26,10",,,,,,,,,-,,,,,,"26,10",,,,,,,,,"121,16",,,,,,,,,
