ARATUIPE-BA,,,BA,,,"48,31",,,,,,,-,,,,,,,"48,31",,,,,,"331,24",,,,,,,,,,,,,
BAIXA GRANDE-BA,,,BA,,,"62,80",,,,,,,-,,,,,,,"62,80",,,,,,"431,74",,,,,,,,,,,,,
BANZAE-BA,,,BA,,,"50,72",,,,,,,-,,,,,,,"50,72",,,,,,"348,35",,,,,,,,,,,,,
BARRA DO CHOCA-BA,,,BA,,,"74,87",,,,,,,-,,,,,,,"74,87",,,,,,"514,00",,,,,,,,,,,,,
BARROCAS-BA,,,BA,,,"53,14",,,,,,,-,,,,,,,"53,14",,,,,,"365,49",,,,,,,,,,,,,
BELO CAMPO-BA,,,BA,,,"57,97",,,,,,,-,,,,,,,"57,97",,,,,,"398,62",,,,,,,,,,,,,
BIRITINGA-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
BOA NOVA-BA,,,BA,,,"62,80",,,,,,,-,,,,,,,"62,80",,,,,,"431,74",,,,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,BA,,,"60,38",,,,,,,-,,,,,,,"60,38",,,,,,"414,63",,,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,BA,,,"50,72",,,,,,,-,,,,,,,"50,72",,,,,,"348,35",,,,,,,,,,,,,
BREJOES-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
CAATIBA-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,BA,,,"55,55",,,,,,,-,,,,,,,"55,55",,,,,,"381,49",,,,,,,,,,,,,
CACHOEIRA-BA,,,BA,,,"67,63",,,,,,,-,,,,,,,"67,63",,,,,,"464,87",,,,,,,,,,,,,
CAEM-BA,,,BA,,,"53,14",,,,,,,-,,,,,,,"53,14",,,,,,"365,49",,,,,,,,,,,,,
CAETANOS-BA,,,BA,,,"53,14",,,,,,,-,,,,,,,"53,14",,,,,,"365,49",,,,,,,,,,,,,
CAMACARI-BA,,,BA,,,"691,00",,,,,,,"249,64",,,,,,,"940,64",,,,,,"40.925,10",,,,,,,,,,,,,
CANDEAL-BA,,,BA,,,"50,72",,,,,,,-,,,,,,,"50,72",,,,,,"348,35",,,,,,,,,,,,,
CANDEIAS-BA,,,BA,,,"131.150,88",,,,,,,"96.289,74",,,,,,,"227.440,62",,,,,,"1.793.721,90",,,,,,,,,,,,,
CANDIDO SALES-BA,,,BA,,,"67,63",,,,,,,-,,,,,,,"67,63",,,,,,"464,87",,,,,,,,,,,,,
CANSANCAO-BA,,,BA,,,"67,63",,,,,,,-,,,,,,,"67,63",,,,,,"464,87",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANUDOS-BA,,,BA,,,"53,14",,,,,,,-,,,,,,,"53,14",,,,,,"365,49",,,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,BA,,,"50,72",,,,,,,-,,,,,,,"50,72",,,,,,"348,35",,,,,,,,,,,,,
CAPIM GROSSO-BA,,,BA,,,"62,80",,,,,,,-,,,,,,,"62,80",,,,,,"431,74",,,,,,,,,,,,,
CARAVELAS-BA,,,BA,,,-,,,,,,,-,,,,,,,-,,,,,,"69.605,28",,,,,,,,,,,,,
CARDEAL DA SILVA-BA,,,BA,,,"65.072,88",,,,,,,"14.603,96",,,,,,,"79.676,84",,,,,,"452.341,13",,,,,,,,,,,,,
CASTRO ALVES-BA,,,BA,,,"65,21",,,,,,,-,,,,,,,"65,21",,,,,,"447,72",,,,,,,,,,,,,
CATU-BA,,,BA,,,"114.106,91",,,,,,,"51.952,79",,,,,,,"166.059,70",,,,,,"1.162.813,91",,,,,,,,,,,,,
