AMAZONAS  TOTAL,,,,,,,,,"2.428.662,06",,,,,,,"1.682.516,45",,,,,,,,"4.111.178,51",,,,,,,"28.560.748,24",,,,,,,,,,
LARANJAL DO JARI-AP,,,,AP,,,,,-,,,,,,,"5.544,49",,,,,,,,"5.544,49",,,,,,,"41.232,37",,,,,,,,,,
MACAPA-AP,,,,AP,,,,,-,,,,,,,"5.544,49",,,,,,,,"5.544,49",,,,,,,"41.232,37",,,,,,,,,,
MAZAGAO-AP,,,,AP,,,,,-,,,,,,,"5.544,49",,,,,,,,"5.544,49",,,,,,,"41.232,37",,,,,,,,,,
AMAPA  TOTAL,,,,,,,,,-,,,,,,,"16.633,47",,,,,,,,"16.633,47",,,,,,,"123.697,11",,,,,,,,,,
ACAJUTIBA-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.519,26",,,,,,,,,,
ADUSTINA-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.519,26",,,,,,,,,,
AGUA FRIA-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.519,26",,,,,,,,,,
AIQUARA-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.190,64",,,,,,,,,,
ALAGOINHAS-BA,,,,BA,,,,,"257.164,84",,,,,,,"135.397,62",,,,,,,,"392.562,46",,,,,,,"2.723.539,83",,,,,,,,,,
ALCOBACA-BA,,,,BA,,,,,"776,17",,,,,,,-,,,,,,,,"776,17",,,,,,,"2.703,99",,,,,,,,,,
ALMADINA-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.079,98",,,,,,,,,,
AMARGOSA-BA,,,,BA,,,,,"835,87",,,,,,,-,,,,,,,,"835,87",,,,,,,"3.066,92",,,,,,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,,,"806,02",,,,,,,-,,,,,,,,"806,02",,,,,,,"2.957,38",,,,,,,,,,
ANAGE-BA,,,,BA,,,,,"835,87",,,,,,,-,,,,,,,,"835,87",,,,,,,"3.066,92",,,,,,,,,,
ANGUERA-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.190,64",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTAS-BA,,,,BA,,,,,"686,61",,,,,,,-,,,,,,,,"686,61",,,,,,,"2.519,26",,,,,,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,,,"626,90",,,,,,,-,,,,,,,,"626,90",,,,,,,"2.300,19",,,,,,,,,,
APORA-BA,,,,BA,,,,,"716,46",,,,,,,-,,,,,,,,"716,46",,,,,,,"2.628,77",,,,,,,,,,
APUAREMA-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.190,64",,,,,,,,,,
ARACAS-BA,,,,BA,,,,,"239.894,56",,,,,,,"117.620,34",,,,,,,,"357.514,90",,,,,,,"2.287.309,57",,,,,,,,,,
ARACI-BA,,,,BA,,,,,"925,43",,,,,,,-,,,,,,,,"925,43",,,,,,,"3.395,52",,,,,,,,,,
ARAMARI-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.190,64",,,,,,,,,,
ARATACA-BA,,,,BA,,,,,"626,90",,,,,,,-,,,,,,,,"626,90",,,,,,,"2.183,98",,,,,,,,,,
ARATUIPE-BA,,,,BA,,,,,"597,05",,,,,,,-,,,,,,,,"597,05",,,,,,,"2.190,64",,,,,,,,,,
AURELINO LEAL-BA,,,,BA,,,,,"716,46",,,,,,,-,,,,,,,,"716,46",,,,,,,"2.495,97",,,,,,,,,,
