MARAGOGIPE-BA,,,,,BA,,,,,"112,32",,,,,,-,,,,,"112,32",,,,,"883,56",,,,,,,,,,
MARCIONILIO SOUZA-BA,,,,,BA,,,,,"76,08",,,,,,-,,,,,"76,08",,,,,"598,54",,,,,,,,,,
MATA DE SAO JOAO-BA,,,,,BA,,,,,"172.530,54",,,,,,"74.300,55",,,,,"246.831,09",,,,,"1.837.955,51",,,,,,,,,,
MIGUEL CALMON-BA,,,,,BA,,,,,"101,45",,,,,,-,,,,,"101,45",,,,,"798,07",,,,,,,,,,
MILAGRES-BA,,,,,BA,,,,,"79,71",,,,,,-,,,,,"79,71",,,,,"627,05",,,,,,,,,,
MIRANTE-BA,,,,,BA,,,,,"79,71",,,,,,-,,,,,"79,71",,,,,"627,05",,,,,,,,,,
MONTE SANTO-BA,,,,,BA,,,,,"115,94",,,,,,-,,,,,"115,94",,,,,"912,07",,,,,,,,,,
MUNDO NOVO-BA,,,,,BA,,,,,"94,20",,,,,,-,,,,,"94,20",,,,,"741,05",,,,,,,,,,
MUNIZ FERREIRA-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
MURITIBA-BA,,,,,BA,,,,,"101,45",,,,,,-,,,,,"101,45",,,,,"798,07",,,,,,,,,,
MUTUIPE-BA,,,,,BA,,,,,"94,20",,,,,,-,,,,,"94,20",,,,,"741,05",,,,,,,,,,
NAZARE-BA,,,,,BA,,,,,"97,82",,,,,,-,,,,,"97,82",,,,,"769,54",,,,,,,,,,
NORDESTINA-BA,,,,,BA,,,,,"76,08",,,,,,-,,,,,"76,08",,,,,"598,54",,,,,,,,,,
NOVA CANAA-BA,,,,,BA,,,,,"83,33",,,,,,-,,,,,"83,33",,,,,"655,54",,,,,,,,,,
NOVA FATIMA-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
NOVA ITARANA-BA,,,,,BA,,,,,"72,46",,,,,,-,,,,,"72,46",,,,,"570,02",,,,,,,,,,
NOVA SOURE-BA,,,,,BA,,,,,"97,82",,,,,,-,,,,,"97,82",,,,,"769,54",,,,,,,,,,
NOVO TRIUNFO-BA,,,,,BA,,,,,"79,71",,,,,,-,,,,,"79,71",,,,,"627,05",,,,,,,,,,
OLINDINA-BA,,,,,BA,,,,,"94,20",,,,,,-,,,,,"94,20",,,,,"741,05",,,,,,,,,,
