MANAUS-AM,,,,AM,,,,,"24.261,93",,,,,,,,"53.575,63",,,,,,"77.837,56",,,,,,"336.077,66",,,,,,,,,,,,,
ACAJUTIBA-BA,,,,BA,,,,,"33,89",,,,,,,,-,,,,,,"33,89",,,,,,"223,67",,,,,,,,,,,,,
ADUSTINA-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
AGUA FRIA-BA,,,,BA,,,,,"35,44",,,,,,,,-,,,,,,"35,44",,,,,,"233,84",,,,,,,,,,,,,
AIQUARA-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
ALAGOINHAS-BA,,,,BA,,,,,"134.537,12",,,,,,,,"68.985,04",,,,,,"203.522,16",,,,,,"1.356.865,64",,,,,,,,,,,,,
AMARGOSA-BA,,,,BA,,,,,"43,14",,,,,,,,-,,,,,,"43,14",,,,,,"284,67",,,,,,,,,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,,,"40,06",,,,,,,,-,,,,,,"40,06",,,,,,"264,34",,,,,,,,,,,,,
ANAGE-BA,,,,BA,,,,,"47,76",,,,,,,,-,,,,,,"47,76",,,,,,"315,17",,,,,,,,,,,,,
ANGUERA-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
ANTAS-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
APORA-BA,,,,BA,,,,,"35,44",,,,,,,,-,,,,,,"35,44",,,,,,"233,84",,,,,,,,,,,,,
APUAREMA-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
ARACAS-BA,,,,BA,,,,,"60.425,23",,,,,,,,"21.614,69",,,,,,"82.039,92",,,,,,"473.462,32",,,,,,,,,,,,,
ARACI-BA,,,,BA,,,,,"49,30",,,,,,,,-,,,,,,"49,30",,,,,,"325,35",,,,,,,,,,,,,
ARAMARI-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
ARATUIPE-BA,,,,BA,,,,,"30,81",,,,,,,,-,,,,,,"30,81",,,,,,"203,31",,,,,,,,,,,,,
BAIXA GRANDE-BA,,,,BA,,,,,"40,06",,,,,,,,-,,,,,,"40,06",,,,,,"264,34",,,,,,,,,,,,,
BANZAE-BA,,,,BA,,,,,"32,35",,,,,,,,-,,,,,,"32,35",,,,,,"213,51",,,,,,,,,,,,,
