ITAPIRANGA,,,,AM,,,,,,-,,,,,,,,"5.085,80",,,,,,,"5.085,80",,,,,,,,,"22.616,01",,,,,,,,
MANACAPURU,,,,AM,,,,,,-,,,,,,,,"2.011,77",,,,,,,"2.011,77",,,,,,,,,"8.986,18",,,,,,,,
MANAQUIRI,,,,AM,,,,,,-,,,,,,,,"2.011,77",,,,,,,"2.011,77",,,,,,,,,"8.986,18",,,,,,,,
MANAUS,,,,AM,,,,,,"938.606,58",,,,,,,,"61.443,08",,,,,,,"1.000.049,66",,,,,,,,,"3.578.316,93",,,,,,,,
PARINTINS,,,,AM,,,,,,-,,,,,,,,"5.085,80",,,,,,,"5.085,80",,,,,,,,,"22.616,01",,,,,,,,
SILVES,,,,AM,,,,,,-,,,,,,,,"5.085,80",,,,,,,"5.085,80",,,,,,,,,"22.616,01",,,,,,,,
URUCARA,,,,AM,,,,,,-,,,,,,,,"5.085,80",,,,,,,"5.085,80",,,,,,,,,"22.616,01",,,,,,,,
URUCURITUBA,,,,AM,,,,,,-,,,,,,,,"5.085,80",,,,,,,"5.085,80",,,,,,,,,"22.616,01",,,,,,,,
TOTAL AMAZONAS,,,,,,,,,,"2.478.170,10",,,,,,,,"1.555.267,88",,,,,,,"4.033.437,98",,,,,,,,,"17.193.255,08",,,,,,,,
LARANJAL DO JARI,,,,AP,,,,,,-,,,,,,,,"5.085,80",,,,,,,"5.085,80",,,,,,,,,"22.616,01",,,,,,,,
MACAPA,,,,AP,,,,,,-,,,,,,,,"5.085,80",,,,,,,"5.085,80",,,,,,,,,"22.616,01",,,,,,,,
MAZAGAO,,,,AP,,,,,,-,,,,,,,,"5.085,80",,,,,,,"5.085,80",,,,,,,,,"22.616,01",,,,,,,,
TOTAL AMAPA,,,,,,,,,,-,,,,,,,,"15.257,40",,,,,,,"15.257,40",,,,,,,,,"67.848,03",,,,,,,,
ACAJUTIBA,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
ADUSTINA,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
AGUA FRIA,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
AIQUARA,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
ALAGOINHAS,,,,BA,,,,,,"240.432,29",,,,,,,,"125.538,42",,,,,,,"365.970,71",,,,,,,,,"1.675.564,84",,,,,,,,
AMARGOSA,,,,BA,,,,,,"90,88",,,,,,,,-,,,,,,,"90,88",,,,,,,,,"487,10",,,,,,,,
AMELIA RODRIGUES,,,,BA,,,,,,"87,63",,,,,,,,-,,,,,,,"87,63",,,,,,,,,"469,71",,,,,,,,
ANAGE,,,,BA,,,,,,"90,88",,,,,,,,-,,,,,,,"90,88",,,,,,,,,"520,36",,,,,,,,
ANGUERA,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
ANTAS,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
ANTONIO CARDOSO,,,,BA,,,,,,"68,16",,,,,,,,-,,,,,,,"68,16",,,,,,,,,"365,32",,,,,,,,
APORA,,,,BA,,,,,,"77,89",,,,,,,,-,,,,,,,"77,89",,,,,,,,,"417,51",,,,,,,,
APUAREMA,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
ARACAS,,,,BA,,,,,,"195.034,79",,,,,,,,"86.669,00",,,,,,,"281.703,79",,,,,,,,,"1.316.804,06",,,,,,,,
ARACI,,,,BA,,,,,,"100,61",,,,,,,,-,,,,,,,"100,61",,,,,,,,,"539,30",,,,,,,,
ARAMARI,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
ARATUIPE,,,,BA,,,,,,"64,91",,,,,,,,-,,,,,,,"64,91",,,,,,,,,"347,93",,,,,,,,
BAIXA GRANDE,,,,BA,,,,,,"84,38",,,,,,,,-,,,,,,,"84,38",,,,,,,,,"452,30",,,,,,,,
BANZAE,,,,BA,,,,,,"68,16",,,,,,,,-,,,,,,,"68,16",,,,,,,,,"365,32",,,,,,,,
BARRA DO CHOCA,,,,BA,,,,,,"100,61",,,,,,,,-,,,,,,,"100,61",,,,,,,,,"539,30",,,,,,,,
BARROCAS,,,,BA,,,,,,"71,40",,,,,,,,-,,,,,,,"71,40",,,,,,,,,"382,72",,,,,,,,
BELO CAMPO,,,,BA,,,,,,"77,89",,,,,,,,-,,,,,,,"77,89",,,,,,,,,"417,51",,,,,,,,
BIRITINGA,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
BOA NOVA,,,,BA,,,,,,"84,38",,,,,,,,-,,,,,,,"84,38",,,,,,,,,"452,30",,,,,,,,
BOA VISTA DO TUPIM,,,,BA,,,,,,"81,14",,,,,,,,-,,,,,,,"81,14",,,,,,,,,"434,92",,,,,,,,
BOM JESUS DA SERRA,,,,BA,,,,,,"68,16",,,,,,,,-,,,,,,,"68,16",,,,,,,,,"365,32",,,,,,,,
BREJOES,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
CAATIBA,,,,BA,,,,,,"74,65",,,,,,,,-,,,,,,,"74,65",,,,,,,,,"400,12",,,,,,,,
