MANAQUIRI,,,,,AM,,,,-,,,,,,"1.772,05",,,,,,"1.772,05",,,,,,,,"24.246,95",,,,,,,
MANAUS,,,,,AM,,,,"53.959,17",,,,,,"41.882,88",,,,,,"95.842,05",,,,,,,,"7.154.271,43",,,,,,,
PARINTINS,,,,,AM,,,,-,,,,,,"3.846,75",,,,,,"3.846,75",,,,,,,,"58.300,00",,,,,,,
SILVES,,,,,AM,,,,-,,,,,,"3.846,75",,,,,,"3.846,75",,,,,,,,"58.300,00",,,,,,,
URUCARA,,,,,AM,,,,-,,,,,,"3.846,75",,,,,,"3.846,75",,,,,,,,"58.300,00",,,,,,,
URUCURITUBA,,,,,AM,,,,-,,,,,,"3.846,75",,,,,,"3.846,75",,,,,,,,"58.300,00",,,,,,,
TOTAL AMAZONAS,,,,,,,,,"1.316.678,69",,,,,,"1.260.768,16",,,,,,"2.577.446,85",,,,,,,,"34.276.328,43",,,,,,,
ACAJUTIBA,,,,,BA,,,,"61,48",,,,,,-,,,,,,"61,48",,,,,,,,"863,57",,,,,,,
ADUSTINA,,,,,BA,,,,"61,48",,,,,,-,,,,,,"61,48",,,,,,,,"863,57",,,,,,,
AGUA FRIA,,,,,BA,,,,"61,48",,,,,,-,,,,,,"61,48",,,,,,,,"863,57",,,,,,,
AIQUARA,,,,,BA,,,,"53,46",,,,,,-,,,,,,"53,46",,,,,,,,"750,90",,,,,,,
ALAGOINHAS,,,,,BA,,,,"197.908,86",,,,,,"102.253,67",,,,,,"300.162,53",,,,,,,,"3.631.547,85",,,,,,,
AMARGOSA,,,,,BA,,,,"74,84",,,,,,-,,,,,,"74,84",,,,,,,,"1.051,29",,,,,,,
AMELIA RODRIGUES,,,,,BA,,,,"72,17",,,,,,-,,,,,,"72,17",,,,,,,,"1.013,75",,,,,,,
ANAGE,,,,,BA,,,,"82,86",,,,,,-,,,,,,"82,86",,,,,,,,"1.163,93",,,,,,,
ANGUERA,,,,,BA,,,,"53,46",,,,,,-,,,,,,"53,46",,,,,,,,"750,90",,,,,,,
ANTAS,,,,,BA,,,,"61,48",,,,,,-,,,,,,"61,48",,,,,,,,"863,57",,,,,,,
ANTONIO CARDOSO,,,,,BA,,,,"56,13",,,,,,-,,,,,,"56,13",,,,,,,,"788,46",,,,,,,
APORA,,,,,BA,,,,"64,15",,,,,,-,,,,,,"64,15",,,,,,,,"901,11",,,,,,,
APUAREMA,,,,,BA,,,,"53,46",,,,,,-,,,,,,"53,46",,,,,,,,"750,90",,,,,,,
ARACAS,,,,,BA,,,,"164.419,79",,,,,,"71.332,11",,,,,,"235.751,90",,,,,,,,"2.946.208,69",,,,,,,
ARACI,,,,,BA,,,,"82,86",,,,,,-,,,,,,"82,86",,,,,,,,"1.163,93",,,,,,,
ARAMARI,,,,,BA,,,,"53,46",,,,,,-,,,,,,"53,46",,,,,,,,"750,90",,,,,,,
ARATUIPE,,,,,BA,,,,"53,46",,,,,,-,,,,,,"53,46",,,,,,,,"750,90",,,,,,,
BAIXA GRANDE,,,,,BA,,,,"69,49",,,,,,-,,,,,,"69,49",,,,,,,,"976,18",,,,,,,
BANZAE,,,,,BA,,,,"56,13",,,,,,-,,,,,,"56,13",,,,,,,,"788,46",,,,,,,
BARRA DO CHOCA,,,,,BA,,,,"82,86",,,,,,-,,,,,,"82,86",,,,,,,,"1.163,93",,,,,,,
BARROCAS,,,,,BA,,,,"58,80",,,,,,-,,,,,,"58,80",,,,,,,,"825,99",,,,,,,
BELO CAMPO,,,,,BA,,,,"64,15",,,,,,-,,,,,,"64,15",,,,,,,,"901,11",,,,,,,
BIRITINGA,,,,,BA,,,,"61,48",,,,,,-,,,,,,"61,48",,,,,,,,"863,57",,,,,,,
BOA NOVA,,,,,BA,,,,"69,49",,,,,,-,,,,,,"69,49",,,,,,,,"976,18",,,,,,,
BOA VISTA DO TUPIM,,,,,BA,,,,"66,82",,,,,,-,,,,,,"66,82",,,,,,,,"938,65",,,,,,,
BOM JESUS DA SERRA,,,,,BA,,,,"56,13",,,,,,-,,,,,,"56,13",,,,,,,,"788,46",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREJOES,,,,,BA,,,,"61,48",,,,,,-,,,,,,"61,48",,,,,,,,"863,57",,,,,,,
CAATIBA,,,,,BA,,,,"61,48",,,,,,-,,,,,,"61,48",,,,,,,,"863,57",,,,,,,
CABACEIRAS DO PARAGUACU,,,,,BA,,,,"61,48",,,,,,-,,,,,,"61,48",,,,,,,,"863,57",,,,,,,
CACHOEIRA,,,,,BA,,,,"74,84",,,,,,-,,,,,,"74,84",,,,,,,,"1.051,29",,,,,,,
CAEM,,,,,BA,,,,"58,80",,,,,,-,,,,,,"58,80",,,,,,,,"825,99",,,,,,,
CAETANOS,,,,,BA,,,,"58,80",,,,,,-,,,,,,"58,80",,,,,,,,"825,99",,,,,,,
CAMACARI,,,,,BA,,,,"832,82",,,,,,"304,87",,,,,,"1.137,69",,,,,,,,"12.397,26",,,,,,,
CANDEAL,,,,,BA,,,,"56,13",,,,,,-,,,,,,"56,13",,,,,,,,"788,46",,,,,,,
CANDEIAS,,,,,BA,,,,"162.350,45",,,,,,"174.823,49",,,,,,"337.173,94",,,,,,,,"3.932.964,40",,,,,,,
CANDIDO SALES,,,,,BA,,,,"74,84",,,,,,-,,,,,,"74,84",,,,,,,,"1.051,29",,,,,,,
CANSANCAO,,,,,BA,,,,"74,84",,,,,,-,,,,,,"74,84",,,,,,,,"1.051,29",,,,,,,
CANUDOS,,,,,BA,,,,"58,80",,,,,,-,,,,,,"58,80",,,,,,,,"825,99",,,,,,,
CAPELA DO ALTO ALEGRE,,,,,BA,,,,"56,13",,,,,,-,,,,,,"56,13",,,,,,,,"788,46",,,,,,,
CAPIM GROSSO,,,,,BA,,,,"69,49",,,,,,-,,,,,,"69,49",,,,,,,,"976,18",,,,,,,
CARDEAL DA SILVA,,,,,BA,,,,"85.485,48",,,,,,"20.358,47",,,,,,"105.843,95",,,,,,,,"1.227.254,52",,,,,,,
CASTRO ALVES,,,,,BA,,,,"72,17",,,,,,-,,,,,,"72,17",,,,,,,,"1.013,75",,,,,,,
CATU,,,,,BA,,,,"162.046,38",,,,,,"83.197,96",,,,,,"245.244,34",,,,,,,,"2.854.920,93",,,,,,,
CICERO DANTAS,,,,,BA,,,,"74,84",,,,,,-,,,,,,"74,84",,,,,,,,"1.051,29",,,,,,,
CIPO,,,,,BA,,,,"61,48",,,,,,-,,,,,,"61,48",,,,,,,,"863,57",,,,,,,
CONCEICAO DA FEIRA,,,,,BA,,,,"64,15",,,,,,-,,,,,,"64,15",,,,,,,,"901,11",,,,,,,
CONCEICAO DO ALMEIDA,,,,,BA,,,,"66,82",,,,,,-,,,,,,"66,82",,,,,,,,"938,65",,,,,,,
CONCEICAO DO COITE,,,,,BA,,,,"88,21",,,,,,-,,,,,,"88,21",,,,,,,,"1.239,02",,,,,,,
CONCEICAO DO JACUIPE,,,,,BA,,,,"72,17",,,,,,-,,,,,,"72,17",,,,,,,,"1.013,75",,,,,,,
CONDE,,,,,BA,,,,"653,66",,,,,,"376,79",,,,,,"1.030,45",,,,,,,,"35.862,88",,,,,,,
CORACAO DE MARIA,,,,,BA,,,,"69,49",,,,,,-,,,,,,"69,49",,,,,,,,"976,18",,,,,,,
CORONEL JOAO SA,,,,,BA,,,,"66,82",,,,,,-,,,,,,"66,82",,,,,,,,"938,65",,,,,,,
CRAVOLANDIA,,,,,BA,,,,"53,46",,,,,,-,,,,,,"53,46",,,,,,,,"750,90",,,,,,,
CRISOPOLIS,,,,,BA,,,,"66,82",,,,,,-,,,,,,"66,82",,,,,,,,"938,65",,,,,,,
CRUZ DAS ALMAS,,,,,BA,,,,"85,53",,,,,,-,,,,,,"85,53",,,,,,,,"1.201,47",,,,,,,
