ANAGE-BA,,,BA,,,,"76,62",,,,,,-,,,,,"76,62",,,,,,"660,18",,,,,,,,,,,
ANGUERA-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
ANTAS-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
ANTONIO CARDOSO-BA,,,BA,,,,"51,90",,,,,,-,,,,,"51,90",,,,,,"447,42",,,,,,,,,,,
APORA-BA,,,BA,,,,"59,32",,,,,,-,,,,,"59,32",,,,,,"511,69",,,,,,,,,,,
APUAREMA-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
ARACAS-BA,,,BA,,,,"145.636,98",,,,,,"64.776,79",,,,,"210.413,77",,,,,,"1.505.115,64",,,,,,,,,,,
ARACI-BA,,,BA,,,,"76,62",,,,,,-,,,,,"76,62",,,,,,"660,18",,,,,,,,,,,
ARAMARI-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
ARATUIPE-BA,,,BA,,,,"49,43",,,,,,-,,,,,"49,43",,,,,,"425,46",,,,,,,,,,,
BAIXA GRANDE-BA,,,BA,,,,"64,26",,,,,,-,,,,,"64,26",,,,,,"554,23",,,,,,,,,,,
BANZAE-BA,,,BA,,,,"51,90",,,,,,-,,,,,"51,90",,,,,,"447,42",,,,,,,,,,,
BARRA DO CHOCA-BA,,,BA,,,,"76,62",,,,,,-,,,,,"76,62",,,,,,"660,18",,,,,,,,,,,
BARROCAS-BA,,,BA,,,,"54,38",,,,,,-,,,,,"54,38",,,,,,"469,14",,,,,,,,,,,
BELO CAMPO-BA,,,BA,,,,"59,32",,,,,,-,,,,,"59,32",,,,,,"511,69",,,,,,,,,,,
BIRITINGA-BA,,,BA,,,,"56,85",,,,,,-,,,,,"56,85",,,,,,"489,99",,,,,,,,,,,
BOA NOVA-BA,,,BA,,,,"64,26",,,,,,-,,,,,"64,26",,,,,,"554,23",,,,,,,,,,,
