COARI-AM,,,,,,,,AM,,"1.718.549,86",,,,,,,,"1.647.088,38",,,,,,"3.365.638,24",,,,,,,"36.008.035,10",,,,,,,,
CODAJAS-AM,,,,,,,,AM,,-,,,,,,,,"1.849,35",,,,,,"1.849,35",,,,,,,"22.021,13",,,,,,,,
IRANDUBA-AM,,,,,,,,AM,,-,,,,,,,,"4.677,88",,,,,,"4.677,88",,,,,,,"58.762,46",,,,,,,,
ITACOATIARA-AM,,,,,,,,AM,,-,,,,,,,,"4.677,88",,,,,,"4.677,88",,,,,,,"58.761,88",,,,,,,,
ITAPIRANGA-AM,,,,,,,,AM,,-,,,,,,,,"4.677,88",,,,,,"4.677,88",,,,,,,"58.761,88",,,,,,,,
MANACAPURU-AM,,,,,,,,AM,,-,,,,,,,,"1.849,35",,,,,,"1.849,35",,,,,,,"22.021,13",,,,,,,,
MANAQUIRI-AM,,,,,,,,AM,,-,,,,,,,,"1.849,35",,,,,,"1.849,35",,,,,,,"22.021,13",,,,,,,,
MANAUS-AM,,,,,,,,AM,,"699.633,84",,,,,,,,"56.534,44",,,,,,"756.168,28",,,,,,,"8.685.803,31",,,,,,,,
PARINTINS-AM,,,,,,,,AM,,-,,,,,,,,"4.677,88",,,,,,"4.677,88",,,,,,,"58.761,88",,,,,,,,
SILVES-AM,,,,,,,,AM,,-,,,,,,,,"4.677,88",,,,,,"4.677,88",,,,,,,"58.761,88",,,,,,,,
URUCARA-AM,,,,,,,,AM,,-,,,,,,,,"4.677,88",,,,,,"4.677,88",,,,,,,"58.761,88",,,,,,,,
URUCURITUBA-AM,,,,,,,,AM,,-,,,,,,,,"4.677,88",,,,,,"4.677,88",,,,,,,"58.761,88",,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,"2.418.183,70",,,,,,,,"1.758.669,19",,,,,,"4.176.852,89",,,,,,,"45.376.844,40",,,,,,,,
LARANJAL DO JARI-AP,,,,,,,,AP,,-,,,,,,,,"4.677,88",,,,,,"4.677,88",,,,,,,"58.761,88",,,,,,,,
MACAPA-AP,,,,,,,,AP,,-,,,,,,,,"4.677,88",,,,,,"4.677,88",,,,,,,"58.761,88",,,,,,,,
MAZAGAO-AP,,,,,,,,AP,,-,,,,,,,,"4.677,88",,,,,,"4.677,88",,,,,,,"58.761,88",,,,,,,,
AMAPA  TOTAL,,,,,,,,,,-,,,,,,,,"14.033,64",,,,,,"14.033,64",,,,,,,"176.285,64",,,,,,,,
