BOA NOVA,,,BA,,,,"93,57",,,,,,,-,,,,,,,,"93,57",,,,,,,,"370,29",,,,,,,,
BOA VISTA DO TUPIM,,,BA,,,,"89,97",,,,,,,-,,,,,,,,"89,97",,,,,,,,"356,05",,,,,,,,
BOM JESUS DA SERRA,,,BA,,,,"75,57",,,,,,,-,,,,,,,,"75,57",,,,,,,,"299,07",,,,,,,,
BREJOES,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
CAATIBA,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
CABACEIRAS DO PARAGUACU,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
CACHOEIRA,,,BA,,,,"100,77",,,,,,,-,,,,,,,,"100,77",,,,,,,,"398,78",,,,,,,,
CAEM,,,BA,,,,"79,17",,,,,,,-,,,,,,,,"79,17",,,,,,,,"313,31",,,,,,,,
CAETANOS,,,BA,,,,"79,17",,,,,,,-,,,,,,,,"79,17",,,,,,,,"313,31",,,,,,,,
CAMACARI,,,BA,,,,"773,56",,,,,,,"264,43",,,,,,,,"1.037,99",,,,,,,,"3.150,36",,,,,,,,
CANDEAL,,,BA,,,,"75,57",,,,,,,-,,,,,,,,"75,57",,,,,,,,"299,07",,,,,,,,
CANDEIAS,,,BA,,,,"202.227,74",,,,,,,"180.721,73",,,,,,,,"382.949,47",,,,,,,,"1.601.205,24",,,,,,,,
CANDIDO SALES,,,BA,,,,"100,77",,,,,,,-,,,,,,,,"100,77",,,,,,,,"398,78",,,,,,,,
CANSANCAO,,,BA,,,,"100,77",,,,,,,-,,,,,,,,"100,77",,,,,,,,"398,78",,,,,,,,
CANUDOS,,,BA,,,,"79,17",,,,,,,-,,,,,,,,"79,17",,,,,,,,"313,31",,,,,,,,
CAPELA DO ALTO ALEGRE,,,BA,,,,"75,57",,,,,,,-,,,,,,,,"75,57",,,,,,,,"299,07",,,,,,,,
CAPIM GROSSO,,,BA,,,,"93,57",,,,,,,-,,,,,,,,"93,57",,,,,,,,"370,29",,,,,,,,
CARDEAL DA SILVA,,,BA,,,,"103.783,13",,,,,,,"21.932,47",,,,,,,,"125.715,60",,,,,,,,"503.833,79",,,,,,,,
CASTRO ALVES,,,BA,,,,"97,17",,,,,,,-,,,,,,,,"97,17",,,,,,,,"384,53",,,,,,,,
CATU,,,BA,,,,"201.770,95",,,,,,,"93.689,65",,,,,,,,"295.460,60",,,,,,,,"1.100.158,26",,,,,,,,
CICERO DANTAS,,,BA,,,,"100,77",,,,,,,-,,,,,,,,"100,77",,,,,,,,"398,78",,,,,,,,
CIPO,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
CONCEICAO DA FEIRA,,,BA,,,,"86,37",,,,,,,-,,,,,,,,"86,37",,,,,,,,"341,81",,,,,,,,
CONCEICAO DO ALMEIDA,,,BA,,,,"89,97",,,,,,,-,,,,,,,,"89,97",,,,,,,,"356,05",,,,,,,,
CONCEICAO DO COITE,,,BA,,,,"118,76",,,,,,,-,,,,,,,,"118,76",,,,,,,,"469,98",,,,,,,,
CONCEICAO DO JACUIPE,,,BA,,,,"97,17",,,,,,,-,,,,,,,,"97,17",,,,,,,,"384,53",,,,,,,,
CONDE,,,BA,,,,"1.443,04",,,,,,,"870,41",,,,,,,,"2.313,45",,,,,,,,"26.197,49",,,,,,,,
CORACAO DE MARIA,,,BA,,,,"93,57",,,,,,,-,,,,,,,,"93,57",,,,,,,,"370,29",,,,,,,,
CORONEL JOAO SA,,,BA,,,,"89,97",,,,,,,-,,,,,,,,"89,97",,,,,,,,"356,05",,,,,,,,
CRAVOLANDIA,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
CRISOPOLIS,,,BA,,,,"89,97",,,,,,,-,,,,,,,,"89,97",,,,,,,,"356,05",,,,,,,,
CRUZ DAS ALMAS,,,BA,,,,"115,16",,,,,,,-,,,,,,,,"115,16",,,,,,,,"455,74",,,,,,,,
DARIO MEIRA,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
DIAS D'AVILA,,,BA,,,,"111,57",,,,,,,-,,,,,,,,"111,57",,,,,,,,"441,51",,,,,,,,
DOM MACEDO COSTA,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
ELISIO MEDRADO,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
ENCRUZILHADA,,,BA,,,,"104,37",,,,,,,-,,,,,,,,"104,37",,,,,,,,"413,03",,,,,,,,
ENTRE RIOS,,,BA,,,,"208.441,97",,,,,,,"115.194,13",,,,,,,,"323.636,10",,,,,,,,"1.244.598,19",,,,,,,,
ESPLANADA,,,BA,,,,"340.768,86",,,,,,,"204.176,84",,,,,,,,"544.945,70",,,,,,,,"2.095.560,48",,,,,,,,
EUCLIDES DA CUNHA,,,BA,,,,"115,16",,,,,,,-,,,,,,,,"115,16",,,,,,,,"455,74",,,,,,,,
FATIMA,,,BA,,,,"89,97",,,,,,,-,,,,,,,,"89,97",,,,,,,,"356,05",,,,,,,,
FEIRA DE SANTANA,,,BA,,,,"143,96",,,,,,,-,,,,,,,,"143,96",,,,,,,,"569,69",,,,,,,,
GAVIAO,,,BA,,,,"71,98",,,,,,,-,,,,,,,,"71,98",,,,,,,,"284,83",,,,,,,,
GLORIA,,,BA,,,,"82,77",,,,,,,-,,,,,,,,"82,77",,,,,,,,"327,56",,,,,,,,
GOVERNADOR MANGABEIRA,,,BA,,,,"86,37",,,,,,,-,,,,,,,,"86,37",,,,,,,,"341,81",,,,,,,,
HELIOPOLIS,,,BA,,,,"79,17",,,,,,,-,,,,,,,,"79,17",,,,,,,,"313,31",,,,,,,,
IACU,,,BA,,,,"100,77",,,,,,,-,,,,,,,,"100,77",,,,,,,,"398,78",,,,,,,,
