ADUSTINA-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.643,40",,,,,,,
AGUA FRIA-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.643,40",,,,,,,
AIQUARA-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.907,28",,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,"281.475,56",,,,,,,,"153.791,55",,,,,,,"435.267,11",,,,,,,"4.466.775,09",,,,,,,
ALCOBACA-BA,,,,,BA,,,,"764,20",,,,,,,,-,,,,,,,"764,20",,,,,,,"6.235,64",,,,,,,
ALMADINA-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.796,62",,,,,,,
AMARGOSA-BA,,,,,BA,,,,"822,98",,,,,,,,-,,,,,,,"822,98",,,,,,,"6.870,23",,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,,"793,59",,,,,,,,-,,,,,,,"793,59",,,,,,,"6.624,86",,,,,,,
ANAGE-BA,,,,,BA,,,,"822,98",,,,,,,,-,,,,,,,"822,98",,,,,,,"6.870,23",,,,,,,
ANGUERA-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.907,28",,,,,,,
ANTAS-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.643,40",,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,,"617,24",,,,,,,,-,,,,,,,"617,24",,,,,,,"5.152,68",,,,,,,
APORA-BA,,,,,BA,,,,"705,41",,,,,,,,-,,,,,,,"705,41",,,,,,,"5.888,75",,,,,,,
APUAREMA-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.907,28",,,,,,,
ARACAS-BA,,,,,BA,,,,"262.907,39",,,,,,,,"134.347,74",,,,,,,"397.255,13",,,,,,,"3.821.354,34",,,,,,,
ARACI-BA,,,,,BA,,,,"911,16",,,,,,,,-,,,,,,,"911,16",,,,,,,"7.606,34",,,,,,,
ARAMARI-BA,,,,,BA,,,,"2.503,53",,,,,,,,"804,59",,,,,,,"3.308,12",,,,,,,"10.242,29",,,,,,,
ARATACA-BA,,,,,BA,,,,"617,24",,,,,,,,-,,,,,,,"617,24",,,,,,,"5.036,47",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARATUIPE-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.907,28",,,,,,,
AURELINO LEAL-BA,,,,,BA,,,,"705,41",,,,,,,,-,,,,,,,"705,41",,,,,,,"5.755,95",,,,,,,
BAIXA GRANDE-BA,,,,,BA,,,,"764,20",,,,,,,,-,,,,,,,"764,20",,,,,,,"6.379,51",,,,,,,
BANZAE-BA,,,,,BA,,,,"617,24",,,,,,,,-,,,,,,,"617,24",,,,,,,"5.152,68",,,,,,,
BARRA DO CHOCA-BA,,,,,BA,,,,"911,16",,,,,,,,-,,,,,,,"911,16",,,,,,,"7.606,34",,,,,,,
BARRA DO ROCHA-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.796,62",,,,,,,
BARRO PRETO-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.796,62",,,,,,,
BARROCAS-BA,,,,,BA,,,,"646,63",,,,,,,,-,,,,,,,"646,63",,,,,,,"5.398,05",,,,,,,
BELMONTE-BA,,,,,BA,,,,"764,20",,,,,,,,-,,,,,,,"764,20",,,,,,,"6.235,64",,,,,,,
BELO CAMPO-BA,,,,,BA,,,,"705,41",,,,,,,,-,,,,,,,"705,41",,,,,,,"5.888,75",,,,,,,
BIRITINGA-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.643,40",,,,,,,
BOA NOVA-BA,,,,,BA,,,,"764,20",,,,,,,,-,,,,,,,"764,20",,,,,,,"6.379,51",,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,,"734,81",,,,,,,,-,,,,,,,"734,81",,,,,,,"6.134,14",,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,,"617,24",,,,,,,,-,,,,,,,"617,24",,,,,,,"5.152,68",,,,,,,
BREJOES-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.643,40",,,,,,,
BUERAREMA-BA,,,,,BA,,,,"734,81",,,,,,,,-,,,,,,,"734,81",,,,,,,"5.995,80",,,,,,,
CAATIBA-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.643,40",,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.643,40",,,,,,,
CACHOEIRA-BA,,,,,BA,,,,"822,98",,,,,,,,-,,,,,,,"822,98",,,,,,,"6.870,23",,,,,,,
CAEM-BA,,,,,BA,,,,"646,63",,,,,,,,-,,,,,,,"646,63",,,,,,,"5.398,05",,,,,,,
CAETANOS-BA,,,,,BA,,,,"646,63",,,,,,,,-,,,,,,,"646,63",,,,,,,"5.398,05",,,,,,,
CAIRU-BA,,,,,BA,,,,"21.377,77",,,,,,,,"225.285,05",,,,,,,"246.662,82",,,,,,,"1.623.227,43",,,,,,,
CAMACAN-BA,,,,,BA,,,,"822,98",,,,,,,,-,,,,,,,"822,98",,,,,,,"6.715,29",,,,,,,
CAMACARI-BA,,,,,BA,,,,"2.117,52",,,,,,,,"407,53",,,,,,,"2.525,05",,,,,,,"15.776,55",,,,,,,
CAMAMU-BA,,,,,BA,,,,"852,38",,,,,,,,-,,,,,,,"852,38",,,,,,,"6.955,15",,,,,,,
CANAVIEIRAS-BA,,,,,BA,,,,"852,38",,,,,,,,-,,,,,,,"852,38",,,,,,,"6.955,15",,,,,,,
CANDEAL-BA,,,,,BA,,,,"617,24",,,,,,,,-,,,,,,,"617,24",,,,,,,"5.152,68",,,,,,,
CANDEIAS-BA,,,,,BA,,,,"207.505,37",,,,,,,,"265.727,97",,,,,,,"473.233,34",,,,,,,"4.910.955,74",,,,,,,
CANDIDO SALES-BA,,,,,BA,,,,"822,98",,,,,,,,-,,,,,,,"822,98",,,,,,,"6.870,23",,,,,,,
CANSANCAO-BA,,,,,BA,,,,"822,98",,,,,,,,-,,,,,,,"822,98",,,,,,,"6.870,23",,,,,,,
CANUDOS-BA,,,,,BA,,,,"646,63",,,,,,,,-,,,,,,,"646,63",,,,,,,"5.398,05",,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,"617,24",,,,,,,,-,,,,,,,"617,24",,,,,,,"5.152,68",,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,,"764,20",,,,,,,,-,,,,,,,"764,20",,,,,,,"6.379,51",,,,,,,
CARAVELAS-BA,,,,,BA,,,,"764,20",,,,,,,,-,,,,,,,"764,20",,,,,,,"6.235,64",,,,,,,
CARDEAL DA SILVA-BA,,,,,BA,,,,"117.016,77",,,,,,,,"34.139,19",,,,,,,"151.155,96",,,,,,,"1.622.216,66",,,,,,,
CASTRO ALVES-BA,,,,,BA,,,,"793,59",,,,,,,,-,,,,,,,"793,59",,,,,,,"6.624,86",,,,,,,
CATU-BA,,,,,BA,,,,"165.728,88",,,,,,,,"86.030,97",,,,,,,"251.759,85",,,,,,,"3.101.572,65",,,,,,,
CICERO DANTAS-BA,,,,,BA,,,,"822,98",,,,,,,,-,,,,,,,"822,98",,,,,,,"6.870,23",,,,,,,
CIPO-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.643,40",,,,,,,
COARACI-BA,,,,,BA,,,,"793,59",,,,,,,,-,,,,,,,"793,59",,,,,,,"6.475,46",,,,,,,
CONCEICAO DA FEIRA-BA,,,,,BA,,,,"705,41",,,,,,,,-,,,,,,,"705,41",,,,,,,"5.888,75",,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,"734,81",,,,,,,,-,,,,,,,"734,81",,,,,,,"6.134,14",,,,,,,
CONCEICAO DO COITE-BA,,,,,BA,,,,"969,94",,,,,,,,-,,,,,,,"969,94",,,,,,,"8.097,08",,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,"793,59",,,,,,,,-,,,,,,,"793,59",,,,,,,"6.624,86",,,,,,,
CONDE-BA,,,,,BA,,,,"4.512,74",,,,,,,,"2.417,80",,,,,,,"6.930,54",,,,,,,"18.388,44",,,,,,,
CORACAO DE MARIA-BA,,,,,BA,,,,"764,20",,,,,,,,-,,,,,,,"764,20",,,,,,,"6.379,51",,,,,,,
CORONEL JOAO SA-BA,,,,,BA,,,,"734,81",,,,,,,,-,,,,,,,"734,81",,,,,,,"6.134,14",,,,,,,
CRAVOLANDIA-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.907,28",,,,,,,
CRISOPOLIS-BA,,,,,BA,,,,"734,81",,,,,,,,-,,,,,,,"734,81",,,,,,,"6.134,14",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZ DAS ALMAS-BA,,,,,BA,,,,"940,55",,,,,,,,-,,,,,,,"940,55",,,,,,,"7.851,72",,,,,,,
DARIO MEIRA-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.643,40",,,,,,,
DIAS D'AVILA-BA,,,,,BA,,,,"911,16",,,,,,,,-,,,,,,,"911,16",,,,,,,"7.606,34",,,,,,,
DOM MACEDO COSTA-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.907,28",,,,,,,
ELISIO MEDRADO-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.907,28",,,,,,,
ENCRUZILHADA-BA,,,,,BA,,,,"852,38",,,,,,,,-,,,,,,,"852,38",,,,,,,"7.115,64",,,,,,,
ENTRE RIOS-BA,,,,,BA,,,,"219.548,51",,,,,,,,"154.686,35",,,,,,,"374.234,86",,,,,,,"3.766.027,52",,,,,,,
ESPLANADA-BA,,,,,BA,,,,"626.024,34",,,,,,,,"418.845,05",,,,,,,"1.044.869,39",,,,,,,"10.488.491,11",,,,,,,
EUCLIDES DA CUNHA-BA,,,,,BA,,,,"940,55",,,,,,,,-,,,,,,,"940,55",,,,,,,"7.851,72",,,,,,,
EUNAPOLIS-BA,,,,,BA,,,,"1.058,12",,,,,,,,-,,,,,,,"1.058,12",,,,,,,"8.633,98",,,,,,,
FATIMA-BA,,,,,BA,,,,"734,81",,,,,,,,-,,,,,,,"734,81",,,,,,,"6.134,14",,,,,,,
FEIRA DE SANTANA-BA,,,,,BA,,,,"1.175,69",,,,,,,,-,,,,,,,"1.175,69",,,,,,,"9.814,65",,,,,,,
FIRMINO ALVES-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.796,62",,,,,,,
FLORESTA AZUL-BA,,,,,BA,,,,"617,24",,,,,,,,-,,,,,,,"617,24",,,,,,,"5.036,47",,,,,,,
GANDU-BA,,,,,BA,,,,"793,59",,,,,,,,-,,,,,,,"793,59",,,,,,,"6.475,46",,,,,,,
GAVIAO-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.907,28",,,,,,,
GLORIA-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.643,40",,,,,,,
GONGOGI-BA,,,,,BA,,,,"617,24",,,,,,,,-,,,,,,,"617,24",,,,,,,"5.036,47",,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,BA,,,,"705,41",,,,,,,,-,,,,,,,"705,41",,,,,,,"5.888,75",,,,,,,
GUARATINGA-BA,,,,,BA,,,,"793,59",,,,,,,,-,,,,,,,"793,59",,,,,,,"6.475,46",,,,,,,
HELIOPOLIS-BA,,,,,BA,,,,"646,63",,,,,,,,-,,,,,,,"646,63",,,,,,,"5.398,05",,,,,,,
IACU-BA,,,,,BA,,,,"822,98",,,,,,,,-,,,,,,,"822,98",,,,,,,"6.870,23",,,,,,,
IBICARAI-BA,,,,,BA,,,,"822,98",,,,,,,,-,,,,,,,"822,98",,,,,,,"6.715,29",,,,,,,
IBICUI-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.516,12",,,,,,,
IBIQUERA-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.907,28",,,,,,,
IBIRAPITANGA-BA,,,,,BA,,,,"764,20",,,,,,,,-,,,,,,,"764,20",,,,,,,"6.235,64",,,,,,,
IBIRAPUA-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.796,62",,,,,,,
IBIRATAIA-BA,,,,,BA,,,,"793,59",,,,,,,,-,,,,,,,"793,59",,,,,,,"6.475,46",,,,,,,
ICHU-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.907,28",,,,,,,
IGRAPIUNA-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.516,12",,,,,,,
IGUAI-BA,,,,,BA,,,,"793,59",,,,,,,,-,,,,,,,"793,59",,,,,,,"6.475,46",,,,,,,
ILHEUS-BA,,,,,BA,,,,"1.175,69",,,,,,,,-,,,,,,,"1.175,69",,,,,,,"9.593,30",,,,,,,
INHAMBUPE-BA,,,,,BA,,,,"2.009,42",,,,,,,,"605,08",,,,,,,"2.614,50",,,,,,,"28.023,58",,,,,,,
IPECAETA-BA,,,,,BA,,,,"734,81",,,,,,,,-,,,,,,,"734,81",,,,,,,"6.134,14",,,,,,,
IPIAU-BA,,,,,BA,,,,"911,16",,,,,,,,-,,,,,,,"911,16",,,,,,,"7.434,80",,,,,,,
IPIRA-BA,,,,,BA,,,,"969,94",,,,,,,,-,,,,,,,"969,94",,,,,,,"8.097,08",,,,,,,
IRAJUBA-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.907,28",,,,,,,
IRARA-BA,,,,,BA,,,,"793,59",,,,,,,,-,,,,,,,"793,59",,,,,,,"6.624,86",,,,,,,
ITABELA-BA,,,,,BA,,,,"793,59",,,,,,,,-,,,,,,,"793,59",,,,,,,"6.475,46",,,,,,,
ITABERABA-BA,,,,,BA,,,,"969,94",,,,,,,,-,,,,,,,"969,94",,,,,,,"8.097,08",,,,,,,
ITABUNA-BA,,,,,BA,,,,"1.175,69",,,,,,,,-,,,,,,,"1.175,69",,,,,,,"9.593,30",,,,,,,
ITACARE-BA,,,,,BA,,,,"734,81",,,,,,,,-,,,,,,,"734,81",,,,,,,"5.995,80",,,,,,,
ITAGI-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.643,40",,,,,,,
ITAGIBA-BA,,,,,BA,,,,"705,41",,,,,,,,-,,,,,,,"705,41",,,,,,,"5.755,95",,,,,,,
ITAGIMIRIM-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.796,62",,,,,,,
ITAJU DO COLONIA-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.796,62",,,,,,,
ITAJUIPE-BA,,,,,BA,,,,"764,20",,,,,,,,-,,,,,,,"764,20",,,,,,,"6.235,64",,,,,,,
ITAMARAJU-BA,,,,,BA,,,,"999,34",,,,,,,,-,,,,,,,"999,34",,,,,,,"8.154,31",,,,,,,
ITAMARI-BA,,,,,BA,,,,"587,84",,,,,,,,-,,,,,,,"587,84",,,,,,,"4.796,62",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITAMBE-BA,,,,,BA,,,,"822,98",,,,,,,,-,,,,,,,"822,98",,,,,,,"6.870,23",,,,,,,
ITANAGRA-BA,,,,,BA,,,,"87.455,83",,,,,,,,"17.144,63",,,,,,,"104.600,46",,,,,,,"1.072.668,82",,,,,,,
ITANHEM-BA,,,,,BA,,,,"764,20",,,,,,,,-,,,,,,,"764,20",,,,,,,"6.235,64",,,,,,,
ITAPARICA-BA,,,,,BA,,,,"26.241,26",,,,,,,,"173.062,51",,,,,,,"199.303,77",,,,,,,"1.866.883,85",,,,,,,
ITAPE-BA,,,,,BA,,,,"676,02",,,,,,,,-,,,,,,,"676,02",,,,,,,"5.516,12",,,,,,,
ITAPEBI-BA,,,,,BA,,,,"617,24",,,,,,,,-,,,,,,,"617,24",,,,,,,"5.036,47",,,,,,,
