JAPARATINGA-AL,,,,,,,,,,AL,,,,"609,26",,,,,,,,-,,,,,,"609,26",,,,,,,,,"3.111,37",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,,AL,,,,"895,69",,,,,,,,"94,71",,,,,,"990,40",,,,,,,,,"22.295,91",,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,,AL,,,,"792,03",,,,,,,,-,,,,,,"792,03",,,,,,,,,"4.044,77",,,,,,,,
JUNDIA-AL,,,,,,,,,,AL,,,,"609,26",,,,,,,,-,,,,,,"609,26",,,,,,,,,"3.111,37",,,,,,,,
JUNQUEIRO-AL,,,,,,,,,,AL,,,,"792,03",,,,,,,,-,,,,,,"792,03",,,,,,,,,"4.044,77",,,,,,,,
MACEIO-AL,,,,,,,,,,AL,,,,"114.456,34",,,,,,,,"23.320,21",,,,,,"137.776,55",,,,,,,,,"702.381,21",,,,,,,,
MARAGOGI-AL,,,,,,,,,,AL,,,,"852,96",,,,,,,,-,,,,,,"852,96",,,,,,,,,"4.355,92",,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,,AL,,,,"30.442,58",,,,,,,,"26.763,19",,,,,,"57.205,77",,,,,,,,,"370.856,28",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,,AL,,,,"792,03",,,,,,,,-,,,,,,"792,03",,,,,,,,,"4.044,77",,,,,,,,
MESSIAS-AL,,,,,,,,,,AL,,,,"700,64",,,,,,,,-,,,,,,"700,64",,,,,,,,,"3.578,07",,,,,,,,
MURICI-AL,,,,,,,,,,AL,,,,"2.047,21",,,,,,,,"789,94",,,,,,"2.837,15",,,,,,,,,"19.132,20",,,,,,,,
NOVO LINO-AL,,,,,,,,,,AL,,,,"670,18",,,,,,,,-,,,,,,"670,18",,,,,,,,,"3.422,52",,,,,,,,
PARIPUEIRA-AL,,,,,,,,,,AL,,,,"639,72",,,,,,,,"7.736,84",,,,,,"8.376,56",,,,,,,,,"42.580,77",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,,AL,,,,"700,64",,,,,,,,-,,,,,,"700,64",,,,,,,,,"3.578,07",,,,,,,,
PIACABUCU-AL,,,,,,,,,,AL,,,,"731,11",,,,,,,,-,,,,,,"731,11",,,,,,,,,"3.733,65",,,,,,,,
PILAR-AL,,,,,,,,,,AL,,,,"148.550,00",,,,,,,,"95.276,97",,,,,,"243.826,97",,,,,,,,,"1.359.318,66",,,,,,,,
PINDOBA-AL,,,,,,,,,,AL,,,,"609,26",,,,,,,,-,,,,,,"609,26",,,,,,,,,"3.111,37",,,,,,,,
PORTO CALVO-AL,,,,,,,,,,AL,,,,"822,50",,,,,,,,-,,,,,,"822,50",,,,,,,,,"4.200,36",,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,,AL,,,,"609,26",,,,,,,,-,,,,,,"609,26",,,,,,,,,"3.111,37",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,,AL,,,,"761,57",,,,,,,,-,,,,,,"761,57",,,,,,,,,"3.889,21",,,,,,,,
RIO LARGO-AL,,,,,,,,,,AL,,,,"8.080,03",,,,,,,,"4.543,57",,,,,,"12.623,60",,,,,,,,,"64.516,26",,,,,,,,
ROTEIRO-AL,,,,,,,,,,AL,,,,"1.713.269,00",,,,,,,,"1.318,79",,,,,,"1.714.587,79",,,,,,,,,"9.228.049,03",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,,AL,,,,"96.870,08",,,,,,,,"313,63",,,,,,"97.183,71",,,,,,,,,"486.421,56",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,,AL,,,,"639,72",,,,,,,,-,,,,,,"639,72",,,,,,,,,"3.266,95",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,,AL,,,,"792,03",,,,,,,,-,,,,,,"792,03",,,,,,,,,"4.044,77",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,,AL,,,,"883,42",,,,,,,,-,,,,,,"883,42",,,,,,,,,"4.511,50",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,,,AL,,,,"271.602,23",,,,,,,,"142.490,55",,,,,,"414.092,78",,,,,,,,,"2.194.787,28",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,,,AL,,,,"609,26",,,,,,,,-,,,,,,"609,26",,,,,,,,,"3.111,37",,,,,,,,
SATUBA-AL,,,,,,,,,,AL,,,,"15.955,02",,,,,,,,"10.290,99",,,,,,"26.246,01",,,,,,,,,"201.012,88",,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,,,AL,,,,"944,35",,,,,,,,-,,,,,,"944,35",,,,,,,,,"4.822,63",,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,,,AL,,,,"1.005,27",,,,,,,,-,,,,,,"1.005,27",,,,,,,,,"5.133,77",,,,,,,,
VICOSA-AL,,,,,,,,,,AL,,,,"822,50",,,,,,,,-,,,,,,"822,50",,,,,,,,,"4.200,36",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,,,,"4.299.329,97",,,,,,,,"412.605,10",,,,,,"4.711.935,07",,,,,,,,,"25.442.666,91",,,,,,,,
ANAMA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"3.575,06",,,,,,"3.575,06",,,,,,,,,"18.377,57",,,,,,,,
ANORI-AM,,,,,,,,,,AM,,,,-,,,,,,,,"3.575,06",,,,,,"3.575,06",,,,,,,,,"18.377,57",,,,,,,,
AUTAZES-AM,,,,,,,,,,AM,,,,-,,,,,,,,"9.630,23",,,,,,"9.630,23",,,,,,,,,"50.025,95",,,,,,,,
BERURI-AM,,,,,,,,,,AM,,,,-,,,,,,,,"3.575,06",,,,,,"3.575,06",,,,,,,,,"18.377,57",,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"9.630,23",,,,,,"9.630,23",,,,,,,,,"50.025,95",,,,,,,,
CAREIRO-AM,,,,,,,,,,AM,,,,-,,,,,,,,"3.575,06",,,,,,"3.575,06",,,,,,,,,"18.377,57",,,,,,,,
COARI-AM,,,,,,,,,,AM,,,,"3.007.948,39",,,,,,,,"2.885.974,83",,,,,,"5.893.923,22",,,,,,,,,"30.024.644,59",,,,,,,,
CODAJAS-AM,,,,,,,,,,AM,,,,-,,,,,,,,"3.575,06",,,,,,"3.575,06",,,,,,,,,"18.377,57",,,,,,,,
IRANDUBA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"9.630,23",,,,,,"9.630,23",,,,,,,,,"50.025,95",,,,,,,,
ITACOATIARA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"9.630,23",,,,,,"9.630,23",,,,,,,,,"50.025,95",,,,,,,,
ITAPIRANGA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"9.630,23",,,,,,"9.630,23",,,,,,,,,"50.025,95",,,,,,,,
MANACAPURU-AM,,,,,,,,,,AM,,,,-,,,,,,,,"3.575,06",,,,,,"3.575,06",,,,,,,,,"18.377,57",,,,,,,,
MANAQUIRI-AM,,,,,,,,,,AM,,,,-,,,,,,,,"3.575,06",,,,,,"3.575,06",,,,,,,,,"18.377,57",,,,,,,,
MANAUS-AM,,,,,,,,,,AM,,,,"1.711.292,65",,,,,,,,"120.641,70",,,,,,"1.831.934,35",,,,,,,,,"9.948.642,59",,,,,,,,
PARINTINS-AM,,,,,,,,,,AM,,,,-,,,,,,,,"9.630,23",,,,,,"9.630,23",,,,,,,,,"50.025,95",,,,,,,,
SILVES-AM,,,,,,,,,,AM,,,,-,,,,,,,,"9.630,23",,,,,,"9.630,23",,,,,,,,,"50.025,95",,,,,,,,
TEFE-AM,,,,,,,,,,AM,,,,-,,,,,,,,-,,,,,,-,,,,,,,,,"807.310,78",,,,,,,,
URUCARA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"9.630,23",,,,,,"9.630,23",,,,,,,,,"50.025,95",,,,,,,,
URUCURITUBA-AM,,,,,,,,,,AM,,,,-,,,,,,,,"9.630,23",,,,,,"9.630,23",,,,,,,,,"50.025,95",,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,,,,,"4.719.241,04",,,,,,,,"3.118.314,02",,,,,,"7.837.555,06",,,,,,,,,"41.359.474,50",,,,,,,,
LARANJAL DO JARI-AP,,,,,,,,,,AP,,,,-,,,,,,,,"9.630,23",,,,,,"9.630,23",,,,,,,,,"50.025,95",,,,,,,,
MACAPA-AP,,,,,,,,,,AP,,,,-,,,,,,,,"9.630,23",,,,,,"9.630,23",,,,,,,,,"50.025,95",,,,,,,,
MAZAGAO-AP,,,,,,,,,,AP,,,,-,,,,,,,,"9.630,23",,,,,,"9.630,23",,,,,,,,,"50.025,95",,,,,,,,
AMAPA  TOTAL,,,,,,,,,,,,,,-,,,,,,,,"28.890,69",,,,,,"28.890,69",,,,,,,,,"150.077,85",,,,,,,,
ACAJUTIBA-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
ADUSTINA-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
AGUA FRIA-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
AIQUARA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
ALAGOINHAS-BA,,,,,,,,,,BA,,,,"429.047,68",,,,,,,,"273.150,65",,,,,,"702.198,33",,,,,,,,,"3.475.032,93",,,,,,,,
ALCOBACA-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
ALMADINA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
AMARGOSA-BA,,,,,,,,,,BA,,,,"1.883,71",,,,,,,,-,,,,,,"1.883,71",,,,,,,,,"8.653,20",,,,,,,,
AMELIA RODRIGUES-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
ANAGE-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
ANGUERA-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
ANTAS-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
ANTONIO CARDOSO-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
APORA-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
APUAREMA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
ARACAS-BA,,,,,,,,,,BA,,,,"427.981,42",,,,,,,,"233.151,68",,,,,,"661.133,10",,,,,,,,,"3.301.341,43",,,,,,,,
ARACI-BA,,,,,,,,,,BA,,,,"2.078,57",,,,,,,,-,,,,,,"2.078,57",,,,,,,,,"9.548,35",,,,,,,,
ARAMARI-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.345,39",,,,,,,,
ARATACA-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
ARATUIPE-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
AURELINO LEAL-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
BAIXA GRANDE-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
BANZAE-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
BARRA DO CHOCA-BA,,,,,,,,,,BA,,,,"1.883,71",,,,,,,,-,,,,,,"1.883,71",,,,,,,,,"8.653,20",,,,,,,,
BARRA DO ROCHA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
BARRO PRETO-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
BARROCAS-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
BELMONTE-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
BELO CAMPO-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
BIRITINGA-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
BOA NOVA-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
BREJOES-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
BUERAREMA-BA,,,,,,,,,,BA,,,,"1.623,88",,,,,,,,-,,,,,,"1.623,88",,,,,,,,,"7.459,65",,,,,,,,
CAATIBA-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
CACHOEIRA-BA,,,,,,,,,,BA,,,,"1.883,71",,,,,,,,-,,,,,,"1.883,71",,,,,,,,,"8.653,20",,,,,,,,
CAEM-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
CAETANOS-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
CAIRU-BA,,,,,,,,,,BA,,,,"44.878,33",,,,,,,,"509.655,78",,,,,,"554.534,11",,,,,,,,,"2.544.329,08",,,,,,,,
CAMACAN-BA,,,,,,,,,,BA,,,,"1.818,75",,,,,,,,-,,,,,,"1.818,75",,,,,,,,,"8.354,81",,,,,,,,
CAMACARI-BA,,,,,,,,,,BA,,,,"2.598,22",,,,,,,,-,,,,,,"2.598,22",,,,,,,,,"12.065,39",,,,,,,,
CAMAMU-BA,,,,,,,,,,BA,,,,"1.883,71",,,,,,,,-,,,,,,"1.883,71",,,,,,,,,"8.653,20",,,,,,,,
CANAVIEIRAS-BA,,,,,,,,,,BA,,,,"1.883,71",,,,,,,,-,,,,,,"1.883,71",,,,,,,,,"8.653,20",,,,,,,,
CANDEAL-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
CANDEIAS-BA,,,,,,,,,,BA,,,,"290.042,22",,,,,,,,"369.294,67",,,,,,"659.336,89",,,,,,,,,"3.546.770,98",,,,,,,,
CANDIDO SALES-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
CANSANCAO-BA,,,,,,,,,,BA,,,,"1.883,71",,,,,,,,-,,,,,,"1.883,71",,,,,,,,,"8.653,20",,,,,,,,
CANUDOS-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
CAPIM GROSSO-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
CARAVELAS-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
CARDEAL DA SILVA-BA,,,,,,,,,,BA,,,,"145.211,78",,,,,,,,"31.389,26",,,,,,"176.601,04",,,,,,,,,"985.171,75",,,,,,,,
CASTRO ALVES-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
CATU-BA,,,,,,,,,,BA,,,,"322.436,31",,,,,,,,"171.409,72",,,,,,"493.846,03",,,,,,,,,"2.652.800,39",,,,,,,,
CICERO DANTAS-BA,,,,,,,,,,BA,,,,"1.883,71",,,,,,,,-,,,,,,"1.883,71",,,,,,,,,"8.653,20",,,,,,,,
CIPO-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
COARACI-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
CONCEICAO DA FEIRA-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
CONCEICAO DO COITE-BA,,,,,,,,,,BA,,,,"2.143,53",,,,,,,,-,,,,,,"2.143,53",,,,,,,,,"9.846,74",,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,,,,,,,BA,,,,"1.818,75",,,,,,,,-,,,,,,"1.818,75",,,,,,,,,"8.354,81",,,,,,,,
CONDE-BA,,,,,,,,,,BA,,,,"2.484,83",,,,,,,,"513,41",,,,,,"2.998,24",,,,,,,,,"21.262,89",,,,,,,,
CORACAO DE MARIA-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
CORONEL JOAO SA-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
CRAVOLANDIA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
CRISOPOLIS-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
CRUZ DAS ALMAS-BA,,,,,,,,,,BA,,,,"2.143,53",,,,,,,,-,,,,,,"2.143,53",,,,,,,,,"9.846,74",,,,,,,,
DARIO MEIRA-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
DIAS D'AVILA-BA,,,,,,,,,,BA,,,,"2.208,48",,,,,,,,-,,,,,,"2.208,48",,,,,,,,,"10.145,13",,,,,,,,
DOM MACEDO COSTA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
ELISIO MEDRADO-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
ENCRUZILHADA-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
ENTRE RIOS-BA,,,,,,,,,,BA,,,,"391.442,03",,,,,,,,"247.908,06",,,,,,"639.350,09",,,,,,,,,"3.394.679,74",,,,,,,,
ESPLANADA-BA,,,,,,,,,,BA,,,,"702.267,45",,,,,,,,"556.171,43",,,,,,"1.258.438,88",,,,,,,,,"6.478.366,77",,,,,,,,
EUCLIDES DA CUNHA-BA,,,,,,,,,,BA,,,,"2.143,53",,,,,,,,-,,,,,,"2.143,53",,,,,,,,,"9.846,74",,,,,,,,
EUNAPOLIS-BA,,,,,,,,,,BA,,,,"2.403,35",,,,,,,,-,,,,,,"2.403,35",,,,,,,,,"11.040,29",,,,,,,,
FATIMA-BA,,,,,,,,,,BA,,,,"1.558,93",,,,,,,,-,,,,,,"1.558,93",,,,,,,,,"7.161,26",,,,,,,,
FEIRA DE SANTANA-BA,,,,,,,,,,BA,,,,"2.598,22",,,,,,,,-,,,,,,"2.598,22",,,,,,,,,"11.935,46",,,,,,,,
FIRMINO ALVES-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
FLORESTA AZUL-BA,,,,,,,,,,BA,,,,"1.364,06",,,,,,,,-,,,,,,"1.364,06",,,,,,,,,"6.266,10",,,,,,,,
GANDU-BA,,,,,,,,,,BA,,,,"1.818,75",,,,,,,,-,,,,,,"1.818,75",,,,,,,,,"8.354,81",,,,,,,,
GAVIAO-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
GLORIA-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
GONGOGI-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,,,,,,,,BA,,,,"1.623,88",,,,,,,,-,,,,,,"1.623,88",,,,,,,,,"7.459,65",,,,,,,,
GUARATINGA-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
HELIOPOLIS-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
IACU-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBICARAI-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
IBICUI-BA,,,,,,,,,,BA,,,,"1.493,97",,,,,,,,-,,,,,,"1.493,97",,,,,,,,,"6.862,87",,,,,,,,
IBIQUERA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
IBIRAPITANGA-BA,,,,,,,,,,BA,,,,"1.688,84",,,,,,,,-,,,,,,"1.688,84",,,,,,,,,"7.758,04",,,,,,,,
IBIRAPUA-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
IBIRATAIA-BA,,,,,,,,,,BA,,,,"1.623,88",,,,,,,,-,,,,,,"1.623,88",,,,,,,,,"7.459,65",,,,,,,,
ICHU-BA,,,,,,,,,,BA,,,,"1.299,11",,,,,,,,-,,,,,,"1.299,11",,,,,,,,,"5.967,72",,,,,,,,
IGRAPIUNA-BA,,,,,,,,,,BA,,,,"1.429,02",,,,,,,,-,,,,,,"1.429,02",,,,,,,,,"6.564,49",,,,,,,,
IGUAI-BA,,,,,,,,,,BA,,,,"1.753,80",,,,,,,,-,,,,,,"1.753,80",,,,,,,,,"8.056,43",,,,,,,,
ILHEUS-BA,,,,,,,,,,BA,,,,"2.598,22",,,,,,,,-,,,,,,"2.598,22",,,,,,,,,"11.935,46",,,,,,,,
